broker_order_id,ticker,side,quantity,price,filled_at,source,raw_json
0085260,003540,SELL,11,28000,2026-07-08T09:10:05,eod_reconciliation,"{""rows"": [{""ord_no"": ""0085260"", ""stk_nm"": ""대신증권"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""0"", ""ord_qty"": ""11"", ""cntr_pric"": ""28000"", ""cntr_qty"": ""11"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""40"", ""tdy_trde_tax"": ""616"", ""ord_stt"": ""체결"", ""trde_tp"": ""시장가"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""091005"", ""stk_cd"": ""003540"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0085260"", ""stk_nm"": ""대신증권"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""0"", ""ord_qty"": ""11"", ""cntr_pric"": ""28000"", ""cntr_qty"": ""11"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""40"", ""tdy_trde_tax"": ""616"", ""ord_stt"": ""체결"", ""trde_tp"": ""시장가"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""091005"", ""stk_cd"": ""003540"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0126769,003030,BUY,2,108500,2026-07-08T09:31:19,eod_reconciliation,"{""rows"": [{""ord_no"": ""0126769"", ""stk_nm"": ""세아제강지주"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""108500"", ""ord_qty"": ""2"", ""cntr_pric"": ""108500"", ""cntr_qty"": ""2"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093119"", ""stk_cd"": ""003030"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0126769"", ""stk_nm"": ""세아제강지주"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""108500"", ""ord_qty"": ""2"", ""cntr_pric"": ""108500"", ""cntr_qty"": ""2"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093119"", ""stk_cd"": ""003030"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0126783,003030,SELL,2,110000,2026-07-08T09:31:20,eod_reconciliation,"{""rows"": [{""ord_no"": ""0126783"", ""stk_nm"": ""세아제강지주"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""110000"", ""ord_qty"": ""2"", ""cntr_pric"": ""110000"", ""cntr_qty"": ""2"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""440"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093120"", ""stk_cd"": ""003030"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0126783"", ""stk_nm"": ""세아제강지주"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""110000"", ""ord_qty"": ""2"", ""cntr_pric"": ""110000"", ""cntr_qty"": ""2"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""440"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093120"", ""stk_cd"": ""003030"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0127132,008770,BUY,4,52800,2026-07-08T09:31:31,eod_reconciliation,"{""rows"": [{""ord_no"": ""0127132"", ""stk_nm"": ""호텔신라"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""52800"", ""ord_qty"": ""4"", ""cntr_pric"": ""52800"", ""cntr_qty"": ""4"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093131"", ""stk_cd"": ""008770"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0127132"", ""stk_nm"": ""호텔신라"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""52800"", ""ord_qty"": ""4"", ""cntr_pric"": ""52800"", ""cntr_qty"": ""4"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093131"", ""stk_cd"": ""008770"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0127144,008770,SELL,4,53200,2026-07-08T09:31:32,eod_reconciliation,"{""rows"": [{""ord_no"": ""0127144"", ""stk_nm"": ""호텔신라"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""53200"", ""ord_qty"": ""4"", ""cntr_pric"": ""53200"", ""cntr_qty"": ""4"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""425"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093132"", ""stk_cd"": ""008770"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0127144"", ""stk_nm"": ""호텔신라"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""53200"", ""ord_qty"": ""4"", ""cntr_pric"": ""53200"", ""cntr_qty"": ""4"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""425"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093132"", ""stk_cd"": ""008770"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0133485,006110,BUY,6,34500,2026-07-08T09:35:05,eod_reconciliation,"{""rows"": [{""ord_no"": ""0133485"", ""stk_nm"": ""삼아알미늄"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""34500"", ""ord_qty"": ""6"", ""cntr_pric"": ""34500"", ""cntr_qty"": ""6"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093505"", ""stk_cd"": ""006110"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0133485"", ""stk_nm"": ""삼아알미늄"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""34500"", ""ord_qty"": ""6"", ""cntr_pric"": ""34500"", ""cntr_qty"": ""6"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093505"", ""stk_cd"": ""006110"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0133494,006110,SELL,6,34850,2026-07-08T09:35:06,eod_reconciliation,"{""rows"": [{""ord_no"": ""0133494"", ""stk_nm"": ""삼아알미늄"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""34850"", ""ord_qty"": ""6"", ""cntr_pric"": ""34850"", ""cntr_qty"": ""6"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""417"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093506"", ""stk_cd"": ""006110"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0133494"", ""stk_nm"": ""삼아알미늄"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""34850"", ""ord_qty"": ""6"", ""cntr_pric"": ""34850"", ""cntr_qty"": ""6"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""417"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093506"", ""stk_cd"": ""006110"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0145185,298000,BUY,3,68100,2026-07-08T09:42:41,eod_reconciliation,"{""rows"": [{""ord_no"": ""0145185"", ""stk_nm"": ""효성화학"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""68100"", ""ord_qty"": ""3"", ""cntr_pric"": ""68100"", ""cntr_qty"": ""3"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""094241"", ""stk_cd"": ""298000"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0145185"", ""stk_nm"": ""효성화학"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""68100"", ""ord_qty"": ""3"", ""cntr_pric"": ""68100"", ""cntr_qty"": ""3"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""094241"", ""stk_cd"": ""298000"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0148531,443060,BUY,1,196900,2026-07-08T09:44:49,eod_reconciliation,"{""rows"": [{""ord_no"": ""0148531"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""196900"", ""ord_qty"": ""1"", ""cntr_pric"": ""196900"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""094449"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0148531"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""196900"", ""ord_qty"": ""1"", ""cntr_pric"": ""196900"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""094449"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0148856,443060,SELL,1,198500,2026-07-08T09:45:01,eod_reconciliation,"{""rows"": [{""ord_no"": ""0148856"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""198500"", ""ord_qty"": ""1"", ""cntr_pric"": ""198500"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""396"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""094501"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0148856"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""198500"", ""ord_qty"": ""1"", ""cntr_pric"": ""198500"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""396"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""094501"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
