broker_order_id,ticker,side,quantity,price,status,raw_json
0116403,005850,BUY,5,55700,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0116403"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0116417,005850,SELL,5,56500,매도주문이 완료되었습니다.,"{""ord_no"": ""0116417"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 55600, ""planned_expect_price"": 56600, ""planned_target_price"": 56500, ""planned_profit_tick_distance"": 10, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0116715,014680,BUY,1,238500,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0116715"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0116727,014680,SELL,1,241500,매도주문이 완료되었습니다.,"{""ord_no"": ""0116727"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 238000, ""planned_expect_price"": 242000, ""planned_target_price"": 241500, ""planned_profit_tick_distance"": 8, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0117015,009970,BUY,1,185300,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0117015"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0117068,009970,SELL,1,187000,매도주문이 완료되었습니다.,"{""ord_no"": ""0117068"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 185300, ""planned_expect_price"": 187500, ""planned_target_price"": 187000, ""planned_profit_tick_distance"": 5, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0125702,499790,BUY,7,40350,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0125702"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0125708,499790,SELL,7,40700,매도주문이 완료되었습니다.,"{""ord_no"": ""0125708"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 40350, ""planned_expect_price"": 40750, ""planned_target_price"": 40700, ""planned_profit_tick_distance"": 8, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0133769,014680,BUY,1,240500,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0133769"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0134024,014680,SELL,1,242500,매도주문이 완료되었습니다.,"{""ord_no"": ""0134024"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 240500, ""planned_expect_price"": 243000, ""planned_target_price"": 242500, ""planned_profit_tick_distance"": 5, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0139726,014680,BUY,1,242500,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0139726"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0139740,014680,SELL,1,244500,매도주문이 완료되었습니다.,"{""ord_no"": ""0139740"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 242500, ""planned_expect_price"": 245000, ""planned_target_price"": 244500, ""planned_profit_tick_distance"": 5, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0160564,020000,BUY,13,23050,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0160564"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0160569,020000,SELL,13,23250,매도주문이 완료되었습니다.,"{""ord_no"": ""0160569"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 23050, ""planned_expect_price"": 23300, ""planned_target_price"": 23250, ""planned_profit_tick_distance"": 5, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0174721,071970,BUY,5,57800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0174721"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0174727,071970,SELL,5,58400,매도주문이 완료되었습니다.,"{""ord_no"": ""0174727"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 57800, ""planned_expect_price"": 58500, ""planned_target_price"": 58400, ""planned_profit_tick_distance"": 7, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0182528,071970,BUY,5,57700,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0182528"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
