session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-26,373220,2026-06-26 09:30:13,2026-06-26 09:33:37,1,346500,345000,346500,345000,time_stop_loss,-0.4329
2026-06-26,018880,2026-06-26 09:33:38,2026-06-26 09:34:15,118,3665,3665,432470,432470,time_stop_loss,0.0
2026-06-26,489790,2026-06-26 09:34:19,2026-06-26 09:35:12,8,53500,53500,428000,428000,time_stop_loss,0.0
2026-06-26,005850,2026-06-26 09:35:13,2026-06-26 09:35:55,7,55000,54600,385000,382200,time_stop_loss,-0.7273
2026-06-26,011170,2026-06-26 09:35:55,2026-06-26 09:36:35,6,64500,64600,387000,387600,time_stop_loss,0.155
2026-06-26,181710,2026-06-26 09:36:35,2026-06-26 09:37:15,12,33550,33550,402600,402600,time_stop_loss,0.0
2026-06-26,006260,2026-06-26 09:36:35,2026-06-26 09:37:16,1,340000,341000,340000,341000,time_stop_loss,0.2941
2026-06-26,039490,2026-06-26 09:37:16,2026-06-26 09:37:58,1,318500,318000,318500,318000,time_stop_loss,-0.157
2026-06-26,011170,2026-06-26 09:37:58,2026-06-26 09:38:39,6,64600,64500,387600,387000,time_stop_loss,-0.1548
2026-06-26,005850,2026-06-26 09:38:39,2026-06-26 09:39:18,7,54700,54500,382900,381500,time_stop_loss,-0.3656
2026-06-26,039490,2026-06-26 09:38:39,2026-06-26 09:39:20,1,316500,316000,316500,316000,time_stop_loss,-0.158
2026-06-26,009970,2026-06-26 09:39:20,2026-06-26 09:40:03,2,165100,165300,330200,330600,time_stop_loss,0.1211
2026-06-26,192080,2026-06-26 09:40:03,2026-06-26 09:40:44,7,59400,59400,415800,415800,time_stop_loss,0.0
2026-06-26,071050,2026-06-26 09:40:03,2026-06-26 09:40:44,2,202500,203500,405000,407000,time_stop_loss,0.4938
2026-06-26,009970,2026-06-26 09:40:44,2026-06-26 09:41:24,2,165900,165400,331800,330800,time_stop_loss,-0.3014
2026-06-26,326030,2026-06-26 09:40:44,2026-06-26 09:41:25,5,83500,83700,417500,418500,time_stop_loss,0.2395
2026-06-26,001340,2026-06-26 09:41:26,2026-06-26 09:42:04,70,6140,6140,429800,429800,time_stop_loss,0.0
2026-06-26,383220,2026-06-26 09:42:04,2026-06-26 09:42:45,5,73800,73800,369000,369000,time_stop_loss,0.0
2026-06-26,192080,2026-06-26 09:42:45,2026-06-26 09:43:07,7,59400,59400,415800,415800,time_stop_loss,0.0
2026-06-26,001340,2026-06-26 09:43:19,2026-06-26 09:44:07,70,6130,6120,429100,428400,time_stop_loss,-0.1631
2026-06-26,383220,2026-06-26 09:44:07,2026-06-26 09:44:43,5,73600,73600,368000,368000,time_stop_loss,0.0
2026-06-26,009970,2026-06-26 09:44:07,2026-06-26 09:44:48,2,165900,165500,331800,331000,time_stop_loss,-0.2411
2026-06-26,000210,2026-06-26 09:45:15,2026-06-26 09:46:02,10,42600,42700,426000,427000,time_stop_loss,0.2347
2026-06-26,007070,2026-06-26 09:46:02,2026-06-26 09:46:45,19,22150,22100,420850,419900,time_stop_loss,-0.2257
2026-06-26,005389,2026-06-26 09:46:45,2026-06-26 09:47:26,2,205000,205000,410000,410000,time_stop_loss,0.0
2026-06-26,181710,2026-06-26 09:47:26,2026-06-26 09:48:08,13,33350,33350,433550,433550,time_stop_loss,0.0
2026-06-26,007070,2026-06-26 09:48:08,2026-06-26 09:48:43,19,22050,22000,418950,418000,time_stop_loss,-0.2268
2026-06-26,383220,2026-06-26 09:48:08,2026-06-26 09:48:47,5,73300,73600,366500,368000,time_stop_loss,0.4093
2026-06-26,005850,2026-06-26 09:48:49,2026-06-26 09:49:29,7,55100,55000,385700,385000,time_stop_loss,-0.1815
2026-06-26,009970,2026-06-26 09:49:29,2026-06-26 09:50:15,2,165200,165100,330400,330200,time_stop_loss,-0.0605
2026-06-26,192080,2026-06-26 09:50:36,2026-06-26 09:51:08,7,59300,59300,415100,415100,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 09:51:26,2026-06-26 09:52:11,11,38850,38800,427350,426800,time_stop_loss,-0.1287
2026-06-26,000210,2026-06-26 09:52:12,2026-06-26 09:52:52,10,42600,42650,426000,426500,time_stop_loss,0.1174
2026-06-26,007070,2026-06-26 09:52:52,2026-06-26 09:53:27,19,22100,22100,419900,419900,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 09:52:52,2026-06-26 09:53:30,11,38800,38850,426800,427350,time_stop_loss,0.1289
2026-06-26,000210,2026-06-26 09:53:30,2026-06-26 09:54:05,10,42650,42700,426500,427000,time_stop_loss,0.1172
2026-06-26,005850,2026-06-26 09:54:06,2026-06-26 09:54:47,7,54900,54800,384300,383600,time_stop_loss,-0.1821
2026-06-26,443060,2026-06-26 09:54:47,2026-06-26 09:55:17,1,221500,222500,221500,222500,time_stop_loss,0.4515
2026-06-26,007070,2026-06-26 09:54:47,2026-06-26 09:55:40,19,22050,22100,418950,419900,time_stop_loss,0.2268
2026-06-26,000210,2026-06-26 09:55:48,2026-06-26 09:56:20,10,42250,42400,422500,424000,time_stop_loss,0.355
2026-06-26,005389,2026-06-26 09:55:48,2026-06-26 09:56:25,2,203500,203500,407000,407000,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 09:56:25,2026-06-26 09:57:08,11,38950,39000,428450,429000,time_stop_loss,0.1284
2026-06-26,489790,2026-06-26 09:56:25,2026-06-26 09:57:09,8,53200,53100,425600,424800,time_stop_loss,-0.188
2026-06-26,005389,2026-06-26 09:57:09,2026-06-26 09:57:48,2,204500,204500,409000,409000,time_stop_loss,0.0
2026-06-26,051900,2026-06-26 09:57:09,2026-06-26 09:57:57,2,216500,216500,433000,433000,time_stop_loss,0.0
2026-06-26,373220,2026-06-26 09:57:58,2026-06-26 09:58:43,1,343000,343000,343000,343000,time_stop_loss,0.0
2026-06-26,001340,2026-06-26 09:58:44,2026-06-26 09:59:28,71,6110,6100,433810,433100,time_stop_loss,-0.1637
2026-06-26,062040,2026-06-26 09:59:29,2026-06-26 10:00:13,2,217000,216000,434000,432000,time_stop_loss,-0.4608
2026-06-26,004990,2026-06-26 09:59:29,2026-06-26 10:00:14,18,23050,23100,414900,415800,time_stop_loss,0.2169
2026-06-26,0126Z0,2026-06-26 10:00:14,2026-06-26 10:00:59,1,434500,435500,434500,435500,time_stop_loss,0.2301
2026-06-26,323410,2026-06-26 10:01:00,2026-06-26 10:01:44,21,19990,19990,419790,419790,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 10:02:11,2026-06-26 10:03:07,11,39250,39350,431750,432850,time_stop_loss,0.2548
2026-06-26,004990,2026-06-26 10:03:08,2026-06-26 10:04:00,18,23200,23200,417600,417600,time_stop_loss,0.0
2026-06-26,039490,2026-06-26 10:04:00,2026-06-26 10:04:46,1,316000,316000,316000,316000,time_stop_loss,0.0
2026-06-26,175330,2026-06-26 10:04:48,2026-06-26 10:05:28,18,23100,23100,415800,415800,time_stop_loss,0.0
2026-06-26,009970,2026-06-26 10:04:48,2026-06-26 10:05:32,2,165300,165100,330600,330200,time_stop_loss,-0.121
2026-06-26,000120,2026-06-26 10:05:32,2026-06-26 10:06:13,6,71800,71900,430800,431400,time_stop_loss,0.1393
2026-06-26,005389,2026-06-26 10:06:14,2026-06-26 10:06:53,2,205000,204500,410000,409000,time_stop_loss,-0.2439
2026-06-26,181710,2026-06-26 10:06:14,2026-06-26 10:06:59,13,33400,33350,434200,433550,time_stop_loss,-0.1497
2026-06-26,006260,2026-06-26 10:06:59,2026-06-26 10:07:46,1,334500,334500,334500,334500,time_stop_loss,0.0
2026-06-26,039490,2026-06-26 10:07:46,2026-06-26 10:08:32,1,314500,315000,314500,315000,time_stop_loss,0.159
2026-06-26,051900,2026-06-26 10:08:32,2026-06-26 10:09:11,2,217000,217000,434000,434000,time_stop_loss,0.0
2026-06-26,009970,2026-06-26 10:09:12,2026-06-26 10:10:04,2,165500,165800,331000,331600,time_stop_loss,0.1813
2026-06-26,383220,2026-06-26 10:10:04,2026-06-26 10:10:40,5,73600,73600,368000,368000,time_stop_loss,0.0
2026-06-26,111770,2026-06-26 10:10:04,2026-06-26 10:10:48,6,71600,71600,429600,429600,time_stop_loss,0.0
2026-06-26,0126Z0,2026-06-26 10:10:48,2026-06-26 10:11:18,1,433000,434000,433000,434000,time_stop_loss,0.2309
2026-06-26,004990,2026-06-26 10:10:48,2026-06-26 10:11:33,18,23200,23250,417600,418500,time_stop_loss,0.2155
2026-06-26,139130,2026-06-26 10:11:34,2026-06-26 10:12:45,27,15660,15640,422820,422280,time_stop_loss,-0.1277
2026-06-26,323410,2026-06-26 10:12:47,2026-06-26 10:13:32,21,20050,20050,421050,421050,time_stop_loss,0.0
2026-06-26,139130,2026-06-26 10:13:33,2026-06-26 10:14:18,27,15620,15620,421740,421740,time_stop_loss,0.0
2026-06-26,001450,2026-06-26 10:14:21,2026-06-26 10:15:07,12,34850,34900,418200,418800,time_stop_loss,0.1435
2026-06-26,085620,2026-06-26 10:14:21,2026-06-26 10:15:08,20,21300,21300,426000,426000,time_stop_loss,0.0
2026-06-26,007070,2026-06-26 10:15:42,2026-06-26 10:16:28,19,22100,22100,419900,419900,time_stop_loss,0.0
2026-06-26,005389,2026-06-26 10:16:29,2026-06-26 10:17:06,2,206000,206000,412000,412000,time_stop_loss,0.0
2026-06-26,007070,2026-06-26 10:17:06,2026-06-26 10:18:09,19,22100,22100,419900,419900,time_stop_loss,0.0
2026-06-26,185750,2026-06-26 10:18:13,2026-06-26 10:18:43,6,65300,65200,391800,391200,time_stop_loss,-0.1531
2026-06-26,005389,2026-06-26 10:18:46,2026-06-26 10:19:40,2,205500,205500,411000,411000,time_stop_loss,0.0
2026-06-26,051900,2026-06-26 10:19:45,2026-06-26 10:20:32,1,217500,217500,217500,217500,time_stop_loss,0.0
2026-06-26,011170,2026-06-26 10:20:32,2026-06-26 10:21:18,6,64200,64200,385200,385200,time_stop_loss,0.0
2026-06-26,175330,2026-06-26 10:21:18,2026-06-26 10:22:03,18,23200,23150,417600,416700,time_stop_loss,-0.2155
2026-06-26,051900,2026-06-26 10:21:18,2026-06-26 10:22:05,1,217500,217500,217500,217500,time_stop_loss,0.0
2026-06-26,007070,2026-06-26 10:22:05,2026-06-26 10:22:49,19,22100,22100,419900,419900,time_stop_loss,0.0
2026-06-26,443060,2026-06-26 10:22:05,2026-06-26 10:22:52,1,223000,223000,223000,223000,time_stop_loss,0.0
2026-06-26,175330,2026-06-26 10:22:52,2026-06-26 10:23:24,18,23150,23150,416700,416700,time_stop_loss,0.0
2026-06-26,051900,2026-06-26 10:22:52,2026-06-26 10:23:38,1,217500,217500,217500,217500,time_stop_loss,0.0
2026-06-26,009970,2026-06-26 10:23:38,2026-06-26 10:24:25,2,165700,165200,331400,330400,time_stop_loss,-0.3018
2026-06-26,499790,2026-06-26 10:24:25,2026-06-26 10:25:09,12,34700,34650,416400,415800,time_stop_loss,-0.1441
2026-06-26,007070,2026-06-26 10:25:09,2026-06-26 10:25:56,19,22050,22000,418950,418000,time_stop_loss,-0.2268
2026-06-26,005389,2026-06-26 10:25:56,2026-06-26 10:26:42,2,206500,206500,413000,413000,time_stop_loss,0.0
2026-06-26,499790,2026-06-26 10:25:56,2026-06-26 10:26:47,12,34650,34650,415800,415800,time_stop_loss,0.0
2026-06-26,02826K,2026-06-26 10:26:47,2026-06-26 10:27:22,1,283500,285000,283500,285000,time_stop_loss,0.5291
2026-06-26,011170,2026-06-26 10:27:24,2026-06-26 10:28:16,6,63900,64000,383400,384000,time_stop_loss,0.1565
2026-06-26,051900,2026-06-26 10:28:17,2026-06-26 10:29:00,2,217000,216500,434000,433000,time_stop_loss,-0.2304
2026-06-26,007070,2026-06-26 10:29:00,2026-06-26 10:29:46,19,22050,22100,418950,419900,time_stop_loss,0.2268
2026-06-26,005850,2026-06-26 10:29:47,2026-06-26 10:30:35,7,55000,54900,385000,384300,time_stop_loss,-0.1818
2026-06-26,011170,2026-06-26 10:30:36,2026-06-26 10:31:18,6,63900,63900,383400,383400,time_stop_loss,0.0
2026-06-26,185750,2026-06-26 10:31:22,2026-06-26 10:32:10,6,65000,65000,390000,390000,time_stop_loss,0.0
2026-06-26,383220,2026-06-26 10:31:22,2026-06-26 10:32:10,5,73500,73400,367500,367000,time_stop_loss,-0.1361
2026-06-26,000120,2026-06-26 10:32:10,2026-06-26 10:32:54,6,71900,71900,431400,431400,time_stop_loss,0.0
2026-06-26,443060,2026-06-26 10:32:10,2026-06-26 10:32:56,1,222500,222000,222500,222000,time_stop_loss,-0.2247
2026-06-26,383220,2026-06-26 10:32:58,2026-06-26 10:33:36,5,73400,73600,367000,368000,time_stop_loss,0.2725
2026-06-26,018880,2026-06-26 10:32:58,2026-06-26 10:33:43,118,3655,3650,431290,430700,time_stop_loss,-0.1368
2026-06-26,004990,2026-06-26 10:33:44,2026-06-26 10:34:31,18,23150,23150,416700,416700,time_stop_loss,0.0
2026-06-26,02826K,2026-06-26 10:34:31,2026-06-26 10:35:19,1,281500,282500,281500,282500,time_stop_loss,0.3552
2026-06-26,029780,2026-06-26 10:34:31,2026-06-26 10:35:20,9,46100,46300,414900,416700,time_stop_loss,0.4338
2026-06-26,111770,2026-06-26 10:35:20,2026-06-26 10:36:06,6,71200,71700,427200,430200,time_stop_loss,0.7022
2026-06-26,499790,2026-06-26 10:36:10,2026-06-26 10:36:55,12,34550,34550,414600,414600,time_stop_loss,0.0
2026-06-26,000210,2026-06-26 10:37:26,2026-06-26 10:38:14,10,42050,42050,420500,420500,time_stop_loss,0.0
