session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-26,081660,2026-06-26 09:30:42,2026-06-26 09:33:33,11,38300,38750,421300,426250,time_stop_loss,1.1749
2026-06-26,005389,2026-06-26 09:33:34,2026-06-26 09:34:33,2,203500,203000,407000,406000,time_stop_loss,-0.2457
2026-06-26,005389,2026-06-26 09:35:07,2026-06-26 09:35:51,2,203000,203000,406000,406000,time_stop_loss,0.0
2026-06-26,011170,2026-06-26 09:35:55,2026-06-26 09:36:35,6,64500,64600,387000,387600,time_stop_loss,0.155
2026-06-26,192080,2026-06-26 09:36:38,2026-06-26 09:37:19,7,59400,59500,415800,416500,time_stop_loss,0.1684
2026-06-26,005389,2026-06-26 09:37:53,2026-06-26 09:38:37,2,204500,204000,409000,408000,time_stop_loss,-0.2445
2026-06-26,011170,2026-06-26 09:38:39,2026-06-26 09:39:19,6,64500,64400,387000,386400,time_stop_loss,-0.155
2026-06-26,039490,2026-06-26 09:38:39,2026-06-26 09:39:20,1,316500,316000,316500,316000,time_stop_loss,-0.158
2026-06-26,192080,2026-06-26 09:39:22,2026-06-26 09:40:03,7,59400,59400,415800,415800,time_stop_loss,0.0
2026-06-26,326030,2026-06-26 09:39:22,2026-06-26 09:40:03,5,83200,83400,416000,417000,time_stop_loss,0.2404
2026-06-26,383220,2026-06-26 09:40:03,2026-06-26 09:40:42,5,73500,73400,367500,367000,time_stop_loss,-0.1361
2026-06-26,009970,2026-06-26 09:40:03,2026-06-26 09:40:44,2,165300,165900,330600,331800,time_stop_loss,0.363
2026-06-26,071050,2026-06-26 09:40:03,2026-06-26 09:40:44,2,202500,203500,405000,407000,time_stop_loss,0.4938
2026-06-26,192080,2026-06-26 09:40:44,2026-06-26 09:41:19,7,59400,59300,415800,415100,time_stop_loss,-0.1684
2026-06-26,383220,2026-06-26 09:41:19,2026-06-26 09:42:04,5,73300,73800,366500,369000,time_stop_loss,0.6821
2026-06-26,192080,2026-06-26 09:42:05,2026-06-26 09:42:45,7,59300,59400,415100,415800,time_stop_loss,0.1686
2026-06-26,081660,2026-06-26 09:43:20,2026-06-26 09:44:00,11,38700,38750,425700,426250,time_stop_loss,0.1292
2026-06-26,009970,2026-06-26 09:43:20,2026-06-26 09:44:07,2,165400,165900,330800,331800,time_stop_loss,0.3023
2026-06-26,001340,2026-06-26 09:44:07,2026-06-26 09:44:47,71,6120,6120,434520,434520,time_stop_loss,0.0
2026-06-26,009970,2026-06-26 09:44:48,2026-06-26 09:45:28,2,165500,165900,331000,331800,time_stop_loss,0.2417
2026-06-26,005389,2026-06-26 09:46:04,2026-06-26 09:46:45,2,205000,205000,410000,410000,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 09:46:04,2026-06-26 09:46:45,11,38700,38650,425700,425150,time_stop_loss,-0.1292
2026-06-26,009970,2026-06-26 09:46:49,2026-06-26 09:47:30,2,165900,165900,331800,331800,time_stop_loss,0.0
2026-06-26,001340,2026-06-26 09:47:30,2026-06-26 09:48:12,70,6140,6150,429800,430500,time_stop_loss,0.1629
2026-06-26,000210,2026-06-26 09:48:43,2026-06-26 09:49:11,10,42500,42500,425000,425000,time_stop_loss,0.0
2026-06-26,007070,2026-06-26 09:48:43,2026-06-26 09:49:24,19,22000,22050,418000,418950,time_stop_loss,0.2273
2026-06-26,001340,2026-06-26 09:49:28,2026-06-26 09:50:12,70,6150,6140,430500,429800,time_stop_loss,-0.1626
2026-06-26,009970,2026-06-26 09:50:15,2026-06-26 09:50:48,2,165100,165100,330200,330200,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 09:50:50,2026-06-26 09:51:26,11,38650,38850,425150,427350,time_stop_loss,0.5175
2026-06-26,007070,2026-06-26 09:51:30,2026-06-26 09:52:09,19,22050,22100,418950,419900,time_stop_loss,0.2268
2026-06-26,081660,2026-06-26 09:52:11,2026-06-26 09:52:52,11,38800,38800,426800,426800,time_stop_loss,0.0
2026-06-26,007070,2026-06-26 09:52:52,2026-06-26 09:53:27,19,22100,22100,419900,419900,time_stop_loss,0.0
2026-06-26,000210,2026-06-26 09:52:52,2026-06-26 09:53:30,10,42650,42650,426500,426500,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 09:53:30,2026-06-26 09:54:10,11,38850,38900,427350,427900,time_stop_loss,0.1287
2026-06-26,011170,2026-06-26 09:54:10,2026-06-26 09:54:48,6,64000,64000,384000,384000,time_stop_loss,0.0
2026-06-26,062040,2026-06-26 09:55:22,2026-06-26 09:56:32,1,217500,217000,217500,217000,time_stop_loss,-0.2299
2026-06-26,0126Z0,2026-06-26 09:56:32,2026-06-26 09:57:16,1,434500,433500,434500,433500,time_stop_loss,-0.2301
2026-06-26,007070,2026-06-26 09:57:40,2026-06-26 09:58:34,19,22100,22100,419900,419900,time_stop_loss,0.0
2026-06-26,192080,2026-06-26 09:58:37,2026-06-26 09:59:11,7,59400,59500,415800,416500,time_stop_loss,0.1684
2026-06-26,185750,2026-06-26 09:59:19,2026-06-26 10:00:04,6,65200,65100,391200,390600,time_stop_loss,-0.1534
2026-06-26,007070,2026-06-26 10:00:07,2026-06-26 10:00:48,19,22050,22050,418950,418950,time_stop_loss,0.0
2026-06-26,081660,2026-06-26 10:00:51,2026-06-26 10:01:36,11,39250,39250,431750,431750,time_stop_loss,0.0
