trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-26,2026-06-26T09:30:42,BUY-2026-06-26-081660-20260626T093042,081660,BUY,11,38300,421300,63.195,0.0,63.195,backtest_replay,,,,,,,11,421300,38300.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:33:33,SELL-2026-06-26-081660-20260626T093333,081660,SELL,11,38750,426250,63.9375,767.25,831.1875,backtest_replay,,,,,,,11,421300,38300.0,11,426250,4950.0,4055.6175,1.1749,0.9626,CLOSED
2026-06-26,2026-06-26T09:33:34,BUY-2026-06-26-005389-20260626T093334,005389,BUY,2,203500,407000,61.05,0.0,61.05,backtest_replay,,,,,,,2,407000,203500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:34:33,SELL-2026-06-26-005389-20260626T093433,005389,SELL,2,203000,406000,60.9,730.8,791.6999999999999,backtest_replay,,,,,,,2,407000,203500.0,2,406000,-1000.0,-1852.75,-0.2457,-0.4552,CLOSED
2026-06-26,2026-06-26T09:35:07,BUY-2026-06-26-005389-20260626T093507,005389,BUY,2,203000,406000,60.9,0.0,60.9,backtest_replay,,,,,,,4,813000,203250.0,2,406000,-500.0,-1413.65,-0.1230,-0.3478,OPEN
2026-06-26,2026-06-26T09:35:51,SELL-2026-06-26-005389-20260626T093551,005389,SELL,2,203000,406000,60.9,730.8,791.6999999999999,backtest_replay,,,,,,,4,813000,203250.0,4,812000,-1000.0,-2705.35,-0.1230,-0.3328,CLOSED
2026-06-26,2026-06-26T09:35:55,BUY-2026-06-26-011170-20260626T093555,011170,BUY,6,64500,387000,58.05,0.0,58.05,backtest_replay,,,,,,,6,387000,64500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:36:35,SELL-2026-06-26-011170-20260626T093635,011170,SELL,6,64600,387600,58.14,697.68,755.8199999999999,backtest_replay,,,,,,,6,387000,64500.0,6,387600,600.0,-213.87,0.1550,-0.0553,CLOSED
2026-06-26,2026-06-26T09:36:38,BUY-2026-06-26-192080-20260626T093638,192080,BUY,7,59400,415800,62.37,0.0,62.37,backtest_replay,,,,,,,7,415800,59400.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:37:19,SELL-2026-06-26-192080-20260626T093719,192080,SELL,7,59500,416500,62.475,749.7,812.1750000000001,backtest_replay,,,,,,,7,415800,59400.0,7,416500,700.0,-174.545,0.1684,-0.0420,CLOSED
