trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-26,2026-06-26T09:30:13,BUY-2026-06-26-373220-20260626T093013,373220,BUY,1,346500,346500,51.975,0.0,51.975,backtest_replay,,,,,,,1,346500,346500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:33:37,SELL-2026-06-26-373220-20260626T093337,373220,SELL,1,345000,345000,51.75,621.0,672.75,backtest_replay,,,,,,,1,346500,346500.0,1,345000,-1500.0,-2224.725,-0.4329,-0.6421,CLOSED
2026-06-26,2026-06-26T09:33:38,BUY-2026-06-26-018880-20260626T093338,018880,BUY,118,3665,432470,64.8705,0.0,64.8705,backtest_replay,,,,,,,118,432470,3665.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:34:15,SELL-2026-06-26-018880-20260626T093415,018880,SELL,118,3665,432470,64.8705,778.446,843.3165,backtest_replay,,,,,,,118,432470,3665.0,118,432470,0.0,-908.187,0.0000,-0.2100,CLOSED
2026-06-26,2026-06-26T09:34:19,BUY-2026-06-26-489790-20260626T093419,489790,BUY,8,53500,428000,64.2,0.0,64.2,backtest_replay,,,,,,,8,428000,53500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:35:12,SELL-2026-06-26-489790-20260626T093512,489790,SELL,8,53500,428000,64.2,770.4,834.6,backtest_replay,,,,,,,8,428000,53500.0,8,428000,0.0,-898.8,0.0000,-0.2100,CLOSED
2026-06-26,2026-06-26T09:35:13,BUY-2026-06-26-005850-20260626T093513,005850,BUY,7,55000,385000,57.75,0.0,57.75,backtest_replay,,,,,,,7,385000,55000.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:35:55,BUY-2026-06-26-011170-20260626T093555,011170,BUY,6,64500,387000,58.05,0.0,58.05,backtest_replay,,,,,,,6,387000,64500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:35:55,SELL-2026-06-26-005850-20260626T093555,005850,SELL,7,54600,382200,57.33,687.96,745.2900000000001,backtest_replay,,,,,,,7,385000,55000.0,7,382200,-2800.0,-3603.04,-0.7273,-0.9359,CLOSED
2026-06-26,2026-06-26T09:36:35,BUY-2026-06-26-006260-20260626T093635,006260,BUY,1,340000,340000,51.0,0.0,51.0,backtest_replay,,,,,,,1,340000,340000.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:36:35,BUY-2026-06-26-181710-20260626T093635,181710,BUY,12,33550,402600,60.39,0.0,60.39,backtest_replay,,,,,,,12,402600,33550.0,0,0,,,,,OPEN
