trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-26,2026-06-26T09:30:42,BUY-2026-06-26-081660-20260626T093042,081660,BUY,11,38300,421300,63.195,0.0,63.195,backtest_replay,,,,,,,11,421300,38300.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:54:10,SELL-2026-06-26-081660-20260626T095410,081660,SELL,11,38900,427900,64.185,770.22,834.405,backtest_replay,,,,,,,11,421300,38300.0,11,427900,6600.0,5702.4,1.5666,1.3535,CLOSED
2026-06-26,2026-06-26T09:54:46,BUY-2026-06-26-081660-20260626T095446,081660,BUY,11,38900,427900,64.185,0.0,64.185,backtest_replay,,,,,,,22,849200,38600.0,11,427900,3300.0,2338.215,0.7772,0.5507,OPEN
2026-06-26,2026-06-26T10:00:51,SELL-2026-06-26-081660-20260626T100051,081660,SELL,11,39250,431750,64.7625,777.15,841.9125,backtest_replay,,,,,,,22,849200,38600.0,22,859650,10450.0,8646.3025,1.2306,1.0182,CLOSED
2026-06-26,2026-06-26T10:00:53,BUY-2026-06-26-039490-20260626T100053,039490,BUY,1,315500,315500,47.325,0.0,47.325,backtest_replay,,,,,,,1,315500,315500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:15:45,SELL-2026-06-26-039490-20260626T101545,039490,SELL,1,318000,318000,47.7,572.4,620.1,backtest_replay,,,,,,,1,315500,315500.0,1,318000,2500.0,1832.575,0.7924,0.5808,CLOSED
2026-06-26,2026-06-26T10:15:46,BUY-2026-06-26-009970-20260626T101546,009970,BUY,2,165700,331400,49.71,0.0,49.71,backtest_replay,,,,,,,2,331400,165700.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T11:16:15,SELL-2026-06-26-009970-20260626T111615,009970,SELL,2,167600,335200,50.28,603.36,653.64,backtest_replay,,,,,,,2,331400,165700.0,2,335200,3800.0,3096.65,1.1467,0.9344,CLOSED
2026-06-26,2026-06-26T11:20:12,BUY-2026-06-26-029780-20260626T112012,029780,BUY,9,46050,414450,62.1675,0.0,62.1675,backtest_replay,,,,,,,9,414450,46050.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T15:00:04,SELL-2026-06-26-029780-20260626T150004,029780,SELL,9,45500,409500,61.425,737.1,798.525,backtest_replay,,,,,,,9,414450,46050.0,9,409500,-4950.0,-5810.6925,-1.1944,-1.4020,CLOSED
