trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-26,2026-06-26T09:30:13,BUY-2026-06-26-373220-20260626T093013,373220,BUY,1,346500,346500,51.975,0.0,51.975,backtest_replay,,,,,,,1,346500,346500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:37:19,SELL-2026-06-26-373220-20260626T093719,373220,SELL,1,348000,348000,52.2,626.4,678.6,backtest_replay,,,,,,,1,346500,346500.0,1,348000,1500.0,769.425,0.4329,0.2221,CLOSED
2026-06-26,2026-06-26T09:37:20,BUY-2026-06-26-001340-20260626T093720,001340,BUY,70,6130,429100,64.365,0.0,64.365,backtest_replay,,,,,,,70,429100,6130.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:37:20,BUY-2026-06-26-326030-20260626T093720,326030,BUY,5,83700,418500,62.775,0.0,62.775,backtest_replay,,,,,,,5,418500,83700.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:53:37,SELL-2026-06-26-001340-20260626T095337,001340,SELL,70,6160,431200,64.68,776.16,840.8399999999999,backtest_replay,,,,,,,70,429100,6130.0,70,431200,2100.0,1194.795,0.4894,0.2784,CLOSED
2026-06-26,2026-06-26T10:01:41,SELL-2026-06-26-326030-20260626T100141,326030,SELL,5,84100,420500,63.075,756.9,819.975,backtest_replay,,,,,,,5,418500,83700.0,5,420500,2000.0,1117.25,0.4779,0.2670,CLOSED
2026-06-26,2026-06-26T10:01:43,BUY-2026-06-26-02826K-20260626T100143,02826K,BUY,1,284000,284000,42.6,0.0,42.6,backtest_replay,,,,,,,1,284000,284000.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:19:04,SELL-2026-06-26-02826K-20260626T101904,02826K,SELL,1,286000,286000,42.9,514.8,557.6999999999999,backtest_replay,,,,,,,1,284000,284000.0,1,286000,2000.0,1399.7,0.7042,0.4929,CLOSED
2026-06-26,2026-06-26T10:19:05,BUY-2026-06-26-111770-20260626T101905,111770,BUY,6,71300,427800,64.17,0.0,64.17,backtest_replay,,,,,,,6,427800,71300.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:19:05,BUY-2026-06-26-139130-20260626T101905,139130,BUY,27,15690,423630,63.5445,0.0,63.5445,backtest_replay,,,,,,,27,423630,15690.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:36:06,SELL-2026-06-26-111770-20260626T103606,111770,SELL,6,71700,430200,64.53,774.36,838.89,backtest_replay,,,,,,,6,427800,71300.0,6,430200,2400.0,1496.94,0.5610,0.3499,CLOSED
2026-06-26,2026-06-26T10:48:27,BUY-2026-06-26-111770-20260626T104827,111770,BUY,6,71700,430200,64.53,0.0,64.53,backtest_replay,,,,,,,12,858000,71500.0,6,430200,1200.0,232.41,0.2797,0.0542,OPEN
2026-06-26,2026-06-26T10:48:27,SELL-2026-06-26-139130-20260626T104827,139130,SELL,27,15750,425250,63.7875,765.45,829.2375000000001,backtest_replay,,,,,,,27,423630,15690.0,27,425250,1620.0,727.218,0.3824,0.1717,CLOSED
2026-06-26,2026-06-26T11:08:35,SELL-2026-06-26-111770-20260626T110835,111770,SELL,6,71400,428400,64.26,771.12,835.38,backtest_replay,,,,,,,12,858000,71500.0,12,858600,600.0,-1202.97,0.0699,-0.1402,CLOSED
