Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,307000,1,8000,2.68,321500,323000,306000,33916688,10730431777324,1794807532656000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,2243000,1,191000,9.31,2279000,2358000,2200000,7545783,17164205410523,1598591404695000,712702365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1276000,1,95000,8.04,1298000,1337000,1264000,1187519,1538147973500,168378900536000,131958386,STK
005935,KR7005931001,삼성전자우,KOSPI,,192000,1,4800,2.56,196400,199700,192000,6741132,1321979010520,154055270976000,802371203,STK
005380,KR7005380001,현대차,KOSPI,,681000,2,-8000,-1.16,691000,693000,666000,1879670,1282495483500,139440038646000,204757766,STK
009150,KR7009150004,삼성전기,KOSPI,,1630000,1,58000,3.69,1722000,1734000,1580000,1862646,3101894707500,121750724480000,74693696,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,383500,2,-16000,-4.01,400500,404000,383000,463463,181122251750,89739000000000,234000000,STK
329180,KR7329180004,HD현대중공업,KOSPI,,744000,2,-1000,-0.13,749000,765000,720000,551084,407558348500,78091151400000,104961225,STK
032830,KR7032830002,삼성생명,KOSPI,,354500,1,6500,1.87,365000,370500,350500,424017,152643070500,70900000000000,200000000,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,108500,2,-4100,-3.64,114700,114800,108200,3275977,361967287700,69500884341000,640561146,STK
028260,KR7028260008,삼성물산,KOSPI,,410500,2,-500,-0.12,439500,444000,406000,539890,228096316000,66569792000500,162167581,STK
000270,KR7000270009,기아,KOSPI,,164700,2,-2300,-1.38,167300,169000,162500,1295315,213436348700,64301020770600,390412998,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1244000,2,-7000,-0.56,1262000,1304000,1242000,238820,302021280000,64144870844000,51563401,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1384000,2,-41000,-2.88,1415000,1419000,1375000,45686,63475150500,64066676184000,46290951,STK
012330,KR7012330007,현대모비스,KOSPI,,688000,1,24000,3.61,661000,712000,648000,1501583,1030583197000,62424017104000,90732583,STK
105560,KR7105560007,KB금융,KOSPI,,153800,2,-3500,-2.23,157800,158400,153300,1180209,183297019000,57344399979000,372850455,STK
006400,KR7006400006,삼성SDI,KOSPI,,630000,2,-12000,-1.87,636000,674000,629000,799920,519453934500,50768883900000,80585530,STK
034730,KR7034730002,SK,KOSPI,,680000,1,24000,3.66,700000,719000,676000,333564,232043949500,49301838040000,72502703,STK
055550,KR7055550008,신한지주,KOSPI,,95000,2,-1000,-1.04,96500,97300,94500,972307,92868836100,45092164295000,474654361,STK
068270,KR7068270008,셀트리온,KOSPI,,194500,2,-500,-0.26,193700,197800,191800,638721,124238673100,43202795324500,222122341,STK
042660,KR7042660001,한화오션,KOSPI,,134900,1,200,0.15,134000,137800,131500,2924745,393608401550,41335166850600,306413394,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,1094000,2,-54000,-4.7,1166000,1166000,1091000,205620,230035922000,39435565690000,36047135,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,261500,2,-23500,-8.25,282500,282500,260500,1138260,304600490250,39225000000000,150000000,STK
066570,KR7066570003,LG전자,KOSPI,,235000,2,-4500,-1.88,244000,245500,230000,2775873,653374060750,38277889930000,162884638,STK
006800,KR7006800007,미래에셋증권,KOSPI,,64500,2,-2400,-3.59,69000,69100,64300,2633005,172666789850,36092063760000,559566880,STK
298040,KR7298040007,효성중공업,KOSPI,,3681000,2,-153000,-3.99,3893000,3908000,3681000,63476,237622269500,34323661188000,9324548,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,423500,2,-18500,-4.19,440000,442000,422500,512005,219748960000,33558786684500,79241527,STK
086790,KR7086790003,하나금융지주,KOSPI,,118400,2,-1600,-1.33,119500,121500,117100,705594,83808931950,32485141363200,274367748,STK
035420,KR7035420009,NAVER,KOSPI,,198800,2,-1200,-0.6,199800,202000,197300,912403,181441261250,31186506668800,156873776,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,440500,2,-4500,-1.01,445500,460000,436500,235357,104476321500,31175557598000,70773116,STK
042700,KR7042700005,한미반도체,KOSPI,,319000,2,-10000,-3.04,350500,354000,312000,1860431,608078936250,30404591800000,95312200,STK
010130,KR7010130003,고려아연,KOSPI,,1396000,2,-48000,-3.32,1445000,1445000,1387000,18941,26670686000,29138664724000,20872969,STK
000150,KR7000150003,두산,KOSPI,,1715000,2,-66000,-3.71,1804000,1825000,1710000,92988,161857574000,27772427025000,16193835,STK
010140,KR7010140002,삼성중공업,KOSPI,,29450,2,-1000,-3.28,30050,30250,29350,5494897,162784768500,25916000000000,880000000,STK
000810,KR7000810002,삼성화재,KOSPI,,577000,2,-4000,-0.69,590000,597000,572000,144541,84310415500,25761591921000,44647473,STK
015760,KR7015760002,한국전력,KOSPI,,39500,2,-950,-2.35,40600,40600,38800,2237669,88208455100,25357581041500,641964077,STK
011070,KR7011070000,LG이노텍,KOSPI,,1044000,2,-24000,-2.25,1266000,1295000,1034000,997730,1112667924500,24708459708000,23667107,STK
051910,KR7051910008,LG화학,KOSPI,,331000,2,-20000,-5.7,348500,351500,330500,447062,151120785500,23366065533000,70592343,STK
