session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:51:07,52800,50600,stop_loss,-4.1667
2026-06-10,008770,2026-06-10 09:51:08,2026-06-10 09:52:59,53700,53900,take_profit,0.3724
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,30650,31100,take_profit,1.4682
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:04:23,2026-06-10 10:23:44,5750,5790,take_profit,0.6957
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,005090,2026-06-10 10:25:30,2026-06-10 10:35:26,52100,52600,take_profit,0.9597
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:27,5720,5790,take_profit,1.2238
2026-06-10,078930,2026-06-10 10:39:09,2026-06-10 10:41:00,73800,74000,take_profit,0.271
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,5110,5080,force_exit_last_trace,-0.5871
2026-06-10,161390,2026-06-10 10:39:07,2026-06-10 11:51:41,71500,70900,force_exit_last_trace,-0.8392
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 11:51:42,5730,5590,force_exit_last_trace,-2.4433
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:46:17,5440,5220,stop_loss,-4.0441
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:48:29,20750,19770,stop_loss,-4.7229
2026-06-11,279570,2026-06-11 09:48:30,2026-06-11 09:49:06,5710,5730,take_profit,0.3503
2026-06-11,005090,2026-06-11 09:46:18,2026-06-11 09:57:10,49750,50600,take_profit,1.7085
2026-06-11,016380,2026-06-11 09:57:10,2026-06-11 10:03:03,5560,5580,take_profit,0.3597
2026-06-11,005090,2026-06-11 10:03:03,2026-06-11 10:05:58,50600,50800,take_profit,0.3953
2026-06-11,016380,2026-06-11 10:05:59,2026-06-11 10:08:09,5570,5590,take_profit,0.3591
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,50400,50700,take_profit,0.5952
2026-06-11,092200,2026-06-11 10:10:45,2026-06-11 10:13:56,9210,9240,take_profit,0.3257
2026-06-11,000370,2026-06-11 09:49:08,2026-06-11 12:03:46,6160,6190,take_profit,0.487
2026-06-11,005090,2026-06-11 10:13:56,2026-06-11 13:05:16,50700,51300,take_profit,1.1834
2026-06-11,217590,2026-06-11 12:03:46,2026-06-11 13:49:09,23250,22300,stop_loss,-4.086
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:54,23350,23100,force_exit_last_trace,-1.0707
2026-06-12,001800,2026-06-12 09:33:17,2026-06-12 09:52:27,26650,26800,take_profit,0.5629
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,43200,43400,take_profit,0.463
2026-06-12,195870,2026-06-12 09:33:19,2026-06-12 10:21:36,82500,78900,stop_loss,-4.3636
2026-06-12,181710,2026-06-12 10:21:37,2026-06-12 10:34:03,40200,40850,take_profit,1.6169
2026-06-12,285130,2026-06-12 10:34:05,2026-06-12 10:49:09,43550,43850,take_profit,0.6889
2026-06-12,009970,2026-06-12 10:02:18,2026-06-12 11:49:34,190000,190500,take_profit,0.2632
2026-06-12,120110,2026-06-12 11:49:36,2026-06-12 13:30:23,76500,76800,take_profit,0.3922
2026-06-12,001800,2026-06-12 10:50:32,2026-06-12 14:02:41,26750,27000,take_profit,0.9346
2026-06-12,192080,2026-06-12 09:52:28,2026-06-12 06:00:51,72500,71400,force_exit_last_trace,-1.5172
2026-06-15,103590,2026-06-15 09:34:24,2026-06-15 09:37:56,87900,88500,take_profit,0.6826
2026-06-15,001120,2026-06-15 09:34:38,2026-06-15 09:48:42,40000,40200,take_profit,0.5
2026-06-15,005090,2026-06-15 09:34:44,2026-06-15 10:51:48,55800,53400,stop_loss,-4.3011
2026-06-15,005090,2026-06-15 10:53:48,2026-06-15 11:39:30,53500,53800,take_profit,0.5607
2026-06-15,120110,2026-06-15 09:42:34,2026-06-15 14:26:44,75100,72600,force_exit_last_trace,-3.3289
2026-06-15,352820,2026-06-15 09:52:51,2026-06-15 14:26:47,222500,217500,force_exit_last_trace,-2.2472
2026-06-15,181710,2026-06-15 11:39:35,2026-06-15 14:26:49,39300,38750,force_exit_last_trace,-1.3995
