session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,064400,2026-06-10 09:34:59,2026-06-10 09:36:58,97300,97600,take_profit,0.3083
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:42:15,52800,51400,stop_loss,-2.6515
2026-06-10,000430,2026-06-10 09:42:16,2026-06-10 09:45:47,5930,5960,take_profit,0.5059
2026-06-10,008770,2026-06-10 09:47:33,2026-06-10 09:52:59,53600,53900,take_profit,0.5597
2026-06-10,161390,2026-06-10 09:38:33,2026-06-10 09:54:54,71700,72000,take_profit,0.4184
2026-06-10,000430,2026-06-10 09:54:55,2026-06-10 09:56:46,5850,5900,take_profit,0.8547
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,40200,40350,take_profit,0.3731
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,30650,31100,take_profit,1.4682
2026-06-10,092200,2026-06-10 09:56:46,2026-06-10 10:00:35,9790,9870,take_profit,0.8172
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,51400,51800,take_profit,0.7782
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:14:10,5860,5710,stop_loss,-2.5597
2026-06-10,005090,2026-06-10 10:16:00,2026-06-10 10:21:40,52100,52400,take_profit,0.5758
2026-06-10,181710,2026-06-10 10:21:42,2026-06-10 10:23:40,40150,40300,take_profit,0.3736
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,078930,2026-06-10 10:04:13,2026-06-10 10:35:17,73400,73700,take_profit,0.4087
2026-06-10,005090,2026-06-10 10:23:42,2026-06-10 10:35:26,52200,52600,take_profit,0.7663
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:27,5720,5790,take_profit,1.2238
2026-06-10,092200,2026-06-10 10:06:16,2026-06-10 10:55:09,9870,9580,stop_loss,-2.9382
2026-06-10,175330,2026-06-10 10:42:53,2026-06-10 10:57:04,25550,25750,take_profit,0.7828
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:18:22,5110,4975,stop_loss,-2.6419
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 11:24:58,5730,5560,stop_loss,-2.9668
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,71300,71600,take_profit,0.4208
2026-06-10,000430,2026-06-10 11:26:50,2026-06-10 11:29:12,5550,5580,take_profit,0.5405
2026-06-10,088350,2026-06-10 10:41:03,2026-06-10 11:51:44,4885,4815,force_exit_last_trace,-1.433
2026-06-10,181710,2026-06-10 10:56:59,2026-06-10 11:51:39,41000,40600,force_exit_last_trace,-0.9756
2026-06-10,009420,2026-06-10 11:18:25,2026-06-10 11:51:41,50100,49750,force_exit_last_trace,-0.6986
