session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:49:18,52800,51000,stop_loss,-3.4091
2026-06-10,000430,2026-06-10 09:49:19,2026-06-10 09:51:12,5890,5920,take_profit,0.5093
2026-06-10,192080,2026-06-10 09:51:12,2026-06-10 09:58:37,72000,72600,take_profit,0.8333
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,078930,2026-06-10 09:58:37,2026-06-10 10:35:17,73200,73700,take_profit,0.6831
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:27,5720,5790,take_profit,1.2238
2026-06-10,092200,2026-06-10 10:41:02,2026-06-10 11:07:44,9810,9490,stop_loss,-3.262
2026-06-10,161390,2026-06-10 11:09:39,2026-06-10 11:18:26,71000,71300,take_profit,0.4225
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 11:26:50,5730,5550,stop_loss,-3.1414
2026-06-10,088350,2026-06-10 11:26:52,2026-06-10 11:34:39,4830,4845,take_profit,0.3106
2026-06-10,192080,2026-06-10 11:18:27,2026-06-10 11:43:08,71300,71700,take_profit,0.561
2026-06-10,281820,2026-06-10 11:43:08,2026-06-10 11:51:43,66100,66500,take_profit,0.6051
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,5110,5080,force_exit_last_trace,-0.5871
2026-06-10,175330,2026-06-10 11:34:39,2026-06-10 11:51:44,25500,25450,force_exit_last_trace,-0.1961
2026-06-10,005940,2026-06-10 11:51:45,2026-06-10 11:51:45,30800,30800,force_exit_last_trace,0.0
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:45:39,20750,20100,stop_loss,-3.1325
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:45:45,5440,5250,stop_loss,-3.4926
2026-06-11,000430,2026-06-11 09:46:17,2026-06-11 09:53:48,5220,5050,stop_loss,-3.2567
2026-06-11,000430,2026-06-11 09:54:22,2026-06-11 09:57:11,5030,5070,take_profit,0.7952
2026-06-11,181710,2026-06-11 09:45:43,2026-06-11 10:05:25,39550,39750,take_profit,0.5057
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,5570,5590,take_profit,0.3591
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,50400,50700,take_profit,0.5952
2026-06-11,092200,2026-06-11 09:57:11,2026-06-11 10:49:14,9300,9360,take_profit,0.6452
2026-06-11,000370,2026-06-11 10:49:15,2026-06-11 10:58:57,6040,6090,take_profit,0.8278
2026-06-11,181710,2026-06-11 10:58:57,2026-06-11 11:01:22,39300,39500,take_profit,0.5089
2026-06-11,181710,2026-06-11 11:01:50,2026-06-11 11:47:55,39450,38250,stop_loss,-3.0418
2026-06-11,499790,2026-06-11 11:47:56,2026-06-11 12:07:56,49950,50300,take_profit,0.7007
2026-06-11,217590,2026-06-11 12:07:57,2026-06-11 12:51:51,23200,23300,take_profit,0.431
2026-06-11,181710,2026-06-11 12:52:24,2026-06-11 12:58:18,38800,39000,take_profit,0.5155
2026-06-11,000430,2026-06-11 12:58:22,2026-06-11 13:01:42,5000,5020,take_profit,0.4
2026-06-11,005090,2026-06-11 10:11:14,2026-06-11 13:05:16,50700,51300,take_profit,1.1834
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:54,23350,23100,force_exit_last_trace,-1.0707
2026-06-12,001800,2026-06-12 09:33:17,2026-06-12 09:52:27,26650,26800,take_profit,0.5629
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,43200,43400,take_profit,0.463
2026-06-12,051600,2026-06-12 10:02:19,2026-06-12 10:03:43,50000,50200,take_profit,0.4
2026-06-12,195870,2026-06-12 09:33:19,2026-06-12 10:18:25,82500,80000,stop_loss,-3.0303
2026-06-12,001800,2026-06-12 10:18:25,2026-06-12 10:39:25,26450,26550,take_profit,0.3781
2026-06-12,285130,2026-06-12 10:39:30,2026-06-12 10:49:09,43600,43850,take_profit,0.5734
2026-06-12,062040,2026-06-12 10:06:57,2026-06-12 11:18:40,226500,229000,take_profit,1.1038
2026-06-12,018670,2026-06-12 11:18:40,2026-06-12 11:28:15,224500,225500,take_profit,0.4454
2026-06-12,195870,2026-06-12 11:28:19,2026-06-12 11:33:14,79000,79600,take_profit,0.7595
2026-06-12,499790,2026-06-12 11:33:16,2026-06-12 11:55:23,49750,49900,take_profit,0.3015
2026-06-12,001800,2026-06-12 10:50:32,2026-06-12 14:02:41,26750,27000,take_profit,0.9346
2026-06-12,192080,2026-06-12 09:52:28,2026-06-12 06:00:51,72500,71400,force_exit_last_trace,-1.5172
2026-06-12,025540,2026-06-12 11:55:24,2026-06-12 06:00:59,75100,73100,force_exit_last_trace,-2.6631
2026-06-15,103590,2026-06-15 09:34:24,2026-06-15 09:37:56,87900,88500,take_profit,0.6826
2026-06-15,001120,2026-06-15 09:34:38,2026-06-15 09:48:42,40000,40200,take_profit,0.5
2026-06-15,005090,2026-06-15 09:34:44,2026-06-15 10:23:37,55800,54100,stop_loss,-3.0466
2026-06-15,005090,2026-06-15 10:27:59,2026-06-15 13:08:14,54000,54300,take_profit,0.5556
2026-06-15,120110,2026-06-15 09:42:34,2026-06-15 14:24:17,75100,72800,stop_loss,-3.0626
2026-06-15,352820,2026-06-15 09:52:51,2026-06-15 14:29:19,222500,217500,force_exit_last_trace,-2.2472
