session_date,ticker,name,prev_close_price,market_cap,trading_value,trend_ok,source
2026-06-26,005930,삼성전자,358500,2095890880968000,12953176257708,1,universe_startup
2026-06-26,000660,SK하이닉스,2917000,2078952798705000,19513026832000,1,universe_startup
2026-06-26,402340,SK스퀘어,1899000,250588975014000,2758074252500,1,universe_startup
2026-06-26,005935,삼성전자우,235000,188557232705000,1872106417000,1,universe_startup
2026-06-26,009150,삼성전기,1997000,149163310912000,1679137081000,1,universe_startup
2026-06-26,005380,현대차,503000,102993156298000,550729190500,1,universe_startup
2026-06-26,032830,삼성생명,447000,89400000000000,262277412000,1,universe_startup
2026-06-26,028260,삼성물산,519000,84164974539000,567244555500,1,universe_startup
2026-06-26,373220,LG에너지솔루션,352000,82368000000000,160623664250,1,universe_startup
2026-06-26,207940,삼성바이오로직스,1386000,64159258086000,106869609000,1,universe_startup
2026-06-26,034730,SK,858000,62207319174000,717799948000,1,universe_startup
2026-06-26,329180,HD현대중공업,582000,61087432950000,133567970000,1,universe_startup
2026-06-26,034020,두산에너빌리티,87800,56241268618800,244806395350,1,universe_startup
2026-06-26,012450,한화에어로스페이스,1069000,55121275669000,290739183570,1,universe_startup
2026-06-26,000270,기아,139500,54462613221000,146316504050,1,universe_startup
2026-06-26,105560,KB금융,151900,53877066794600,165115771150,1,universe_startup
2026-06-26,012330,현대모비스,513000,46545815079000,210012902500,1,universe_startup
2026-06-26,055550,신한지주,94500,44854837114500,96690063950,1,universe_startup
2026-06-26,006400,삼성SDI,481000,38761639930000,211170302250,1,universe_startup
2026-06-26,068270,셀트리온,173100,38364735308400,111309370750,1,universe_startup
2026-06-26,267260,HD현대일렉트릭,950000,34244778250000,142140180000,1,universe_startup
2026-06-26,066570,LG전자,203000,33065581514000,217553632000,1,universe_startup
2026-06-26,010120,LS ELECTRIC,219000,32850000000000,154623609750,1,universe_startup
2026-06-26,042660,한화오션,105600,32357254406400,161932903500,1,universe_startup
2026-06-26,035420,NAVER,199700,31330467299600,208028316300,1,universe_startup
2026-06-26,086790,하나금융지주,114000,31277923272000,80306505700,1,universe_startup
2026-06-26,298040,효성중공업,3280000,30584517440000,215824861000,1,universe_startup
2026-06-26,000810,삼성화재,651000,29065504923000,89165451505,1,universe_startup
2026-06-26,042700,한미반도체,273000,26020230600000,222956428500,1,universe_startup
2026-06-26,009540,HD한국조선해양,366000,25902960456000,57306697000,1,universe_startup
2026-06-26,005490,POSCO홀딩스,323000,25595013221000,116915635750,1,universe_startup
2026-06-26,015760,한국전력,38800,24908206187600,91709353425,1,universe_startup
2026-06-26,000150,두산,1508000,24420303180000,114674246500,1,universe_startup
2026-06-26,006800,미래에셋증권,43450,24313180936000,184469327350,1,universe_startup
2026-06-26,010130,고려아연,1110000,23168995590000,20375252500,1,universe_startup
2026-06-26,011070,LG이노텍,953000,22554752971000,274814366000,1,universe_startup
2026-06-26,316140,우리금융지주,29050,21324917096000,58813106000,1,universe_startup
2026-06-26,010140,삼성중공업,23800,20944000000000,85106407950,1,universe_startup
2026-06-26,051910,LG화학,285500,20154113926500,65966120250,1,universe_startup
2026-06-26,064350,현대로템,183000,19973039619000,96770263300,1,universe_startup
2026-06-26,017670,SK텔레콤,91400,19631810844200,68715933500,1,universe_startup
2026-06-26,033780,KT&G,170500,17699682748000,40342235500,1,universe_startup
2026-06-26,011200,HMM,18660,17600820520200,17163043620,1,universe_startup
2026-06-26,138040,메리츠금융지주,102400,17136360755200,31662434050,1,universe_startup
2026-06-26,079550,LIG디펜스앤에어로스페이스,775000,17050000000000,99463265000,1,universe_startup
2026-06-26,267250,HD현대,202500,15996099712500,38553483250,1,universe_startup
2026-06-26,096770,SK이노베이션,94400,15958583187200,36970519450,1,universe_startup
2026-06-26,024110,기업은행,19950,15908646086550,18364348210,1,universe_startup
2026-06-26,035720,카카오,34250,15164024264500,58741538550,1,universe_startup
2026-06-26,003670,포스코퓨처엠,170200,15138646644000,50350313500,1,universe_startup
2026-06-26,003550,LG,99400,15028485197600,43431253150,1,universe_startup
2026-06-26,307950,현대오토에버,546000,14973494172000,60639623500,1,universe_startup
2026-06-26,272210,한화시스템,79000,14924631731000,42766531200,1,universe_startup
2026-06-26,018260,삼성에스디에스,190600,14748208680000,54794414200,1,universe_startup
2026-06-26,278470,에이피알,381000,14263937055000,72428325000,1,universe_startup
2026-06-26,086280,현대글로비스,188100,14107500000000,31918379000,1,universe_startup
2026-06-26,047810,한국항공우주,142200,13860960215400,62940466450,1,universe_startup
2026-06-26,030200,KT,52000,13105127620000,15511483000,1,universe_startup
2026-06-26,000720,현대건설,112600,12538659139000,83727141900,1,universe_startup
2026-06-26,071050,한국금융지주,214000,11925362288000,52780580250,1,universe_startup
2026-06-26,006260,LS,359500,11216400000000,71084185250,1,universe_startup
2026-06-26,010950,S-Oil,98200,11055630174400,43832147800,1,universe_startup
2026-06-26,0126Z0,삼성에피스홀딩스,440000,10948541560000,47982793250,1,universe_startup
2026-06-26,003490,대한항공,29100,10715221235100,139137529000,1,universe_startup
2026-06-26,005940,NH투자증권,29100,10369621137900,17038433650,1,universe_startup
2026-06-26,443060,HD현대마린솔루션,226500,10154778690000,43600451750,1,universe_startup
2026-06-26,016360,삼성증권,110800,9894440000000,51593518700,1,universe_startup
2026-06-26,323410,카카오뱅크,20450,9757112936650,13694813925,1,universe_startup
2026-06-26,259960,크래프톤,208000,9596669264000,20296415750,1,universe_startup
2026-06-26,005830,DB손해보험,136000,8908047464000,26901107450,1,universe_startup
2026-06-26,039490,키움증권,337500,8852056650000,35366054250,1,universe_startup
2026-06-26,003230,삼양식품,1143000,8610236145000,70703711000,1,universe_startup
2026-06-26,047050,포스코인터내셔널,48400,8514662939200,21803697825,1,universe_startup
2026-06-26,028050,삼성E&A,43200,8467200000000,51965993200,1,universe_startup
2026-06-26,047040,대우건설,19860,8160625690680,139739205730,1,universe_startup
2026-06-26,352820,하이브,187700,8090292137300,52067292500,1,universe_startup
2026-06-26,180640,한진칼,120900,8071559531100,15635283100,1,universe_startup
2026-06-26,007660,이수페타시스,109600,8045650402400,96579930550,1,universe_startup
2026-06-26,005387,현대차2우B,219500,7674582635000,41256081750,1,universe_startup
2026-06-26,064400,LG씨엔에스,78300,7586169728400,48859217550,1,universe_startup
2026-06-26,000880,한화,106800,7530245749200,16367953450,1,universe_startup
2026-06-26,161390,한국타이어앤테크놀로지,59900,7420116633100,25067563724,1,universe_startup
2026-06-26,062040,산일전기,229500,7026337575000,56600606500,1,universe_startup
2026-06-26,004170,신세계,741000,6998879121000,61632042500,1,universe_startup
2026-06-26,326030,SK바이오팜,88600,6938553950000,17158355250,1,universe_startup
2026-06-26,000990,DB하이텍,158000,6873724904000,137827828200,1,universe_startup
2026-06-26,353200,대덕전자,133800,6611984565000,163487184400,1,universe_startup
2026-06-26,001440,대한전선,33250,6516753817000,76061237750,1,universe_startup
2026-06-26,021240,코웨이,87000,6156766062000,15366726400,1,universe_startup
2026-06-26,034220,LG디스플레이,12100,6050000000000,40608683825,1,universe_startup
2026-06-26,454910,두산로보틱스,92300,5982884154000,37586797350,1,universe_startup
2026-06-26,078930,GS,64200,5963890779000,20185804700,1,universe_startup
2026-06-26,032640,LG유플러스,14010,5946232525320,12204177090,1,universe_startup
2026-06-26,241560,두산밥캣,60100,5760949506500,20457811450,1,universe_startup
