session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,-49081,1350,11551,5829690,5793510,-0.8419,-8.1629,"014680,036570,009420,008770,181710,028670,281820,005090,078930,000430,069960,192080,066570,018260,035420,088350,000370,161390,195870,005940,092200,175330,004990,085620"
2026-06-11,552046,-955,2170,17015,8518580,8536810,-0.0112,-0.1730,"120110,005090,323410,499790,181710,000430,016380,000370,092200,217590,001450,161390,066570,035420,003160,010690,475150"
2026-06-12,950861,-35169,1880,15009,7544370,7526090,-0.4662,-3.6986,"285130,000500,062040,443060,001800,192080,298050,051600,078930,014820,181710,017900,120110,028670,009970,085620,018670,195870,499790,020150,003160,014830,025540,030200,081660,100840,009420,103140,000430"
2026-06-15,915582,-36393,490,3753,1912700,1880550,-1.9027,-3.9748,"005090,001120,120110,499790,181710,352820"
2026-06-16,2147755,-29348,2720,20018,10030670,10024060,-0.2926,-1.3665,"020150,003720,081660,484870,079900,051600,302440,000210,005090,004990,022100,090460,016380,001800,033240,383220,035420"
2026-06-17,2123690,-4451,1180,8221,4107850,4112800,-0.1084,-0.2096,"000240,012750,298020,001800,003160"
2026-06-25,1318270,-16477,400,3177,1401900,1591540,-1.1753,-1.2499,"006340,000500,096770,204320,489790,005387"
2026-06-26,1304643,-33565,690,5275,2669750,2642150,-1.2572,-2.5727,"081660,000210,009970,062040,007070,499790"
2026-06-29,1151414,13686,440,3174,1572050,1589350,0.8706,1.1886,"085620,003030,005389,02826K,006110"
2026-06-30,1000000,-6505,180,1375,693300,688350,-0.9383,-0.6505,"009970,006110,180640"
2026-07-01,993495,6290,230,2250,1120480,1129250,0.5614,0.6331,"000400,005090,005935"
2026-07-02,999715,10063,220,1717,847000,859000,1.1881,1.0066,"071970,014680,483650"
2026-07-03,1009778,22230,520,4400,2178300,2205450,1.0205,2.2015,"033240,499790,071970,014680,105630,120110"
2026-07-08,976461,-29228,510,4318,1879300,2162900,-1.5553,-2.9933,"003540,003030,008770,006110,298000,443060,079900,281820,001120"
2026-07-09,955992,-30567,590,4627,2343900,2318550,-1.3041,-3.1974,"005850,014680,009970,499790,020000,071970"
2026-07-10,925385,-3553,140,1013,509700,507300,-0.6971,-0.3839,"003030,029780"
2026-07-13,823978,-27070,310,2360,1206270,1181870,-2.2441,-3.2853,"259960,443060,010820,336260"
2026-07-14,796898,-28848,220,1928,994100,967400,-2.9019,-3.6200,"298000,005090,071970"
