broker_order_id,ticker,side,quantity,price,filled_at,source,raw_json
0167162,014680,BUY,2,261500,2026-06-10T09:32:15.808770,position_recovery,"{""source"": ""position_recovery""}"
0176387,036570,BUY,1,256000,2026-06-10T09:35:43.074813,position_recovery,"{""source"": ""position_recovery""}"
0184125,009420,BUY,5,50500,2026-06-10T09:39:16.563128,position_recovery,"{""source"": ""position_recovery""}"
0190784,008770,BUY,3,53600,2026-06-10T09:42:48.882040,position_recovery,"{""source"": ""position_recovery""}"
0197709,181710,BUY,3,40650,2026-06-10T09:46:19.856850,position_recovery,"{""source"": ""position_recovery""}"
0203738,028670,BUY,14,5060,2026-06-10T09:49:53.816516,position_recovery,"{""source"": ""position_recovery""}"
0210389,281820,BUY,3,66000,2026-06-10T09:53:37.035971,position_recovery,"{""source"": ""position_recovery""}"
0211219,281820,SELL,3,66400,2026-06-10T09:57:05.827032,sell_reconciliation,"{""source"": ""sell_reconciliation"", ""reason"": ""fill_lookup_missing""}"
0191731,008770,SELL,3,53900,2026-06-10T09:57:06.263650,sell_reconciliation,"{""source"": ""sell_reconciliation"", ""reason"": ""fill_lookup_missing""}"
0177552,036570,SELL,1,257500,2026-06-10T09:57:06.662536,sell_reconciliation,"{""source"": ""sell_reconciliation"", ""reason"": ""fill_lookup_missing""}"
0216385,005090,BUY,4,51000,2026-06-10T09:57:20.111109,position_recovery,"{""source"": ""position_recovery""}"
0222572,078930,BUY,2,73200,2026-06-10T10:01:08.760912,position_recovery,"{""source"": ""position_recovery""}"
0228651,000430,BUY,82,5740,2026-06-10T10:04:56.532156,position_recovery,"{""source"": ""position_recovery""}"
