session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,064400,2026-06-10 09:34:59,2026-06-10 09:36:58,97300,97600,take_profit,0.3083
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:51:07,52800,50600,stop_loss,-4.1667
2026-06-10,008770,2026-06-10 09:51:08,2026-06-10 09:52:59,53700,53900,take_profit,0.3724
2026-06-10,161390,2026-06-10 09:38:33,2026-06-10 09:54:54,71700,72000,take_profit,0.4184
2026-06-10,000430,2026-06-10 09:54:55,2026-06-10 09:56:46,5850,5900,take_profit,0.8547
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,40200,40350,take_profit,0.3731
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,30650,31100,take_profit,1.4682
2026-06-10,092200,2026-06-10 09:56:46,2026-06-10 10:00:35,9790,9870,take_profit,0.8172
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,51400,51800,take_profit,0.7782
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,078930,2026-06-10 10:04:13,2026-06-10 10:35:17,73400,73700,take_profit,0.4087
2026-06-10,489790,2026-06-10 10:33:22,2026-06-10 10:37:21,69200,69500,take_profit,0.4335
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:44:55,5860,5640,stop_loss,-3.7543
2026-06-10,192080,2026-06-10 10:46:53,2026-06-10 10:55:05,71000,71300,take_profit,0.4225
2026-06-10,175330,2026-06-10 10:42:53,2026-06-10 10:57:04,25550,25750,take_profit,0.7828
2026-06-10,092200,2026-06-10 10:06:16,2026-06-10 11:05:23,9870,9520,stop_loss,-3.5461
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,71300,71600,take_profit,0.4208
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,5110,5080,force_exit_last_trace,-0.5871
2026-06-10,088350,2026-06-10 10:41:03,2026-06-10 11:51:44,4885,4815,force_exit_last_trace,-1.433
