session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,085620,2026-06-10 09:35:03,2026-06-10 09:36:57,21750,21950,take_profit,0.9195
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:49:18,52800,51000,stop_loss,-3.4091
2026-06-10,000430,2026-06-10 09:49:19,2026-06-10 09:51:12,5890,5920,take_profit,0.5093
2026-06-10,192080,2026-06-10 09:51:12,2026-06-10 09:58:37,72000,72600,take_profit,0.8333
2026-06-10,008770,2026-06-10 09:35:05,2026-06-10 10:00:30,53900,54100,take_profit,0.3711
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,51400,51800,take_profit,0.7782
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,078930,2026-06-10 09:58:37,2026-06-10 10:35:17,73200,73700,take_profit,0.6831
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 10:37:16,41150,41450,take_profit,0.729
2026-06-10,000430,2026-06-10 10:02:27,2026-06-10 10:44:55,5850,5640,stop_loss,-3.5897
2026-06-10,192080,2026-06-10 10:46:53,2026-06-10 10:55:05,71000,71300,take_profit,0.4225
2026-06-10,092200,2026-06-10 10:41:02,2026-06-10 11:07:44,9810,9490,stop_loss,-3.262
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,5110,5080,force_exit_last_trace,-0.5871
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 11:51:41,71600,70900,force_exit_last_trace,-0.9777
2026-06-10,088350,2026-06-10 10:41:03,2026-06-10 11:51:44,4885,4815,force_exit_last_trace,-1.433
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:51:39,40900,40600,force_exit_last_trace,-0.7335
2026-06-10,281820,2026-06-10 11:09:40,2026-06-10 11:51:43,66700,66500,force_exit_last_trace,-0.2999
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,000430,2026-06-11 09:32:19,2026-06-11 09:43:38,5490,5320,stop_loss,-3.0965
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:45:39,20750,20100,stop_loss,-3.1325
2026-06-11,005090,2026-06-11 09:36:01,2026-06-11 09:57:10,49850,50600,take_profit,1.5045
2026-06-11,279570,2026-06-11 09:33:35,2026-06-11 10:00:53,5800,5830,take_profit,0.5172
2026-06-11,181710,2026-06-11 09:45:43,2026-06-11 10:05:25,39550,39750,take_profit,0.5057
2026-06-11,016380,2026-06-11 09:43:40,2026-06-11 10:08:09,5570,5590,take_profit,0.3591
2026-06-11,000370,2026-06-11 10:06:00,2026-06-11 10:11:15,6120,6160,take_profit,0.6536
2026-06-11,016380,2026-06-11 10:13:24,2026-06-11 10:25:28,5600,5630,take_profit,0.5357
2026-06-11,092200,2026-06-11 09:57:11,2026-06-11 10:49:14,9300,9360,take_profit,0.6452
2026-06-11,000430,2026-06-11 10:25:29,2026-06-11 11:04:16,5070,4910,stop_loss,-3.1558
2026-06-11,000430,2026-06-11 11:14:28,2026-06-11 11:16:50,4855,4870,take_profit,0.309
2026-06-11,001450,2026-06-11 11:19:57,2026-06-11 11:20:48,37350,37500,take_profit,0.4016
2026-06-11,181710,2026-06-11 10:49:16,2026-06-11 11:37:19,39500,38300,stop_loss,-3.038
2026-06-11,016380,2026-06-11 11:37:20,2026-06-11 11:55:50,5650,5670,take_profit,0.354
2026-06-11,000370,2026-06-11 10:16:47,2026-06-11 11:56:33,6100,6150,take_profit,0.8197
2026-06-11,120110,2026-06-11 11:56:30,2026-06-11 12:25:38,69500,69800,take_profit,0.4317
2026-06-11,161390,2026-06-11 12:26:11,2026-06-11 12:32:52,71000,71400,take_profit,0.5634
2026-06-11,120110,2026-06-11 12:32:57,2026-06-11 12:40:25,71100,71400,take_profit,0.4219
2026-06-11,003160,2026-06-11 11:23:30,2026-06-11 12:41:05,28350,28500,take_profit,0.5291
2026-06-11,181710,2026-06-11 11:56:34,2026-06-11 12:44:10,38400,38800,take_profit,1.0417
2026-06-11,092200,2026-06-11 12:44:13,2026-06-11 12:45:11,9430,9480,take_profit,0.5302
2026-06-11,217590,2026-06-11 12:58:57,2026-06-11 13:01:41,22750,23000,take_profit,1.0989
2026-06-11,000430,2026-06-11 12:58:22,2026-06-11 13:01:42,5000,5020,take_profit,0.4
2026-06-11,005090,2026-06-11 10:00:53,2026-06-11 13:05:16,50700,51300,take_profit,1.1834
2026-06-11,181710,2026-06-11 12:45:13,2026-06-11 14:16:34,38800,39150,take_profit,0.9021
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:54,23350,23100,force_exit_last_trace,-1.0707
2026-06-12,001800,2026-06-12 09:33:17,2026-06-12 09:52:27,26650,26800,take_profit,0.5629
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,43200,43400,take_profit,0.463
2026-06-12,051600,2026-06-12 10:02:19,2026-06-12 10:03:43,50000,50200,take_profit,0.4
2026-06-12,195870,2026-06-12 09:33:19,2026-06-12 10:18:25,82500,80000,stop_loss,-3.0303
2026-06-12,028670,2026-06-12 10:07:04,2026-06-12 10:21:29,5190,5220,take_profit,0.578
2026-06-12,181710,2026-06-12 10:21:37,2026-06-12 10:34:03,40200,40850,take_profit,1.6169
2026-06-12,017900,2026-06-12 10:34:06,2026-06-12 10:35:42,9280,9310,take_profit,0.3233
2026-06-12,001800,2026-06-12 10:18:25,2026-06-12 10:39:25,26450,26550,take_profit,0.3781
2026-06-12,120110,2026-06-12 10:35:43,2026-06-12 10:49:03,76400,76800,take_profit,0.5236
2026-06-12,285130,2026-06-12 09:33:22,2026-06-12 11:22:39,43800,44250,take_profit,1.0274
2026-06-12,085620,2026-06-12 10:40:57,2026-06-12 11:28:07,28550,28800,take_profit,0.8757
2026-06-12,195870,2026-06-12 11:28:19,2026-06-12 11:33:14,79000,79600,take_profit,0.7595
2026-06-12,003160,2026-06-12 11:22:39,2026-06-12 11:33:17,29750,29900,take_profit,0.5042
2026-06-12,499790,2026-06-12 11:33:16,2026-06-12 11:55:23,49750,49900,take_profit,0.3015
2026-06-12,014820,2026-06-12 11:33:19,2026-06-12 11:55:26,22050,22150,take_profit,0.4535
2026-06-12,001800,2026-06-12 10:49:04,2026-06-12 14:02:41,26750,27000,take_profit,0.9346
2026-06-12,030200,2026-06-12 09:38:36,2026-06-12 14:37:30,57300,55500,stop_loss,-3.1414
2026-06-12,192080,2026-06-12 09:52:28,2026-06-12 06:00:51,72500,71400,force_exit_last_trace,-1.5172
2026-06-12,025540,2026-06-12 11:55:24,2026-06-12 06:00:59,75100,73100,force_exit_last_trace,-2.6631
2026-06-12,014830,2026-06-12 11:55:27,2026-06-12 06:00:52,70900,69800,force_exit_last_trace,-1.5515
2026-06-15,103590,2026-06-15 09:34:24,2026-06-15 09:37:56,87900,88500,take_profit,0.6826
2026-06-15,001120,2026-06-15 09:34:38,2026-06-15 09:48:42,40000,40200,take_profit,0.5
2026-06-15,103590,2026-06-15 10:12:48,2026-06-15 10:14:58,87900,88300,take_profit,0.4551
2026-06-15,005090,2026-06-15 09:34:44,2026-06-15 10:23:37,55800,54100,stop_loss,-3.0466
2026-06-15,001120,2026-06-15 10:47:32,2026-06-15 10:53:48,41250,41450,take_profit,0.4848
2026-06-15,499790,2026-06-15 09:53:20,2026-06-15 11:44:09,48950,47400,stop_loss,-3.1665
2026-06-15,103590,2026-06-15 10:19:20,2026-06-15 11:55:41,87900,88200,take_profit,0.3413
2026-06-15,001120,2026-06-15 12:53:25,2026-06-15 13:00:59,41000,41250,take_profit,0.6098
2026-06-15,005090,2026-06-15 10:27:59,2026-06-15 13:08:14,54000,54300,take_profit,0.5556
2026-06-15,120110,2026-06-15 09:42:34,2026-06-15 14:14:35,75100,73400,force_exit_last_trace,-2.2636
2026-06-15,181710,2026-06-15 10:57:51,2026-06-15 14:14:39,39750,38800,force_exit_last_trace,-2.3899
