broker_order_id,ticker,side,quantity,price,status,raw_json
0197938,020150,BUY,5,55900,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0197938"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0197956,020150,SELL,5,56300,매도주문이 완료되었습니다.,"{""ord_no"": ""0197956"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0198416,003720,BUY,34,8520,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0198416"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0198435,003720,SELL,34,8570,매도주문이 완료되었습니다.,"{""ord_no"": ""0198435"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0198904,081660,BUY,6,43200,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0198904"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0198921,081660,SELL,6,43450,매도주문이 완료되었습니다.,"{""ord_no"": ""0198921"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0211510,020150,SELL,5,55500,매도주문이 완료되었습니다.,"{""ord_no"": ""0211510"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0224225,484870,BUY,2,89800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0224225"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0224235,484870,SELL,2,90700,매도주문이 완료되었습니다.,"{""ord_no"": ""0224235"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0230983,081660,SELL,6,42850,매도주문이 완료되었습니다.,"{""ord_no"": ""0230983"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
,081660,SELL,6,42850,[2000](800033:매도가능수량이 부족합니다. 0주 매도가능),"{""return_msg"": ""[2000](800033:매도가능수량이 부족합니다. 0주 매도가능)"", ""return_code"": 20}"
0237987,003720,SELL,34,8430,매도주문이 완료되었습니다.,"{""ord_no"": ""0237987"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
,003720,SELL,34,8440,[2000](800033:매도가능수량이 부족합니다. 0주 매도가능),"{""return_msg"": ""[2000](800033:매도가능수량이 부족합니다. 0주 매도가능)"", ""return_code"": 20}"
0251655,079900,BUY,12,59100,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0251655"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0251668,079900,SELL,12,59500,매도주문이 완료되었습니다.,"{""ord_no"": ""0251668"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0252036,000500,BUY,2,259000,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0252036"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0253070,051600,BUY,13,53800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0253070"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0253077,051600,SELL,13,54100,매도주문이 완료되었습니다.,"{""ord_no"": ""0253077"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0258435,302440,BUY,5,39600,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0258435"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0258446,302440,SELL,5,39850,매도주문이 완료되었습니다.,"{""ord_no"": ""0258446"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0273083,051600,SELL,13,53200,매도주문이 완료되었습니다.,"{""ord_no"": ""0273083"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
,051600,SELL,13,53200,[2000](800033:매도가능수량이 부족합니다. 0주 매도가능),"{""return_msg"": ""[2000](800033:매도가능수량이 부족합니다. 0주 매도가능)"", ""return_code"": 20}"
0279890,079900,SELL,12,58600,매도주문이 완료되었습니다.,"{""ord_no"": ""0279890"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0283851,484870,BUY,5,88800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0283851"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0283865,484870,SELL,5,89400,매도주문이 완료되었습니다.,"{""ord_no"": ""0283865"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0284194,001250,BUY,156,3095,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0284194"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0292994,000210,BUY,10,54800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0292994"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0293011,000210,SELL,10,55400,매도주문이 완료되었습니다.,"{""ord_no"": ""0293011"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0293282,005090,BUY,10,51400,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0293282"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0293294,005090,SELL,10,51900,매도주문이 완료되었습니다.,"{""ord_no"": ""0293294"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0305506,005090,BUY,10,51600,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0305506"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0305514,005090,SELL,10,52000,매도주문이 완료되었습니다.,"{""ord_no"": ""0305514"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0308888,000210,SELL,10,54100,매도주문이 완료되었습니다.,"{""ord_no"": ""0308888"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0314110,484870,BUY,4,88900,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0314110"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0314120,484870,SELL,4,89600,매도주문이 완료되었습니다.,"{""ord_no"": ""0314120"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0314340,004990,BUY,13,26550,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0314340"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0314507,004990,SELL,13,26700,매도주문이 완료되었습니다.,"{""ord_no"": ""0314507"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0332492,000210,BUY,6,54400,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0332492"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0332503,000210,SELL,6,54800,매도주문이 완료되었습니다.,"{""ord_no"": ""0332503"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0334161,484870,SELL,4,88100,매도주문이 완료되었습니다.,"{""ord_no"": ""0334161"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0338981,484870,BUY,4,88800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0338981"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0338988,484870,SELL,4,89400,매도주문이 완료되었습니다.,"{""ord_no"": ""0338988"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0339128,022100,BUY,12,28050,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0339128"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0339130,022100,SELL,12,28200,매도주문이 완료되었습니다.,"{""ord_no"": ""0339130"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0351894,000210,BUY,6,54700,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0351894"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0351901,000210,SELL,6,55200,매도주문이 완료되었습니다.,"{""ord_no"": ""0351901"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0361599,090460,BUY,12,29100,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0361599"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0361605,090460,SELL,12,29250,매도주문이 완료되었습니다.,"{""ord_no"": ""0361605"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0366290,090460,SELL,12,28850,매도주문이 완료되었습니다.,"{""ord_no"": ""0366290"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0370550,022100,BUY,12,28150,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0370550"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
