month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9762104.25,-237895.74,3,-2.379
2020-02,9762104.25,10182551.56,420447.3,4,4.3069
2020-03,10182551.56,10140659.03,-41892.54000000004,5,-0.4114
2020-04,10140659.03,10140659.03,0.0,4,0.0
2020-05,10140659.03,10651332.6,510673.57,3,5.0359
2020-06,10651332.6,10767944.98,116612.37,5,1.0948
2020-07,10767944.98,12290772.12,1522827.1400000001,4,14.1422
2020-08,12290772.12,12480684.43,189912.31,5,1.5452
2020-09,12480684.43,12791044.21,310359.79000000004,4,2.4867
2020-10,12791044.21,12472796.31,-318247.9,2,-2.4881
2020-11,12472796.31,12942735.23,469938.9199999999,5,3.7677
2020-12,12942735.23,12537437.38,-405297.85,3,-3.1315
2021-01,12537437.38,12132866.27,-404571.11,3,-3.2269
2021-02,12132866.27,12354809.26,221942.99,3,1.8293
2021-03,12354809.26,12008155.31,-346653.96,5,-2.8058
2021-04,12008155.31,11673414.38,-334740.93,4,-2.7876
2021-05,11673414.38,11607111.19,-66303.19,5,-0.568
2021-06,11607111.19,11524773.25,-82337.93,4,-0.7094
2021-07,11524773.25,11475198.36,-49574.89000000001,4,-0.4302
2021-08,11475198.36,11231861.58,-243336.78999999998,5,-2.1205
2021-09,11231861.58,11843249.91,611388.33,4,5.4433
2021-10,11843249.91,12394006.96,550757.04,4,4.6504
2021-11,12394006.96,12405775.96,11768.999999999964,5,0.095
2021-12,12405775.96,12035329.86,-370446.1,4,-2.9861
2022-01,12035329.86,11771842.52,-263487.33999999997,3,-2.1893
2022-02,11771842.52,11908672.34,136829.82,5,1.1623
2022-03,11908672.34,11830727.51,-77944.82000000008,4,-0.6545
2022-04,11830727.51,11856803.25,26075.740000000005,4,0.2204
2022-05,11856803.25,12572495.7,715692.45,5,6.0361
2022-06,12572495.7,12156636.81,-415858.9,4,-3.3077
2022-07,12156636.81,12109310.77,-47326.03999999998,4,-0.3893
2022-08,12109310.77,12363050.1,253739.32999999996,5,2.0954
2022-09,12363050.1,11636492.27,-726557.83,3,-5.8768
2022-10,11636492.27,11768952.27,132459.99999999994,5,1.1383
2022-11,11768952.27,11190715.47,-578236.8,4,-4.9132
2022-12,11190715.47,11319686.0,128970.53999999998,4,1.1525
2023-01,11319686.0,11110765.48,-208920.52000000008,4,-1.8456
2023-02,11110765.48,11373365.69,262600.20999999996,4,2.3635
2023-03,11373365.69,11231233.33,-142132.34999999998,4,-1.2497
2023-04,11231233.33,11162213.59,-69019.73999999999,4,-0.6145
2023-05,11162213.59,11506542.28,344328.69,4,3.0848
2023-06,11506542.28,11376933.19,-129609.11000000002,4,-1.1264
2023-07,11376933.19,11221697.35,-155235.82,5,-1.3645
2023-08,11221697.35,11389479.05,167781.71,4,1.4952
2023-09,11389479.05,11347947.1,-41531.95,4,-0.3647
2023-10,11347947.1,11076242.4,-271704.7,4,-2.3943
2023-11,11076242.4,11019031.84,-57210.56,4,-0.5165
2023-12,11019031.84,11091254.74,72222.90000000002,4,0.6554
2024-01,11091254.74,10803941.25,-287313.49,4,-2.5905
2024-02,10803941.25,10593857.22,-210084.03,3,-1.9445
2024-03,10593857.22,10911187.23,317330.0,3,2.9954
2024-04,10911187.23,10654500.74,-256686.48999999996,5,-2.3525
2024-05,10654500.74,10896030.28,241529.53999999998,4,2.2669
2024-06,10896030.28,11169107.45,273077.16,4,2.5062
2024-07,11169107.45,11094753.34,-74354.11,5,-0.6657
2024-08,11094753.34,10463228.22,-631525.13,4,-5.6921
2024-09,10463228.22,10306540.07,-156688.14999999997,5,-1.4975
2024-10,10306540.07,10377985.33,71445.25,4,0.6932
2024-11,10377985.33,10176424.86,-201560.45999999996,4,-1.9422
2024-12,10176424.86,10295213.65,118788.79000000001,5,1.1673
