week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,46,38119.05,39242.9902,take_profit,0,1753476.3,0.0,0.0,0.0,1805177.55,51701.25,2.9485
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,14,121560.75,119440.25,friday_liquidation,4,1701850.5,0.0,0.0,0.0,1672163.5,-29687.0,-1.7444
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,12,147573.75,143428.25,friday_liquidation,4,1770885.0,0.0,0.0,0.0,1721139.0,-49746.0,-2.8091
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,37,47823.9,45409.9886,stop_loss,2,1769484.3,0.0,0.0,0.0,1680169.58,-89314.72,-5.0475
2020-01-06,2020-01-03,2020-01-06,2020-01-06,003280,흥아해운,fallback,613,2923.461,2775.8993,stop_loss,0,1792081.59,0.0,0.0,0.0,1701626.27,-90455.32,-5.0475
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,284,10365.18,10670.7973,take_profit,1,2943711.12,0.0,0.0,0.0,3030506.44,86795.32,2.9485
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89044.5,91669.9771,take_profit,1,2938468.5,0.0,0.0,0.0,3025109.24,86640.74,2.9485
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,108,27363.675,28170.493,take_profit,1,2955276.9,0.0,0.0,0.0,3042413.24,87136.34,2.9485
2020-01-20,2020-01-17,2020-01-20,2020-01-23,002900,TYM,fallback,1163,3856.9275,3803.0975,extended_liquidation,3,4485606.68,0.0,0.0,0.0,4423002.39,-62604.29,-1.3957
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,136,33266.625,31587.4921,stop_loss,1,4524261.0,0.0,0.0,0.0,4295898.93,-228362.07,-5.0475
2020-02-03,2020-01-31,2020-02-03,2020-02-03,000990,DB하이텍,fallback,32,26763.375,27552.4931,take_profit,0,856428.0,0.0,0.0,0.0,881679.78,25251.78,2.9485
