week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9792498.21,-207501.79,-2.075,5,5,5,-207501.79
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9792498.21,10053070.62,260572.41,2.6609,3,3,3,260572.41
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10053070.62,9762104.25,-290966.36,-2.8943,2,2,2,-290966.36
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9762104.25,10006717.36,244613.1,2.5057,10,10,10,244613.1
2020-02-10,2020-02-14,2020-02-07,2020-02-10,10006717.36,10230774.35,224056.99,2.2391,8,8,8,224056.99
2020-02-17,2020-02-21,2020-02-14,2020-02-17,10230774.35,10135322.62,-95451.73,-0.933,2,2,2,-95451.73
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10135322.62,10182551.56,47228.94,0.466,10,10,10,47228.94
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10182551.56,10476776.72,294225.16,2.8895,10,10,10,294225.16
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10476776.72,9978740.37,-498036.36,-4.7537,10,10,10,-498036.36
2020-03-16,2020-03-20,2020-03-13,2020-03-16,9978740.37,9896899.35,-81841.02,-0.8202,4,4,4,-81841.02
2020-03-23,2020-03-27,2020-03-20,2020-03-23,9896899.35,9896899.35,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,9896899.35,10140659.03,243759.68,2.463,1,1,1,243759.68
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10140659.03,10140659.03,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10140659.03,10140659.03,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10140659.03,10140659.03,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10140659.03,10140659.03,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10140659.03,10140659.03,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10140659.03,10584333.43,443674.4,4.3752,10,10,10,443674.4
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10584333.43,10651332.6,66999.17,0.633,10,10,10,66999.17
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10651332.6,10928302.23,276969.63,2.6003,10,10,10,276969.63
2020-06-08,2020-06-12,2020-06-05,2020-06-08,10928302.23,11219034.23,290732.0,2.6604,1,1,1,290732.0
