month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9613244.95,-386755.06,3,-3.8676
2020-02,9613244.95,10025776.55,412531.61,4,4.2913
2020-03,10025776.55,9961681.18,-64095.369999999995,5,-0.6393
2020-04,9961681.18,9961681.18,0.0,4,0.0
2020-05,9961681.18,10470874.43,509193.25,3,5.1115
2020-06,10470874.43,10500958.87,30084.449999999968,5,0.2873
2020-07,10500958.87,11967860.77,1466901.91,4,13.9692
2020-08,11967860.77,12109027.08,141166.31,5,1.1795
2020-09,12109027.08,12488167.32,379140.23,4,3.1311
2020-10,12488167.32,12173561.02,-314606.3,2,-2.5192
2020-11,12173561.02,12564147.76,390586.7199999999,5,3.2085
2020-12,12564147.76,12092455.12,-471692.64,3,-3.7543
2021-01,12092455.12,11790543.92,-301911.2,3,-2.4967
2021-02,11790543.92,12008853.99,218310.06999999995,3,1.8516
2021-03,12008853.99,11689156.59,-319697.41,5,-2.6622
2021-04,11689156.59,11463980.01,-225176.57,4,-1.9264
2021-05,11463980.01,11418640.23,-45339.78,5,-0.3955
2021-06,11418640.23,11516451.71,97811.48000000001,4,0.8566
2021-07,11516451.71,11422971.75,-93479.95999999999,4,-0.8117
2021-08,11422971.75,11072844.86,-350126.8899999999,5,-3.0651
2021-09,11072844.86,11655617.84,582772.97,4,5.2631
2021-10,11655617.84,12231721.69,576103.85,4,4.9427
2021-11,12231721.69,12178736.13,-52985.550000000025,5,-0.4332
2021-12,12178736.13,11779693.97,-399042.15,4,-3.2765
2022-01,11779693.97,11312381.41,-467312.56,3,-3.9671
2022-02,11312381.41,11196353.26,-116028.15000000002,5,-1.0257
2022-03,11196353.26,11146809.78,-49543.47999999999,4,-0.4425
2022-04,11146809.78,11153562.23,6752.449999999997,4,0.0606
2022-05,11153562.23,11889974.9,736412.6699999999,5,6.6025
2022-06,11889974.9,11439115.54,-450859.36,4,-3.7919
2022-07,11439115.54,11115612.1,-323503.44,4,-2.828
2022-08,11115612.1,11167388.68,51776.57000000001,5,0.4658
2022-09,11167388.68,10490785.17,-676603.5,3,-6.0587
2022-10,10490785.17,10671148.29,180363.12999999998,5,1.7193
2022-11,10671148.29,10157307.91,-513840.38,4,-4.8152
2022-12,10157307.91,10333186.84,175878.93,4,1.7316
2023-01,10333186.84,10119242.73,-213944.11000000004,4,-2.0705
2023-02,10119242.73,10536743.05,417500.31,4,4.1258
2023-03,10536743.05,10381058.59,-155684.46000000002,4,-1.4775
2023-04,10381058.59,10183461.72,-197596.87000000002,4,-1.9034
2023-05,10183461.72,10620846.7,437384.98000000004,4,4.2951
2023-06,10620846.7,10569721.31,-51125.40000000002,4,-0.4814
2023-07,10569721.31,10424449.1,-145272.21,5,-1.3744
2023-08,10424449.1,10558899.61,134450.52,4,1.2898
2023-09,10558899.61,10389094.55,-169805.07,4,-1.6082
2023-10,10389094.55,10115055.68,-274038.87,4,-2.6378
2023-11,10115055.68,10134322.74,19267.070000000065,4,0.1905
2023-12,10134322.74,10145330.87,11008.12999999999,4,0.1086
2024-01,10145330.87,9853589.5,-291741.38,4,-2.8756
2024-02,9853589.5,9748302.18,-105287.32,3,-1.0685
2024-03,9748302.18,10094909.75,346607.57,3,3.5556
2024-04,10094909.75,10015077.68,-79832.06999999998,5,-0.7908
2024-05,10015077.68,10336021.07,320943.39,4,3.2046
2024-06,10336021.07,10579178.1,243157.03000000003,4,2.3525
2024-07,10579178.1,10603378.32,24200.229999999996,5,0.2288
2024-08,10603378.32,9966460.68,-636917.63,4,-6.0067
2024-09,9966460.68,9831944.57,-134516.09999999998,5,-1.3497
2024-10,9831944.57,9970108.57,138164.0,4,1.4053
2024-11,9970108.57,9739742.38,-230366.18,4,-2.3106
2024-12,9739742.38,10001905.58,262163.2,4,2.6917
