week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-13,2020-01-03,2020-01-06,10000000.0,9823482.71,-176517.29,-1.7652,5,5,5,-176517.29
2020-01-13,2020-01-20,2020-01-10,2020-01-13,9823482.71,10084360.73,260878.02,2.6557,3,3,3,260878.02
2020-01-20,2020-01-28,2020-01-17,2020-01-20,10084360.73,9613244.95,-471115.79,-4.6717,2,2,2,-471115.79
2020-02-03,2020-02-10,2020-01-31,2020-02-03,9613244.95,9854530.77,241285.83,2.5099,10,10,10,241285.83
2020-02-10,2020-02-17,2020-02-07,2020-02-10,9854530.77,10076411.28,221880.51,2.2516,8,8,8,221880.51
2020-02-17,2020-02-24,2020-02-14,2020-02-17,10076411.28,9981020.63,-95390.65,-0.9467,2,2,2,-95390.65
2020-02-24,2020-03-02,2020-02-21,2020-02-24,9981020.63,10025776.55,44755.92,0.4484,10,10,10,44755.92
2020-03-02,2020-03-09,2020-02-28,2020-03-02,10025776.55,10297271.87,271495.31,2.708,10,10,10,271495.31
2020-03-09,2020-03-16,2020-03-06,2020-03-09,10297271.87,9801473.51,-495798.36,-4.8149,10,10,10,-495798.36
2020-03-16,2020-03-23,2020-03-13,2020-03-16,9801473.51,9717921.5,-83552.0,-0.8524,4,4,4,-83552.0
2020-03-23,2020-03-30,2020-03-20,2020-03-23,9717921.5,9717921.5,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-06,2020-03-27,2020-03-30,9717921.5,9961681.18,243759.68,2.5084,1,1,1,243759.68
2020-04-06,2020-04-13,2020-04-03,2020-04-06,9961681.18,9961681.18,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-20,2020-04-10,2020-04-13,9961681.18,9961681.18,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-27,2020-04-17,2020-04-20,9961681.18,9961681.18,0.0,0.0,0,0,0,0.0
2020-04-27,2020-05-04,2020-04-24,2020-04-27,9961681.18,9961681.18,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-18,2020-05-08,2020-05-11,9961681.18,9961681.18,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-25,2020-05-15,2020-05-18,9961681.18,10391031.29,429350.11,4.31,10,10,10,429350.11
2020-05-25,2020-06-01,2020-05-22,2020-05-25,10391031.29,10470874.43,79843.14,0.7684,10,10,10,79843.14
2020-06-01,2020-06-08,2020-05-29,2020-06-01,10470874.43,10742777.16,271902.73,2.5968,10,10,10,271902.73
2020-06-08,2020-06-15,2020-06-05,2020-06-08,10742777.16,11028363.45,285586.3,2.6584,1,1,1,285586.3
2020-06-15,2020-06-22,2020-06-12,2020-06-15,11028363.45,10745501.93,-282861.52,-2.5649,10,9,9,-282861.52
2020-06-22,2020-06-29,2020-06-19,2020-06-22,10745501.93,10431346.01,-314155.92,-2.9236,5,5,5,-314155.92
2020-06-29,2020-07-06,2020-06-26,2020-06-29,10431346.01,10500958.87,69612.86,0.6673,7,7,7,69612.86
2020-07-06,2020-07-13,2020-07-03,2020-07-06,10500958.87,10413688.72,-87270.15,-0.8311,4,4,4,-87270.15
2020-07-13,2020-07-20,2020-07-10,2020-07-13,10413688.72,10662318.55,248629.83,2.3875,10,10,10,248629.83
2020-07-20,2020-07-27,2020-07-17,2020-07-20,10662318.55,11764067.62,1101749.07,10.3331,2,2,2,1101749.07
2020-07-27,2020-08-03,2020-07-24,2020-07-27,11764067.62,11967860.77,203793.16,1.7323,7,7,7,203793.16
2020-08-03,2020-08-10,2020-07-31,2020-08-03,11967860.77,11972432.98,4572.21,0.0382,5,5,5,4572.21
2020-08-10,2020-08-18,2020-08-07,2020-08-10,11972432.98,11943748.41,-28684.57,-0.2396,5,5,5,-28684.57
2020-08-18,2020-08-24,2020-08-14,2020-08-18,11943748.41,11494151.36,-449597.06,-3.7643,10,10,10,-449597.06
2020-08-24,2020-08-31,2020-08-21,2020-08-24,11494151.36,11794459.53,300308.18,2.6127,6,6,6,300308.18
2020-08-31,2020-09-07,2020-08-28,2020-08-31,11794459.53,12109027.08,314567.55,2.6671,1,1,1,314567.55
2020-09-07,2020-09-14,2020-09-04,2020-09-07,12109027.08,12278001.02,168973.93,1.3954,10,9,9,168973.93
