month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9662285.04,-337714.95999999996,3,-3.3771
2020-02,9662285.04,10084482.09,422197.05000000005,4,4.3695
2020-03,10084482.09,10020386.72,-64095.369999999995,5,-0.6356
2020-04,10020386.72,10020386.72,0.0,4,0.0
2020-05,10020386.72,10555965.84,535579.12,3,5.3449
2020-06,10555965.84,10555990.69,24.8500000000422,5,0.0002
2020-07,10555990.69,12098133.36,1542142.6800000002,4,14.6092
2020-08,12098133.36,12282930.69,184797.32,5,1.5275
2020-09,12282930.69,12694013.24,411082.56000000006,4,3.3468
2020-10,12694013.24,12378422.02,-315591.22,2,-2.4861
2020-11,12378422.02,12743774.13,365352.11,5,2.9515
2020-12,12743774.13,12247124.39,-496649.73,3,-3.8972
2021-01,12247124.39,11946648.29,-300476.1,3,-2.4534
2021-02,11946648.29,12164319.09,217670.8,3,1.822
2021-03,12164319.09,11862610.55,-301708.55,5,-2.4803
2021-04,11862610.55,11716102.07,-146508.47000000003,4,-1.235
2021-05,11716102.07,11615816.61,-100285.45000000001,5,-0.856
2021-06,11615816.61,11698446.5,82629.88,4,0.7114
2021-07,11698446.5,11550382.56,-148063.94,4,-1.2657
2021-08,11550382.56,11160389.56,-389993.0,5,-3.3765
2021-09,11160389.56,11646405.38,486015.82,4,4.3548
2021-10,11646405.38,12199776.61,553371.23,4,4.7514
2021-11,12199776.61,12165610.46,-34166.130000000056,5,-0.2801
2021-12,12165610.46,11685493.98,-480116.4799999999,4,-3.9465
2022-01,11685493.98,11198127.54,-487366.42999999993,3,-4.1707
2022-02,11198127.54,11089320.02,-108807.51999999999,5,-0.9717
2022-03,11089320.02,11029516.11,-59803.919999999955,4,-0.5393
2022-04,11029516.11,11015564.92,-13951.189999999988,4,-0.1265
2022-05,11015564.92,11697205.9,681640.98,5,6.188
2022-06,11697205.9,11243100.77,-454105.13,4,-3.8822
2022-07,11243100.77,11078308.89,-164791.87,4,-1.4657
2022-08,11078308.89,11131693.83,53384.94999999995,5,0.4819
2022-09,11131693.83,10387940.56,-743753.28,3,-6.6814
2022-10,10387940.56,10550459.82,162519.27999999994,5,1.5645
2022-11,10550459.82,10042367.24,-508092.58,4,-4.8158
2022-12,10042367.24,10205786.39,163419.15000000002,4,1.6273
2023-01,10205786.39,9981540.78,-224245.61000000004,4,-2.1972
2023-02,9981540.78,10382769.88,401229.1,4,4.0197
2023-03,10382769.88,10269487.67,-113282.20000000001,4,-1.0911
2023-04,10269487.67,9844260.28,-425227.4,4,-4.1407
2023-05,9844260.28,10322380.67,478120.39,4,4.8568
2023-06,10322380.67,10128287.75,-194092.93,4,-1.8803
2023-07,10128287.75,9946662.32,-181625.43,5,-1.7932
2023-08,9946662.32,9998535.16,51872.840000000026,4,0.5215
2023-09,9998535.16,9839522.22,-159012.93,4,-1.5904
2023-10,9839522.22,9594798.52,-244723.71000000002,4,-2.4872
2023-11,9594798.52,9623179.58,28381.060000000056,4,0.2958
2023-12,9623179.58,9676289.26,53109.68999999998,4,0.5519
2024-01,9676289.26,9401494.26,-274795.0,4,-2.8399
2024-02,9401494.26,9229502.25,-171992.00999999998,3,-1.8294
2024-03,9229502.25,9538479.2,308976.95,3,3.3477
2024-04,9538479.2,9448975.26,-89503.94,5,-0.9383
2024-05,9448975.26,9739402.05,290426.79,4,3.0736
2024-06,9739402.05,9984093.76,244691.71,4,2.5124
2024-07,9984093.76,10033086.96,48993.19,5,0.4907
2024-08,10033086.96,9443596.28,-589490.68,4,-5.8755
2024-09,9443596.28,9330286.8,-113309.48,5,-1.1999
2024-10,9330286.8,9425723.19,95436.39,4,1.0229
2024-11,9425723.19,9218685.36,-207037.82,4,-2.1965
2024-12,9218685.36,9504975.89,286290.52,3,3.1055
