week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-14,2020-01-03,2020-01-06,10000000.0,9873457.71,-126542.29,-1.2654,5,5,5,-126542.29
2020-01-13,2020-01-21,2020-01-10,2020-01-13,9873457.71,10134641.35,261183.64,2.6453,3,3,3,261183.64
2020-01-20,2020-01-29,2020-01-17,2020-01-20,10134641.35,9662285.04,-472356.31,-4.6608,2,2,2,-472356.31
2020-02-03,2020-02-11,2020-01-31,2020-02-03,9662285.04,9904698.64,242413.6,2.5089,10,10,10,242413.6
2020-02-10,2020-02-18,2020-02-07,2020-02-10,9904698.64,10134424.58,229725.94,2.3194,8,8,8,229725.94
2020-02-17,2020-02-25,2020-02-14,2020-02-17,10134424.58,10039033.93,-95390.65,-0.9413,2,2,2,-95390.65
2020-02-24,2020-03-03,2020-02-21,2020-02-24,10039033.93,10084482.09,45448.16,0.4527,10,10,10,45448.16
2020-03-02,2020-03-10,2020-02-28,2020-03-02,10084482.09,10355977.41,271495.31,2.6922,10,10,10,271495.31
2020-03-09,2020-03-17,2020-03-06,2020-03-09,10355977.41,9860179.05,-495798.36,-4.7876,10,10,10,-495798.36
2020-03-16,2020-03-24,2020-03-13,2020-03-16,9860179.05,9776627.04,-83552.0,-0.8474,4,4,4,-83552.0
2020-03-23,2020-03-31,2020-03-20,2020-03-23,9776627.04,9776627.04,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-07,2020-03-27,2020-03-30,9776627.04,10020386.72,243759.68,2.4933,1,1,1,243759.68
2020-04-06,2020-04-14,2020-04-03,2020-04-06,10020386.72,10020386.72,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-21,2020-04-10,2020-04-13,10020386.72,10020386.72,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-28,2020-04-17,2020-04-20,10020386.72,10020386.72,0.0,0.0,0,0,0,0.0
2020-04-27,2020-05-06,2020-04-24,2020-04-27,10020386.72,10020386.72,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-19,2020-05-08,2020-05-11,10020386.72,10020386.72,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-26,2020-05-15,2020-05-18,10020386.72,10459653.89,439267.17,4.3837,10,10,10,439267.17
2020-05-25,2020-06-02,2020-05-22,2020-05-25,10459653.89,10555965.84,96311.95,0.9208,10,10,10,96311.95
2020-06-01,2020-06-09,2020-05-29,2020-06-01,10555965.84,10830664.76,274698.92,2.6023,10,10,10,274698.92
2020-06-08,2020-06-16,2020-06-05,2020-06-08,10830664.76,11118823.91,288159.15,2.6606,1,1,1,288159.15
2020-06-15,2020-06-23,2020-06-12,2020-06-15,11118823.91,10811026.85,-307797.05,-2.7683,10,9,9,-307797.05
2020-06-22,2020-06-30,2020-06-19,2020-06-22,10811026.85,10497932.31,-313094.54,-2.8961,5,5,5,-313094.54
2020-06-29,2020-07-07,2020-06-26,2020-06-29,10497932.31,10555990.69,58058.37,0.553,7,7,7,58058.37
2020-07-06,2020-07-14,2020-07-03,2020-07-06,10555990.69,10468720.54,-87270.15,-0.8267,4,4,4,-87270.15
2020-07-13,2020-07-21,2020-07-10,2020-07-13,10468720.54,10719245.07,250524.54,2.3931,10,10,10,250524.54
2020-07-20,2020-07-28,2020-07-17,2020-07-20,10719245.07,11821767.03,1102521.96,10.2854,2,2,2,1102521.96
2020-07-27,2020-08-04,2020-07-24,2020-07-27,11821767.03,12098133.36,276366.33,2.3378,7,7,7,276366.33
2020-08-03,2020-08-11,2020-07-31,2020-08-03,12098133.36,12144958.83,46825.47,0.387,5,5,5,46825.47
2020-08-10,2020-08-19,2020-08-07,2020-08-10,12144958.83,12115109.63,-29849.2,-0.2458,5,5,5,-29849.2
2020-08-18,2020-08-25,2020-08-14,2020-08-18,12115109.63,11657577.03,-457532.6,-3.7765,10,10,10,-457532.6
2020-08-24,2020-09-01,2020-08-21,2020-08-24,11657577.03,11964160.89,306583.86,2.6299,6,6,6,306583.86
2020-08-31,2020-09-08,2020-08-28,2020-08-31,11964160.89,12282930.69,318769.79,2.6644,1,1,1,318769.79
2020-09-07,2020-09-15,2020-09-04,2020-09-07,12282930.69,12481394.24,198463.56,1.6158,10,9,9,198463.56
2020-09-14,2020-09-22,2020-09-11,2020-09-14,12481394.24,12629530.83,148136.59,1.1869,5,5,5,148136.59
2020-09-21,2020-09-29,2020-09-18,2020-09-21,12629530.83,12368519.9,-261010.93,-2.0667,3,3,3,-261010.93
