code,effective_from,effective_to,source,note
000080,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000100,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000120,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000150,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000210,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000240,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000270,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000660,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000670,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000720,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000810,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
000880,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
001040,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
001430,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
001440,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
001450,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
001570,2020-01-01,2024-12-31,wikipedia_revision_2025-03-21,Kumyang added because 2025-03-21 revision note says 'kumyang delisted & taekwang in'
001680,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
001800,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
002030,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
002380,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
002790,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
002840,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
003030,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
003090,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
003230,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
003490,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
003550,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
003670,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
004000,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
004020,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
004170,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
004370,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
004490,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
004990,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005250,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005300,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005380,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005420,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005490,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005830,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005850,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005930,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
005940,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
006040,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
006260,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
006280,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
006360,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
006400,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
006650,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
006800,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
007070,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
007310,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
007340,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
007660,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
008730,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
008770,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
008930,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
009150,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
009240,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
009420,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
009540,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
009830,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
009970,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
010060,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
010120,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
010130,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
010140,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
010950,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
011070,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
011170,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
011200,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
011210,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
011780,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
011790,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
012330,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
012450,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
012750,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
014680,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
014820,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
015760,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
016360,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
017670,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
017800,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
017960,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
018260,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
018880,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
021240,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
022100,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
023530,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
024110,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
026960,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
028050,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
028260,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
028670,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
029780,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
030000,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
030200,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
032640,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
032830,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
033780,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
034020,2020-01-01,2024-12-31,wikipedia_current_components,Approximate carry-back from public current KOSPI200 components page
