Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
000080,KR7000080002,하이트진로,KOSPI,,15150,1,40,0.26,15110,15390,14900,68683,1036722005,1062524206650,70133611,STK
000100,KR7000100008,유한양행,KOSPI,,71900,2,-1500,-2.04,72500,74300,71800,122402,8921316050,5726662511900,79647601,STK
000120,KR7000120006,CJ대한통운,KOSPI,,75300,2,-1500,-1.95,77400,77400,75300,19580,1486051150,1717769503200,22812344,STK
000150,KR7000150003,두산,KOSPI,,1632000,1,1000,0.06,1687000,1768500,1629000,74734,127024144500,26428338720000,16193835,STK
000210,KR7000210005,DL,KOSPI,,45350,2,-3300,-6.78,46600,46750,44500,54143,2467762550,950349339400,20955884,STK
000240,KR7000240002,한국앤컴퍼니,KOSPI,,23550,2,-750,-3.09,24150,24250,23550,41618,989770075,2235724902000,94935240,STK
000270,KR7000270009,기아,KOSPI,,141600,2,-9800,-6.47,150300,151400,141300,576736,84418925550,55282480516800,390412998,STK
000660,KR7000660001,SK하이닉스,KOSPI,,2756000,2,-163000,-5.58,2898000,2943000,2745000,2969150,8465095044000,1964207717940000,712702365,STK
000670,KR7000670000,영풍,KOSPI,,41400,2,-900,-2.13,42400,42700,41300,20919,873295775,762202276200,18410683,STK
000720,KR7000720003,현대건설,KOSPI,,118900,2,-8900,-6.96,127800,128900,118200,385695,47386456700,13240200458500,111355765,STK
000810,KR7000810002,삼성화재,KOSPI,,661000,2,-24000,-3.5,664000,706000,659000,114235,78248379000,29511979653000,44647473,STK
000880,KR7000880005,한화,KOSPI,,109200,2,-3800,-3.36,113800,116500,108700,94764,10717891250,7699464754800,70507919,STK
001040,KR7001040005,CJ,KOSPI,,163600,2,-5000,-2.97,168700,169500,163300,44527,7416737650,4773356872800,29176998,STK
001430,KR7001430008,세아베스틸지주,KOSPI,,35500,2,-3850,-9.78,37600,38400,35100,189934,6903258925,1273105224500,35862119,STK
001440,KR7001440007,대한전선,KOSPI,,35700,2,-1600,-4.29,36900,38850,35625,2434352,91168927900,6996935677200,195992596,STK
001450,KR7001450006,현대해상,KOSPI,,36900,1,100,0.27,36800,37950,36300,156352,5819796825,3145660425000,85248250,STK
001570,KR7001570001,금양,KOSPI,,9900,0,0,0.0,0,0,0,0,0,633275240400,63967196,STK
001680,KR7001680008,대상,KOSPI,,16820,2,-250,-1.46,17170,17220,16730,45350,765755850,582779780500,34648025,STK
001800,KR7001800002,오리온홀딩스,KOSPI,,24950,2,-50,-0.2,25050,25750,24800,35030,881753175,1563003278900,62645422,STK
