month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2015-01,10000000.0,9660215.62,-339784.37,4,-3.3978
2015-02,9660215.62,9835148.43,174932.81,3,1.8109
2015-03,9835148.43,10175955.39,340806.95999999996,5,3.4652
2015-04,10175955.39,10204594.82,28639.429999999993,4,0.2814
2015-05,10204594.82,10703999.09,499404.27,3,4.8939
2015-06,10703999.09,11112426.64,408427.55,5,3.8157
2015-07,11112426.64,11129123.74,16697.099999999977,4,0.1503
2015-08,11129123.74,10824424.0,-304699.74,4,-2.7379
2015-09,10824424.0,11005535.74,181111.74,4,1.6732
2015-10,11005535.74,10682300.82,-323234.92,3,-2.937
2015-11,10682300.82,10780625.86,98325.03999999998,5,0.9204
2015-12,10780625.86,10966399.35,185773.49000000005,3,1.7232
2016-01,10966399.35,10623177.8,-343221.55,3,-3.1298
2016-02,10623177.8,10452906.47,-170271.33000000002,5,-1.6028
2016-03,10452906.47,10203264.95,-249641.52,4,-2.3882
2016-04,10203264.95,10031858.49,-171406.46,4,-1.6799
2016-05,10031858.49,9979026.9,-52831.59,4,-0.5266
2016-06,9979026.9,10158310.41,179283.51000000004,4,1.7966
2016-07,10158310.41,9992185.0,-166125.41000000003,4,-1.6354
2016-08,9992185.0,9977857.73,-14327.270000000048,5,-0.1434
2016-09,9977857.73,9601310.55,-376547.18,3,-3.7738
2016-10,9601310.55,9129903.88,-471406.67000000004,5,-4.9098
2016-11,9129903.88,9311974.2,182070.32,4,1.9942
2016-12,9311974.2,9460638.95,148664.75,4,1.5965
2017-01,9460638.95,8900681.42,-559957.53,3,-5.9188
2017-02,8900681.42,9650632.98,749951.56,4,8.4258
2017-03,9650632.98,9492717.51,-157915.47,4,-1.6363
2017-04,9492717.51,9126135.37,-366582.14,4,-3.8617
2017-05,9126135.37,9042347.36,-83788.01000000001,4,-0.9181
2017-06,9042347.36,8714207.7,-328139.66,4,-3.6289
2017-07,8714207.7,8884347.45,170139.75,5,1.9524
2017-08,8884347.45,8476864.53,-407482.92000000004,4,-4.5865
2017-09,8476864.53,8441281.55,-35582.98000000001,4,-0.4198
2017-10,8441281.55,8713364.37,272082.81999999995,4,3.2232
2017-11,8713364.37,9207042.57,493678.2,4,5.6658
2017-12,9207042.57,8944161.52,-262881.05,4,-2.8552
2018-01,8944161.52,9303684.83,359523.31,4,4.0196
2018-02,9303684.83,8792209.74,-511475.09,3,-5.4976
2018-03,8792209.74,8616324.25,-175885.49,4,-2.0005
2018-04,8616324.25,8225347.3,-390976.95000000007,5,-4.5376
2018-05,8225347.3,8091078.03,-134269.27,4,-1.6324
2018-06,8091078.03,7502306.45,-588771.58,4,-7.2768
2018-07,7502306.45,6983707.1,-518599.35,5,-6.9125
2018-08,6983707.1,7030101.22,46394.12000000001,4,0.6643
2018-09,7030101.22,6840289.45,-189811.76999999996,4,-2.7
2018-10,6840289.45,6214350.58,-625938.87,5,-9.1508
2018-11,6214350.58,6788135.07,573784.49,4,9.2332
2018-12,6788135.07,6847347.29,59212.21999999997,4,0.8723
2019-01,6847347.29,6816455.62,-30891.669999999984,5,-0.4511
2019-02,6816455.62,7519890.75,703435.13,4,10.3197
2019-03,7519890.75,7433316.16,-86574.59,3,-1.1513
2019-04,7433316.16,7319716.06,-113600.1,5,-1.5283
