week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2015-01-05,2015-01-02,2015-01-05,2015-01-07,003490,대한항공,fallback,37,26347.0,24899.0,stop_loss_gap_open,2,974839.0,146.23,138.19,1381.89,919742.92,-55242.31,-5.666
2015-01-05,2015-01-02,2015-01-05,2015-01-09,007070,GS리테일,fallback,48,20783.0,21168.0,friday_liquidation,4,997584.0,149.64,152.41,1524.1,1014387.49,16653.86,1.6692
2015-01-05,2015-01-02,2015-01-05,2015-01-06,034220,LG디스플레이,fallback,33,29854.0,31346.7,take_profit,1,985182.0,147.78,155.17,1551.66,1032734.27,47404.49,4.811
2015-01-05,2015-01-02,2015-01-05,2015-01-09,009830,한화솔루션,fallback,78,12774.0,13116.0,friday_liquidation,4,996372.0,149.46,153.46,1534.57,1021359.97,24838.52,2.4925
2015-01-05,2015-01-02,2015-01-05,2015-01-09,027410,BGF,fallback,53,18840.0,18970.0,friday_liquidation,4,998520.0,149.78,150.81,1508.12,1003751.07,5081.3,0.5088
2015-01-05,2015-01-02,2015-01-05,2015-01-06,009540,HD한국조선해양,fallback,10,100833.0,95383.0,stop_loss_gap_open,1,1008330.0,151.25,143.07,1430.74,952256.18,-56225.07,-5.5752
2015-01-05,2015-01-02,2015-01-05,2015-01-06,051915,LG화학우,fallback,7,137500.0,130000.0,stop_loss_gap_open,1,962500.0,144.38,136.5,1365.0,908498.5,-54145.88,-5.6247
2015-01-05,2015-01-02,2015-01-05,2015-01-09,161390,한국타이어앤테크놀로지,fallback,20,51100.0,49900.0,friday_liquidation,4,1022000.0,153.3,149.7,1497.0,996353.3,-25800.0,-2.5241
2015-01-05,2015-01-02,2015-01-05,2015-01-09,006280,녹십자,fallback,7,132500.0,128500.0,friday_liquidation,4,927500.0,139.12,134.93,1349.25,898015.82,-29623.3,-3.1934
2015-01-12,2015-01-09,2015-01-12,2015-01-16,181710,NHN,fallback,105,42225.0,41620.0,friday_liquidation,4,4433625.0,665.04,655.51,6555.15,4362889.33,-71400.71,-1.6102
2015-01-12,2015-01-09,2015-01-12,2015-01-15,016580,환인제약,fallback,210,21150.0,20092.5,stop_loss,3,4441500.0,666.23,632.91,6329.14,4212462.95,-229703.28,-5.171
2015-01-19,2015-01-16,2015-01-19,2015-01-22,011170,롯데케미칼,fallback,6,138589.0,145733.0,take_profit_gap_open,3,831534.0,124.73,131.16,1311.6,872955.24,41296.51,4.9656
2015-01-19,2015-01-16,2015-01-19,2015-01-19,003620,KG모빌리티,fallback,20,41742.0,43829.1,take_profit,0,834840.0,125.23,131.49,1314.87,875135.64,40170.41,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-23,005387,현대차2우B,fallback,6,128000.0,128500.0,friday_liquidation,4,768000.0,115.2,115.65,1156.5,769727.85,1612.65,0.2099
2015-01-19,2015-01-16,2015-01-19,2015-01-22,009830,한화솔루션,fallback,69,12660.0,13293.0,take_profit,3,873540.0,131.03,137.58,1375.83,915703.59,42032.56,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-20,001740,SK네트웍스,fallback,105,8420.0,7999.0,stop_loss,1,884100.0,132.62,125.98,1259.84,838509.17,-45723.44,-5.171
2015-01-19,2015-01-16,2015-01-19,2015-01-23,003470,유안타증권,fallback,239,3685.0,3595.0,friday_liquidation,4,880715.0,132.11,128.88,1288.81,857787.31,-23059.8,-2.6179
2015-01-19,2015-01-16,2015-01-19,2015-01-23,005385,현대차우,fallback,7,121500.0,122500.0,friday_liquidation,4,850500.0,127.58,128.62,1286.25,856085.12,5457.55,0.6416
2015-01-19,2015-01-16,2015-01-19,2015-01-22,057050,현대홈쇼핑,fallback,7,127000.0,120650.0,stop_loss,3,889000.0,133.35,126.68,1266.83,843156.49,-45976.86,-5.171
