week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2015-01-05,2015-01-09,2015-01-02,2015-01-05,10000000.0,9872941.61,-127058.39,-1.2706,9,9,9,-127058.39
2015-01-12,2015-01-16,2015-01-09,2015-01-12,9872941.61,9571837.62,-301103.98,-3.0498,2,2,2,-301103.99
2015-01-19,2015-01-23,2015-01-16,2015-01-19,9571837.62,9586082.86,14245.24,0.1488,10,10,10,14245.24
2015-01-26,2015-01-30,2015-01-23,2015-01-26,9586082.86,9660215.62,74132.76,0.7733,3,3,3,74132.76
2015-02-02,2015-02-06,2015-01-30,2015-02-02,9660215.62,9649367.1,-10848.52,-0.1123,3,3,3,-10848.52
2015-02-09,2015-02-13,2015-02-06,2015-02-09,9649367.1,9635757.42,-13609.68,-0.141,10,10,10,-13609.68
2015-02-16,2015-02-17,2015-02-13,2015-02-16,9635757.42,9835148.43,199391.01,2.0693,3,3,3,199391.01
2015-03-02,2015-03-06,2015-02-27,2015-03-02,9835148.43,9839324.81,4176.38,0.0425,2,2,2,4176.38
2015-03-09,2015-03-13,2015-03-06,2015-03-09,9839324.81,9693799.99,-145524.82,-1.479,10,10,10,-145524.82
2015-03-16,2015-03-20,2015-03-13,2015-03-16,9693799.99,9823591.46,129791.47,1.3389,3,3,3,129791.47
2015-03-23,2015-03-27,2015-03-20,2015-03-23,9823591.46,9913027.9,89436.44,0.9104,6,6,6,89436.44
2015-03-30,2015-04-03,2015-03-27,2015-03-30,9913027.9,10175955.39,262927.49,2.6523,7,7,7,262927.49
2015-04-06,2015-04-10,2015-04-03,2015-04-06,10175955.39,10159123.37,-16832.02,-0.1654,2,2,2,-16832.02
2015-04-13,2015-04-17,2015-04-10,2015-04-13,10159123.37,10598343.71,439220.34,4.3234,1,1,1,439220.34
2015-04-20,2015-04-24,2015-04-17,2015-04-20,10598343.71,10105352.64,-492991.07,-4.6516,1,1,1,-492991.07
2015-04-27,2015-04-30,2015-04-24,2015-04-27,10105352.64,10204594.82,99242.18,0.9821,28,10,10,99242.18
2015-05-11,2015-05-15,2015-05-08,2015-05-11,10204594.82,10342736.76,138141.94,1.3537,10,10,10,138141.94
2015-05-18,2015-05-22,2015-05-15,2015-05-18,10342736.76,10438410.51,95673.75,0.925,26,10,10,95673.75
2015-05-26,2015-05-29,2015-05-22,2015-05-26,10438410.51,10703999.09,265588.58,2.5443,3,3,3,265588.58
2015-06-01,2015-06-05,2015-05-29,2015-06-01,10703999.09,10592724.17,-111274.92,-1.0396,14,10,10,-111274.92
2015-06-08,2015-06-12,2015-06-05,2015-06-08,10592724.17,10776760.08,184035.91,1.7374,22,10,10,184035.91
2015-06-15,2015-06-19,2015-06-12,2015-06-15,10776760.08,10808638.72,31878.64,0.2958,19,10,10,31878.64
2015-06-22,2015-06-26,2015-06-19,2015-06-22,10808638.72,11038229.8,229591.08,2.1241,6,6,6,229591.08
2015-06-29,2015-07-03,2015-06-26,2015-06-29,11038229.8,11112426.64,74196.84,0.6722,14,10,10,74196.84
2015-07-06,2015-07-10,2015-07-03,2015-07-06,11112426.64,10799659.21,-312767.43,-2.8146,16,10,10,-312767.43
2015-07-13,2015-07-17,2015-07-10,2015-07-13,10799659.21,11301934.68,502275.47,4.6508,13,10,10,502275.47
2015-07-20,2015-07-24,2015-07-17,2015-07-20,11301934.68,11439632.06,137697.38,1.2184,13,10,10,137697.38
2015-07-27,2015-07-31,2015-07-24,2015-07-27,11439632.06,11129123.74,-310508.32,-2.7143,13,10,10,-310508.32
2015-08-03,2015-08-07,2015-07-31,2015-08-03,11129123.74,10948808.86,-180314.88,-1.6202,7,7,7,-180314.88
2015-08-10,2015-08-13,2015-08-07,2015-08-10,10948808.86,10537792.02,-411016.84,-3.754,16,10,10,-411016.84
2015-08-24,2015-08-28,2015-08-21,2015-08-24,10537792.02,10891021.67,353229.65,3.352,30,10,10,353229.65
2015-08-31,2015-09-04,2015-08-28,2015-08-31,10891021.67,10824424.0,-66597.67,-0.6115,4,4,4,-66597.67
2015-09-07,2015-09-11,2015-09-04,2015-09-07,10824424.0,10773295.42,-51128.58,-0.4723,37,10,10,-51128.58
2015-09-14,2015-09-18,2015-09-11,2015-09-14,10773295.42,10986646.41,213350.99,1.9804,17,10,10,213350.99
2015-09-21,2015-09-25,2015-09-18,2015-09-21,10986646.41,10986646.41,0.0,0.0,0,0,0,0.0
2015-09-30,2015-10-02,2015-09-25,2015-09-30,10986646.41,11005535.74,18889.33,0.1719,9,9,9,18889.33
2015-10-05,2015-10-08,2015-10-02,2015-10-05,11005535.74,11217839.99,212304.25,1.9291,8,8,8,212304.25
2015-10-19,2015-10-23,2015-10-16,2015-10-19,11217839.99,11077452.99,-140387.0,-1.2515,7,7,7,-140387.0
2015-10-26,2015-10-30,2015-10-23,2015-10-26,11077452.99,10682300.82,-395152.17,-3.5672,7,7,7,-395152.17
2015-11-02,2015-11-06,2015-10-30,2015-11-02,10682300.82,10769862.36,87561.54,0.8197,22,10,10,87561.54
2015-11-09,2015-11-13,2015-11-06,2015-11-09,10769862.36,10577210.67,-192651.69,-1.7888,24,10,10,-192651.69
2015-11-16,2015-11-20,2015-11-13,2015-11-16,10577210.67,10641071.43,63860.76,0.6038,15,10,10,63860.76
2015-11-23,2015-11-27,2015-11-20,2015-11-23,10641071.43,10873739.46,232668.03,2.1865,5,5,5,232668.03
2015-11-30,2015-12-04,2015-11-27,2015-11-30,10873739.46,10780625.86,-93113.6,-0.8563,4,4,4,-93113.6
2015-12-07,2015-12-11,2015-12-04,2015-12-07,10780625.86,10351359.25,-429266.61,-3.9818,13,10,10,-429266.61
2015-12-14,2015-12-18,2015-12-11,2015-12-14,10351359.25,10512142.82,160783.57,1.5533,16,10,10,160783.57
2015-12-21,2015-12-24,2015-12-18,2015-12-21,10512142.82,10966399.35,454256.53,4.3213,2,2,2,454256.53
2016-01-11,2016-01-15,2016-01-08,2016-01-11,10966399.35,10966399.35,0.0,0.0,0,0,0,0.0
2016-01-18,2016-01-22,2016-01-15,2016-01-18,10966399.35,10803434.05,-162965.3,-1.486,9,9,9,-162965.3
2016-01-25,2016-01-29,2016-01-22,2016-01-25,10803434.05,10623177.8,-180256.25,-1.6685,1,1,1,-180256.25
2016-02-01,2016-02-05,2016-01-29,2016-02-01,10623177.8,10471988.19,-151189.61,-1.4232,7,7,7,-151189.61
2016-02-11,2016-02-15,2016-02-05,2016-02-11,10471988.19,10229501.01,-242487.18,-2.3156,10,10,10,-242487.18
2016-02-15,2016-02-19,2016-02-12,2016-02-15,10229501.01,10608656.75,379155.74,3.7065,14,10,10,379155.74
2016-02-22,2016-02-26,2016-02-19,2016-02-22,10608656.75,10404729.05,-203927.7,-1.9223,1,1,1,-203927.7
2016-02-29,2016-03-04,2016-02-26,2016-02-29,10404729.05,10452906.47,48177.42,0.463,3,3,3,48177.42
2016-03-07,2016-03-11,2016-03-04,2016-03-07,10452906.47,10320289.39,-132617.08,-1.2687,8,8,8,-132617.08
2016-03-14,2016-03-18,2016-03-11,2016-03-14,10320289.39,10274864.81,-45424.58,-0.4401,5,5,5,-45424.58
2016-03-21,2016-03-25,2016-03-18,2016-03-21,10274864.81,10274864.81,0.0,0.0,0,0,0,0.0
2016-03-28,2016-04-01,2016-03-25,2016-03-28,10274864.81,10203264.95,-71599.86,-0.6968,7,7,7,-71599.86
2016-04-04,2016-04-08,2016-04-01,2016-04-04,10203264.95,10122250.7,-81014.25,-0.794,14,10,10,-81014.25
2016-04-11,2016-04-15,2016-04-08,2016-04-11,10122250.7,10238585.0,116334.3,1.1493,10,10,10,116334.3
2016-04-18,2016-04-22,2016-04-15,2016-04-18,10238585.0,10213634.95,-24950.05,-0.2437,7,7,7,-24950.05
2016-04-25,2016-04-29,2016-04-22,2016-04-25,10213634.95,10031858.49,-181776.46,-1.7797,9,9,9,-181776.46
2016-05-02,2016-05-04,2016-04-29,2016-05-02,10031858.49,9980312.39,-51546.1,-0.5138,8,8,8,-51546.1
2016-05-16,2016-05-20,2016-05-13,2016-05-16,9980312.39,9980456.76,144.37,0.0014,13,10,10,144.37
2016-05-23,2016-05-27,2016-05-20,2016-05-23,9980456.76,10046363.5,65906.74,0.6604,6,6,6,65906.74
2016-05-30,2016-06-03,2016-05-27,2016-05-30,10046363.5,9979026.9,-67336.6,-0.6703,3,3,3,-67336.6
2016-06-07,2016-06-10,2016-06-03,2016-06-07,9979026.9,10227770.62,248743.72,2.4927,3,3,3,248743.72
2016-06-13,2016-06-17,2016-06-10,2016-06-13,10227770.62,10078268.88,-149501.74,-1.4617,8,8,8,-149501.74
2016-06-20,2016-06-24,2016-06-17,2016-06-20,10078268.88,9727559.57,-350709.31,-3.4799,10,10,10,-350709.31
2016-06-27,2016-07-01,2016-06-24,2016-06-27,9727559.57,10158310.41,430750.84,4.4281,53,10,10,430750.84
2016-07-04,2016-07-08,2016-07-01,2016-07-04,10158310.41,9991081.15,-167229.26,-1.6462,3,3,3,-167229.26
2016-07-11,2016-07-15,2016-07-08,2016-07-11,9991081.15,9910550.65,-80530.5,-0.806,7,7,7,-80530.5
2016-07-18,2016-07-22,2016-07-15,2016-07-18,9910550.65,9712770.96,-197779.69,-1.9956,14,10,10,-197779.69
2016-07-25,2016-07-29,2016-07-22,2016-07-25,9712770.96,9992185.0,279414.04,2.8768,2,2,2,279414.04
2016-08-01,2016-08-05,2016-07-29,2016-08-01,9992185.0,9914677.2,-77507.8,-0.7757,7,7,7,-77507.8
2016-08-08,2016-08-12,2016-08-05,2016-08-08,9914677.2,9829836.19,-84841.01,-0.8557,8,8,8,-84841.01
2016-08-16,2016-08-19,2016-08-12,2016-08-16,9829836.19,10032362.55,202526.36,2.0603,2,2,2,202526.36
2016-08-22,2016-08-26,2016-08-19,2016-08-22,10032362.55,9764182.77,-268179.78,-2.6731,10,10,10,-268179.78
2016-08-29,2016-09-02,2016-08-26,2016-08-29,9764182.77,9977857.73,213674.96,2.1884,5,5,5,213674.96
2016-09-05,2016-09-09,2016-09-02,2016-09-05,9977857.73,9737912.22,-239945.51,-2.4048,4,4,4,-239945.51
2016-09-12,2016-09-13,2016-09-09,2016-09-12,9737912.22,9643625.61,-94286.61,-0.9682,14,10,10,-94286.61
2016-09-26,2016-09-30,2016-09-23,2016-09-26,9643625.61,9601310.55,-42315.06,-0.4388,4,4,4,-42315.06
2016-10-04,2016-10-07,2016-09-30,2016-10-04,9601310.55,9477711.96,-123598.59,-1.2873,11,10,10,-123598.59
2016-10-10,2016-10-14,2016-10-07,2016-10-10,9477711.96,9445753.81,-31958.15,-0.3372,12,10,10,-31958.15
2016-10-17,2016-10-21,2016-10-14,2016-10-17,9445753.81,9284594.43,-161159.38,-1.7062,9,9,9,-161159.38
2016-10-24,2016-10-28,2016-10-21,2016-10-24,9284594.43,9340443.58,55849.15,0.6015,5,5,5,55849.15
2016-10-31,2016-11-04,2016-10-28,2016-10-31,9340443.58,9129903.88,-210539.7,-2.2541,13,10,10,-210539.7
2016-11-07,2016-11-11,2016-11-04,2016-11-07,9129903.88,9079112.36,-50791.52,-0.5563,9,9,9,-50791.52
2016-11-14,2016-11-18,2016-11-11,2016-11-14,9079112.36,9183937.15,104824.79,1.1546,6,6,6,104824.79
2016-11-21,2016-11-25,2016-11-18,2016-11-21,9183937.15,9311974.2,128037.05,1.3941,4,4,4,128037.05
2016-11-28,2016-12-02,2016-11-25,2016-11-28,9311974.2,9311974.2,0.0,0.0,0,0,0,0.0
2016-12-05,2016-12-09,2016-12-02,2016-12-05,9311974.2,9300450.41,-11523.79,-0.1238,4,4,4,-11523.79
2016-12-12,2016-12-16,2016-12-09,2016-12-12,9300450.41,9514312.95,213862.54,2.2995,4,4,4,213862.54
2016-12-19,2016-12-23,2016-12-16,2016-12-19,9514312.95,9071762.94,-442550.01,-4.6514,1,1,1,-442550.01
2016-12-26,2016-12-29,2016-12-23,2016-12-26,9071762.94,9460638.95,388876.01,4.2867,1,1,1,388876.01
2017-01-09,2017-01-13,2017-01-06,2017-01-09,9460638.95,9022317.62,-438321.33,-4.6331,1,1,1,-438321.33
2017-01-16,2017-01-20,2017-01-13,2017-01-16,9022317.62,8983603.26,-38714.36,-0.4291,3,3,3,-38714.36
2017-01-23,2017-01-26,2017-01-20,2017-01-23,8983603.26,8900681.42,-82921.84,-0.923,9,9,9,-82921.84
2017-02-06,2017-02-10,2017-02-03,2017-02-06,8900681.42,8967427.99,66746.57,0.7499,8,8,8,66746.57
2017-02-13,2017-02-17,2017-02-10,2017-02-13,8967427.99,9225885.69,258457.7,2.8822,8,8,8,258457.7
2017-02-20,2017-02-24,2017-02-17,2017-02-20,9225885.69,9625068.18,399182.49,4.3268,2,2,2,399182.49
2017-02-27,2017-03-03,2017-02-24,2017-02-27,9625068.18,9650632.98,25564.8,0.2656,9,9,9,25564.8
2017-03-06,2017-03-10,2017-03-03,2017-03-06,9650632.98,9837431.32,186798.34,1.9356,15,10,10,186798.34
2017-03-13,2017-03-17,2017-03-10,2017-03-13,9837431.32,9380993.35,-456437.97,-4.6398,1,1,1,-456437.97
2017-03-20,2017-03-24,2017-03-17,2017-03-20,9380993.35,9506890.45,125897.1,1.342,3,3,3,125897.1
2017-03-27,2017-03-31,2017-03-24,2017-03-27,9506890.45,9492717.51,-14172.94,-0.1491,2,2,2,-14172.94
2017-04-03,2017-04-07,2017-03-31,2017-04-03,9492717.51,9492717.51,0.0,0.0,0,0,0,0.0
2017-04-10,2017-04-14,2017-04-07,2017-04-10,9492717.51,9332818.76,-159898.75,-1.6844,1,1,1,-159898.75
2017-04-17,2017-04-21,2017-04-14,2017-04-17,9332818.76,9421346.62,88527.86,0.9486,7,7,7,88527.86
2017-04-24,2017-04-28,2017-04-21,2017-04-24,9421346.62,9126135.37,-295211.25,-3.1334,3,3,3,-295211.25
2017-05-02,2017-05-04,2017-04-28,2017-05-02,9126135.37,9203108.26,76972.89,0.8434,4,4,4,76972.88
2017-05-15,2017-05-19,2017-05-12,2017-05-15,9203108.26,9053302.71,-149805.55,-1.6278,7,7,7,-149805.55
2017-05-22,2017-05-26,2017-05-19,2017-05-22,9053302.71,9321276.44,267973.73,2.96,2,2,2,267973.73
2017-05-29,2017-06-02,2017-05-26,2017-05-29,9321276.44,9042347.36,-278929.08,-2.9924,2,2,2,-278929.08
2017-06-05,2017-06-09,2017-06-02,2017-06-05,9042347.36,8870208.28,-172139.08,-1.9037,1,1,1,-172139.08
2017-06-12,2017-06-16,2017-06-09,2017-06-12,8870208.28,8854027.6,-16180.68,-0.1824,7,7,7,-16180.68
2017-06-19,2017-06-23,2017-06-16,2017-06-19,8854027.6,8795736.37,-58291.23,-0.6584,9,9,9,-58291.23
2017-06-26,2017-06-30,2017-06-23,2017-06-26,8795736.37,8714207.7,-81528.67,-0.9269,3,3,3,-81528.67
2017-07-03,2017-07-07,2017-06-30,2017-07-03,8714207.7,8619598.18,-94609.52,-1.0857,8,8,8,-94609.52
2017-07-10,2017-07-14,2017-07-07,2017-07-10,8619598.18,8426489.87,-193108.31,-2.2403,22,10,10,-193108.31
2017-07-17,2017-07-21,2017-07-14,2017-07-17,8426489.87,8628998.16,202508.29,2.4032,16,10,10,202508.29
2017-07-24,2017-07-28,2017-07-21,2017-07-24,8628998.16,8604357.42,-24640.74,-0.2856,6,6,6,-24640.74
2017-07-31,2017-08-04,2017-07-28,2017-07-31,8604357.42,8884347.45,279990.03,3.254,27,10,10,279990.03
2017-08-07,2017-08-11,2017-08-04,2017-08-07,8884347.45,8598362.06,-285985.39,-3.219,3,3,3,-285985.39
2017-08-14,2017-08-18,2017-08-11,2017-08-14,8598362.06,8613734.68,15372.62,0.1788,26,10,10,15372.62
2017-08-21,2017-08-25,2017-08-18,2017-08-21,8613734.68,8620244.63,6509.95,0.0756,6,6,6,6509.95
2017-08-28,2017-09-01,2017-08-25,2017-08-28,8620244.63,8476864.53,-143380.1,-1.6633,1,1,1,-143380.1
2017-09-04,2017-09-08,2017-09-01,2017-09-04,8476864.53,8408732.45,-68132.08,-0.8037,9,9,9,-68132.08
2017-09-11,2017-09-15,2017-09-08,2017-09-11,8408732.45,8495220.68,86488.23,1.0286,6,6,6,86488.23
2017-09-18,2017-09-22,2017-09-15,2017-09-18,8495220.68,8305449.95,-189770.73,-2.2339,10,10,10,-189770.73
2017-09-25,2017-09-29,2017-09-22,2017-09-25,8305449.95,8441281.55,135831.6,1.6355,24,10,10,135831.6
2017-10-10,2017-10-13,2017-09-29,2017-10-10,8441281.55,8261040.74,-180240.81,-2.1352,2,2,2,-180240.81
2017-10-16,2017-10-20,2017-10-13,2017-10-16,8261040.74,8279813.7,18772.96,0.2272,10,10,10,18772.96
2017-10-23,2017-10-27,2017-10-20,2017-10-23,8279813.7,8637615.43,357801.73,4.3214,1,1,1,357801.73
2017-10-30,2017-11-03,2017-10-27,2017-10-30,8637615.43,8713364.37,75748.94,0.877,1,1,1,75748.94
2017-11-06,2017-11-10,2017-11-03,2017-11-06,8713364.37,8713364.37,0.0,0.0,0,0,0,0.0
2017-11-13,2017-11-17,2017-11-10,2017-11-13,8713364.37,8769366.89,56002.52,0.6427,3,3,3,56002.52
2017-11-20,2017-11-24,2017-11-17,2017-11-20,8769366.89,9148393.25,379026.36,4.3222,1,1,1,379026.36
2017-11-27,2017-12-01,2017-11-24,2017-11-27,9148393.25,9207042.57,58649.32,0.6411,1,1,1,58649.33
2017-12-04,2017-12-08,2017-12-01,2017-12-04,9207042.57,9097486.5,-109556.07,-1.1899,9,9,9,-109556.07
2017-12-11,2017-12-15,2017-12-08,2017-12-11,9097486.5,9310794.31,213307.81,2.3447,18,10,10,213307.81
2017-12-18,2017-12-22,2017-12-15,2017-12-18,9310794.31,9035622.57,-275171.74,-2.9554,10,10,10,-275171.74
2017-12-26,2017-12-28,2017-12-22,2017-12-26,9035622.57,8944161.52,-91461.05,-1.0122,5,5,5,-91461.05
