month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2015-01,10000000.0,10734978.63,734978.63,4,7.3498
2015-02,10734978.63,11728592.69,993614.06,3,9.2559
2015-03,11728592.69,13934396.55,2205803.86,5,18.8071
2015-04,13934396.55,14811747.73,877351.18,4,6.2963
2015-05,14811747.73,16434547.49,1622799.76,3,10.9562
2015-06,16434547.49,18937142.71,2502595.22,5,15.2276
2015-07,18937142.71,19921312.38,984169.67,4,5.197
2015-08,19921312.38,21123084.76,1201772.3800000001,4,6.0326
2015-09,21123084.76,22630999.15,1507914.39,4,7.1387
2015-10,22630999.15,24498665.46,1867666.31,3,8.2527
2015-11,24498665.46,26891532.12,2392866.66,5,9.7673
2015-12,26891532.12,29133120.44,2241588.32,3,8.3357
2016-01,29133120.44,29349840.51,216720.07,3,0.7439
2016-02,29349840.51,33164823.33,3814982.8200000003,5,12.9983
2016-03,33164823.33,36243481.39,3078658.06,4,9.2829
2016-04,36243481.39,40280970.03,4037488.6399999997,4,11.1399
2016-05,40280970.03,44830228.51,4549258.48,4,11.2938
2016-06,44830228.51,50075979.46,5245750.95,4,11.7014
2016-07,50075979.46,56738192.34,6662212.880000001,4,13.3042
2016-08,56738192.34,65136602.11,8398409.77,5,14.802
2016-09,65136602.11,65961296.63,824694.52,3,1.2661
2016-10,65961296.63,71354840.54,5393543.91,5,8.1768
2016-11,71354840.54,78164355.81,6809515.27,4,9.5432
2016-12,78164355.81,81608314.73,3443958.92,4,4.406
2017-01,81608314.73,85713699.94,4105385.21,3,5.0306
2017-02,85713699.94,99349720.66,13636020.719999999,4,15.9088
2017-03,99349720.66,110660082.84,11310362.18,4,11.3844
2017-04,110660082.84,122669390.15,12009307.31,4,10.8524
2017-05,122669390.15,132218001.76,9548611.61,4,7.784
2017-06,132218001.76,139256351.29,7038349.53,4,5.3233
2017-07,139256351.29,163688195.26,24431843.97,5,17.5445
2017-08,163688195.26,189193234.47,25505039.21,4,15.5815
2017-09,189193234.47,210003866.8,20810632.33,4,10.9997
2017-10,210003866.8,231447824.7,21443957.9,4,10.2112
2017-11,231447824.7,259748440.2,28300615.5,4,12.2276
2017-12,259748440.2,285948128.63,26199688.43,4,10.0866
2018-01,285948128.63,329842462.59,43894333.96,4,15.3505
2018-02,329842462.59,336523965.93,6681503.339999999,3,2.0257
2018-03,336523965.93,381326430.48,44802464.55,4,13.3133
2018-04,381326430.48,422347830.27,41021399.79,5,10.7576
2018-05,422347830.27,483210202.39,60862372.120000005,4,14.4105
2018-06,483210202.39,534476817.4,51266615.01,4,10.6096
2018-07,534476817.4,540023676.17,5546858.769999999,5,1.0378
2018-08,540023676.17,575896418.11,35872741.94,4,6.6428
2018-09,575896418.11,646688055.98,70791637.87,4,12.2924
2018-10,646688055.98,699209063.74,52521007.76,5,8.1215
2018-11,699209063.74,759180447.22,59971383.480000004,4,8.577
2018-12,759180447.22,842030859.7,82850412.48,4,10.9131
2019-01,842030859.7,991162959.15,149132099.45,5,17.711
2019-02,991162959.15,1120598004.22,129435045.07000001,4,13.0589
2019-03,1120598004.22,1176024176.08,55426171.86,3,4.9461
2019-04,1176024176.08,1379273418.22,203249242.14,5,17.2827
2019-05,1379273418.22,1484706197.72,105432779.5,4,7.6441
2019-06,1484706197.72,1708066616.44,223360418.72,4,15.0441
2019-07,1708066616.44,1897227807.84,189161191.4,5,11.0746
2019-08,1897227807.84,1940686948.02,43459140.18,4,2.2907
2019-09,1940686948.02,2024853577.15,84166629.13,4,4.337
2019-10,2024853577.15,2299782556.17,274928979.02,4,13.5777
2019-11,2299782556.17,2594656159.64,294873603.47,4,12.8218
2019-12,2594656159.64,2894947464.6,300291304.96,5,11.5735
2020-01,2894947464.6,3078342666.8,183395202.2,3,6.335
2020-02,3078342666.8,3412461111.88,334118445.08,4,10.8538
2020-03,3412461111.88,3722277788.6,309816676.72,5,9.079
2020-04,3722277788.6,3878637380.79,156359592.19,4,4.2006
2020-05,3878637380.79,4206769767.12,328132386.33,3,8.46
2020-06,4206769767.12,4782121458.17,575351691.05,5,13.6768
2020-07,4782121458.17,5355150017.58,573028559.41,4,11.9827
2020-08,5355150017.58,6284801725.99,929651708.4100001,5,17.36
2020-09,6284801725.99,6898636672.06,613834946.0699999,4,9.767
2020-10,6898636672.06,7112626592.74,213989920.68,2,3.1019
2020-11,7112626592.74,7978336267.5,865709674.76,5,12.1714
2020-12,7978336267.5,7920055338.65,-58280928.850000024,3,-0.7305
2021-01,7920055338.65,8051759629.48,131704290.83,3,1.6629
2021-02,8051759629.48,8550575760.92,498816131.44,3,6.1951
2021-03,8550575760.92,9768271757.91,1217695996.99,5,14.2411
2021-04,9768271757.91,10095522671.02,327250913.11,4,3.3501
2021-05,10095522671.02,11870442634.79,1774919963.77,5,17.5813
2021-06,11870442634.79,13362059021.49,1491616386.7,4,12.5658
2021-07,13362059021.49,14109706924.12,747647902.63,4,5.5953
2021-08,14109706924.12,15903867393.66,1794160469.54,5,12.7158
2021-09,15903867393.66,17260781832.13,1356914438.47,4,8.532
2021-10,17260781832.13,19653064238.83,2392282406.7,4,13.8596
2021-11,19653064238.83,22297803271.84,2644739033.0099998,5,13.4571
2021-12,22297803271.84,23252785602.15,954982330.31,4,4.2829
2022-01,23252785602.15,23756719670.76,503934068.61,3,2.1672
2022-02,23756719670.76,25799600928.49,2042881257.73,5,8.5992
2022-03,25799600928.49,28807953101.14,3008352172.65,4,11.6605
2022-04,28807953101.14,31076539060.37,2268585959.23,4,7.8749
2022-05,31076539060.37,35029099078.16,3952560017.79,5,12.7188
2022-06,35029099078.16,36111172534.39,1082073456.23,4,3.0891
2022-07,36111172534.39,39898814196.28,3787641661.8900003,4,10.4888
2022-08,39898814196.28,42954846435.9,3056032239.62,5,7.6595
2022-09,42954846435.9,43633334811.38,678488375.4799999,3,1.5795
2022-10,43633334811.38,51962098798.72,8328763987.34,5,19.0881
2022-11,51962098798.72,53910283946.39,1948185147.6699998,4,3.7492
2022-12,53910283946.39,60117255248.71,6206971302.32,4,11.5135
2023-01,60117255248.71,69188697014.18,9071441765.47,4,15.0896
2023-02,69188697014.18,78570240851.98,9381543837.8,4,13.5594
2023-03,78570240851.98,85089411438.76,6519170586.780001,4,8.2973
2023-04,85089411438.76,92785048673.09,7695637234.33,4,9.0442
2023-05,92785048673.09,105586082741.21,12801034068.119999,4,13.7964
2023-06,105586082741.21,118113248896.07,12527166154.85,4,11.8644
2023-07,118113248896.07,138992259618.41,20879010722.34,5,17.6771
2023-08,138992259618.41,150856535025.74,11864275407.33,4,8.5359
2023-09,150856535025.74,159699637402.17,8843102376.43,4,5.8619
2023-10,159699637402.17,166526501911.51,6826864509.34,4,4.2748
2023-11,166526501911.51,193792483253.7,27265981342.19,4,16.3734
2023-12,193792483253.7,217325797206.34,23533313952.64,4,12.1436
2024-01,217325797206.34,230368478095.29,13042680888.949999,4,6.0014
2024-02,230368478095.29,233005898617.64,2637420522.35,3,1.1449
2024-03,233005898617.64,260927807465.48,27921908847.84,3,11.9833
2024-04,260927807465.48,283370202618.72,22442395153.239998,5,8.601
2024-05,283370202618.72,320591820921.13,37221618302.41,4,13.1353
2024-06,320591820921.13,368093481443.29,47501660522.16,4,14.8169
