week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2015-01-05,2015-01-02,2015-01-05,2015-01-05,003490,대한항공,fallback,38,25361.62,26629.701,take_profit,0,963741.56,144.56,151.79,1517.89,1010258.96,46372.83,4.811
2015-01-05,2015-01-02,2015-01-05,2015-01-08,007070,GS리테일,fallback,47,20449.54,21472.017,take_profit,3,961128.38,144.17,151.38,1513.78,1007519.64,46247.09,4.811
2015-01-05,2015-01-02,2015-01-05,2015-01-06,034220,LG디스플레이,fallback,33,28913.76,30359.448,take_profit,1,954154.08,143.12,150.28,1502.79,1000208.71,45911.51,4.811
2015-01-05,2015-01-02,2015-01-05,2015-01-09,009830,한화솔루션,fallback,77,12556.65,13184.4825,take_profit,4,966862.05,145.03,152.28,1522.81,1013530.06,46522.98,4.811
2015-01-05,2015-01-02,2015-01-05,2015-01-09,027410,BGF,fallback,52,18600.72,19716.0,take_profit_gap_open,4,967237.44,145.09,153.78,1537.85,1023540.37,56157.84,5.8051
2015-01-05,2015-01-02,2015-01-05,2015-01-06,009540,HD한국조선해양,fallback,9,98690.71,93756.1745,stop_loss,1,888216.39,133.23,126.57,1265.71,842413.29,-45936.33,-5.171
2015-01-05,2015-01-02,2015-01-05,2015-01-05,051915,LG화학우,fallback,7,130950.0,137500.0,take_profit_gap_open,0,916650.0,137.5,144.38,1443.75,960911.88,44124.38,4.8129
2015-01-05,2015-01-02,2015-01-05,2015-01-09,161390,한국타이어앤테크놀로지,fallback,21,50052.0,49900.0,friday_liquidation,4,1051092.0,157.66,157.19,1571.85,1046170.96,-5078.7,-0.4831
2015-01-05,2015-01-02,2015-01-05,2015-01-09,006280,녹십자,fallback,8,128525.0,128500.0,friday_liquidation,4,1028200.0,154.23,154.2,1542.0,1026303.8,-2050.43,-0.1994
2015-01-12,2015-01-09,2015-01-12,2015-01-16,181710,NHN,fallback,109,40959.22,41620.0,friday_liquidation,4,4464554.98,669.68,680.49,6804.87,4529094.64,63869.98,1.4304
2015-01-12,2015-01-09,2015-01-12,2015-01-15,016580,환인제약,fallback,216,20661.0,19627.95,stop_loss,3,4462776.0,669.42,635.95,6359.46,4232641.8,-230803.62,-5.171
2015-01-19,2015-01-16,2015-01-19,2015-01-19,011170,롯데케미칼,fallback,6,131198.32,138589.0,take_profit_gap_open,0,787189.92,118.08,124.73,1247.3,830161.97,42853.97,5.4431
2015-01-19,2015-01-16,2015-01-19,2015-01-19,003620,KG모빌리티,fallback,21,40440.27,42462.2835,take_profit,0,849245.67,127.39,133.76,1337.56,890236.64,40863.58,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-21,005387,현대차2우B,fallback,7,123190.0,129349.5,take_profit,2,862330.0,129.35,135.82,1358.17,903952.51,41493.16,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-19,009830,한화솔루션,fallback,74,12058.07,12660.9735,take_profit,0,892297.18,133.84,140.54,1405.37,935366.13,42935.11,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-19,001740,SK네트웍스,fallback,110,8128.6,8535.03,take_profit,0,894146.0,134.12,140.83,1408.28,937304.19,43024.07,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-19,003470,유안타증권,fallback,253,3555.05,3732.8025,take_profit,0,899427.65,134.91,141.66,1416.6,942840.77,43278.21,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-20,005385,현대차우,fallback,7,115915.0,121710.75,take_profit,1,811405.0,121.71,127.8,1277.96,850569.49,39042.78,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-19,057050,현대홈쇼핑,fallback,7,121735.0,127821.75,take_profit,0,852145.0,127.82,134.21,1342.13,893275.91,41003.09,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-19,004000,롯데정밀화학,fallback,33,28906.0,30351.3,take_profit,0,953898.0,143.08,150.24,1502.39,999940.27,45899.19,4.811
