week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2015-01-05,2015-01-09,2015-01-02,2015-01-05,10000000.0,10232271.18,232271.18,2.3227,9,9,9,232271.18
2015-01-12,2015-01-16,2015-01-09,2015-01-12,10232271.18,10065337.54,-166933.64,-1.6314,2,2,2,-166933.64
2015-01-19,2015-01-23,2015-01-16,2015-01-19,10065337.54,10426718.35,361380.81,3.5903,10,10,10,361380.81
2015-01-26,2015-01-30,2015-01-23,2015-01-26,10426718.35,10734978.63,308260.28,2.9564,3,3,3,308260.28
2015-02-02,2015-02-06,2015-01-30,2015-02-02,10734978.63,11057641.46,322662.83,3.0057,3,3,3,322662.83
2015-02-09,2015-02-13,2015-02-06,2015-02-09,11057641.46,11360424.22,302782.76,2.7382,10,10,10,302782.76
2015-02-16,2015-02-17,2015-02-13,2015-02-16,11360424.22,11728592.69,368168.47,3.2408,3,3,3,368168.47
2015-03-02,2015-03-06,2015-02-27,2015-03-02,11728592.69,12221097.41,492504.72,4.1992,2,2,2,492504.72
2015-03-09,2015-03-13,2015-03-06,2015-03-09,12221097.41,12495078.06,273980.65,2.2419,10,10,10,273980.65
2015-03-16,2015-03-20,2015-03-13,2015-03-16,12495078.06,13019109.93,524031.87,4.1939,3,3,3,524031.87
2015-03-23,2015-03-27,2015-03-20,2015-03-23,13019109.93,13376941.36,357831.43,2.7485,6,6,6,357831.43
2015-03-30,2015-04-03,2015-03-27,2015-03-30,13376941.36,13934396.55,557455.19,4.1673,7,7,7,557455.19
2015-04-06,2015-04-10,2015-04-03,2015-04-06,13934396.55,14341585.2,407188.65,2.9222,2,2,2,407188.65
2015-04-13,2015-04-17,2015-04-10,2015-04-13,14341585.2,14943811.0,602225.8,4.1992,1,1,1,602225.8
2015-04-20,2015-04-24,2015-04-17,2015-04-20,14943811.0,14269212.58,-674598.42,-4.5142,1,1,1,-674598.42
2015-04-27,2015-04-30,2015-04-24,2015-04-27,14269212.58,14811747.73,542535.15,3.8021,28,10,10,542535.15
2015-05-11,2015-05-15,2015-05-08,2015-05-11,14811747.73,15463085.3,651337.57,4.3974,10,10,10,651337.57
2015-05-18,2015-05-22,2015-05-15,2015-05-18,15463085.3,15886676.32,423591.02,2.7394,26,10,10,423591.02
2015-05-26,2015-05-29,2015-05-22,2015-05-26,15886676.32,16434547.49,547871.17,3.4486,3,3,3,547871.17
2015-06-01,2015-06-05,2015-05-29,2015-06-01,16434547.49,16872016.01,437468.52,2.6619,14,10,10,437468.52
2015-06-08,2015-06-12,2015-06-05,2015-06-08,16872016.01,17587041.82,715025.81,4.2379,22,10,10,715025.81
2015-06-15,2015-06-19,2015-06-12,2015-06-15,17587041.82,18166013.2,578971.38,3.292,19,10,10,578971.38
2015-06-22,2015-06-26,2015-06-19,2015-06-22,18166013.2,18928425.72,762412.52,4.1969,6,6,6,762412.52
2015-06-29,2015-07-03,2015-06-26,2015-06-29,18928425.72,18937142.71,8716.99,0.0461,14,10,10,8716.99
2015-07-06,2015-07-10,2015-07-03,2015-07-06,18937142.71,18611943.97,-325198.74,-1.7173,16,10,10,-325198.74
2015-07-13,2015-07-17,2015-07-10,2015-07-13,18611943.97,19394918.76,782974.79,4.2068,13,10,10,782974.79
2015-07-20,2015-07-24,2015-07-17,2015-07-20,19394918.76,20205050.38,810131.62,4.177,13,10,10,810131.62
2015-07-27,2015-07-31,2015-07-24,2015-07-27,20205050.38,19921312.38,-283738.0,-1.4043,13,10,10,-283738.0
2015-08-03,2015-08-07,2015-07-31,2015-08-03,19921312.38,20510748.09,589435.71,2.9588,7,7,7,589435.71
2015-08-10,2015-08-13,2015-08-07,2015-08-10,20510748.09,20288712.62,-222035.47,-1.0825,16,10,10,-222035.47
2015-08-24,2015-08-28,2015-08-21,2015-08-24,20288712.62,21140964.28,852251.66,4.2006,30,10,10,852251.66
2015-08-31,2015-09-04,2015-08-28,2015-08-31,21140964.28,21123084.76,-17879.52,-0.0846,4,4,4,-17879.52
2015-09-07,2015-09-11,2015-09-04,2015-09-07,21123084.76,21636867.66,513782.9,2.4323,37,10,10,513782.9
2015-09-14,2015-09-18,2015-09-11,2015-09-14,21636867.66,22529631.6,892763.94,4.1261,17,10,10,892763.94
2015-09-21,2015-09-25,2015-09-18,2015-09-21,22529631.6,22529631.6,0.0,0.0,0,0,0,0.0
2015-09-30,2015-10-02,2015-09-25,2015-09-30,22529631.6,22630999.15,101367.55,0.4499,9,9,9,101367.55
2015-10-05,2015-10-08,2015-10-02,2015-10-05,22630999.15,23701651.3,1070652.15,4.7309,8,8,8,1070652.15
2015-10-19,2015-10-23,2015-10-16,2015-10-19,23701651.3,23920575.08,218923.78,0.9237,7,7,7,218923.78
2015-10-26,2015-10-30,2015-10-23,2015-10-26,23920575.08,24498665.46,578090.38,2.4167,7,7,7,578090.38
2015-11-02,2015-11-06,2015-10-30,2015-11-02,24498665.46,25123398.68,624733.22,2.5501,22,10,10,624733.22
2015-11-09,2015-11-13,2015-11-06,2015-11-09,25123398.68,25197966.54,74567.86,0.2968,24,10,10,74567.86
2015-11-16,2015-11-20,2015-11-13,2015-11-16,25197966.54,25494332.06,296365.52,1.1761,15,10,10,296365.52
2015-11-23,2015-11-27,2015-11-20,2015-11-23,25494332.06,26567058.0,1072725.94,4.2077,5,5,5,1072725.94
2015-11-30,2015-12-04,2015-11-27,2015-11-30,26567058.0,26891532.12,324474.12,1.2213,4,4,4,324474.12
2015-12-07,2015-12-11,2015-12-04,2015-12-07,26891532.12,27262140.87,370608.75,1.3782,13,10,10,370608.75
2015-12-14,2015-12-18,2015-12-11,2015-12-14,27262140.87,27959150.48,697009.61,2.5567,16,10,10,697009.61
2015-12-21,2015-12-24,2015-12-18,2015-12-21,27959150.48,29133120.44,1173969.96,4.1989,2,2,2,1173969.96
2016-01-11,2016-01-15,2016-01-08,2016-01-11,29133120.44,29133120.44,0.0,0.0,0,0,0,0.0
2016-01-18,2016-01-22,2016-01-15,2016-01-18,29133120.44,29243328.46,110208.02,0.3783,9,9,9,110208.02
2016-01-25,2016-01-29,2016-01-22,2016-01-25,29243328.46,29349840.51,106512.05,0.3642,1,1,1,106512.05
2016-02-01,2016-02-05,2016-01-29,2016-02-01,29349840.51,30591198.55,1241358.04,4.2295,7,7,7,1241358.04
2016-02-11,2016-02-15,2016-02-05,2016-02-11,30591198.55,29679974.35,-911224.2,-2.9787,10,10,10,-911224.2
2016-02-15,2016-02-19,2016-02-12,2016-02-15,29679974.35,30962859.41,1282885.06,4.3224,14,10,10,1282885.06
2016-02-22,2016-02-26,2016-02-19,2016-02-22,30962859.41,32261004.45,1298145.04,4.1926,1,1,1,1298145.04
2016-02-29,2016-03-04,2016-02-26,2016-02-29,32261004.45,33164823.33,903818.88,2.8016,3,3,3,903818.88
2016-03-07,2016-03-11,2016-03-04,2016-03-07,33164823.33,34134416.25,969592.92,2.9236,8,8,8,969592.92
2016-03-14,2016-03-18,2016-03-11,2016-03-14,34134416.25,35233594.11,1099177.86,3.2201,5,5,5,1099177.86
2016-03-21,2016-03-25,2016-03-18,2016-03-21,35233594.11,35233594.11,0.0,0.0,0,0,0,0.0
2016-03-28,2016-04-01,2016-03-25,2016-03-28,35233594.11,36243481.39,1009887.28,2.8663,7,7,7,1009887.28
2016-04-04,2016-04-08,2016-04-01,2016-04-04,36243481.39,37202672.54,959191.15,2.6465,14,10,10,959191.15
2016-04-11,2016-04-15,2016-04-08,2016-04-11,37202672.54,38575473.43,1372800.89,3.6901,10,10,10,1372800.89
2016-04-18,2016-04-22,2016-04-15,2016-04-18,38575473.43,39791479.59,1216006.16,3.1523,7,7,7,1216006.16
2016-04-25,2016-04-29,2016-04-22,2016-04-25,39791479.59,40280970.03,489490.44,1.2301,9,9,9,489490.44
2016-05-02,2016-05-04,2016-04-29,2016-05-02,40280970.03,41066167.87,785197.84,1.9493,8,8,8,785197.84
2016-05-16,2016-05-20,2016-05-13,2016-05-16,41066167.87,41876826.72,810658.85,1.974,13,10,10,810658.85
2016-05-23,2016-05-27,2016-05-20,2016-05-23,41876826.72,43023240.15,1146413.43,2.7376,6,6,6,1146413.43
2016-05-30,2016-06-03,2016-05-27,2016-05-30,43023240.15,44830228.51,1806988.36,4.2,3,3,3,1806988.36
2016-06-07,2016-06-10,2016-06-03,2016-06-07,44830228.51,46348207.66,1517979.15,3.3861,3,3,3,1517979.15
2016-06-13,2016-06-17,2016-06-10,2016-06-13,46348207.66,46870152.68,521945.02,1.1261,8,8,8,521945.02
2016-06-20,2016-06-24,2016-06-17,2016-06-20,46870152.68,48043840.29,1173687.61,2.5041,10,10,10,1173687.61
2016-06-27,2016-07-01,2016-06-24,2016-06-27,48043840.29,50075979.46,2032139.17,4.2298,53,10,10,2032139.17
2016-07-04,2016-07-08,2016-07-01,2016-07-04,50075979.46,51266245.23,1190265.77,2.3769,3,3,3,1190265.77
2016-07-11,2016-07-15,2016-07-08,2016-07-11,51266245.23,52486133.77,1219888.54,2.3795,7,7,7,1219888.54
2016-07-18,2016-07-22,2016-07-15,2016-07-18,52486133.77,54451179.37,1965045.6,3.7439,14,10,10,1965045.6
2016-07-25,2016-07-29,2016-07-22,2016-07-25,54451179.37,56738192.34,2287012.97,4.2001,2,2,2,2287012.97
2016-08-01,2016-08-05,2016-07-29,2016-08-01,56738192.34,57714103.97,975911.63,1.72,7,7,7,975911.63
2016-08-08,2016-08-12,2016-08-05,2016-08-08,57714103.97,59444766.1,1730662.13,2.9987,8,8,8,1730662.13
2016-08-16,2016-08-19,2016-08-12,2016-08-16,59444766.1,61941711.74,2496945.64,4.2004,2,2,2,2496945.64
2016-08-22,2016-08-26,2016-08-19,2016-08-22,61941711.74,62817222.29,875510.55,1.4134,10,10,10,875510.55
2016-08-29,2016-09-02,2016-08-26,2016-08-29,62817222.29,65136602.11,2319379.82,3.6923,5,5,5,2319379.82
2016-09-05,2016-09-09,2016-09-02,2016-09-05,65136602.11,65451463.89,314861.78,0.4834,4,4,4,314861.78
2016-09-12,2016-09-13,2016-09-09,2016-09-12,65451463.89,65210055.76,-241408.13,-0.3688,14,10,10,-241408.13
2016-09-26,2016-09-30,2016-09-23,2016-09-26,65210055.76,65961296.63,751240.87,1.152,4,4,4,751240.87
2016-10-04,2016-10-07,2016-09-30,2016-10-04,65961296.63,68639879.85,2678583.22,4.0608,11,10,10,2678583.22
2016-10-10,2016-10-14,2016-10-07,2016-10-10,68639879.85,70031310.4,1391430.55,2.0271,12,10,10,1391430.55
2016-10-17,2016-10-21,2016-10-14,2016-10-17,70031310.4,69427337.84,-603972.56,-0.8624,9,9,9,-603972.56
2016-10-24,2016-10-28,2016-10-21,2016-10-24,69427337.84,71481852.5,2054514.66,2.9592,5,5,5,2054514.66
2016-10-31,2016-11-04,2016-10-28,2016-10-31,71481852.5,71354840.54,-127011.96,-0.1777,13,10,10,-127011.96
2016-11-07,2016-11-11,2016-11-04,2016-11-07,71354840.54,74679737.96,3324897.42,4.6597,9,9,9,3324897.42
2016-11-14,2016-11-18,2016-11-11,2016-11-14,74679737.96,76348646.77,1668908.81,2.2348,6,6,6,1668908.81
2016-11-21,2016-11-25,2016-11-18,2016-11-21,76348646.77,78164355.81,1815709.04,2.3782,4,4,4,1815709.04
2016-11-28,2016-12-02,2016-11-25,2016-11-28,78164355.81,78164355.81,0.0,0.0,0,0,0,0.0
2016-12-05,2016-12-09,2016-12-02,2016-12-05,78164355.81,78718519.0,554163.19,0.709,4,4,4,554163.19
2016-12-12,2016-12-16,2016-12-09,2016-12-12,78718519.0,82025128.22,3306609.22,4.2005,4,4,4,3306609.22
2016-12-19,2016-12-23,2016-12-16,2016-12-19,82025128.22,78322525.7,-3702602.52,-4.514,1,1,1,-3702602.52
2016-12-26,2016-12-29,2016-12-23,2016-12-26,78322525.7,81608314.73,3285789.03,4.1952,1,1,1,3285789.03
2017-01-09,2017-01-13,2017-01-06,2017-01-09,81608314.73,81224810.26,-383504.47,-0.4699,1,1,1,-383504.47
2017-01-16,2017-01-20,2017-01-13,2017-01-16,81224810.26,83931908.76,2707098.5,3.3328,3,3,3,2707098.5
2017-01-23,2017-01-26,2017-01-20,2017-01-23,83931908.76,85713699.94,1781791.18,2.1229,9,9,9,1781791.18
2017-02-06,2017-02-10,2017-02-03,2017-02-06,85713699.94,88518258.67,2804558.73,3.272,8,8,8,2804558.73
2017-02-13,2017-02-17,2017-02-10,2017-02-13,88518258.67,92235863.65,3717604.98,4.1998,8,8,8,3717604.98
2017-02-20,2017-02-24,2017-02-17,2017-02-20,92235863.65,96110300.93,3874437.28,4.2006,2,2,2,3874437.28
2017-02-27,2017-03-03,2017-02-24,2017-02-27,96110300.93,99349720.66,3239419.73,3.3705,9,9,9,3239419.73
2017-03-06,2017-03-10,2017-03-03,2017-03-06,99349720.66,101978770.68,2629050.02,2.6463,15,10,10,2629050.02
2017-03-13,2017-03-17,2017-03-10,2017-03-13,101978770.68,102692530.81,713760.13,0.6999,1,1,1,713760.13
2017-03-20,2017-03-24,2017-03-17,2017-03-20,102692530.81,106201746.1,3509215.29,3.4172,3,3,3,3509215.29
2017-03-27,2017-03-31,2017-03-24,2017-03-27,106201746.1,110660082.84,4458336.74,4.198,2,2,2,4458336.74
2017-04-03,2017-04-07,2017-03-31,2017-04-03,110660082.84,110660082.84,0.0,0.0,0,0,0,0.0
2017-04-10,2017-04-14,2017-04-07,2017-04-10,110660082.84,115306967.13,4646884.29,4.1992,1,1,1,4646884.29
2017-04-17,2017-04-21,2017-04-14,2017-04-17,115306967.13,120150429.88,4843462.75,4.2005,7,7,7,4843462.75
2017-04-24,2017-04-28,2017-04-21,2017-04-24,120150429.88,122669390.15,2518960.27,2.0965,3,3,3,2518960.27
2017-05-02,2017-05-04,2017-04-28,2017-05-02,122669390.15,126250735.11,3581344.96,2.9195,4,4,4,3581344.96
2017-05-15,2017-05-19,2017-05-12,2017-05-15,126250735.11,128914299.76,2663564.65,2.1097,7,7,7,2663564.65
2017-05-22,2017-05-26,2017-05-19,2017-05-22,128914299.76,134329538.49,5415238.73,4.2007,2,2,2,5415238.73
2017-05-29,2017-06-02,2017-05-26,2017-05-29,134329538.49,132218001.76,-2111536.73,-1.5719,2,2,2,-2111536.73
2017-06-05,2017-06-09,2017-06-02,2017-06-05,132218001.76,131929583.09,-288418.67,-0.2181,1,1,1,-288418.67
2017-06-12,2017-06-16,2017-06-09,2017-06-12,131929583.09,134456494.27,2526911.18,1.9153,7,7,7,2526911.18
2017-06-19,2017-06-23,2017-06-16,2017-06-19,134456494.27,139153526.71,4697032.44,3.4933,9,9,9,4697032.44
2017-06-26,2017-06-30,2017-06-23,2017-06-26,139153526.71,139256351.29,102824.58,0.0739,3,3,3,102824.58
2017-07-03,2017-07-07,2017-06-30,2017-07-03,139256351.29,145105274.66,5848923.37,4.2001,8,8,8,5848923.37
2017-07-10,2017-07-14,2017-07-07,2017-07-10,145105274.66,146847382.5,1742107.84,1.2006,22,10,10,1742107.84
2017-07-17,2017-07-21,2017-07-14,2017-07-17,146847382.5,153015683.88,6168301.38,4.2005,16,10,10,6168301.38
2017-07-24,2017-07-28,2017-07-21,2017-07-24,153015683.88,157216678.72,4200994.84,2.7455,6,6,6,4200994.84
2017-07-31,2017-08-04,2017-07-28,2017-07-31,157216678.72,163688195.26,6471516.54,4.1163,27,10,10,6471516.54
2017-08-07,2017-08-11,2017-08-04,2017-08-07,163688195.26,170562835.66,6874640.4,4.1998,3,3,3,6874640.4
2017-08-14,2017-08-18,2017-08-11,2017-08-14,170562835.66,177321802.9,6758967.24,3.9627,26,10,10,6758967.24
2017-08-21,2017-08-25,2017-08-18,2017-08-21,177321802.9,181566437.93,4244635.03,2.3937,6,6,6,4244635.03
2017-08-28,2017-09-01,2017-08-25,2017-08-28,181566437.93,189193234.47,7626796.54,4.2006,1,1,1,7626796.54
2017-09-04,2017-09-08,2017-09-01,2017-09-04,189193234.47,190479050.89,1285816.42,0.6796,9,9,9,1285816.42
2017-09-11,2017-09-15,2017-09-08,2017-09-11,190479050.89,197583933.96,7104883.07,3.73,6,6,6,7104883.07
2017-09-18,2017-09-22,2017-09-15,2017-09-18,197583933.96,201538878.8,3954944.84,2.0017,10,10,10,3954944.84
2017-09-25,2017-09-29,2017-09-22,2017-09-25,201538878.8,210003866.8,8464988.0,4.2002,24,10,10,8464988.0
2017-10-10,2017-10-13,2017-09-29,2017-10-10,210003866.8,210365874.86,362008.06,0.1724,2,2,2,362008.06
2017-10-16,2017-10-20,2017-10-13,2017-10-16,210365874.86,213163675.38,2797800.52,1.33,10,10,10,2797800.52
2017-10-23,2017-10-27,2017-10-20,2017-10-23,213163675.38,222117505.73,8953830.35,4.2004,1,1,1,8953830.35
2017-10-30,2017-11-03,2017-10-27,2017-10-30,222117505.73,231447824.7,9330318.97,4.2006,1,1,1,9330318.97
2017-11-06,2017-11-10,2017-11-03,2017-11-06,231447824.7,231447824.7,0.0,0.0,0,0,0,0.0
2017-11-13,2017-11-17,2017-11-10,2017-11-13,231447824.7,239231923.67,7784098.97,3.3632,3,3,3,7784098.97
2017-11-20,2017-11-24,2017-11-17,2017-11-20,239231923.67,249280611.12,10048687.45,4.2004,1,1,1,10048687.45
2017-11-27,2017-12-01,2017-11-24,2017-11-27,249280611.12,259748440.2,10467829.08,4.1992,1,1,1,10467829.08
2017-12-04,2017-12-08,2017-12-01,2017-12-04,259748440.2,265622094.74,5873654.54,2.2613,9,9,9,5873654.54
2017-12-11,2017-12-15,2017-12-08,2017-12-11,265622094.74,275878158.91,10256064.17,3.8611,18,10,10,10256064.17
2017-12-18,2017-12-22,2017-12-15,2017-12-18,275878158.91,284669067.03,8790908.12,3.1865,10,10,10,8790908.12
2017-12-26,2017-12-28,2017-12-22,2017-12-26,284669067.03,285948128.63,1279061.6,0.4493,5,5,5,1279061.6
2018-01-08,2018-01-12,2018-01-05,2018-01-08,285948128.63,297688306.84,11740178.21,4.1057,9,9,9,11740178.21
2018-01-15,2018-01-19,2018-01-12,2018-01-15,297688306.84,308095880.35,10407573.51,3.4961,11,10,10,10407573.51
2018-01-22,2018-01-26,2018-01-19,2018-01-22,308095880.35,316547254.79,8451374.44,2.7431,6,6,6,8451374.44
2018-01-29,2018-02-02,2018-01-26,2018-01-29,316547254.79,329842462.59,13295207.8,4.2001,1,1,1,13295207.8
2018-02-05,2018-02-09,2018-02-02,2018-02-05,329842462.59,320284402.92,-9558059.67,-2.8978,21,10,10,-9558059.67
2018-02-12,2018-02-14,2018-02-09,2018-02-12,320284402.92,332083316.87,11798913.95,3.6839,50,10,10,11798913.95
2018-02-26,2018-03-02,2018-02-23,2018-02-26,332083316.87,336523965.93,4440649.06,1.3372,3,3,3,4440649.06
2018-03-05,2018-03-09,2018-03-02,2018-03-05,336523965.93,346318095.67,9794129.74,2.9104,25,10,10,9794129.74
2018-03-12,2018-03-16,2018-03-09,2018-03-12,346318095.67,360865672.77,14547577.1,4.2006,4,4,4,14547577.1
2018-03-19,2018-03-23,2018-03-16,2018-03-19,360865672.77,365521575.99,4655903.22,1.2902,3,3,3,4655903.22
2018-03-26,2018-03-30,2018-03-23,2018-03-26,365521575.99,381326430.48,15804854.49,4.3239,34,10,10,15804854.49
2018-04-02,2018-04-06,2018-03-30,2018-04-02,381326430.48,385814683.97,4488253.49,1.177,4,4,4,4488253.49
2018-04-09,2018-04-13,2018-04-06,2018-04-09,385814683.97,403083591.46,17268907.49,4.476,6,6,6,17268907.49
2018-04-16,2018-04-20,2018-04-13,2018-04-16,403083591.46,420015280.11,16931688.65,4.2005,5,5,5,16931688.65
2018-04-23,2018-04-27,2018-04-20,2018-04-23,420015280.11,419354978.55,-660301.56,-0.1572,2,2,2,-660301.56
