month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2015-01,10000000.0,9708102.7,-291897.29999999993,4,-2.919
2015-02,9708102.7,9792571.03,84468.32999999999,3,0.8701
2015-03,9792571.03,9844234.19,51663.16000000003,5,0.5276
2015-04,9844234.19,9808192.3,-36041.89,4,-0.3661
2015-05,9808192.3,10591633.82,783441.52,3,7.9876
2015-06,10591633.82,10478152.88,-113480.94000000003,5,-1.0714
2015-07,10478152.88,10334829.3,-143323.58000000002,4,-1.3678
2015-08,10334829.3,9950094.99,-384734.31,4,-3.7227
2015-09,9950094.99,9974585.08,24490.089999999997,4,0.2461
2015-10,9974585.08,9756571.54,-218013.53999999998,3,-2.1857
2015-11,9756571.54,9637630.89,-118940.64999999995,5,-1.2191
2015-12,9637630.89,9766631.91,129001.01999999996,3,1.3385
2016-01,9766631.91,9069538.31,-697093.6,3,-7.1375
2016-02,9069538.31,8832197.86,-237340.44999999998,5,-2.6169
2016-03,8832197.86,8607064.36,-225133.5,4,-2.549
2016-04,8607064.36,8363082.97,-243981.38999999998,4,-2.8347
2016-05,8363082.97,8179179.93,-183903.03999999998,4,-2.199
2016-06,8179179.93,8154928.39,-24251.540000000015,4,-0.2965
2016-07,8154928.39,7779417.81,-375510.57999999996,4,-4.6047
2016-08,7779417.81,7635719.43,-143698.38,5,-1.8472
2016-09,7635719.43,7160365.91,-475353.52,3,-6.2254
2016-10,7160365.91,6822769.53,-337596.38,5,-4.7148
2016-11,6822769.53,6997010.58,174241.05000000002,4,2.5538
2016-12,6997010.58,7143991.59,146981.00999999998,4,2.1006
2017-01,7143991.59,6778731.19,-365260.4,3,-5.1128
2017-02,6778731.19,7374074.68,595343.49,4,8.7825
2017-03,7374074.68,7711574.74,337500.06,4,4.5768
2017-04,7711574.74,7456192.36,-255382.38,4,-3.3117
2017-05,7456192.36,7368179.95,-88012.41,4,-1.1804
2017-06,7368179.95,7136533.82,-231646.13,4,-3.1439
2017-07,7136533.82,7230284.9,93751.08,5,1.3137
2017-08,7230284.9,6776506.45,-453778.45,4,-6.2761
2017-09,6776506.45,6668519.95,-107986.5,4,-1.5935
2017-10,6668519.95,6859595.51,191075.56,4,2.8653
2017-11,6859595.51,7285138.22,425542.71,4,6.2036
2017-12,7285138.22,7107414.08,-177724.14,4,-2.4395
2018-01,7107414.08,7315265.19,207851.11,4,2.9244
2018-02,7315265.19,6802539.61,-512725.58,3,-7.009
2018-03,6802539.61,6776898.67,-25640.940000000002,4,-0.3769
2018-04,6776898.67,6500461.74,-276436.92999999993,5,-4.0791
2018-05,6500461.74,6281797.21,-218664.52999999997,4,-3.3638
2018-06,6281797.21,6031369.48,-250427.72999999998,4,-3.9866
2018-07,6031369.48,5391174.29,-640195.19,5,-10.6144
2018-08,5391174.29,5385956.22,-5218.069999999992,4,-0.0968
2018-09,5385956.22,5346011.49,-39944.73000000001,4,-0.7416
2018-10,5346011.49,4614547.61,-731463.88,5,-13.6824
2018-11,4614547.61,5039104.03,424556.42,4,9.2004
2018-12,5039104.03,5046524.76,7420.729999999981,4,0.1473
2019-01,5046524.76,5240077.18,193552.42,5,3.8354
2019-02,5240077.18,5819808.45,579731.27,4,11.0634
2019-03,5819808.45,5733340.5,-86467.95000000001,3,-1.4858
2019-04,5733340.5,5798555.21,65214.71000000001,5,1.1375
2019-05,5798555.21,5356888.88,-441666.33,4,-7.6168
2019-06,5356888.88,5292240.12,-64648.76000000001,4,-1.2068
2019-07,5292240.12,5318696.33,26456.210000000006,5,0.4999
2019-08,5318696.33,5155550.26,-163146.07,4,-3.0674
2019-09,5155550.26,5043829.01,-111721.24999999999,4,-2.167
2019-10,5043829.01,5316984.74,273155.73,4,5.4156
2019-11,5316984.74,5325358.38,8373.639999999985,4,0.1575
2019-12,5325358.38,5426236.2,100877.82000000004,5,1.8943
2020-01,5426236.2,5378628.38,-47607.81999999998,3,-0.8774
2020-02,5378628.38,5128655.99,-249972.39,4,-4.6475
2020-03,5128655.99,5387513.58,258857.59000000003,5,5.0473
2020-04,5387513.58,5619517.16,232003.58,4,4.3063
2020-05,5619517.16,5922656.94,303139.78,3,5.3944
2020-06,5922656.94,6076413.9,153756.96,5,2.5961
2020-07,6076413.9,6767656.89,691242.99,4,11.3758
2020-08,6767656.89,7298482.08,530825.19,5,7.8436
2020-09,7298482.08,7367704.37,69222.29000000001,4,0.9484
2020-10,7367704.37,7188199.52,-179504.85,2,-2.4364
2020-11,7188199.52,7657120.36,468920.83999999997,5,6.5235
2020-12,7657120.36,7472840.47,-184279.89,3,-2.4066
2021-01,7472840.47,6946481.96,-526358.51,3,-7.0436
2021-02,6946481.96,6759223.56,-187258.40000000002,3,-2.6957
2021-03,6759223.56,6803298.92,44075.359999999986,5,0.6521
2021-04,6803298.92,6591662.49,-211636.43,4,-3.1108
2021-05,6591662.49,6902456.4,310793.91,5,4.715
2021-06,6902456.4,7074288.52,171832.12000000002,4,2.4894
2021-07,7074288.52,6691518.97,-382769.55000000005,4,-5.4107
2021-08,6691518.97,6779045.67,87526.70000000001,5,1.308
2021-09,6779045.67,6779527.7,482.0300000000009,4,0.0071
2021-10,6779527.7,6717787.9,-61739.8,4,-0.9107
2021-11,6717787.9,6266863.19,-450924.71,5,-6.7124
2021-12,6266863.19,5790680.83,-476182.38,4,-7.5984
2022-01,5790680.83,5404930.7,-385750.13,3,-6.6616
2022-02,5404930.7,5275342.39,-129588.31,5,-2.3976
2022-03,5275342.39,5106859.51,-168482.88,4,-3.1938
2022-04,5106859.51,4897501.57,-209357.94,4,-4.0995
2022-05,4897501.57,5099144.3,201642.72999999998,5,4.1173
2022-06,5099144.3,4806436.41,-292707.89,4,-5.7403
2022-07,4806436.41,4833428.61,26992.200000000023,4,0.5616
2022-08,4833428.61,4615776.83,-217651.78000000003,5,-4.5031
2022-09,4615776.83,4253836.3,-361940.52999999997,3,-7.8414
2022-10,4253836.3,4304880.33,51044.03,5,1.2
2022-11,4304880.33,4243893.23,-60987.099999999984,4,-1.4167
2022-12,4243893.23,4269980.7,26087.47,4,0.6147
2023-01,4269980.7,4592287.82,322307.12,4,7.5482
2023-02,4592287.82,4703053.62,110765.79999999999,4,2.412
2023-03,4703053.62,4662106.69,-40946.93000000002,4,-0.8706
2023-04,4662106.69,4562535.89,-99570.79999999999,4,-2.1357
2023-05,4562535.89,4682316.65,119780.76000000001,4,2.6253
2023-06,4682316.65,4771671.22,89354.57,4,1.9083
2023-07,4771671.22,4618607.83,-153063.39000000007,5,-3.2078
2023-08,4618607.83,4707034.43,88426.59999999999,4,1.9146
2023-09,4707034.43,4677064.02,-29970.410000000003,4,-0.6367
2023-10,4677064.02,4530849.22,-146214.8,4,-3.1262
2023-11,4530849.22,4325803.02,-205046.2,4,-4.5256
2023-12,4325803.02,4283959.82,-41843.2,4,-0.9673
2024-01,4283959.82,4095678.4,-188281.42,4,-4.395
2024-02,4095678.4,3857243.55,-238434.84999999998,3,-5.8216
2024-03,3857243.55,3963240.19,105996.64,3,2.748
2024-04,3963240.19,3713087.03,-250153.16,5,-6.3118
2024-05,3713087.03,3736052.13,22965.1,4,0.6185
2024-06,3736052.13,3929243.62,193191.49,4,5.171
2024-07,3929243.62,3717763.27,-211480.35,5,-5.3822
2024-08,3717763.27,3537116.16,-180647.11000000002,4,-4.859
2024-09,3537116.16,3503119.07,-33997.09,5,-0.9612
2024-10,3503119.07,3600451.08,97332.01000000001,4,2.7784
2024-11,3600451.08,3626733.1,26282.019999999997,4,0.73
2024-12,3626733.1,3558695.28,-68037.82,5,-1.876
