week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2015-01-05,2015-01-02,2015-01-05,2015-01-06,003490,대한항공,fallback,38,26146.0,27453.3,take_profit,1,993548.0,149.03,156.48,1564.84,1041504.08,47807.05,4.811
2015-01-05,2015-01-02,2015-01-05,2015-01-09,007070,GS리테일,fallback,47,21082.0,21168.0,friday_liquidation,4,990854.0,148.63,149.23,1492.34,993254.42,2251.79,0.2272
2015-01-05,2015-01-02,2015-01-05,2015-01-06,034220,LG디스플레이,fallback,33,29808.0,31298.4,take_profit,1,983664.0,147.55,154.93,1549.27,1031143.0,47331.45,4.811
2015-01-05,2015-01-02,2015-01-05,2015-01-09,009830,한화솔루션,fallback,77,12945.0,13116.0,friday_liquidation,4,996765.0,149.51,151.49,1514.9,1008265.61,11351.1,1.1386
2015-01-05,2015-01-02,2015-01-05,2015-01-09,027410,BGF,fallback,52,19176.0,18970.0,friday_liquidation,4,997152.0,149.57,147.97,1479.66,984812.37,-12489.2,-1.2523
2015-01-05,2015-01-02,2015-01-05,2015-01-06,009540,HD한국조선해양,fallback,9,101743.0,95383.0,stop_loss_gap_open,1,915687.0,137.35,128.77,1287.67,857030.56,-58793.79,-6.4198
2015-01-05,2015-01-02,2015-01-05,2015-01-06,051915,LG화학우,fallback,7,135000.0,128250.0,stop_loss,1,945000.0,141.75,134.66,1346.62,896268.71,-48873.04,-5.171
2015-01-05,2015-01-02,2015-01-05,2015-01-07,161390,한국타이어앤테크놀로지,fallback,21,51600.0,49020.0,stop_loss,2,1083600.0,162.54,154.41,1544.13,1027721.46,-56041.08,-5.171
2015-01-05,2015-01-02,2015-01-05,2015-01-09,006280,녹십자,fallback,8,132500.0,128500.0,friday_liquidation,4,1060000.0,159.0,154.2,1542.0,1026303.8,-33855.2,-3.1934
2015-01-12,2015-01-09,2015-01-12,2015-01-16,181710,NHN,fallback,105,42226.0,41620.0,friday_liquidation,4,4433730.0,665.06,655.51,6555.15,4362889.33,-71505.72,-1.6125
2015-01-12,2015-01-09,2015-01-12,2015-01-14,016580,환인제약,fallback,210,21300.0,20235.0,stop_loss,2,4473000.0,670.95,637.4,6374.02,4242338.57,-231332.38,-5.171
2015-01-19,2015-01-16,2015-01-19,2015-01-19,011170,롯데케미칼,fallback,6,135256.0,142018.8,take_profit,0,811536.0,121.73,127.82,1278.17,850706.81,39049.08,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-19,003620,KG모빌리티,fallback,20,41691.0,43775.55,take_profit,0,833820.0,125.07,131.33,1313.27,874066.41,40121.33,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-23,005387,현대차2우B,fallback,6,127000.0,128500.0,friday_liquidation,4,762000.0,114.3,115.65,1156.5,769727.85,7613.55,0.999
2015-01-19,2015-01-16,2015-01-19,2015-01-19,009830,한화솔루션,fallback,71,12431.0,13052.55,take_profit,0,882601.0,132.39,139.01,1390.1,925201.94,42468.55,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-20,001740,SK네트웍스,fallback,106,8380.0,7961.0,stop_loss,1,888280.0,133.24,126.58,1265.8,842473.62,-45939.62,-5.171
2015-01-19,2015-01-16,2015-01-19,2015-01-23,003470,유안타증권,fallback,243,3665.0,3595.0,friday_liquidation,4,890595.0,133.59,131.04,1310.38,872143.58,-18585.0,-2.0865
2015-01-19,2015-01-16,2015-01-19,2015-01-23,005385,현대차우,fallback,7,119500.0,125475.0,take_profit,4,836500.0,125.47,131.75,1317.49,876875.76,40250.29,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-23,057050,현대홈쇼핑,fallback,7,125500.0,121500.0,friday_liquidation,4,878500.0,131.78,127.58,1275.75,849096.68,-29535.1,-3.3615
2015-01-19,2015-01-16,2015-01-19,2015-01-20,004000,롯데정밀화학,fallback,31,29800.0,31290.0,take_profit,1,923800.0,138.57,145.5,1454.98,968389.52,44450.95,4.811
2015-01-19,2015-01-16,2015-01-19,2015-01-20,105630,한세실업,fallback,25,36100.0,34295.0,stop_loss,1,902500.0,135.38,128.61,1286.06,855960.33,-46675.04,-5.171
2015-01-26,2015-01-23,2015-01-26,2015-01-26,000390,SP삼화,fallback,200,14450.0,15172.5,take_profit,0,2890000.0,433.5,455.18,4551.75,3029493.08,139059.58,4.811
2015-01-26,2015-01-23,2015-01-26,2015-01-30,128940,한미약품,fallback,36,79385.0,78741.0,friday_liquidation,4,2857860.0,428.68,425.2,4252.01,2829998.78,-28289.89,-0.9897
2015-01-26,2015-01-23,2015-01-26,2015-01-30,093370,후성,fallback,993,2974.0,2907.0,friday_liquidation,4,2953182.0,442.98,433.0,4329.98,2881888.03,-71736.95,-2.4288
2015-02-02,2015-01-30,2015-02-02,2015-02-06,011070,LG이노텍,fallback,29,97900.0,97700.0,friday_liquidation,4,2839100.0,425.87,425.0,4249.95,2828625.05,-10900.81,-0.3839
2015-02-02,2015-01-30,2015-02-02,2015-02-05,015860,일진홀딩스,fallback,440,6690.0,6355.5,stop_loss,3,2943600.0,441.54,419.46,4194.63,2791805.91,-152235.63,-5.171
2015-02-02,2015-01-30,2015-02-02,2015-02-04,181710,NHN,fallback,78,37585.0,39464.25,take_profit,2,2931630.0,439.74,461.73,4617.32,3073132.45,141062.71,4.811
2015-02-09,2015-02-06,2015-02-09,2015-02-13,012330,현대모비스,fallback,3,242500.0,241000.0,friday_liquidation,4,727500.0,109.12,108.45,1084.5,721807.05,-5802.07,-0.7974
2015-02-09,2015-02-06,2015-02-09,2015-02-12,008770,호텔신라,fallback,8,100000.0,106000.0,take_profit_gap_open,3,800000.0,120.0,127.2,1272.0,846600.8,46480.8,5.8092
2015-02-09,2015-02-06,2015-02-09,2015-02-09,034230,파라다이스,fallback,36,24850.0,23607.5,stop_loss,0,894600.0,134.19,127.48,1274.81,848467.71,-46266.48,-5.171
2015-02-09,2015-02-06,2015-02-09,2015-02-13,032640,LG유플러스,fallback,78,11500.0,11950.0,friday_liquidation,4,897000.0,134.55,139.81,1398.15,930562.04,33427.48,3.726
2015-02-09,2015-02-06,2015-02-09,2015-02-13,000390,SP삼화,fallback,64,13950.0,13900.0,friday_liquidation,4,892800.0,133.92,133.44,1334.4,888132.16,-4801.76,-0.5378
2015-02-09,2015-02-06,2015-02-09,2015-02-13,023590,다우기술,fallback,63,14100.0,14200.0,friday_liquidation,4,888300.0,133.25,134.19,1341.9,893123.91,4690.67,0.528
2015-02-09,2015-02-06,2015-02-09,2015-02-10,007210,벽산,fallback,151,5970.0,5671.5,stop_loss,1,901470.0,135.22,128.46,1284.59,854983.45,-46621.77,-5.171
2015-02-09,2015-02-06,2015-02-09,2015-02-13,103590,일진전기,fallback,116,7743.0,7572.0,friday_liquidation,4,898188.0,134.73,131.75,1317.53,876902.72,-21420.01,-2.3844
2015-02-09,2015-02-06,2015-02-09,2015-02-13,033240,자화전자,fallback,63,14400.0,14700.0,friday_liquidation,4,907200.0,136.08,138.91,1389.15,924571.93,17235.85,1.8996
2015-02-09,2015-02-06,2015-02-09,2015-02-09,035720,카카오,fallback,31,29244.0,27781.8,stop_loss,0,906564.0,135.98,129.19,1291.85,859814.76,-46885.22,-5.171
2015-02-16,2015-02-13,2015-02-16,2015-02-16,071950,코아스,fallback,111,25957.0,27254.85,take_profit,0,2881227.0,432.18,453.79,4537.93,3020296.62,138637.44,4.811
2015-02-16,2015-02-13,2015-02-16,2015-02-17,035720,카카오,fallback,101,28341.0,27959.0,extended_liquidation,1,2862441.0,429.37,423.58,4235.79,2819199.63,-43670.73,-1.5254
2015-02-16,2015-02-13,2015-02-16,2015-02-17,114090,GKL,fallback,79,36700.0,37800.0,extended_liquidation,1,2899300.0,434.89,447.93,4479.3,2981272.77,81537.88,2.8119
2015-03-02,2015-02-27,2015-03-02,2015-03-06,011200,HMM,fallback,75,58258.0,59418.0,friday_liquidation,4,4369350.0,655.4,668.45,6684.52,4448997.02,78991.62,1.8076
2015-03-02,2015-02-27,2015-03-02,2015-03-06,000240,한국앤컴퍼니,fallback,187,23700.0,23100.0,friday_liquidation,4,4431900.0,664.78,647.96,6479.55,4312572.5,-119992.29,-2.7071
2015-03-09,2015-03-06,2015-03-09,2015-03-10,002990,금호건설,fallback,39,22300.0,21185.0,stop_loss,1,869700.0,130.46,123.93,1239.32,824851.75,-44978.71,-5.171
2015-03-09,2015-03-06,2015-03-09,2015-03-13,047810,한국항공우주,fallback,18,47100.0,47200.0,friday_liquidation,4,847800.0,127.17,127.44,1274.4,848198.16,270.99,0.032
2015-03-09,2015-03-06,2015-03-09,2015-03-13,114090,GKL,fallback,26,33900.0,34700.0,friday_liquidation,4,881400.0,132.21,135.33,1353.3,900711.37,19179.16,2.1757
2015-03-09,2015-03-06,2015-03-09,2015-03-13,005090,SGC에너지,fallback,11,76500.0,79100.0,friday_liquidation,4,841500.0,126.22,130.51,1305.15,868664.33,27038.11,3.2126
2015-03-09,2015-03-06,2015-03-09,2015-03-11,020150,롯데에너지머티리얼즈,fallback,107,8258.0,7845.1,stop_loss,2,883606.0,132.54,125.91,1259.14,838040.65,-45697.89,-5.171
2015-03-09,2015-03-06,2015-03-09,2015-03-13,082640,동양생명,fallback,77,11450.0,11850.0,friday_liquidation,4,881650.0,132.25,136.87,1368.67,910944.46,29162.21,3.3072
2015-03-09,2015-03-06,2015-03-09,2015-03-13,036580,팜스코,fallback,66,13450.0,13200.0,friday_liquidation,4,887700.0,133.16,130.68,1306.8,869762.52,-18070.64,-2.0354
2015-03-09,2015-03-06,2015-03-09,2015-03-11,000240,한국앤컴퍼니,fallback,38,23100.0,21945.0,stop_loss,2,877800.0,131.67,125.09,1250.87,832534.05,-45397.62,-5.171
2015-03-09,2015-03-06,2015-03-09,2015-03-10,004870,티웨이홀딩스,fallback,289,3114.0,2958.3,stop_loss,1,899946.0,134.99,128.24,1282.42,853538.03,-46542.96,-5.171
2015-03-09,2015-03-06,2015-03-09,2015-03-13,122900,아이마켓코리아,fallback,34,26100.0,25600.0,friday_liquidation,4,887400.0,133.11,130.56,1305.6,868963.84,-18569.27,-2.0922
