week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2015-01-05,2015-01-09,2015-01-02,2015-01-05,10000000.0,9898689.08,-101310.92,-1.0131,9,9,9,-101310.92
2015-01-12,2015-01-16,2015-01-09,2015-01-12,9898689.08,9595850.98,-302838.1,-3.0594,2,2,2,-302838.1
2015-01-19,2015-01-23,2015-01-16,2015-01-19,9595850.98,9669069.97,73218.99,0.763,10,10,10,73218.99
2015-01-26,2015-01-30,2015-01-23,2015-01-26,9669069.97,9708102.7,39032.73,0.4037,3,3,3,39032.73
2015-02-02,2015-02-06,2015-01-30,2015-02-02,9708102.7,9686028.96,-22073.74,-0.2274,3,3,3,-22073.74
2015-02-09,2015-02-13,2015-02-06,2015-02-09,9686028.96,9616066.45,-69962.51,-0.7223,10,10,10,-69962.51
2015-02-16,2015-02-17,2015-02-13,2015-02-16,9616066.45,9792571.03,176504.58,1.8355,3,3,3,176504.58
2015-03-02,2015-03-06,2015-02-27,2015-03-02,9792571.03,9751570.36,-41000.67,-0.4187,2,2,2,-41000.67
2015-03-09,2015-03-13,2015-03-06,2015-03-09,9751570.36,9607963.74,-143606.62,-1.4727,10,10,10,-143606.62
2015-03-16,2015-03-20,2015-03-13,2015-03-16,9607963.74,9449638.3,-158325.44,-1.6479,3,3,3,-158325.44
2015-03-23,2015-03-27,2015-03-20,2015-03-23,9449638.3,9575886.1,126247.8,1.336,6,6,6,126247.8
2015-03-30,2015-04-03,2015-03-27,2015-03-30,9575886.1,9844234.19,268348.09,2.8023,7,7,7,268348.09
2015-04-06,2015-04-10,2015-04-03,2015-04-06,9844234.19,9828430.53,-15803.66,-0.1605,2,2,2,-15803.66
2015-04-13,2015-04-17,2015-04-10,2015-04-13,9828430.53,10253776.77,425346.24,4.3277,1,1,1,425346.24
2015-04-20,2015-04-24,2015-04-17,2015-04-20,10253776.77,9776523.75,-477253.02,-4.6544,1,1,1,-477253.02
2015-04-27,2015-04-30,2015-04-24,2015-04-27,9776523.75,9808192.3,31668.55,0.3239,28,10,10,31668.55
2015-05-11,2015-05-15,2015-05-08,2015-05-11,9808192.3,10143585.77,335393.47,3.4195,10,10,10,335393.47
2015-05-18,2015-05-22,2015-05-15,2015-05-18,10143585.77,10319604.5,176018.73,1.7353,26,10,10,176018.73
2015-05-26,2015-05-29,2015-05-22,2015-05-26,10319604.5,10591633.82,272029.32,2.636,3,3,3,272029.32
2015-06-01,2015-06-05,2015-05-29,2015-06-01,10591633.82,10411467.84,-180165.98,-1.701,14,10,10,-180165.98
2015-06-08,2015-06-12,2015-06-05,2015-06-08,10411467.84,10584944.36,173476.52,1.6662,22,10,10,173476.52
2015-06-15,2015-06-19,2015-06-12,2015-06-15,10584944.36,10601139.41,16195.05,0.153,19,10,10,16195.05
2015-06-22,2015-06-26,2015-06-19,2015-06-22,10601139.41,10837080.74,235941.33,2.2256,6,6,6,235941.33
2015-06-29,2015-07-03,2015-06-26,2015-06-29,10837080.74,10478152.88,-358927.86,-3.312,14,10,10,-358927.86
2015-07-06,2015-07-10,2015-07-03,2015-07-06,10478152.88,10048528.34,-429624.54,-4.1002,16,10,10,-429624.54
2015-07-13,2015-07-17,2015-07-10,2015-07-13,10048528.34,10418672.25,370143.91,3.6836,13,10,10,370143.91
2015-07-20,2015-07-24,2015-07-17,2015-07-20,10418672.25,10627640.49,208968.24,2.0057,13,10,10,208968.24
2015-07-27,2015-07-31,2015-07-24,2015-07-27,10627640.49,10334829.3,-292811.19,-2.7552,13,10,10,-292811.19
2015-08-03,2015-08-07,2015-07-31,2015-08-03,10334829.3,10190947.67,-143881.63,-1.3922,7,7,7,-143881.63
2015-08-10,2015-08-13,2015-08-07,2015-08-10,10190947.67,9808401.24,-382546.43,-3.7538,16,10,10,-382546.43
2015-08-24,2015-08-28,2015-08-21,2015-08-24,9808401.24,9962099.55,153698.31,1.567,30,10,10,153698.31
2015-08-31,2015-09-04,2015-08-28,2015-08-31,9962099.55,9950094.99,-12004.56,-0.1205,4,4,4,-12004.56
2015-09-07,2015-09-11,2015-09-04,2015-09-07,9950094.99,9898879.66,-51215.33,-0.5147,37,10,10,-51215.33
2015-09-14,2015-09-18,2015-09-11,2015-09-14,9898879.66,10150101.61,251221.95,2.5379,17,10,10,251221.95
2015-09-21,2015-09-25,2015-09-18,2015-09-21,10150101.61,10150101.61,0.0,0.0,0,0,0,0.0
2015-09-30,2015-10-02,2015-09-25,2015-09-30,10150101.61,9974585.08,-175516.53,-1.7292,9,9,9,-175516.53
2015-10-05,2015-10-08,2015-10-02,2015-10-05,9974585.08,10199845.47,225260.39,2.2583,8,8,8,225260.39
