month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9647840.68,-352159.32,3,-3.5216
2020-02,9647840.68,10261963.76,614123.07,4,6.3654
2020-03,10261963.76,10484520.68,222556.91999999998,5,2.1688
2020-04,10484520.68,10484520.68,0.0,4,0.0
2020-05,10484520.68,10989276.14,504755.47,3,4.8143
2020-06,10989276.14,11315137.01,325860.86,5,2.9653
2020-07,11315137.01,11887707.0,572569.9999999999,4,5.0602
2020-08,11887707.0,11913790.92,26083.910000000033,5,0.2194
2020-09,11913790.92,12455087.44,541296.52,4,4.5434
2020-10,12455087.44,12237163.23,-217924.21,2,-1.7497
2020-11,12237163.23,13022715.27,785552.04,5,6.4194
2020-12,13022715.27,12633740.54,-388974.73,3,-2.9869
2021-01,12633740.54,12162988.38,-470752.1599999999,3,-3.7262
2021-02,12162988.38,12549023.04,386034.66000000003,3,3.1738
2021-03,12549023.04,12306092.32,-242930.71999999997,5,-1.9359
2021-04,12306092.32,12213141.42,-92950.90999999997,4,-0.7553
2021-05,12213141.42,12306206.71,93065.29,5,0.762
2021-06,12306206.71,12098335.95,-207870.76,4,-1.6892
2021-07,12098335.95,12191629.54,93293.58000000002,4,0.7711
2021-08,12191629.54,12098092.28,-93537.25,5,-0.7672
2021-09,12098092.28,12720958.52,622866.24,4,5.1485
2021-10,12720958.52,13489182.13,768223.61,4,6.039
2021-11,13489182.13,13425028.55,-64153.59,5,-0.4756
2021-12,13425028.55,12414386.55,-1010641.99,4,-7.528
2022-01,12414386.55,11823380.94,-591005.6,3,-4.7607
2022-02,11823380.94,12005636.38,182255.44,5,1.5415
2022-03,12005636.38,11899990.98,-105645.41,4,-0.88
2022-04,11899990.98,11750081.37,-149909.61000000002,4,-1.2597
2022-05,11750081.37,11832995.41,82914.04000000001,5,0.7056
2022-06,11832995.41,11392049.99,-440945.42,4,-3.7264
2022-07,11392049.99,11435337.39,43287.40000000002,4,0.38
2022-08,11435337.39,11469119.96,33782.56999999998,5,0.2954
2022-09,11469119.96,10837853.95,-631266.01,3,-5.504
2022-10,10837853.95,10825707.48,-12146.469999999994,5,-0.1121
2022-11,10825707.48,10610311.04,-215396.44,4,-1.9897
2022-12,10610311.04,10700907.39,90596.35,4,0.8539
2023-01,10700907.39,11182680.56,481773.17000000004,4,4.5022
2023-02,11182680.56,11603261.66,420581.1,4,3.761
2023-03,11603261.66,11502501.18,-100760.46999999997,4,-0.8684
2023-04,11502501.18,11742579.59,240078.41,4,2.0872
2023-05,11742579.59,12004512.09,261932.49000000002,4,2.2306
2023-06,12004512.09,12235474.3,230962.21000000002,4,1.924
2023-07,12235474.3,12307118.53,71644.23000000004,5,0.5855
2023-08,12307118.53,12825411.96,518293.43,4,4.2113
2023-09,12825411.96,12740840.34,-84571.60999999999,4,-0.6594
2023-10,12740840.34,12918611.98,177771.65000000002,4,1.3953
2023-11,12918611.98,13192403.97,273791.99,4,2.1194
2023-12,13192403.97,13675419.5,483015.51999999996,4,3.6613
2024-01,13675419.5,13410379.31,-265040.18,4,-1.9381
2024-02,13410379.31,13370651.01,-39728.3,3,-0.2963
2024-03,13370651.01,13404468.03,33817.01999999999,3,0.2529
2024-04,13404468.03,13132650.57,-271817.47000000003,5,-2.0278
2024-05,13132650.57,13575993.86,443343.29000000004,4,3.3759
2024-06,13575993.86,14243637.08,667643.22,4,4.9178
2024-07,14243637.08,14278721.05,35083.970000000016,5,0.2463
2024-08,14278721.05,13277905.15,-1000815.89,4,-7.0091
2024-09,13277905.15,13771282.43,493377.26999999996,5,3.7158
2024-10,13771282.43,13706409.16,-64873.24999999999,4,-0.4711
2024-11,13706409.16,14255150.64,548741.47,4,4.0035
2024-12,14255150.64,14433977.64,178827.00000000003,5,1.2545
