week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38119.05,39242.9902,take_profit,0,2172785.85,0.0,0.0,0.0,2236850.44,64064.59,2.9485
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121560.75,119440.25,friday_liquidation,4,2188093.5,0.0,0.0,0.0,2149924.5,-38169.0,-1.7444
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147573.75,143428.25,friday_liquidation,4,2213606.25,0.0,0.0,0.0,2151423.75,-62182.5,-2.8091
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47823.9,45409.9886,stop_loss,2,2343371.1,0.0,0.0,0.0,2225089.44,-118281.66,-5.0475
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,285,10365.18,10670.7973,take_profit,1,2954076.3,0.0,0.0,0.0,3041177.24,87100.94,2.9485
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89044.5,91669.9771,take_profit,1,2938468.5,0.0,0.0,0.0,3025109.24,86640.74,2.9485
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,110,27363.675,28170.493,take_profit,1,3010004.25,0.0,0.0,0.0,3098754.23,88749.98,2.9485
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,274,33266.625,31587.4921,stop_loss,1,9115055.25,0.0,0.0,0.0,8654972.84,-460082.41,-5.0475
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,5,181590.75,186944.9533,take_profit,0,907953.75,0.0,0.0,0.0,934724.77,26771.02,2.9485
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,28,37114.548,38208.8704,take_profit,0,1039207.34,0.0,0.0,0.0,1069848.37,30641.03,2.9485
2020-02-03,2020-01-31,2020-02-03,2020-02-04,017960,한국카본,fallback,146,7403.7,7621.9981,take_profit,1,1080940.2,0.0,0.0,0.0,1112811.72,31871.52,2.9485
2020-02-03,2020-01-31,2020-02-03,2020-02-07,006280,녹십자,fallback,8,124062.0,122438.75,friday_liquidation,4,992496.0,0.0,0.0,0.0,979510.0,-12986.0,-1.3084
2020-02-03,2020-01-31,2020-02-03,2020-02-03,282330,BGF리테일,fallback,6,165082.5,169949.9575,take_profit,0,990495.0,0.0,0.0,0.0,1019699.75,29204.75,2.9485
2020-02-03,2020-01-31,2020-02-03,2020-02-04,267260,HD현대일렉트릭,fallback,121,9694.845,9980.6975,take_profit,1,1173076.24,0.0,0.0,0.0,1207664.4,34588.15,2.9485
2020-02-03,2020-01-31,2020-02-03,2020-02-03,000100,유한양행,fallback,32,35730.8565,36784.3808,take_profit,0,1143387.41,0.0,0.0,0.0,1177100.19,33712.78,2.9485
2020-02-03,2020-01-31,2020-02-03,2020-02-03,082740,한화엔진,fallback,380,3051.525,3141.4992,take_profit,0,1159579.5,0.0,0.0,0.0,1193769.7,34190.2,2.9485
2020-02-10,2020-02-07,2020-02-10,2020-02-12,008770,호텔신라,fallback,19,90845.4,93523.9766,take_profit,2,1726062.6,0.0,0.0,0.0,1776955.56,50892.96,2.9485
2020-02-10,2020-02-07,2020-02-10,2020-02-11,090430,아모레퍼시픽,fallback,10,178089.0,183339.9542,take_profit,1,1780890.0,0.0,0.0,0.0,1833399.54,52509.54,2.9485
2020-02-10,2020-02-07,2020-02-10,2020-02-13,003230,삼양식품,fallback,18,97948.95,100836.9748,take_profit,3,1763081.1,0.0,0.0,0.0,1815065.55,51984.45,2.9485
2020-02-10,2020-02-07,2020-02-10,2020-02-12,010140,삼성중공업,fallback,284,6260.1285,6444.7084,take_profit,2,1777876.49,0.0,0.0,0.0,1830297.18,52420.69,2.9485
2020-02-10,2020-02-07,2020-02-10,2020-02-14,016360,삼성증권,fallback,50,35317.65,35232.375,friday_liquidation,4,1765882.5,0.0,0.0,0.0,1761618.75,-4263.75,-0.2415
2020-02-17,2020-02-14,2020-02-17,2020-02-17,009240,한샘,fallback,130,70035.0,72099.982,take_profit,0,9104550.0,0.0,0.0,0.0,9372997.66,268447.66,2.9485
2020-02-24,2020-02-21,2020-02-24,2020-02-26,207940,삼성바이오로직스,fallback,1,683964.8115,704131.514,take_profit,2,683964.81,0.0,0.0,0.0,704131.51,20166.7,2.9485
2020-02-24,2020-02-21,2020-02-24,2020-02-24,003670,포스코퓨처엠,fallback,17,51881.928,53411.6666,take_profit,0,881992.78,0.0,0.0,0.0,907998.33,26005.56,2.9485
2020-02-24,2020-02-21,2020-02-24,2020-02-26,008770,호텔신라,fallback,10,84742.35,87240.9782,take_profit,2,847423.5,0.0,0.0,0.0,872409.78,24986.28,2.9485
2020-02-24,2020-02-21,2020-02-24,2020-02-25,005420,코스모화학,fallback,125,7402.6995,7620.9681,take_profit,1,925337.44,0.0,0.0,0.0,952621.01,27283.57,2.9485
2020-02-24,2020-02-21,2020-02-24,2020-02-25,093370,후성,fallback,121,7620.8085,7845.508,take_profit,1,922117.83,0.0,0.0,0.0,949306.47,27188.64,2.9485
2020-02-24,2020-02-21,2020-02-24,2020-02-25,002380,KCC,fallback,4,194097.0,184299.9539,stop_loss,1,776388.0,0.0,0.0,0.0,737199.82,-39188.18,-5.0475
2020-02-24,2020-02-21,2020-02-24,2020-02-28,298020,효성티앤씨,fallback,6,159079.5,150924.5,stop_loss_gap_open,4,954477.0,0.0,0.0,0.0,905547.0,-48930.0,-5.1264
2020-02-24,2020-02-21,2020-02-24,2020-02-28,204320,HL만도,fallback,31,32016.0,30399.9924,stop_loss,4,992496.0,0.0,0.0,0.0,942399.76,-50096.24,-5.0475
2020-02-24,2020-02-21,2020-02-24,2020-02-28,009240,한샘,fallback,15,64032.0,63968.0,friday_liquidation,4,960480.0,0.0,0.0,0.0,959520.0,-960.0,-0.1
2020-02-24,2020-02-21,2020-02-24,2020-02-28,064350,현대로템,fallback,74,14007.0,13299.9967,stop_loss,4,1036518.0,0.0,0.0,0.0,984199.75,-52318.25,-5.0475
2020-03-02,2020-02-28,2020-03-02,2020-03-02,051910,LG화학,fallback,2,368684.25,379554.9051,take_profit,0,737368.5,0.0,0.0,0.0,759109.81,21741.31,2.9485
2020-03-02,2020-02-28,2020-03-02,2020-03-02,006400,삼성SDI,fallback,3,290427.141,298990.3853,take_profit,0,871281.42,0.0,0.0,0.0,896971.16,25689.73,2.9485
2020-03-02,2020-02-28,2020-03-02,2020-03-03,207940,삼성바이오로직스,fallback,1,673778.721,697093.279,take_profit_gap_open,1,673778.72,0.0,0.0,0.0,697093.28,23314.56,3.4603
2020-03-02,2020-02-28,2020-03-02,2020-03-03,009150,삼성전기,fallback,7,128564.25,135932.0,take_profit_gap_open,1,899949.75,0.0,0.0,0.0,951524.0,51574.25,5.7308
2020-03-02,2020-02-28,2020-03-02,2020-03-02,003670,포스코퓨처엠,fallback,20,50519.247,52008.807,take_profit,0,1010384.94,0.0,0.0,0.0,1040176.14,29791.2,2.9485
2020-03-02,2020-02-28,2020-03-02,2020-03-05,035420,NAVER,fallback,5,175087.5,180409.75,take_profit_gap_open,3,875437.5,0.0,0.0,0.0,902048.75,26611.25,3.0398
2020-03-02,2020-02-28,2020-03-02,2020-03-06,032640,LG유플러스,fallback,79,13106.55,13293.35,friday_liquidation,4,1035417.45,0.0,0.0,0.0,1050174.65,14757.2,1.4252
2020-03-02,2020-02-28,2020-03-02,2020-03-03,005930,삼성전자,fallback,19,54327.15,56671.65,take_profit_gap_open,1,1032215.85,0.0,0.0,0.0,1076761.35,44545.5,4.3155
2020-03-02,2020-02-28,2020-03-02,2020-03-03,028260,삼성물산,fallback,10,106053.0,109179.9727,take_profit,1,1060530.0,0.0,0.0,0.0,1091799.73,31269.73,2.9485
2020-03-02,2020-02-28,2020-03-02,2020-03-03,011790,SKC,fallback,22,48900.438,50636.669,take_profit_gap_open,1,1075809.64,0.0,0.0,0.0,1114006.72,38197.08,3.5505
2020-03-09,2020-03-06,2020-03-09,2020-03-12,005930,삼성전자,fallback,21,54727.35,50974.5,stop_loss_gap_open,3,1149274.35,0.0,0.0,0.0,1070464.5,-78809.85,-6.8574
2020-03-09,2020-03-06,2020-03-09,2020-03-12,000660,SK하이닉스,fallback,12,89544.75,83758.1,stop_loss_gap_open,3,1074537.0,0.0,0.0,0.0,1005097.2,-69439.8,-6.4623
2020-03-09,2020-03-06,2020-03-09,2020-03-09,009150,삼성전기,fallback,9,128064.0,121599.9696,stop_loss,0,1152576.0,0.0,0.0,0.0,1094399.73,-58176.27,-5.0475
2020-03-09,2020-03-06,2020-03-09,2020-03-12,028260,삼성물산,fallback,11,105552.75,100224.9749,stop_loss,3,1161080.25,0.0,0.0,0.0,1102474.72,-58605.53,-5.0475
2020-03-09,2020-03-06,2020-03-09,2020-03-09,011070,LG이노텍,fallback,8,132066.0,125399.9687,stop_loss,0,1056528.0,0.0,0.0,0.0,1003199.75,-53328.25,-5.0475
2020-03-09,2020-03-06,2020-03-09,2020-03-09,017960,한국카본,fallback,158,7723.86,7333.9982,stop_loss,0,1220369.88,0.0,0.0,0.0,1158771.71,-61598.17,-5.0475
2020-03-09,2020-03-06,2020-03-09,2020-03-09,285130,SK케미칼,fallback,30,40185.0825,41369.9397,take_profit,0,1205552.47,0.0,0.0,0.0,1241098.19,35545.71,2.9485
2020-03-09,2020-03-06,2020-03-09,2020-03-12,009240,한샘,fallback,19,63531.75,60324.9849,stop_loss,3,1207103.25,0.0,0.0,0.0,1146174.71,-60928.54,-5.0475
2020-03-16,2020-03-13,2020-03-16,2020-03-16,180640,한진칼,fallback,53,58029.0,59739.9851,take_profit,0,3075537.0,0.0,0.0,0.0,3166219.21,90682.21,2.9485
2020-03-16,2020-03-13,2020-03-16,2020-03-16,207940,삼성바이오로직스,fallback,4,673778.721,639769.7401,stop_loss,0,2695114.88,0.0,0.0,0.0,2559078.96,-136035.92,-5.0475
2020-03-16,2020-03-13,2020-03-16,2020-03-16,004370,농심,fallback,14,250125.0,257499.9356,take_profit,0,3501750.0,0.0,0.0,0.0,3604999.1,103249.1,2.9485
2020-03-30,2020-03-27,2020-03-30,2020-03-30,207940,삼성바이오로직스,fallback,14,635941.812,654692.5563,take_profit,0,8903185.37,0.0,0.0,0.0,9165695.79,262510.42,2.9485
2020-05-18,2020-05-15,2020-05-18,2020-05-19,180640,한진칼,fallback,12,77038.5,79309.9802,take_profit,1,924462.0,0.0,0.0,0.0,951719.76,27257.76,2.9485
2020-05-18,2020-05-15,2020-05-18,2020-05-19,090430,아모레퍼시픽,fallback,5,171085.5,176411.75,take_profit_gap_open,1,855427.5,0.0,0.0,0.0,882058.75,26631.25,3.1132
2020-05-18,2020-05-15,2020-05-18,2020-05-19,064350,현대로템,fallback,59,16108.05,16582.9959,take_profit,1,950374.95,0.0,0.0,0.0,978396.76,28021.81,2.9485
2020-05-18,2020-05-15,2020-05-18,2020-05-20,000150,두산,fallback,26,35767.875,36822.4908,take_profit,2,929964.75,0.0,0.0,0.0,957384.76,27420.01,2.9485
2020-05-18,2020-05-15,2020-05-18,2020-05-19,088350,한화생명,fallback,588,1640.82,1689.1996,take_profit,1,964802.16,0.0,0.0,0.0,993249.35,28447.19,2.9485
2020-05-18,2020-05-15,2020-05-18,2020-05-21,018880,한온시스템,fallback,119,8165.0805,9030.4825,take_profit_gap_open,3,971644.58,0.0,0.0,0.0,1074627.42,102982.84,10.5988
2020-05-18,2020-05-15,2020-05-18,2020-05-22,023530,롯데쇼핑,fallback,11,87843.9,87556.2,friday_liquidation,4,966282.9,0.0,0.0,0.0,963118.2,-3164.7,-0.3275
2020-05-18,2020-05-15,2020-05-18,2020-05-19,004020,현대제철,fallback,49,19509.75,20084.995,take_profit,1,955977.75,0.0,0.0,0.0,984164.75,28187.0,2.9485
2020-05-18,2020-05-15,2020-05-18,2020-05-19,298040,효성중공업,fallback,69,14207.1,14642.675,take_profit_gap_open,1,980289.9,0.0,0.0,0.0,1010344.58,30054.68,3.0659
2020-05-18,2020-05-15,2020-05-18,2020-05-19,034230,파라다이스,fallback,69,14207.1,15092.45,take_profit_gap_open,1,980289.9,0.0,0.0,0.0,1041379.05,61089.15,6.2317
2020-05-25,2020-05-22,2020-05-25,2020-05-29,090430,아모레퍼시픽,fallback,5,171085.5,162449.9594,stop_loss,4,855427.5,0.0,0.0,0.0,812249.8,-43177.7,-5.0475
