week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9845431.43,-154568.57,-1.5457,4,4,4,-154568.57
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9845431.43,10107923.09,262491.66,2.6661,3,3,3,262491.66
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10107923.09,9647840.68,-460082.41,-4.5517,1,1,1,-460082.41
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9647840.68,9855834.12,207993.44,2.1559,8,8,8,207993.44
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9855834.12,10059378.01,203543.88,2.0652,5,5,5,203543.88
2020-02-17,2020-02-21,2020-02-14,2020-02-17,10059378.01,10327825.66,268447.66,2.6686,1,1,1,268447.66
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10327825.66,10261963.76,-65861.91,-0.6377,16,10,10,-65861.91
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10261963.76,10569455.57,307491.81,2.9964,15,10,10,307491.81
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10569455.57,10164114.87,-405340.69,-3.835,8,8,8,-405340.69
2020-03-16,2020-03-20,2020-03-13,2020-03-16,10164114.87,10222010.26,57895.38,0.5696,3,3,3,57895.38
2020-03-23,2020-03-27,2020-03-20,2020-03-23,10222010.26,10222010.26,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,10222010.26,10484520.68,262510.42,2.5681,1,1,1,262510.42
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10484520.68,10484520.68,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10484520.68,10484520.68,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10484520.68,10484520.68,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10484520.68,10484520.68,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10484520.68,10484520.68,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10484520.68,10841447.67,356926.99,3.4043,11,10,10,356926.99
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10841447.67,10989276.14,147828.48,1.3635,10,10,10,147828.48
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10989276.14,11283296.06,294019.92,2.6755,11,10,10,294019.92
2020-06-08,2020-06-12,2020-06-05,2020-06-08,11283296.06,11283296.06,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,11283296.06,11172403.04,-110893.02,-0.9828,50,10,10,-110893.02
2020-06-22,2020-06-26,2020-06-19,2020-06-22,11172403.04,11098040.91,-74362.13,-0.6656,1,1,1,-74362.13
