month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9568692.96,-431307.04000000004,3,-4.3131
2020-02,9568692.96,10069982.93,501289.97,4,5.2389
2020-03,10069982.93,10161623.71,91640.77999999997,5,0.91
2020-04,10161623.71,10161623.71,0.0,4,0.0
2020-05,10161623.71,10596332.38,434708.67000000004,3,4.2779
2020-06,10596332.38,10798156.31,201823.93,5,1.9047
2020-07,10798156.31,11214061.86,415905.55000000005,4,3.8516
2020-08,11214061.86,11120659.76,-93402.08999999991,5,-0.8329
2020-09,11120659.76,11494940.83,374281.07999999996,4,3.3656
2020-10,11494940.83,11225102.25,-269838.57999999996,2,-2.3475
2020-11,11225102.25,11848942.81,623840.56,5,5.5575
2020-12,11848942.81,11438883.67,-410059.14,3,-3.4607
2021-01,11438883.67,10930159.41,-508724.26000000007,3,-4.4473
2021-02,10930159.41,11190624.84,260465.43000000005,3,2.383
2021-03,11190624.84,10883617.8,-307007.04,5,-2.7434
2021-04,10883617.8,10715948.9,-167668.89,4,-1.5406
2021-05,10715948.9,10702752.55,-13196.350000000006,5,-0.1231
2021-06,10702752.55,10437323.91,-265428.64,4,-2.48
2021-07,10437323.91,10415582.76,-21741.14,4,-0.2083
2021-08,10415582.76,10209517.14,-206065.61999999997,5,-1.9784
2021-09,10209517.14,10680357.37,470840.23,4,4.6118
2021-10,10680357.37,11195571.73,515214.36,4,4.8239
2021-11,11195571.73,11042536.08,-153035.65000000002,5,-1.3669
2021-12,11042536.08,10128195.46,-914340.6299999999,4,-8.2802
2022-01,10128195.46,9567054.27,-561141.19,3,-5.5404
2022-02,9567054.27,9615576.04,48521.76000000001,5,0.5072
2022-03,9615576.04,9427094.53,-188481.51,4,-1.9602
2022-04,9427094.53,9212215.7,-214878.83,4,-2.2794
2022-05,9212215.7,9218037.33,5821.630000000005,5,0.0632
2022-06,9218037.33,8829266.39,-388770.95,4,-4.2175
2022-07,8829266.39,8788684.46,-40581.919999999984,4,-0.4596
2022-08,8788684.46,8720428.51,-68255.95,5,-0.7766
2022-09,8720428.51,8169328.79,-551099.72,3,-6.3196
2022-10,8169328.79,8099139.24,-70189.55,5,-0.8592
2022-11,8099139.24,7894065.29,-205073.94999999998,4,-2.532
2022-12,7894065.29,7889273.95,-4791.34,4,-0.0607
2023-01,7889273.95,8179774.27,290500.31999999995,4,3.6822
2023-02,8179774.27,8382959.66,203185.40000000002,4,2.484
2023-03,8382959.66,8189054.5,-193905.15999999997,4,-2.3131
2023-04,8189054.5,8266969.9,77915.4,4,0.9515
2023-05,8266969.9,8364900.97,97931.07999999999,4,1.1846
2023-06,8364900.97,8453051.05,88150.08999999998,4,1.0538
2023-07,8453051.05,8437644.68,-15406.369999999995,5,-0.1823
2023-08,8437644.68,8685470.8,247826.12,4,2.9371
2023-09,8685470.8,8557235.75,-128235.04999999999,4,-1.4764
2023-10,8557235.75,8576939.81,19704.06,4,0.2303
2023-11,8576939.81,8688083.17,111143.35999999999,4,1.2958
2023-12,8688083.17,8907270.53,219187.37,4,2.5229
2024-01,8907270.53,8639218.44,-268052.1,4,-3.0094
2024-02,8639218.44,8545950.91,-93267.53,3,-1.0796
2024-03,8545950.91,8501377.88,-44573.03,3,-0.5216
2024-04,8501377.88,8213978.84,-287399.04000000004,5,-3.3806
2024-05,8213978.84,8399155.5,185176.66999999998,4,2.2544
2024-06,8399155.5,8713606.34,314450.82999999996,4,3.7438
2024-07,8713606.34,8625447.18,-88159.15999999999,5,-1.0117
2024-08,8625447.18,7972820.79,-652626.39,4,-7.5663
2024-09,7972820.79,8200462.56,227641.78000000003,5,2.8552
2024-10,8200462.56,8088769.01,-111693.55,4,-1.362
2024-11,8088769.01,8317310.9,228541.90000000002,4,2.8254
2024-12,8317310.9,8309756.73,-7554.159999999985,5,-0.0908
