week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38119.05,39242.9902,take_profit,0,2172785.85,1086.39,1118.43,4473.7,2231258.31,57386.07,2.6398
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121560.75,119440.25,friday_liquidation,4,2188093.5,1094.05,1074.96,4299.85,2144549.69,-44637.86,-2.039
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147573.75,143428.25,friday_liquidation,4,2213606.25,1106.8,1075.71,4302.85,2146045.19,-68667.86,-3.1005
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47823.9,45409.9886,stop_loss,2,2343371.1,1171.69,1112.54,4450.18,2219526.72,-125016.07,-5.3322
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,284,10365.18,10670.7973,take_profit,1,2943711.12,1471.86,1515.25,6061.01,3022930.18,77747.2,2.6398
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89044.5,91669.9771,take_profit,1,2938468.5,1469.23,1512.55,6050.22,3017546.47,77608.74,2.6398
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,109,27363.675,28170.493,take_profit,1,2982640.57,1491.32,1535.29,6141.17,3062907.27,78775.38,2.6398
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,273,33266.625,31587.4921,stop_loss,1,9081788.62,4540.89,4311.69,17246.77,8601826.88,-484502.64,-5.3322
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,5,181590.75,186944.9533,take_profit,0,907953.75,453.98,467.36,1869.45,932387.95,23980.23,2.6398
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,28,37114.548,38208.8704,take_profit,0,1039207.34,519.6,534.92,2139.7,1067173.75,27446.8,2.6398
2020-02-03,2020-01-31,2020-02-03,2020-02-04,017960,한국카본,fallback,144,7403.7,7621.9981,take_profit,1,1066132.8,533.07,548.78,2195.14,1094823.81,28157.94,2.6398
