week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9819064.29,-180935.71,-1.8094,4,4,4,-180935.71
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9819064.29,10053195.6,234131.31,2.3845,3,3,3,234131.31
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10053195.6,9568692.96,-484502.64,-4.8194,1,1,1,-484502.64
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9568692.96,9748915.29,180222.32,1.8835,8,8,8,180222.32
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9748915.29,9921606.38,172691.1,1.7714,5,5,5,172691.1
2020-02-17,2020-02-21,2020-02-14,2020-02-17,9921606.38,10158369.84,236763.46,2.3863,1,1,1,236763.46
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10158369.84,10069982.93,-88386.91,-0.8701,16,10,10,-88386.91
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10069982.93,10343869.72,273886.79,2.7198,15,10,10,273886.79
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10343869.72,9923013.09,-420856.63,-4.0687,8,8,8,-420856.63
2020-03-16,2020-03-20,2020-03-13,2020-03-16,9923013.09,9943275.17,20262.07,0.2042,3,3,3,20262.07
2020-03-23,2020-03-27,2020-03-20,2020-03-23,9943275.17,9943275.17,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,9943275.17,10161623.71,218348.55,2.1959,1,1,1,218348.55
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10161623.71,10161623.71,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10161623.71,10161623.71,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10161623.71,10161623.71,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10161623.71,10161623.71,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10161623.71,10161623.71,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10161623.71,10481474.05,319850.34,3.1476,11,10,10,319850.34
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10481474.05,10596332.38,114858.33,1.0958,10,10,10,114858.33
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10596332.38,10850111.47,253779.09,2.395,11,10,10,253779.09
2020-06-08,2020-06-12,2020-06-05,2020-06-08,10850111.47,10850111.47,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,10850111.47,10719328.15,-130783.32,-1.2054,50,10,10,-130783.32
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10719328.15,10619254.07,-100074.08,-0.9336,1,1,1,-100074.08
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10619254.07,10798156.31,178902.24,1.6847,2,2,2,178902.24
2020-07-06,2020-07-10,2020-07-03,2020-07-06,10798156.31,10550050.84,-248105.47,-2.2977,3,3,3,-248105.47
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10550050.84,10815429.87,265379.03,2.5154,12,10,10,265379.03
2020-07-20,2020-07-24,2020-07-17,2020-07-20,10815429.87,11072973.55,257543.68,2.3813,1,1,1,257543.68
2020-07-27,2020-07-31,2020-07-24,2020-07-27,11072973.55,11214061.86,141088.31,1.2742,4,4,4,141088.31
2020-08-03,2020-08-07,2020-07-31,2020-08-03,11214061.86,11315908.68,101846.83,0.9082,2,2,2,101846.83
2020-08-10,2020-08-14,2020-08-07,2020-08-10,11315908.68,11411829.52,95920.83,0.8477,3,3,3,95920.83
2020-08-18,2020-08-21,2020-08-14,2020-08-18,11411829.52,10865095.06,-546734.45,-4.7909,2,2,2,-546734.45
2020-08-24,2020-08-28,2020-08-21,2020-08-24,10865095.06,11120659.76,255564.7,2.3522,1,1,1,255564.7
2020-08-31,2020-09-04,2020-08-28,2020-08-31,11120659.76,11120659.76,0.0,0.0,0,0,0,0.0
2020-09-07,2020-09-11,2020-09-04,2020-09-07,11120659.76,11243304.12,122644.36,1.1029,13,10,10,122644.36
2020-09-14,2020-09-18,2020-09-11,2020-09-14,11243304.12,11510309.09,267004.97,2.3748,1,1,1,267004.97
2020-09-21,2020-09-25,2020-09-18,2020-09-21,11510309.09,11236932.31,-273376.78,-2.3751,3,3,3,-273376.78
2020-09-28,2020-09-29,2020-09-25,2020-09-28,11236932.31,11494940.83,258008.53,2.2961,10,10,10,258008.53
2020-10-19,2020-10-23,2020-10-16,2020-10-19,11494940.83,11297711.97,-197228.86,-1.7158,13,10,10,-197228.86
2020-10-26,2020-10-30,2020-10-23,2020-10-26,11297711.97,11225102.25,-72609.72,-0.6427,4,4,4,-72609.72
2020-11-02,2020-11-06,2020-10-30,2020-11-02,11225102.25,11500551.21,275448.96,2.4539,30,10,10,275448.96
2020-11-09,2020-11-13,2020-11-06,2020-11-09,11500551.21,11685495.87,184944.66,1.6081,3,3,3,184944.66
2020-11-16,2020-11-20,2020-11-13,2020-11-16,11685495.87,11685495.87,0.0,0.0,0,0,0,0.0
2020-11-23,2020-11-27,2020-11-20,2020-11-23,11685495.87,11685495.87,0.0,0.0,0,0,0,0.0
2020-11-30,2020-12-04,2020-11-27,2020-11-30,11685495.87,11848942.81,163446.94,1.3987,3,3,3,163446.94
2020-12-07,2020-12-11,2020-12-04,2020-12-07,11848942.81,12009102.27,160159.46,1.3517,7,7,7,160159.46
2020-12-14,2020-12-18,2020-12-11,2020-12-14,12009102.27,12009102.27,0.0,0.0,0,0,0,0.0
2020-12-21,2020-12-24,2020-12-18,2020-12-21,12009102.27,11438883.67,-570218.6,-4.7482,1,1,1,-570218.6
2021-01-11,2021-01-15,2021-01-08,2021-01-11,11438883.67,10899045.49,-539838.18,-4.7193,1,1,1,-539838.18
2021-01-18,2021-01-22,2021-01-15,2021-01-18,10899045.49,10961918.32,62872.83,0.5769,5,5,5,62872.83
2021-01-25,2021-01-29,2021-01-22,2021-01-25,10961918.32,10930159.41,-31758.91,-0.2897,7,7,7,-31758.91
2021-02-01,2021-02-05,2021-01-29,2021-02-01,10930159.41,11200425.05,270265.64,2.4727,66,10,10,270265.64
2021-02-08,2021-02-10,2021-02-05,2021-02-08,11200425.05,11453016.78,252591.73,2.2552,1,1,1,252591.73
2021-02-22,2021-02-26,2021-02-19,2021-02-22,11453016.78,11190624.84,-262391.94,-2.291,3,3,3,-262391.94
2021-03-02,2021-03-05,2021-02-26,2021-03-02,11190624.84,10987765.81,-202859.02,-1.8128,48,10,10,-202859.02
2021-03-08,2021-03-12,2021-03-05,2021-03-08,10987765.81,10727432.54,-260333.27,-2.3693,18,10,10,-260333.27
2021-03-15,2021-03-19,2021-03-12,2021-03-15,10727432.54,10727432.54,0.0,0.0,0,0,0,0.0
2021-03-22,2021-03-26,2021-03-19,2021-03-22,10727432.54,10633668.51,-93764.03,-0.8741,5,5,5,-93764.03
2021-03-29,2021-04-02,2021-03-26,2021-03-29,10633668.51,10883617.8,249949.28,2.3505,2,2,2,249949.28
2021-04-05,2021-04-09,2021-04-02,2021-04-05,10883617.8,11141378.16,257760.36,2.3683,1,1,1,257760.36
2021-04-12,2021-04-16,2021-04-09,2021-04-12,11141378.16,11240059.48,98681.33,0.8857,2,2,2,98681.33
2021-04-19,2021-04-23,2021-04-16,2021-04-19,11240059.48,11240059.48,0.0,0.0,0,0,0,0.0
