month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9614784.78,-385215.22000000003,3,-3.8522
2020-02,9614784.78,10179322.0,564537.23,4,5.8716
2020-03,10179322.0,10352219.93,172897.93000000002,5,1.6985
2020-04,10352219.93,10352219.93,0.0,4,0.0
2020-05,10352219.93,10829251.34,477031.41000000003,3,4.608
2020-06,10829251.34,11109049.91,279798.56999999995,5,2.5837
2020-07,11109049.91,11605244.57,496194.65,4,4.4666
2020-08,11605244.57,11580237.75,-25006.820000000007,5,-0.2155
2020-09,11580237.75,12046246.93,466009.18,4,4.0242
2020-10,12046246.93,11814108.84,-232138.09,2,-1.9271
2020-11,11814108.84,12534781.67,720672.83,5,6.1001
2020-12,12534781.67,12131181.27,-403600.4,3,-3.2198
2021-01,12131181.27,11653977.68,-477203.59,3,-3.9337
2021-02,11653977.68,11980219.97,326242.29000000004,3,2.7994
2021-03,11980219.97,11701434.87,-278785.1,5,-2.327
2021-04,11701434.87,11578587.04,-122847.83999999997,4,-1.0499
2021-05,11578587.04,11629499.31,50912.259999999995,5,0.4397
2021-06,11629499.31,11408208.94,-221290.37,4,-1.9028
2021-07,11408208.94,11457243.46,49034.520000000004,4,0.4298
2021-08,11457243.46,11315762.24,-141481.22000000003,5,-1.2349
2021-09,11315762.24,11875328.45,559566.21,4,4.945
2021-10,11875328.45,12534653.74,659325.3,4,5.5521
2021-11,12534653.74,12540884.51,6230.7699999999895,5,0.0497
2021-12,12540884.51,11554517.33,-986367.1799999999,4,-7.8652
2022-01,11554517.33,11063756.07,-490761.26,3,-4.2474
2022-02,11063756.07,11188115.52,124359.43999999999,5,1.124
2022-03,11188115.52,11052259.76,-135855.75000000003,4,-1.2143
2022-04,11052259.76,10878965.02,-173294.75,4,-1.568
2022-05,10878965.02,10917873.83,38908.81,5,0.3577
2022-06,10917873.83,10497768.46,-420105.37,4,-3.8479
2022-07,10497768.46,10504762.22,6993.7599999999875,4,0.0666
2022-08,10504762.22,10489074.59,-15687.630000000005,5,-0.1493
2022-09,10489074.59,9882887.55,-606187.04,3,-5.7792
2022-10,9882887.55,9852655.29,-30232.259999999987,5,-0.3059
2022-11,9852655.29,9633821.85,-218833.44000000003,4,-2.2211
2022-12,9633821.85,9661932.35,28110.510000000017,4,0.2918
2023-01,9661932.35,10058988.31,397055.95,4,4.1095
2023-02,10058988.31,10391666.56,332678.26,4,3.3073
2023-03,10391666.56,10299572.88,-92093.67999999993,4,-0.8862
2023-04,10299572.88,10461228.17,161655.28999999998,4,1.5695
2023-05,10461228.17,10648296.98,187068.81,4,1.7882
2023-06,10648296.98,10827348.23,179051.25,4,1.6815
2023-07,10827348.23,10854306.82,26958.589999999967,5,0.249
2023-08,10854306.82,11262203.0,407896.17,4,3.7579
2023-09,11262203.0,11145545.26,-116657.73999999999,4,-1.0358
2023-10,11145545.26,11257306.45,111761.18,4,1.0027
2023-11,11257306.45,11458036.38,200729.93,4,1.7831
2023-12,11458036.38,11820483.59,362447.20000000007,4,3.1633
2024-01,11820483.59,11539176.62,-281306.96,4,-2.3798
2024-02,11539176.62,11480105.94,-59070.67999999999,3,-0.5119
2024-03,11480105.94,11601834.15,121728.19999999998,3,1.0603
2024-04,11601834.15,11363067.51,-238766.64,5,-2.058
2024-05,11363067.51,11684416.03,321348.53,4,2.828
2024-06,11684416.03,12204071.41,519655.37000000005,4,4.4474
2024-07,12204071.41,12171962.59,-32108.820000000007,5,-0.2631
2024-08,12171962.59,11270766.87,-901195.71,4,-7.4039
2024-09,11270766.87,11646399.36,375632.49,5,3.3328
2024-10,11646399.36,11559125.2,-87274.16999999998,4,-0.7494
2024-11,11559125.2,11959596.72,400471.52,4,3.4645
2024-12,11959596.72,12038771.5,79174.78,5,0.662
