week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38100.0,39243.0,take_profit,0,2171700.0,325.75,335.53,3355.28,2233160.2,61134.44,2.8146
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121500.0,119500.0,friday_liquidation,4,2187000.0,328.05,322.65,3226.5,2147450.85,-39877.2,-1.8231
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147500.0,143500.0,friday_liquidation,4,2212500.0,331.88,322.88,3228.75,2148948.38,-63883.5,-2.887
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47800.0,45410.0,stop_loss,2,2342200.0,351.33,333.76,3337.64,2221418.6,-121132.73,-5.171
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,285,10360.0,10670.8,take_profit,1,2952600.0,442.89,456.18,4561.77,3036160.06,83117.17,2.8146
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89000.0,91670.0,take_profit,1,2937000.0,440.55,453.77,4537.66,3020118.57,82678.02,2.8146
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,109,27350.0,28170.5,take_profit,1,2981150.0,447.17,460.59,4605.88,3065518.04,83920.86,2.8146
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,274,33250.0,31587.5,stop_loss,1,9110500.0,1366.58,1298.25,12982.46,8640694.29,-471172.28,-5.171
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,5,181500.0,186945.0,take_profit,0,907500.0,136.12,140.21,1402.09,933182.7,25546.58,2.8146
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,28,37096.0,38208.88,take_profit,0,1038688.0,155.8,160.48,1604.77,1068083.39,29239.59,2.8146
2020-02-03,2020-01-31,2020-02-03,2020-02-04,017960,한국카본,fallback,145,7400.0,7622.0,take_profit,1,1073000.0,160.95,165.78,1657.79,1103366.44,30205.49,2.8146
2020-02-03,2020-01-31,2020-02-03,2020-02-07,006280,녹십자,fallback,8,124000.0,122500.0,friday_liquidation,4,992000.0,148.8,147.0,1470.0,978383.0,-13765.8,-1.3875
2020-02-03,2020-01-31,2020-02-03,2020-02-03,282330,BGF리테일,fallback,6,165000.0,169950.0,take_profit,0,990000.0,148.5,152.96,1529.55,1018017.49,27868.99,2.8146
2020-02-03,2020-01-31,2020-02-03,2020-02-04,267260,HD현대일렉트릭,fallback,120,9690.0,9980.7,take_profit,1,1162800.0,174.42,179.65,1796.53,1195707.82,32733.4,2.8146
2020-02-03,2020-01-31,2020-02-03,2020-02-03,000100,유한양행,fallback,32,35713.0,36784.39,take_profit,0,1142816.0,171.42,176.57,1765.65,1175158.26,32170.84,2.8146
2020-02-03,2020-01-31,2020-02-03,2020-02-03,082740,한화엔진,fallback,377,3050.0,3141.5,take_profit,0,1149850.0,172.48,177.65,1776.52,1182391.33,32368.85,2.8146
2020-02-10,2020-02-07,2020-02-10,2020-02-12,008770,호텔신라,fallback,19,90800.0,93524.0,take_profit,2,1725200.0,258.78,266.54,2665.43,1774024.02,48565.24,2.8146
2020-02-10,2020-02-07,2020-02-10,2020-02-11,090430,아모레퍼시픽,fallback,9,178000.0,183340.0,take_profit,1,1602000.0,240.3,247.51,2475.09,1647337.4,45097.1,2.8146
2020-02-10,2020-02-07,2020-02-10,2020-02-13,003230,삼양식품,fallback,18,97900.0,100837.0,take_profit,3,1762200.0,264.33,272.26,2722.6,1812071.14,49606.81,2.8146
2020-02-10,2020-02-07,2020-02-10,2020-02-12,010140,삼성중공업,fallback,295,6257.0,6444.71,take_profit,2,1845815.0,276.87,285.18,2851.78,1898052.49,51960.62,2.8146
2020-02-10,2020-02-07,2020-02-10,2020-02-14,016360,삼성증권,fallback,51,35300.0,35250.0,friday_liquidation,4,1800300.0,270.05,269.66,2696.62,1794783.71,-5786.33,-0.3214
2020-02-17,2020-02-14,2020-02-17,2020-02-17,009240,한샘,fallback,129,70000.0,72100.0,take_profit,0,9030000.0,1354.5,1395.13,13951.35,9285553.52,254199.02,2.8146
2020-02-24,2020-02-21,2020-02-24,2020-02-26,207940,삼성바이오로직스,fallback,1,683623.0,704131.69,take_profit,2,683623.0,102.54,105.62,1056.2,702969.87,19244.33,2.8146
2020-02-24,2020-02-21,2020-02-24,2020-02-24,003670,포스코퓨처엠,fallback,17,51856.0,53411.68,take_profit,0,881552.0,132.23,136.2,1362.0,906500.36,24816.13,2.8146
2020-02-24,2020-02-21,2020-02-24,2020-02-26,008770,호텔신라,fallback,10,84700.0,87241.0,take_profit,2,847000.0,127.05,130.86,1308.62,870970.52,23843.47,2.8146
2020-02-24,2020-02-21,2020-02-24,2020-02-24,005420,코스모화학,fallback,123,7399.0,7620.97,take_profit,0,910077.0,136.51,140.61,1406.07,935832.63,25619.12,2.8146
2020-02-24,2020-02-21,2020-02-24,2020-02-25,093370,후성,fallback,120,7617.0,7845.51,take_profit,1,914040.0,137.11,141.22,1412.19,939907.79,25730.68,2.8146
2020-02-24,2020-02-21,2020-02-24,2020-02-25,002380,KCC,fallback,4,194000.0,184300.0,stop_loss,1,776000.0,116.4,110.58,1105.8,735983.62,-40132.78,-5.171
2020-02-24,2020-02-21,2020-02-24,2020-02-28,298020,효성티앤씨,fallback,6,159000.0,151000.0,stop_loss_gap_open,4,954000.0,143.1,135.9,1359.0,904505.1,-49638.0,-5.2024
2020-02-24,2020-02-21,2020-02-24,2020-02-28,204320,HL만도,fallback,30,32000.0,30400.0,stop_loss,4,960000.0,144.0,136.8,1368.0,910495.2,-49648.8,-5.171
2020-02-24,2020-02-21,2020-02-24,2020-02-28,009240,한샘,fallback,15,64000.0,64000.0,friday_liquidation,4,960000.0,144.0,144.0,1440.0,958416.0,-1728.0,-0.18
2020-02-24,2020-02-21,2020-02-24,2020-02-28,064350,현대로템,fallback,74,14000.0,13300.0,stop_loss,4,1036000.0,155.4,147.63,1476.3,982576.07,-53579.33,-5.171
2020-03-02,2020-02-28,2020-03-02,2020-03-02,051910,LG화학,fallback,2,368500.0,379555.0,take_profit,0,737000.0,110.55,113.87,1138.66,757857.47,20746.92,2.8146
2020-03-02,2020-02-28,2020-03-02,2020-03-02,006400,삼성SDI,fallback,3,290282.0,298990.46,take_profit,0,870846.0,130.63,134.55,1345.46,895491.38,24514.75,2.8146
2020-03-02,2020-02-28,2020-03-02,2020-03-03,207940,삼성바이오로직스,fallback,1,673442.0,697442.0,take_profit_gap_open,1,673442.0,101.02,104.62,1046.16,696291.22,22748.2,3.3774
2020-03-02,2020-02-28,2020-03-02,2020-03-03,009150,삼성전기,fallback,7,128500.0,136000.0,take_profit_gap_open,1,899500.0,134.93,142.8,1428.0,950429.2,50794.27,5.6461
2020-03-02,2020-02-28,2020-03-02,2020-03-02,003670,포스코퓨처엠,fallback,20,50494.0,52008.82,take_profit,0,1009880.0,151.48,156.03,1560.26,1038460.11,28428.63,2.8146
2020-03-02,2020-02-28,2020-03-02,2020-03-05,035420,NAVER,fallback,5,175000.0,180500.0,take_profit_gap_open,3,875000.0,131.25,135.38,1353.75,901010.88,25879.62,2.9572
2020-03-02,2020-02-28,2020-03-02,2020-03-06,032640,LG유플러스,fallback,78,13100.0,13300.0,friday_liquidation,4,1021800.0,153.27,155.61,1556.1,1035688.29,13735.02,1.344
2020-03-02,2020-02-28,2020-03-02,2020-03-03,005930,삼성전자,fallback,19,54300.0,56700.0,take_profit_gap_open,1,1031700.0,154.75,161.59,1615.95,1075522.46,43667.7,4.232
2020-03-02,2020-02-28,2020-03-02,2020-03-03,028260,삼성물산,fallback,9,106000.0,109180.0,take_profit,1,954000.0,143.1,147.39,1473.93,980998.68,26855.58,2.8146
2020-03-02,2020-02-28,2020-03-02,2020-03-03,011790,SKC,fallback,23,48876.0,50662.0,take_profit_gap_open,1,1124148.0,168.62,174.78,1747.84,1163303.38,38986.75,3.4676
2020-03-09,2020-03-06,2020-03-09,2020-03-12,005930,삼성전자,fallback,20,54700.0,51000.0,stop_loss_gap_open,3,1094000.0,164.1,153.0,1530.0,1018317.0,-75847.1,-6.932
2020-03-09,2020-03-06,2020-03-09,2020-03-12,000660,SK하이닉스,fallback,12,89500.0,83800.0,stop_loss_gap_open,3,1074000.0,161.1,150.84,1508.4,1003940.76,-70220.34,-6.5372
