week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9836241.01,-163758.99,-1.6376,4,4,4,-163758.99
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9836241.01,10085957.06,249716.05,2.5387,3,3,3,249716.05
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10085957.06,9614784.78,-471172.28,-4.6716,1,1,1,-471172.28
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9614784.78,9811152.72,196367.94,2.0424,8,8,8,196367.94
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9811152.72,10000596.16,189443.44,1.9309,5,5,5,189443.44
2020-02-17,2020-02-21,2020-02-14,2020-02-17,10000596.16,10254795.17,254199.02,2.5418,1,1,1,254199.02
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10254795.17,10179322.0,-75473.17,-0.736,16,10,10,-75473.17
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10179322.0,10475679.45,296357.45,2.9114,15,10,10,296357.45
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10475679.45,10064639.97,-411039.48,-3.9238,8,8,8,-411039.48
2020-03-16,2020-03-20,2020-03-13,2020-03-16,10064639.97,10101716.06,37076.09,0.3684,3,3,3,37076.09
2020-03-23,2020-03-27,2020-03-20,2020-03-23,10101716.06,10101716.06,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,10101716.06,10352219.93,250503.87,2.4798,1,1,1,250503.87
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10352219.93,10352219.93,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10352219.93,10352219.93,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10352219.93,10352219.93,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10352219.93,10352219.93,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10352219.93,10352219.93,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10352219.93,10696946.92,344727.0,3.33,11,10,10,344727.0
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10696946.92,10829251.34,132304.41,1.2368,10,10,10,132304.41
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10829251.34,11105580.31,276328.97,2.5517,11,10,10,276328.97
2020-06-08,2020-06-12,2020-06-05,2020-06-08,11105580.31,11105580.31,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,11105580.31,10987226.77,-118353.54,-1.0657,50,10,10,-118353.54
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10987226.77,10906259.78,-80966.99,-0.7369,1,1,1,-80966.99
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10906259.78,11109049.91,202790.13,1.8594,2,2,2,202790.13
2020-07-06,2020-07-10,2020-07-03,2020-07-06,11109049.91,10863338.84,-245711.07,-2.2118,3,3,3,-245711.07
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10863338.84,11154809.73,291470.88,2.6831,12,10,10,291470.88
2020-07-20,2020-07-24,2020-07-17,2020-07-20,11154809.73,11438026.28,283216.55,2.539,1,1,1,283216.55
2020-07-27,2020-07-31,2020-07-24,2020-07-27,11438026.28,11605244.57,167218.29,1.462,4,4,4,167218.29
2020-08-03,2020-08-07,2020-07-31,2020-08-03,11605244.57,11731221.4,125976.83,1.0855,2,2,2,125976.83
2020-08-10,2020-08-14,2020-08-07,2020-08-10,11731221.4,11850298.4,119077.0,1.015,3,3,3,119077.0
2020-08-18,2020-08-21,2020-08-14,2020-08-18,11850298.4,11300417.25,-549881.15,-4.6402,2,2,2,-549881.15
2020-08-24,2020-08-28,2020-08-21,2020-08-24,11300417.25,11580237.75,279820.5,2.4762,1,1,1,279820.5
2020-08-31,2020-09-04,2020-08-28,2020-08-31,11580237.75,11580237.75,0.0,0.0,0,0,0,0.0
2020-09-07,2020-09-11,2020-09-04,2020-09-07,11580237.75,11729405.22,149167.47,1.2881,13,10,10,149167.47
2020-09-14,2020-09-18,2020-09-11,2020-09-14,11729405.22,12025413.36,296008.14,2.5236,1,1,1,296008.14
2020-09-21,2020-09-25,2020-09-18,2020-09-21,12025413.36,11756921.95,-268491.41,-2.2327,3,3,3,-268491.41
2020-09-28,2020-09-29,2020-09-25,2020-09-28,11756921.95,12046246.93,289324.98,2.4609,10,10,10,289324.98
2020-10-19,2020-10-23,2020-10-16,2020-10-19,12046246.93,11862629.35,-183617.58,-1.5243,13,10,10,-183617.58
2020-10-26,2020-10-30,2020-10-23,2020-10-26,11862629.35,11814108.84,-48520.51,-0.409,4,4,4,-48520.51
2020-11-02,2020-11-06,2020-10-30,2020-11-02,11814108.84,12124401.56,310292.72,2.6265,30,10,10,310292.72
2020-11-09,2020-11-13,2020-11-06,2020-11-09,12124401.56,12340848.86,216447.3,1.7852,3,3,3,216447.3
2020-11-16,2020-11-20,2020-11-13,2020-11-16,12340848.86,12340848.86,0.0,0.0,0,0,0,0.0
2020-11-23,2020-11-27,2020-11-20,2020-11-23,12340848.86,12340848.86,0.0,0.0,0,0,0,0.0
2020-11-30,2020-12-04,2020-11-27,2020-11-30,12340848.86,12534781.67,193932.81,1.5715,3,3,3,193932.81
2020-12-07,2020-12-11,2020-12-04,2020-12-07,12534781.67,12716631.8,181850.13,1.4508,7,7,7,181850.13
2020-12-14,2020-12-18,2020-12-11,2020-12-14,12716631.8,12716631.8,0.0,0.0,0,0,0,0.0
2020-12-21,2020-12-24,2020-12-18,2020-12-21,12716631.8,12131181.27,-585450.53,-4.6038,1,1,1,-585450.53
2021-01-11,2021-01-15,2021-01-08,2021-01-11,12131181.27,11576490.6,-554690.67,-4.5724,1,1,1,-554690.67
2021-01-18,2021-01-22,2021-01-15,2021-01-18,11576490.6,11660263.25,83772.65,0.7236,5,5,5,83772.65
2021-01-25,2021-01-29,2021-01-22,2021-01-25,11660263.25,11653977.68,-6285.57,-0.0539,7,7,7,-6285.57
2021-02-01,2021-02-05,2021-01-29,2021-02-01,11653977.68,11959832.46,305854.78,2.6245,66,10,10,305854.78
2021-02-08,2021-02-10,2021-02-05,2021-02-08,11959832.46,12249360.36,289527.89,2.4208,1,1,1,289527.89
2021-02-22,2021-02-26,2021-02-19,2021-02-22,12249360.36,11980219.97,-269140.38,-2.1972,3,3,3,-269140.38
2021-03-02,2021-03-05,2021-02-26,2021-03-02,11980219.97,11765938.02,-214281.95,-1.7886,48,10,10,-214281.95
2021-03-08,2021-03-12,2021-03-05,2021-03-08,11765938.02,11492661.4,-273276.62,-2.3226,18,10,10,-273276.62
2021-03-15,2021-03-19,2021-03-12,2021-03-15,11492661.4,11492661.4,0.0,0.0,0,0,0,0.0
2021-03-22,2021-03-26,2021-03-19,2021-03-22,11492661.4,11415848.05,-76813.35,-0.6684,5,5,5,-76813.35
2021-03-29,2021-04-02,2021-03-26,2021-03-29,11415848.05,11701434.87,285586.82,2.5017,2,2,2,285586.82
2021-04-05,2021-04-09,2021-04-02,2021-04-05,11701434.87,11996944.74,295509.87,2.5254,1,1,1,295509.87
2021-04-12,2021-04-16,2021-04-09,2021-04-12,11996944.74,12124272.01,127327.26,1.0613,2,2,2,127327.26
2021-04-19,2021-04-23,2021-04-16,2021-04-19,12124272.01,12124272.01,0.0,0.0,0,0,0,0.0
2021-04-26,2021-04-30,2021-04-23,2021-04-26,12124272.01,11578587.04,-545684.97,-4.5008,5,5,5,-545684.97
2021-05-03,2021-05-07,2021-04-30,2021-05-03,11578587.04,11616361.47,37774.42,0.3262,12,10,10,37774.42
2021-05-10,2021-05-14,2021-05-07,2021-05-10,11616361.47,11616361.47,0.0,0.0,0,0,0,0.0
2021-05-17,2021-05-21,2021-05-14,2021-05-17,11616361.47,11512258.98,-104102.49,-0.8962,2,2,2,-104102.49
2021-05-24,2021-05-28,2021-05-21,2021-05-24,11512258.98,11629499.31,117240.33,1.0184,7,7,7,117240.33
2021-05-31,2021-06-04,2021-05-28,2021-05-31,11629499.31,11629499.31,0.0,0.0,0,0,0,0.0
2021-06-07,2021-06-11,2021-06-04,2021-06-07,11629499.31,11294612.13,-334887.18,-2.8796,2,2,2,-334887.18
2021-06-14,2021-06-18,2021-06-11,2021-06-14,11294612.13,11294612.13,0.0,0.0,0,0,0,0.0
2021-06-21,2021-06-25,2021-06-18,2021-06-21,11294612.13,11379844.09,85231.97,0.7546,6,6,6,85231.97
2021-06-28,2021-07-02,2021-06-25,2021-06-28,11379844.09,11408208.94,28364.84,0.2493,1,1,1,28364.84
2021-07-05,2021-07-09,2021-07-02,2021-07-05,11408208.94,11408208.94,0.0,0.0,0,0,0,0.0
2021-07-12,2021-07-16,2021-07-09,2021-07-12,11408208.94,11555495.2,147286.26,1.2911,19,10,10,147286.26
2021-07-19,2021-07-23,2021-07-16,2021-07-19,11555495.2,11557022.62,1527.43,0.0132,5,5,5,1527.43
2021-07-26,2021-07-30,2021-07-23,2021-07-26,11557022.62,11457243.46,-99779.17,-0.8634,3,3,3,-99779.17
2021-08-02,2021-08-06,2021-07-30,2021-08-02,11457243.46,11487385.07,30141.61,0.2631,11,10,10,30141.61
2021-08-09,2021-08-13,2021-08-06,2021-08-09,11487385.07,11233223.38,-254161.69,-2.2125,2,2,2,-254161.69
2021-08-17,2021-08-20,2021-08-13,2021-08-17,11233223.38,10787411.49,-445811.9,-3.9687,11,10,10,-445811.9
2021-08-23,2021-08-27,2021-08-20,2021-08-23,10787411.49,11039431.86,252020.38,2.3362,14,10,10,252020.38
2021-08-30,2021-09-03,2021-08-27,2021-08-30,11039431.86,11315762.24,276330.38,2.5031,1,1,1,276330.38
2021-09-06,2021-09-10,2021-09-03,2021-09-06,11315762.24,11315762.24,0.0,0.0,0,0,0,0.0
2021-09-13,2021-09-17,2021-09-10,2021-09-13,11315762.24,11315762.24,0.0,0.0,0,0,0,0.0
2021-09-23,2021-09-27,2021-09-17,2021-09-23,11315762.24,11585528.48,269766.24,2.384,1,1,1,269766.24
2021-09-27,2021-10-01,2021-09-24,2021-09-27,11585528.48,11875328.45,289799.97,2.5014,2,2,2,289799.97
2021-10-05,2021-10-08,2021-10-01,2021-10-05,11875328.45,11820508.84,-54819.61,-0.4616,12,10,10,-54819.61
2021-10-12,2021-10-15,2021-10-08,2021-10-12,11820508.84,12120073.74,299564.9,2.5343,7,7,7,299564.9
2021-10-18,2021-10-22,2021-10-15,2021-10-18,12120073.74,12388072.14,267998.4,2.2112,1,1,1,267998.4
2021-10-25,2021-10-29,2021-10-22,2021-10-25,12388072.14,12534653.74,146581.61,1.1832,5,5,5,146581.61
2021-11-01,2021-11-05,2021-10-29,2021-11-01,12534653.74,12592661.51,58007.77,0.4628,6,6,6,58007.77
2021-11-08,2021-11-12,2021-11-05,2021-11-08,12592661.51,12462632.87,-130028.64,-1.0326,17,10,10,-130028.64
2021-11-15,2021-11-19,2021-11-12,2021-11-15,12462632.87,12462632.87,0.0,0.0,0,0,0,0.0
2021-11-22,2021-11-26,2021-11-19,2021-11-22,12462632.87,12335753.57,-126879.3,-1.0181,5,5,5,-126879.3
2021-11-29,2021-12-03,2021-11-26,2021-11-29,12335753.57,12540884.51,205130.94,1.6629,9,9,9,205130.94
2021-12-06,2021-12-10,2021-12-03,2021-12-06,12540884.51,12540884.51,0.0,0.0,0,0,0,0.0
2021-12-13,2021-12-17,2021-12-10,2021-12-13,12540884.51,12223950.71,-316933.79,-2.5272,5,5,5,-316933.79
2021-12-20,2021-12-24,2021-12-17,2021-12-20,12223950.71,12102593.53,-121357.18,-0.9928,2,2,2,-121357.18
2021-12-27,2021-12-30,2021-12-24,2021-12-27,12102593.53,11554517.33,-548076.21,-4.5286,1,1,1,-548076.21
2022-01-10,2022-01-14,2022-01-07,2022-01-10,11554517.33,11591079.05,36561.72,0.3164,1,1,1,36561.72
2022-01-17,2022-01-21,2022-01-14,2022-01-17,11591079.05,11273219.41,-317859.64,-2.7423,3,3,3,-317859.64
2022-01-24,2022-01-28,2022-01-21,2022-01-24,11273219.41,11063756.07,-209463.34,-1.8581,9,9,9,-209463.34
2022-02-03,2022-02-07,2022-01-28,2022-02-03,11063756.07,11349050.13,285294.06,2.5786,1,1,1,285294.06
2022-02-07,2022-02-11,2022-02-04,2022-02-07,11349050.13,11358067.05,9016.92,0.0795,3,3,3,9016.92
2022-02-14,2022-02-18,2022-02-11,2022-02-14,11358067.05,11277196.29,-80870.77,-0.712,11,10,10,-80870.77
2022-02-21,2022-02-25,2022-02-18,2022-02-21,11277196.29,11277196.29,0.0,0.0,0,0,0,0.0
2022-02-28,2022-03-04,2022-02-25,2022-02-28,11277196.29,11188115.52,-89080.77,-0.7899,4,4,4,-89080.77
2022-03-07,2022-03-11,2022-03-04,2022-03-07,11188115.52,10677818.95,-510296.57,-4.5611,1,1,1,-510296.57
2022-03-14,2022-03-18,2022-03-11,2022-03-14,10677818.95,11111027.0,433208.05,4.0571,1,1,1,433208.05
2022-03-21,2022-03-25,2022-03-18,2022-03-21,11111027.0,11164293.48,53266.49,0.4794,2,2,2,53266.49
2022-03-28,2022-04-01,2022-03-25,2022-03-28,11164293.48,11052259.76,-112033.72,-1.0035,4,4,4,-112033.72
2022-04-04,2022-04-08,2022-04-01,2022-04-04,11052259.76,10791210.71,-261049.05,-2.362,7,7,7,-261049.05
2022-04-11,2022-04-15,2022-04-08,2022-04-11,10791210.71,10678630.8,-112579.91,-1.0433,2,2,2,-112579.91
2022-04-18,2022-04-22,2022-04-15,2022-04-18,10678630.8,10822429.85,143799.05,1.3466,6,6,6,143799.05
2022-04-25,2022-04-29,2022-04-22,2022-04-25,10822429.85,10878965.02,56535.16,0.5224,4,4,4,56535.16
2022-05-02,2022-05-06,2022-04-29,2022-05-02,10878965.02,10814961.46,-64003.56,-0.5883,5,5,5,-64003.56
2022-05-09,2022-05-13,2022-05-06,2022-05-09,10814961.46,10646318.34,-168643.12,-1.5594,12,10,10,-168643.12
2022-05-16,2022-05-20,2022-05-13,2022-05-16,10646318.34,10646318.34,0.0,0.0,0,0,0,0.0
2022-05-23,2022-05-27,2022-05-20,2022-05-23,10646318.34,10646318.34,0.0,0.0,0,0,0,0.0
2022-05-30,2022-06-03,2022-05-27,2022-05-30,10646318.34,10917873.83,271555.49,2.5507,1,1,1,271555.49
2022-06-07,2022-06-10,2022-06-03,2022-06-07,10917873.83,10917873.83,0.0,0.0,0,0,0,0.0
2022-06-13,2022-06-17,2022-06-10,2022-06-13,10917873.83,10811235.69,-106638.13,-0.9767,5,5,5,-106638.13
2022-06-20,2022-06-24,2022-06-17,2022-06-20,10811235.69,10497768.46,-313467.24,-2.8995,4,4,4,-313467.24
2022-06-27,2022-07-01,2022-06-24,2022-06-27,10497768.46,10497768.46,0.0,0.0,0,0,0,0.0
2022-07-04,2022-07-08,2022-07-01,2022-07-04,10497768.46,10261651.27,-236117.19,-2.2492,3,3,3,-236117.19
2022-07-11,2022-07-15,2022-07-08,2022-07-11,10261651.27,10261651.27,0.0,0.0,0,0,0,0.0
2022-07-18,2022-07-22,2022-07-15,2022-07-18,10261651.27,10521766.82,260115.55,2.5348,1,1,1,260115.55
2022-07-25,2022-07-29,2022-07-22,2022-07-25,10521766.82,10504762.22,-17004.6,-0.1616,1,1,1,-17004.6
2022-08-01,2022-08-05,2022-07-29,2022-08-01,10504762.22,10768124.22,263362.0,2.5071,1,1,1,263362.0
2022-08-08,2022-08-12,2022-08-05,2022-08-08,10768124.22,10768124.22,0.0,0.0,0,0,0,0.0
2022-08-16,2022-08-19,2022-08-12,2022-08-16,10768124.22,10440923.85,-327200.37,-3.0386,1,1,1,-327200.37
2022-08-22,2022-08-26,2022-08-19,2022-08-22,10440923.85,10326566.14,-114357.71,-1.0953,2,2,2,-114357.71
2022-08-29,2022-09-02,2022-08-26,2022-08-29,10326566.14,10489074.59,162508.45,1.5737,5,5,5,162508.45
2022-09-05,2022-09-08,2022-09-02,2022-09-05,10489074.59,10491187.33,2112.74,0.0201,5,5,5,2112.74
2022-09-19,2022-09-23,2022-09-16,2022-09-19,10491187.33,10276559.77,-214627.56,-2.0458,12,10,10,-214627.56
2022-09-26,2022-09-30,2022-09-23,2022-09-26,10276559.77,9882887.55,-393672.22,-3.8308,28,10,10,-393672.22
2022-10-04,2022-10-07,2022-09-30,2022-10-04,9882887.55,10067733.72,184846.17,1.8704,13,10,10,184846.17
2022-10-11,2022-10-14,2022-10-07,2022-10-11,10067733.72,9840190.53,-227543.19,-2.2601,9,9,9,-227543.19
2022-10-17,2022-10-21,2022-10-14,2022-10-17,9840190.53,9840190.53,0.0,0.0,0,0,0,0.0
2022-10-24,2022-10-28,2022-10-21,2022-10-24,9840190.53,9852655.29,12464.76,0.1267,3,3,3,12464.76
2022-10-31,2022-11-04,2022-10-28,2022-10-31,9852655.29,9852655.29,0.0,0.0,0,0,0,0.0
2022-11-07,2022-11-11,2022-11-04,2022-11-07,9852655.29,9852655.29,0.0,0.0,0,0,0,0.0
2022-11-14,2022-11-18,2022-11-11,2022-11-14,9852655.29,9394986.45,-457668.84,-4.6451,1,1,1,-457668.84
2022-11-21,2022-11-25,2022-11-18,2022-11-21,9394986.45,9394986.45,0.0,0.0,0,0,0,0.0
2022-11-28,2022-12-02,2022-11-25,2022-11-28,9394986.45,9633821.85,238835.4,2.5422,1,1,1,238835.4
2022-12-05,2022-12-09,2022-12-02,2022-12-05,9633821.85,9464401.27,-169420.58,-1.7586,18,10,10,-169420.58
2022-12-12,2022-12-16,2022-12-09,2022-12-12,9464401.27,9564953.35,100552.08,1.0624,8,8,8,100552.08
2022-12-19,2022-12-23,2022-12-16,2022-12-19,9564953.35,9616870.2,51916.85,0.5428,12,10,10,51916.85
2022-12-26,2022-12-29,2022-12-23,2022-12-26,9616870.2,9661932.35,45062.16,0.4686,27,10,10,45062.16
2023-01-09,2023-01-13,2023-01-06,2023-01-09,9661932.35,9909069.82,247137.46,2.5578,2,2,2,247137.46
2023-01-16,2023-01-20,2023-01-13,2023-01-16,9909069.82,10157146.1,248076.28,2.5035,1,1,1,248076.28
2023-01-25,2023-01-27,2023-01-20,2023-01-25,10157146.1,10157146.1,0.0,0.0,0,0,0,0.0
2023-01-30,2023-02-03,2023-01-27,2023-01-30,10157146.1,10058988.31,-98157.79,-0.9664,2,2,2,-98157.79
2023-02-06,2023-02-10,2023-02-03,2023-02-06,10058988.31,10158994.62,100006.31,0.9942,2,2,2,100006.31
2023-02-13,2023-02-17,2023-02-10,2023-02-13,10158994.62,10066924.52,-92070.09,-0.9063,8,8,8,-92070.09
2023-02-20,2023-02-24,2023-02-17,2023-02-20,10066924.52,10140564.1,73639.58,0.7315,4,4,4,73639.58
2023-02-27,2023-03-03,2023-02-24,2023-02-27,10140564.1,10391666.56,251102.46,2.4762,3,3,3,251102.46
2023-03-06,2023-03-10,2023-03-03,2023-03-06,10391666.56,10169590.48,-222076.09,-2.1371,5,5,5,-222076.09
2023-03-13,2023-03-17,2023-03-10,2023-03-13,10169590.48,9844402.24,-325188.23,-3.1977,18,10,10,-325188.23
2023-03-20,2023-03-24,2023-03-17,2023-03-20,9844402.24,10090553.31,246151.07,2.5004,7,7,7,246151.07
2023-03-27,2023-03-31,2023-03-24,2023-03-27,10090553.31,10299572.88,209019.57,2.0714,9,9,9,209019.57
2023-04-03,2023-04-07,2023-03-31,2023-04-03,10299572.88,10564074.98,264502.1,2.5681,1,1,1,264502.1
2023-04-10,2023-04-14,2023-04-07,2023-04-10,10564074.98,10655208.71,91133.73,0.8627,2,2,2,91133.73
2023-04-17,2023-04-21,2023-04-14,2023-04-17,10655208.71,10555370.68,-99838.03,-0.937,1,1,1,-99838.03
2023-04-24,2023-04-28,2023-04-21,2023-04-24,10555370.68,10461228.17,-94142.51,-0.8919,4,4,4,-94142.51
2023-05-02,2023-05-04,2023-04-28,2023-05-02,10461228.17,10531894.85,70666.68,0.6755,10,10,10,70666.68
2023-05-15,2023-05-19,2023-05-12,2023-05-15,10531894.85,10552155.4,20260.55,0.1924,10,10,10,20260.55
2023-05-22,2023-05-26,2023-05-19,2023-05-22,10552155.4,10818348.52,266193.13,2.5226,8,8,8,266193.13
2023-05-30,2023-06-02,2023-05-26,2023-05-30,10818348.52,10648296.98,-170051.55,-1.5719,7,7,7,-170051.55
2023-06-05,2023-06-09,2023-06-02,2023-06-05,10648296.98,10917519.91,269222.94,2.5283,2,2,2,269222.94
2023-06-12,2023-06-16,2023-06-09,2023-06-12,10917519.91,10917519.91,0.0,0.0,0,0,0,0.0
2023-06-19,2023-06-23,2023-06-16,2023-06-19,10917519.91,10750421.22,-167098.69,-1.5306,1,1,1,-167098.69
2023-06-26,2023-06-30,2023-06-23,2023-06-26,10750421.22,10827348.23,76927.0,0.7156,13,10,10,76927.0
2023-07-03,2023-07-07,2023-06-30,2023-07-03,10827348.23,10827348.23,0.0,0.0,0,0,0,0.0
2023-07-10,2023-07-14,2023-07-07,2023-07-10,10827348.23,11044032.0,216683.77,2.0013,9,9,9,216683.77
2023-07-17,2023-07-21,2023-07-14,2023-07-17,11044032.0,10776300.11,-267731.89,-2.4242,1,1,1,-267731.89
2023-07-24,2023-07-28,2023-07-21,2023-07-24,10776300.11,10735693.73,-40606.38,-0.3768,5,5,5,-40606.38
2023-07-31,2023-08-04,2023-07-28,2023-07-31,10735693.73,10854306.82,118613.09,1.1048,4,4,4,118613.09
2023-08-07,2023-08-11,2023-08-04,2023-08-07,10854306.82,10861204.9,6898.07,0.0636,2,2,2,6898.07
2023-08-14,2023-08-18,2023-08-11,2023-08-14,10861204.9,10882437.58,21232.68,0.1955,3,3,3,21232.68
2023-08-21,2023-08-25,2023-08-18,2023-08-21,10882437.58,10982418.0,99980.42,0.9187,7,7,7,99980.42
2023-08-28,2023-09-01,2023-08-25,2023-08-28,10982418.0,11262203.0,279785.0,2.5476,4,4,4,279785.0
2023-09-04,2023-09-08,2023-09-01,2023-09-04,11262203.0,11384888.46,122685.46,1.0894,13,10,10,122685.46
2023-09-11,2023-09-15,2023-09-08,2023-09-11,11384888.46,11403106.07,18217.61,0.16,3,3,3,18217.61
2023-09-18,2023-09-22,2023-09-15,2023-09-18,11403106.07,11403106.07,0.0,0.0,0,0,0,0.0
2023-09-25,2023-09-27,2023-09-22,2023-09-25,11403106.07,11145545.26,-257560.81,-2.2587,4,4,4,-257560.81
2023-10-10,2023-10-13,2023-10-06,2023-10-10,11145545.26,10933960.19,-211585.07,-1.8984,9,9,9,-211585.07
2023-10-16,2023-10-20,2023-10-13,2023-10-16,10933960.19,10953669.15,19708.95,0.1803,3,3,3,19708.95
2023-10-23,2023-10-27,2023-10-20,2023-10-23,10953669.15,11199007.68,245338.53,2.2398,13,10,10,245338.53
2023-10-30,2023-11-03,2023-10-27,2023-10-30,11199007.68,11257306.45,58298.77,0.5206,5,5,5,58298.77
2023-11-06,2023-11-10,2023-11-03,2023-11-06,11257306.45,11257306.45,0.0,0.0,0,0,0,0.0
2023-11-13,2023-11-17,2023-11-10,2023-11-13,11257306.45,11547898.43,290591.98,2.5814,1,1,1,290591.98
2023-11-20,2023-11-24,2023-11-17,2023-11-20,11547898.43,11839456.11,291557.68,2.5248,2,2,2,291557.68
2023-11-27,2023-12-01,2023-11-24,2023-11-27,11839456.11,11458036.38,-381419.73,-3.2216,2,2,2,-381419.73
2023-12-04,2023-12-08,2023-12-01,2023-12-04,11458036.38,11311190.23,-146846.16,-1.2816,2,2,2,-146846.16
2023-12-11,2023-12-15,2023-12-08,2023-12-11,11311190.23,11590513.56,279323.34,2.4694,1,1,1,279323.34
2023-12-18,2023-12-22,2023-12-15,2023-12-18,11590513.56,11954979.13,364465.57,3.1445,3,3,3,364465.57
2023-12-26,2023-12-28,2023-12-22,2023-12-26,11954979.13,11820483.59,-134495.55,-1.125,2,2,2,-134495.55
2024-01-08,2024-01-12,2024-01-05,2024-01-08,11820483.59,11842865.52,22381.94,0.1893,6,6,6,22381.94
2024-01-15,2024-01-19,2024-01-12,2024-01-15,11842865.52,11394373.4,-448492.12,-3.787,10,10,10,-448492.12
2024-01-22,2024-01-26,2024-01-19,2024-01-22,11394373.4,11520041.57,125668.17,1.1029,7,7,7,125668.17
2024-01-29,2024-02-02,2024-01-26,2024-01-29,11520041.57,11539176.62,19135.05,0.1661,3,3,3,19135.05
2024-02-05,2024-02-08,2024-02-02,2024-02-05,11539176.62,11670085.77,130909.15,1.1345,1,1,1,130909.15
2024-02-19,2024-02-23,2024-02-16,2024-02-19,11670085.77,11476745.47,-193340.3,-1.6567,1,1,1,-193340.3
2024-02-26,2024-02-29,2024-02-23,2024-02-26,11476745.47,11480105.94,3360.47,0.0293,1,1,1,3360.47
2024-03-11,2024-03-15,2024-03-08,2024-03-11,11480105.94,11513765.69,33659.74,0.2932,2,2,2,33659.74
2024-03-18,2024-03-22,2024-03-15,2024-03-18,11513765.69,11657281.93,143516.24,1.2465,8,8,8,143516.24
2024-03-25,2024-03-29,2024-03-22,2024-03-25,11657281.93,11601834.15,-55447.78,-0.4756,4,4,4,-55447.78
2024-04-01,2024-04-05,2024-03-29,2024-04-01,11601834.15,11488056.07,-113778.07,-0.9807,17,10,10,-113778.07
2024-04-08,2024-04-12,2024-04-05,2024-04-08,11488056.07,11471806.07,-16250.01,-0.1415,10,10,10,-16250.01
2024-04-15,2024-04-19,2024-04-12,2024-04-15,11471806.07,11258661.95,-213144.12,-1.858,20,10,10,-213144.12
2024-04-22,2024-04-26,2024-04-19,2024-04-22,11258661.95,11422889.74,164227.79,1.4587,14,10,10,164227.79
2024-04-29,2024-05-03,2024-04-26,2024-04-29,11422889.74,11363067.51,-59822.23,-0.5237,4,4,4,-59822.23
2024-05-07,2024-05-10,2024-05-03,2024-05-07,11363067.51,11379948.39,16880.88,0.1486,4,4,4,16880.88
2024-05-13,2024-05-17,2024-05-10,2024-05-13,11379948.39,11662889.06,282940.68,2.4863,1,1,1,282940.68
2024-05-20,2024-05-24,2024-05-17,2024-05-20,11662889.06,11629367.73,-33521.33,-0.2874,6,6,6,-33521.33
2024-05-27,2024-05-31,2024-05-24,2024-05-27,11629367.73,11684416.03,55048.3,0.4734,5,5,5,55048.3
2024-06-03,2024-06-07,2024-05-31,2024-06-03,11684416.03,11846280.32,161864.29,1.3853,4,4,4,161864.29
2024-06-10,2024-06-14,2024-06-07,2024-06-10,11846280.32,12135329.65,289049.33,2.44,2,2,2,289049.33
2024-06-17,2024-06-21,2024-06-14,2024-06-17,12135329.65,11902160.11,-233169.55,-1.9214,5,5,5,-233169.55
2024-06-24,2024-06-28,2024-06-21,2024-06-24,11902160.11,12204071.41,301911.3,2.5366,2,2,2,301911.3
2024-07-01,2024-07-05,2024-06-28,2024-07-01,12204071.41,11991507.67,-212563.73,-1.7417,5,5,5,-212563.73
