month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9600917.92,-399082.07,3,-3.9908
2020-02,9600917.92,10146107.68,545189.76,4,5.6785
2020-03,10146107.68,10295976.41,149868.73000000004,5,1.4771
2020-04,10295976.41,10295976.41,0.0,4,0.0
2020-05,10295976.41,10756446.13,460469.71,3,4.4723
2020-06,10756446.13,11003082.36,246636.24,5,2.2929
2020-07,11003082.36,11477004.0,473921.63,4,4.3072
2020-08,11477004.0,11429125.47,-47878.53000000003,5,-0.4172
2020-09,11429125.47,11864347.51,435222.04,4,3.808
2020-10,11864347.51,11623230.25,-241117.27000000002,2,-2.0323
2020-11,11623230.25,12308636.85,685406.6,5,5.8969
2020-12,12308636.85,11898216.31,-410420.54000000004,3,-3.3344
2021-01,11898216.31,11406539.46,-491676.86000000004,3,-4.1324
2021-02,11406539.46,11706533.97,299994.52,3,2.63
2021-03,11706533.97,11411124.78,-295409.19000000006,5,-2.5235
2021-04,11411124.78,11271823.41,-139301.36999999994,4,-1.2208
2021-05,11271823.41,11309469.86,37646.45000000001,5,0.334
2021-06,11309469.86,11063585.15,-245884.70999999996,4,-2.1741
2021-07,11063585.15,11084393.77,20808.619999999995,4,0.1881
2021-08,11084393.77,10919764.14,-164629.63999999996,5,-1.4852
2021-09,10919764.14,11452148.52,532384.38,4,4.8754
2021-10,11452148.52,12056767.65,604619.13,4,5.2795
2021-11,12056767.65,11950648.99,-106118.65000000002,5,-0.8802
2021-12,11950648.99,10984186.74,-966462.24,4,-8.0871
2022-01,10984186.74,10411526.24,-572660.5,3,-5.2135
2022-02,10411526.24,10518019.71,106493.45999999999,5,1.0228
2022-03,10518019.71,10367898.79,-150120.91999999998,4,-1.4273
2022-04,10367898.79,10183049.7,-184849.08000000002,4,-1.7829
2022-05,10183049.7,10202855.95,19806.25,5,0.1945
2022-06,10202855.95,9796109.43,-406746.52999999997,4,-3.9866
2022-07,9796109.43,9783371.04,-12738.379999999986,4,-0.13
2022-08,9783371.04,9750355.88,-33015.17000000001,5,-0.3375
2022-09,9750355.88,9159918.65,-590437.23,3,-6.0555
2022-10,9159918.65,9105653.04,-54265.61000000002,5,-0.5924
2022-11,9105653.04,8894941.0,-210712.03999999998,4,-2.3141
2022-12,8894941.0,8901770.64,6829.629999999994,4,0.0768
2023-01,8901770.64,9254324.81,352554.18,4,3.9605
2023-02,9254324.81,9534958.41,280633.6,4,3.0325
2023-03,9534958.41,9397807.33,-137151.09000000003,4,-1.4384
2023-04,9397807.33,9518318.48,120511.15000000002,4,1.2823
2023-05,9518318.48,9651671.24,133352.76,4,1.401
2023-06,9651671.24,9792090.79,140419.55000000002,4,1.4549
2023-07,9792090.79,9802406.95,10316.170000000013,5,0.1054
2023-08,9802406.95,10126270.88,323863.93,4,3.3039
2023-09,10126270.88,10007757.66,-118513.23000000001,4,-1.1704
2023-10,10007757.66,10085872.08,78114.43,4,0.7805
2023-11,10085872.08,10249552.92,163680.83000000007,4,1.6229
2023-12,10249552.92,10545674.35,296121.43,4,2.8891
2024-01,10545674.35,10271958.21,-273716.14999999997,4,-2.5955
2024-02,10271958.21,10194033.03,-77925.16999999998,3,-0.7586
2024-03,10194033.03,10168735.18,-25297.849999999977,3,-0.2482
2024-04,10168735.18,9881100.56,-287634.63,5,-2.8286
2024-05,9881100.56,10138334.43,257233.89,4,2.6033
2024-06,10138334.43,10577575.26,439240.83,4,4.3325
2024-07,10577575.26,10517314.84,-60260.42,5,-0.5697
2024-08,10517314.84,9717874.58,-799440.26,4,-7.6012
2024-09,9717874.58,10023942.17,306067.58,5,3.1495
2024-10,10023942.17,9925837.76,-98104.41,4,-0.9787
2024-11,9925837.76,10260959.18,335121.42,4,3.3763
2024-12,10260959.18,10293259.41,32300.219999999998,5,0.3148
