week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38119.05,39242.9902,take_profit,0,2172785.85,325.92,335.53,3355.28,2233159.64,60047.87,2.7632
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121560.75,119440.25,friday_liquidation,4,2188093.5,328.21,322.49,3224.89,2146377.12,-42044.59,-1.9212
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147573.75,143428.25,friday_liquidation,4,2213606.25,332.04,322.71,3227.14,2147873.9,-66064.39,-2.984
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47823.9,45409.9886,stop_loss,2,2343371.1,351.51,333.76,3337.63,2221418.05,-122304.56,-5.2184
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,285,10365.18,10670.7973,take_profit,1,2954076.3,443.11,456.18,4561.77,3036159.3,81639.89,2.7632
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89044.5,91669.9771,take_profit,1,2938468.5,440.77,453.77,4537.66,3020117.81,81208.54,2.7632
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,109,27363.675,28170.493,take_profit,1,2982640.57,447.4,460.59,4605.88,3065517.27,82429.3,2.7632
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,273,33266.625,31587.4921,stop_loss,1,9081788.62,1362.27,1293.51,12935.08,8609156.76,-473994.13,-5.2184
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,5,181590.75,186944.9533,take_profit,0,907953.75,136.19,140.21,1402.09,933182.47,25092.53,2.7632
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,28,37114.548,38208.8704,take_profit,0,1039207.34,155.88,160.48,1604.77,1068083.12,28719.9,2.7632
2020-02-03,2020-01-31,2020-02-03,2020-02-04,017960,한국카본,fallback,145,7403.7,7621.9981,take_profit,1,1073536.5,161.03,165.78,1657.78,1103366.16,29668.63,2.7632
2020-02-03,2020-01-31,2020-02-03,2020-02-07,006280,녹십자,fallback,8,124062.0,122438.75,friday_liquidation,4,992496.0,148.87,146.93,1469.27,977893.81,-14751.07,-1.486
2020-02-03,2020-01-31,2020-02-03,2020-02-03,282330,BGF리테일,fallback,6,165082.5,169949.9575,take_profit,0,990495.0,148.57,152.95,1529.55,1018017.24,27373.67,2.7632
2020-02-03,2020-01-31,2020-02-03,2020-02-04,267260,HD현대일렉트릭,fallback,119,9694.845,9980.6975,take_profit,1,1153686.55,173.05,178.16,1781.55,1185743.29,31883.69,2.7632
2020-02-03,2020-01-31,2020-02-03,2020-02-03,000100,유한양행,fallback,32,35730.8565,36784.3808,take_profit,0,1143387.41,171.51,176.57,1765.65,1175157.97,31599.05,2.7632
2020-02-03,2020-01-31,2020-02-03,2020-02-03,082740,한화엔진,fallback,376,3051.525,3141.4992,take_profit,0,1147373.4,172.11,177.18,1771.81,1179254.72,31709.21,2.7632
2020-02-10,2020-02-07,2020-02-10,2020-02-12,008770,호텔신라,fallback,19,90845.4,93523.9766,take_profit,2,1726062.6,258.91,266.54,2665.43,1774023.58,47702.07,2.7632
2020-02-10,2020-02-07,2020-02-10,2020-02-11,090430,아모레퍼시픽,fallback,9,178089.0,183339.9542,take_profit,1,1602801.0,240.42,247.51,2475.09,1647336.99,44295.57,2.7632
2020-02-10,2020-02-07,2020-02-10,2020-02-13,003230,삼양식품,fallback,18,97948.95,100836.9748,take_profit,3,1763081.1,264.46,272.26,2722.6,1812070.69,48725.13,2.7632
2020-02-10,2020-02-07,2020-02-10,2020-02-12,010140,삼성중공업,fallback,293,6260.1285,6444.7084,take_profit,2,1834217.65,275.13,283.24,2832.45,1885183.86,50691.08,2.7632
2020-02-10,2020-02-07,2020-02-10,2020-02-14,016360,삼성증권,fallback,51,35317.65,35232.375,friday_liquidation,4,1801200.15,270.18,269.53,2695.28,1793886.32,-7584.01,-0.421
2020-02-17,2020-02-14,2020-02-17,2020-02-17,009240,한샘,fallback,129,70035.0,72099.982,take_profit,0,9034515.0,1355.18,1395.13,13951.35,9285551.19,249681.02,2.7632
2020-02-24,2020-02-21,2020-02-24,2020-02-26,207940,삼성바이오로직스,fallback,1,683964.8115,704131.514,take_profit,2,683964.81,102.59,105.62,1056.2,702969.7,18902.29,2.7632
2020-02-24,2020-02-21,2020-02-24,2020-02-24,003670,포스코퓨처엠,fallback,17,51881.928,53411.6666,take_profit,0,881992.78,132.3,136.2,1362.0,906500.14,24375.06,2.7632
2020-02-24,2020-02-21,2020-02-24,2020-02-26,008770,호텔신라,fallback,10,84742.35,87240.9782,take_profit,2,847423.5,127.11,130.86,1308.61,870970.31,23419.69,2.7632
2020-02-24,2020-02-21,2020-02-24,2020-02-25,005420,코스모화학,fallback,123,7402.6995,7620.9681,take_profit,1,910532.04,136.58,140.61,1406.07,935832.4,25163.78,2.7632
2020-02-24,2020-02-21,2020-02-24,2020-02-25,093370,후성,fallback,119,7620.8085,7845.508,take_profit,1,906876.21,136.03,140.04,1400.42,932074.99,25062.75,2.7632
2020-02-24,2020-02-21,2020-02-24,2020-02-25,002380,KCC,fallback,4,194097.0,184299.9539,stop_loss,1,776388.0,116.46,110.58,1105.8,735983.44,-40521.02,-5.2184
2020-02-24,2020-02-21,2020-02-24,2020-02-28,298020,효성티앤씨,fallback,6,159079.5,150924.5,stop_loss_gap_open,4,954477.0,143.17,135.83,1358.32,904052.85,-50567.32,-5.2971
2020-02-24,2020-02-21,2020-02-24,2020-02-28,204320,HL만도,fallback,30,32016.0,30399.9924,stop_loss,4,960480.0,144.07,136.8,1368.0,910494.97,-50129.1,-5.2184
2020-02-24,2020-02-21,2020-02-24,2020-02-28,009240,한샘,fallback,15,64032.0,63968.0,friday_liquidation,4,960480.0,144.07,143.93,1439.28,957936.79,-2687.28,-0.2797
