week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9829634.33,-170365.67,-1.7037,4,4,4,-170365.67
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9829634.33,10074912.06,245277.73,2.4953,3,3,3,245277.73
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10074912.06,9600917.92,-473994.13,-4.7047,1,1,1,-473994.13
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9600917.92,9792213.53,191295.61,1.9925,8,8,8,191295.61
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9792213.53,9976043.37,183829.84,1.8773,5,5,5,183829.84
2020-02-17,2020-02-21,2020-02-14,2020-02-17,9976043.37,10225724.38,249681.02,2.5028,1,1,1,249681.02
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10225724.38,10146107.68,-79616.71,-0.7786,16,10,10,-79616.71
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10146107.68,10433557.57,287449.9,2.8331,15,10,10,287449.9
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10433557.57,10017331.59,-416225.99,-3.9893,8,8,8,-416225.99
2020-03-16,2020-03-20,2020-03-13,2020-03-16,10017331.59,10049924.87,32593.28,0.3254,3,3,3,32593.28
2020-03-23,2020-03-27,2020-03-20,2020-03-23,10049924.87,10049924.87,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,10049924.87,10295976.41,246051.54,2.4483,1,1,1,246051.54
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10295976.41,10295976.41,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10295976.41,10295976.41,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10295976.41,10295976.41,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10295976.41,10295976.41,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10295976.41,10295976.41,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10295976.41,10631568.86,335592.45,3.2595,11,10,10,335592.45
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10631568.86,10756446.13,124877.26,1.1746,10,10,10,124877.26
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10756446.13,11026174.56,269728.44,2.5076,11,10,10,269728.44
2020-06-08,2020-06-12,2020-06-05,2020-06-08,11026174.56,11026174.56,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,11026174.56,10899375.9,-126798.67,-1.15,50,10,10,-126798.67
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10899375.9,10809287.08,-90088.81,-0.8266,1,1,1,-90088.81
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10809287.08,11003082.36,193795.28,1.7929,2,2,2,193795.28
2020-07-06,2020-07-10,2020-07-03,2020-07-06,11003082.36,10758918.99,-244163.38,-2.219,3,3,3,-244163.38
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10758918.99,11041678.99,282760.01,2.6281,12,10,10,282760.01
2020-07-20,2020-07-24,2020-07-17,2020-07-20,11041678.99,11316964.06,275285.07,2.4931,1,1,1,275285.07
2020-07-27,2020-07-31,2020-07-24,2020-07-27,11316964.06,11477004.0,160039.93,1.4142,4,4,4,160039.93
2020-08-03,2020-08-07,2020-07-31,2020-08-03,11477004.0,11593799.54,116795.54,1.0176,2,2,2,116795.54
