month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9611665.05,-388334.95999999996,3,-3.8833
2020-02,9611665.05,10172567.25,560902.21,4,5.8356
2020-03,10172567.25,10341059.09,168491.84999999998,5,1.6563
2020-04,10341059.09,10341059.09,0.0,4,0.0
2020-05,10341059.09,10814199.1,473140.01,3,4.5754
2020-06,10814199.1,11087787.04,273587.95,5,2.5299
2020-07,11087787.04,11587646.73,499859.69999999995,4,4.5082
2020-08,11587646.73,11558543.82,-29102.909999999974,5,-0.2512
2020-09,11558543.82,12021205.96,462662.13999999996,4,4.0028
2020-10,12021205.96,11786750.96,-234455.0,2,-1.9503
2020-11,11786750.96,12500360.33,713609.37,5,6.0543
2020-12,12500360.33,12094971.07,-405389.26000000007,3,-3.243
2021-01,12094971.07,11615505.69,-479465.37999999995,3,-3.9642
2021-02,11615505.69,11933380.35,317874.67000000004,3,2.7366
2021-03,11933380.35,11646298.3,-287082.05,5,-2.4057
2021-04,11646298.3,11518117.7,-128180.60000000003,4,-1.1006
2021-05,11518117.7,11558702.12,40584.42,5,0.3524
2021-06,11558702.12,11333816.68,-224885.44999999998,4,-1.9456
2021-07,11333816.68,11380686.68,46870.0,4,0.4135
2021-08,11380686.68,11232254.23,-148432.44999999995,5,-1.3042
2021-09,11232254.23,11787740.16,555485.94,4,4.9455
2021-10,11787740.16,12435007.25,647267.08,4,5.491
2021-11,12435007.25,12432943.91,-2063.3400000000256,5,-0.0166
2021-12,12432943.91,11446116.48,-986827.44,4,-7.9372
2022-01,11446116.48,10958139.19,-487977.29000000004,3,-4.2633
2022-02,10958139.19,11078775.44,120636.25000000001,5,1.1009
2022-03,11078775.44,10933824.03,-144951.41000000003,4,-1.3084
2022-04,10933824.03,10723347.56,-210476.47,4,-1.925
2022-05,10723347.56,10761458.39,38110.830000000016,5,0.3554
2022-06,10761458.39,10345523.51,-415934.88999999996,4,-3.865
2022-07,10345523.51,10351654.3,6130.800000000003,4,0.0593
2022-08,10351654.3,10336270.38,-15383.930000000022,5,-0.1486
2022-09,10336270.38,9742886.04,-593384.33,3,-5.7408
2022-10,9742886.04,9684608.48,-58277.549999999996,5,-0.5982
2022-11,9684608.48,9467543.99,-217064.49000000002,4,-2.2413
2022-12,9467543.99,9480935.79,13391.789999999994,4,0.1414
2023-01,9480935.79,9862270.36,381334.58,4,4.0221
2023-02,9862270.36,10176668.5,314398.13,4,3.1879
2023-03,10176668.5,10088550.64,-88117.87000000002,4,-0.8659
2023-04,10088550.64,10237127.72,148577.08000000002,4,1.4727
2023-05,10237127.72,10407702.04,170574.32,4,1.6662
2023-06,10407702.04,10576395.72,168693.68,4,1.6209
2023-07,10576395.72,10618953.65,42557.93000000001,5,0.4024
2023-08,10618953.65,11004376.67,385423.01999999996,4,3.6296
2023-09,11004376.67,10894371.66,-110005.01999999999,4,-0.9996
2023-10,10894371.66,10986642.46,92270.81,4,0.847
2023-11,10986642.46,11179395.92,192753.46999999997,4,1.7544
2023-12,11179395.92,11533897.51,354501.5800000001,4,3.171
2024-01,11533897.51,11258129.84,-275767.68,4,-2.3909
2024-02,11258129.84,11196181.77,-61948.079999999994,3,-0.5503
2024-03,11196181.77,11300195.09,104013.32,3,0.929
2024-04,11300195.09,11009416.46,-290778.64,5,-2.5732
2024-05,11009416.46,11322388.35,312971.88999999996,4,2.8428
2024-06,11322388.35,11812796.25,490407.89999999997,4,4.3313
2024-07,11812796.25,11765436.85,-47359.38,5,-0.4009
2024-08,11765436.85,10913799.48,-851637.37,4,-7.2385
2024-09,10913799.48,11278775.02,364975.54,5,3.3442
2024-10,11278775.02,11194773.3,-84001.73000000001,4,-0.7448
2024-11,11194773.3,11575363.12,380589.82,4,3.3997
2024-12,11575363.12,11650451.92,75088.78999999998,5,0.6487
