week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9834919.85,-165080.15,-1.6508,4,4,4,-165080.15
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9834919.85,10083748.6,248828.75,2.5301,3,3,3,248828.75
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10083748.6,9611665.05,-472083.56,-4.6816,1,1,1,-472083.56
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9611665.05,9807003.73,195338.68,2.0323,8,8,8,195338.68
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9807003.73,9995097.91,188094.19,1.918,5,5,5,188094.19
2020-02-17,2020-02-21,2020-02-14,2020-02-17,9995097.91,10248393.7,253295.79,2.5342,1,1,1,253295.79
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10248393.7,10172567.25,-75826.45,-0.7399,16,10,10,-75826.45
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10172567.25,10467422.57,294855.32,2.8985,15,10,10,294855.32
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10467422.57,10055265.44,-412157.13,-3.9375,8,8,8,-412157.13
2020-03-16,2020-03-20,2020-03-13,2020-03-16,10055265.44,10091445.32,36179.89,0.3598,3,3,3,36179.89
2020-03-23,2020-03-27,2020-03-20,2020-03-23,10091445.32,10091445.32,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,10091445.32,10341059.09,249613.77,2.4735,1,1,1,249613.77
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10341059.09,10341059.09,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10341059.09,10341059.09,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10341059.09,10341059.09,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10341059.09,10341059.09,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10341059.09,10341059.09,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10341059.09,10683462.11,342403.02,3.3111,11,10,10,342403.02
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10683462.11,10814199.1,130736.99,1.2237,10,10,10,130736.99
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10814199.1,11089265.92,275066.83,2.5436,11,10,10,275066.83
2020-06-08,2020-06-12,2020-06-05,2020-06-08,11089265.92,11089265.92,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,11089265.92,10969552.08,-119713.85,-1.0795,50,10,10,-119713.85
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10969552.08,10886762.86,-82789.22,-0.7547,1,1,1,-82789.22
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10886762.86,11087787.04,201024.19,1.8465,2,2,2,201024.19
2020-07-06,2020-07-10,2020-07-03,2020-07-06,11087787.04,10849723.92,-238063.12,-2.1471,3,3,3,-238063.12
