month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9614784.78,-385215.22000000003,3,-3.8522
2020-02,9614784.78,10098574.85,483790.06999999995,4,5.0317
2020-03,10098574.85,10275663.61,177088.75999999998,5,1.7536
2020-04,10275663.61,10275663.61,0.0,4,0.0
2020-05,10275663.61,10755726.15,480062.54,3,4.6718
2020-06,10755726.15,11030684.88,274958.73,5,2.5564
2020-07,11030684.88,11530376.53,499691.65,4,4.53
2020-08,11530376.53,11508208.1,-22168.429999999935,5,-0.1923
2020-09,11508208.1,11677411.5,169203.40000000008,4,1.4703
2020-10,11677411.5,11456265.88,-221145.62,2,-1.8938
2020-11,11456265.88,12151817.7,695551.82,5,6.0714
2020-12,12151817.7,11770399.38,-381418.31999999995,3,-3.1388
2021-01,11770399.38,11308489.03,-461910.35,3,-3.9243
2021-02,11308489.03,11619434.11,310945.08,3,2.7497
2021-03,11619434.11,11354674.84,-264759.27,5,-2.2786
2021-04,11354674.84,11232672.71,-122002.13000000006,4,-1.0745
2021-05,11232672.71,11390304.68,157631.97,5,1.4033
2021-06,11390304.68,11171858.3,-218446.38,4,-1.9178
2021-07,11171858.3,11146064.39,-25793.90999999999,4,-0.2309
2021-08,11146064.39,11005823.3,-140241.08999999997,5,-1.2582
2021-09,11005823.3,11547495.22,541671.9199999999,4,4.9217
2021-10,11547495.22,12187386.37,639891.15,4,5.5414
2021-11,12187386.37,12178846.75,-8539.620000000024,5,-0.0701
2021-12,12178846.75,11217897.58,-960949.1699999999,4,-7.8903
2022-01,11217897.58,10744122.76,-473774.81999999995,3,-4.2234
2022-02,10744122.76,10884139.5,140016.74,5,1.3032
2022-03,10884139.5,10749610.85,-134528.65000000002,4,-1.236
2022-04,10749610.85,10558603.42,-191007.43000000002,4,-1.7769
2022-05,10558603.42,10592773.84,34170.42000000001,5,0.3236
2022-06,10592773.84,10186688.3,-406085.54000000004,4,-3.8336
2022-07,10186688.3,10191098.47,4410.1700000000055,4,0.0433
2022-08,10191098.47,10173341.75,-17756.72000000003,5,-0.1742
2022-09,10173341.75,9589479.18,-583862.57,3,-5.7391
2022-10,9589479.18,9536236.74,-53242.44000000002,5,-0.5552
2022-11,9536236.74,9323653.58,-212583.16,4,-2.2292
2022-12,9323653.58,9339835.28,16181.69999999999,4,0.1736
2023-01,9339835.28,9717091.38,377256.10000000003,4,4.0392
2023-02,9717091.38,10213500.11,496408.73,4,5.1086
2023-03,10213500.11,10199360.79,-14139.320000000007,4,-0.1384
2023-04,10199360.79,10221885.65,22524.859999999986,4,0.2208
2023-05,10221885.65,10397197.56,175311.91,4,1.7151
2023-06,10397197.56,10570392.58,173195.02,4,1.6658
2023-07,10570392.58,10617805.18,47412.59999999999,5,0.4485
2023-08,10617805.18,11008017.29,390212.11,4,3.6751
2023-09,11008017.29,10901548.72,-106468.57,4,-0.9672
2023-10,10901548.72,10998539.74,96991.02000000002,4,0.8897
2023-11,10998539.74,11193634.3,195094.55999999994,4,1.7738
2023-12,11193634.3,11554449.85,360815.55000000005,4,3.2234
2024-01,11554449.85,11285668.33,-268781.51999999996,4,-2.3262
2024-02,11285668.33,11228292.14,-57376.19,3,-0.5084
2024-03,11228292.14,11339120.68,110828.53,3,0.987
2024-04,11339120.68,11108421.82,-230698.86000000002,5,-2.0345
2024-05,11108421.82,11418489.75,310067.93,4,2.7913
2024-06,11418489.75,11924909.87,506420.12,4,4.4351
2024-07,11924909.87,11897395.05,-27514.819999999963,5,-0.2307
2024-08,11897395.05,11041343.31,-856051.74,4,-7.1953
2024-09,11041343.31,11411975.69,370632.38,5,3.3568
2024-10,11411975.69,11317680.91,-94294.78,4,-0.8263
2024-11,11317680.91,11699022.72,381341.81,4,3.3694
2024-12,11699022.72,11780117.43,81094.70000000001,5,0.6932
