week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9836241.01,-163758.99,-1.6376,4,4,4,-163758.99
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9836241.01,10085957.06,249716.05,2.5387,3,3,3,249716.05
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10085957.06,9614784.78,-471172.28,-4.6716,1,1,1,-471172.28
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9614784.78,9801280.18,186495.4,1.9397,7,7,7,186495.4
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9801280.18,9990547.48,189267.3,1.931,5,5,5,189267.3
2020-02-17,2020-02-21,2020-02-14,2020-02-17,9990547.48,10244746.5,254199.02,2.5444,1,1,1,254199.02
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10244746.5,10098574.85,-146171.65,-1.4268,15,10,10,-146171.65
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10098574.85,10393334.78,294759.93,2.9188,14,10,10,294759.93
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10393334.78,9988083.65,-405251.13,-3.8991,8,8,8,-405251.13
2020-03-16,2020-03-20,2020-03-13,2020-03-16,9988083.65,10025159.74,37076.09,0.3712,3,3,3,37076.09
2020-03-23,2020-03-27,2020-03-20,2020-03-23,10025159.74,10025159.74,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,10025159.74,10275663.61,250503.87,2.4988,1,1,1,250503.87
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10275663.61,10275663.61,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10275663.61,10275663.61,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10275663.61,10275663.61,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10275663.61,10275663.61,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10275663.61,10275663.61,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10275663.61,10625549.91,349886.3,3.405,9,9,9,349886.3
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10625549.91,10755726.15,130176.24,1.2251,10,10,10,130176.24
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10755726.15,11029786.75,274060.6,2.548,10,10,10,274060.6
2020-06-08,2020-06-12,2020-06-05,2020-06-08,11029786.75,11029786.75,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,11029786.75,10909761.07,-120025.68,-1.0882,47,10,10,-120025.68
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10909761.07,10829367.3,-80393.77,-0.7369,1,1,1,-80393.77
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10829367.3,11030684.88,201317.58,1.859,2,2,2,201317.58
2020-07-06,2020-07-10,2020-07-03,2020-07-06,11030684.88,10792193.4,-238491.48,-2.1621,3,3,3,-238491.48
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10792193.4,11081416.78,289223.38,2.6799,12,10,10,289223.38
2020-07-20,2020-07-24,2020-07-17,2020-07-20,11081416.78,11363158.24,281741.46,2.5425,1,1,1,281741.46
2020-07-27,2020-07-31,2020-07-24,2020-07-27,11363158.24,11530376.53,167218.29,1.4716,4,4,4,167218.29
2020-08-03,2020-08-07,2020-07-31,2020-08-03,11530376.53,11655543.62,125167.09,1.0855,2,2,2,125167.09
2020-08-10,2020-08-14,2020-08-07,2020-08-10,11655543.62,11774901.94,119358.32,1.024,3,3,3,119358.32
2020-08-18,2020-08-21,2020-08-14,2020-08-18,11774901.94,11228387.6,-546514.34,-4.6413,2,2,2,-546514.34
2020-08-24,2020-08-28,2020-08-21,2020-08-24,11228387.6,11508208.1,279820.5,2.4921,1,1,1,279820.5
2020-08-31,2020-09-04,2020-08-28,2020-08-31,11508208.1,11508208.1,0.0,0.0,0,0,0,0.0
2020-09-07,2020-09-11,2020-09-04,2020-09-07,11508208.1,11656180.52,147972.42,1.2858,13,10,10,147972.42
2020-09-14,2020-09-18,2020-09-11,2020-09-14,11656180.52,11949876.09,293695.57,2.5197,1,1,1,293695.57
2020-09-21,2020-09-25,2020-09-18,2020-09-21,11949876.09,11395982.91,-553893.18,-4.6351,2,2,2,-553893.18
2020-09-28,2020-09-29,2020-09-25,2020-09-28,11395982.91,11677411.5,281428.59,2.4695,10,10,10,281428.59
2020-10-19,2020-10-23,2020-10-16,2020-10-19,11677411.5,11498476.42,-178935.08,-1.5323,12,10,10,-178935.08
2020-10-26,2020-10-30,2020-10-23,2020-10-26,11498476.42,11456265.88,-42210.54,-0.3671,4,4,4,-42210.54
2020-11-02,2020-11-06,2020-10-30,2020-11-02,11456265.88,11757223.6,300957.72,2.627,30,10,10,300957.72
2020-11-09,2020-11-13,2020-11-06,2020-11-09,11757223.6,11964275.67,207052.07,1.7611,3,3,3,207052.07
2020-11-16,2020-11-20,2020-11-13,2020-11-16,11964275.67,11964275.67,0.0,0.0,0,0,0,0.0
2020-11-23,2020-11-27,2020-11-20,2020-11-23,11964275.67,11964275.67,0.0,0.0,0,0,0,0.0
2020-11-30,2020-12-04,2020-11-27,2020-11-30,11964275.67,12151817.7,187542.03,1.5675,3,3,3,187542.03
2020-12-07,2020-12-11,2020-12-04,2020-12-07,12151817.7,12338004.99,186187.29,1.5322,7,7,7,186187.29
2020-12-14,2020-12-18,2020-12-11,2020-12-14,12338004.99,12338004.99,0.0,0.0,0,0,0,0.0
2020-12-21,2020-12-24,2020-12-18,2020-12-21,12338004.99,11770399.38,-567605.61,-4.6005,1,1,1,-567605.61
2021-01-11,2021-01-15,2021-01-08,2021-01-11,11770399.38,11232178.15,-538221.23,-4.5727,1,1,1,-538221.23
2021-01-18,2021-01-22,2021-01-15,2021-01-18,11232178.15,11314478.46,82300.31,0.7327,5,5,5,82300.31
2021-01-25,2021-01-29,2021-01-22,2021-01-25,11314478.46,11308489.03,-5989.43,-0.0529,7,7,7,-5989.43
2021-02-01,2021-02-05,2021-01-29,2021-02-01,11308489.03,11605280.59,296791.56,2.6245,66,10,10,296791.56
2021-02-08,2021-02-10,2021-02-05,2021-02-08,11605280.59,11884589.85,279309.26,2.4067,1,1,1,279309.26
2021-02-22,2021-02-26,2021-02-19,2021-02-22,11884589.85,11619434.11,-265155.74,-2.2311,3,3,3,-265155.74
2021-03-02,2021-03-05,2021-02-26,2021-03-02,11619434.11,11413904.67,-205529.44,-1.7688,48,10,10,-205529.44
2021-03-08,2021-03-12,2021-03-05,2021-03-08,11413904.67,11153148.23,-260756.44,-2.2846,18,10,10,-260756.44
2021-03-15,2021-03-19,2021-03-12,2021-03-15,11153148.23,11153148.23,0.0,0.0,0,0,0,0.0
2021-03-22,2021-03-26,2021-03-19,2021-03-22,11153148.23,11077617.62,-75530.61,-0.6772,5,5,5,-75530.61
2021-03-29,2021-04-02,2021-03-26,2021-03-29,11077617.62,11354674.84,277057.22,2.5011,2,2,2,277057.22
2021-04-05,2021-04-09,2021-04-02,2021-04-05,11354674.84,11641092.1,286417.26,2.5225,1,1,1,286417.26
2021-04-12,2021-04-16,2021-04-09,2021-04-12,11641092.1,11764699.27,123607.17,1.0618,2,2,2,123607.17
2021-04-19,2021-04-23,2021-04-16,2021-04-19,11764699.27,11764699.27,0.0,0.0,0,0,0,0.0
2021-04-26,2021-04-30,2021-04-23,2021-04-26,11764699.27,11232672.71,-532026.56,-4.5222,5,5,5,-532026.56
2021-05-03,2021-05-07,2021-04-30,2021-05-03,11232672.71,11262073.51,29400.8,0.2617,12,10,10,29400.8
2021-05-10,2021-05-14,2021-05-07,2021-05-10,11262073.51,11262073.51,0.0,0.0,0,0,0,0.0
2021-05-17,2021-05-21,2021-05-14,2021-05-17,11262073.51,11165379.47,-96694.04,-0.8586,2,2,2,-96694.04
2021-05-24,2021-05-28,2021-05-21,2021-05-24,11165379.47,11390304.68,224925.21,2.0145,6,6,6,224925.21
2021-05-31,2021-06-04,2021-05-28,2021-05-31,11390304.68,11390304.68,0.0,0.0,0,0,0,0.0
2021-06-07,2021-06-11,2021-06-04,2021-06-07,11390304.68,11063447.82,-326856.86,-2.8696,2,2,2,-326856.86
2021-06-14,2021-06-18,2021-06-11,2021-06-14,11063447.82,11063447.82,0.0,0.0,0,0,0,0.0
2021-06-21,2021-06-25,2021-06-18,2021-06-21,11063447.82,11144037.19,80589.37,0.7284,6,6,6,80589.37
2021-06-28,2021-07-02,2021-06-25,2021-06-28,11144037.19,11171858.3,27821.11,0.2497,1,1,1,27821.11
2021-07-05,2021-07-09,2021-07-02,2021-07-05,11171858.3,11171858.3,0.0,0.0,0,0,0,0.0
2021-07-12,2021-07-16,2021-07-09,2021-07-12,11171858.3,11314478.25,142619.95,1.2766,19,10,10,142619.95
2021-07-19,2021-07-23,2021-07-16,2021-07-19,11314478.25,11246445.73,-68032.52,-0.6013,4,4,4,-68032.52
2021-07-26,2021-07-30,2021-07-23,2021-07-26,11246445.73,11146064.39,-100381.34,-0.8926,3,3,3,-100381.34
2021-08-02,2021-08-06,2021-07-30,2021-08-02,11146064.39,11177309.21,31244.82,0.2803,11,10,10,31244.82
2021-08-09,2021-08-13,2021-08-06,2021-08-09,11177309.21,10922910.25,-254398.96,-2.276,2,2,2,-254398.96
2021-08-17,2021-08-20,2021-08-13,2021-08-17,10922910.25,10488797.09,-434113.16,-3.9743,11,10,10,-434113.16
2021-08-23,2021-08-27,2021-08-20,2021-08-23,10488797.09,10734517.11,245720.02,2.3427,14,10,10,245720.02
2021-08-30,2021-09-03,2021-08-27,2021-08-30,10734517.11,11005823.3,271306.19,2.5274,1,1,1,271306.19
2021-09-06,2021-09-10,2021-09-03,2021-09-06,11005823.3,11005823.3,0.0,0.0,0,0,0,0.0
2021-09-13,2021-09-17,2021-09-10,2021-09-13,11005823.3,11005823.3,0.0,0.0,0,0,0,0.0
2021-09-23,2021-09-27,2021-09-17,2021-09-23,11005823.3,11268298.56,262475.26,2.3849,1,1,1,262475.26
2021-09-27,2021-10-01,2021-09-24,2021-09-27,11268298.56,11547495.22,279196.66,2.4777,1,1,1,279196.66
2021-10-05,2021-10-08,2021-10-01,2021-10-05,11547495.22,11494143.25,-53351.97,-0.462,12,10,10,-53351.97
2021-10-12,2021-10-15,2021-10-08,2021-10-12,11494143.25,11785404.76,291261.51,2.534,7,7,7,291261.51
2021-10-18,2021-10-22,2021-10-15,2021-10-18,11785404.76,12049215.68,263810.92,2.2385,1,1,1,263810.92
2021-10-25,2021-10-29,2021-10-22,2021-10-25,12049215.68,12187386.37,138170.69,1.1467,5,5,5,138170.69
2021-11-01,2021-11-05,2021-10-29,2021-11-01,12187386.37,12238379.86,50993.49,0.4184,6,6,6,50993.49
2021-11-08,2021-11-12,2021-11-05,2021-11-08,12238379.86,12103547.94,-134831.92,-1.1017,17,10,10,-134831.92
2021-11-15,2021-11-19,2021-11-12,2021-11-15,12103547.94,12103547.94,0.0,0.0,0,0,0,0.0
2021-11-22,2021-11-26,2021-11-19,2021-11-22,12103547.94,11977046.59,-126501.35,-1.0452,5,5,5,-126501.35
2021-11-29,2021-12-03,2021-11-26,2021-11-29,11977046.59,12178846.75,201800.16,1.6849,9,9,9,201800.16
2021-12-06,2021-12-10,2021-12-03,2021-12-06,12178846.75,12178846.75,0.0,0.0,0,0,0,0.0
2021-12-13,2021-12-17,2021-12-10,2021-12-13,12178846.75,11868161.25,-310685.5,-2.551,5,5,5,-310685.5
2021-12-20,2021-12-24,2021-12-17,2021-12-20,11868161.25,11753794.32,-114366.93,-0.9636,2,2,2,-114366.93
2021-12-27,2021-12-30,2021-12-24,2021-12-27,11753794.32,11217897.58,-535896.74,-4.5594,1,1,1,-535896.74
2022-01-10,2022-01-14,2022-01-07,2022-01-10,11217897.58,11253465.78,35568.2,0.3171,1,1,1,35568.2
2022-01-17,2022-01-21,2022-01-14,2022-01-17,11253465.78,10944944.91,-308520.87,-2.7416,3,3,3,-308520.87
2022-01-24,2022-01-28,2022-01-21,2022-01-24,10944944.91,10744122.76,-200822.15,-1.8348,9,9,9,-200822.15
2022-02-03,2022-02-07,2022-01-28,2022-02-03,10744122.76,11021909.08,277786.32,2.5855,1,1,1,277786.32
2022-02-07,2022-02-11,2022-02-04,2022-02-07,11021909.08,11035123.68,13214.6,0.1199,3,3,3,13214.6
2022-02-14,2022-02-18,2022-02-11,2022-02-14,11035123.68,10958251.83,-76871.85,-0.6966,11,10,10,-76871.85
2022-02-21,2022-02-25,2022-02-18,2022-02-21,10958251.83,10958251.83,0.0,0.0,0,0,0,0.0
2022-02-28,2022-03-04,2022-02-25,2022-02-28,10958251.83,10884139.5,-74112.33,-0.6763,4,4,4,-74112.33
2022-03-07,2022-03-11,2022-03-04,2022-03-07,10884139.5,10387155.01,-496984.49,-4.5661,1,1,1,-496984.49
2022-03-14,2022-03-18,2022-03-11,2022-03-14,10387155.01,10804513.98,417358.97,4.018,1,1,1,417358.97
2022-03-21,2022-03-25,2022-03-18,2022-03-21,10804513.98,10856855.97,52341.99,0.4844,2,2,2,52341.99
2022-03-28,2022-04-01,2022-03-25,2022-03-28,10856855.97,10749610.85,-107245.12,-0.9878,4,4,4,-107245.12
2022-04-04,2022-04-08,2022-04-01,2022-04-04,10749610.85,10493419.09,-256191.76,-2.3833,7,7,7,-256191.76
2022-04-11,2022-04-15,2022-04-08,2022-04-11,10493419.09,10372774.06,-120645.03,-1.1497,2,2,2,-120645.03
2022-04-18,2022-04-22,2022-04-15,2022-04-18,10372774.06,10516692.58,143918.52,1.3875,6,6,6,143918.52
2022-04-25,2022-04-29,2022-04-22,2022-04-25,10516692.58,10558603.42,41910.84,0.3985,4,4,4,41910.84
2022-05-02,2022-05-06,2022-04-29,2022-05-02,10558603.42,10495700.84,-62902.58,-0.5957,5,5,5,-62902.58
2022-05-09,2022-05-13,2022-05-06,2022-05-09,10495700.84,10329447.31,-166253.53,-1.584,12,10,10,-166253.53
2022-05-16,2022-05-20,2022-05-13,2022-05-16,10329447.31,10329447.31,0.0,0.0,0,0,0,0.0
2022-05-23,2022-05-27,2022-05-20,2022-05-23,10329447.31,10329447.31,0.0,0.0,0,0,0,0.0
2022-05-30,2022-06-03,2022-05-27,2022-05-30,10329447.31,10592773.84,263326.53,2.5493,1,1,1,263326.53
2022-06-07,2022-06-10,2022-06-03,2022-06-07,10592773.84,10592773.84,0.0,0.0,0,0,0,0.0
2022-06-13,2022-06-17,2022-06-10,2022-06-13,10592773.84,10485936.07,-106837.77,-1.0086,5,5,5,-106837.77
2022-06-20,2022-06-24,2022-06-17,2022-06-20,10485936.07,10186688.3,-299247.77,-2.8538,4,4,4,-299247.77
2022-06-27,2022-07-01,2022-06-24,2022-06-27,10186688.3,10186688.3,0.0,0.0,0,0,0,0.0
2022-07-04,2022-07-08,2022-07-01,2022-07-04,10186688.3,9955938.39,-230749.91,-2.2652,3,3,3,-230749.91
2022-07-11,2022-07-15,2022-07-08,2022-07-11,9955938.39,9955938.39,0.0,0.0,0,0,0,0.0
2022-07-18,2022-07-22,2022-07-15,2022-07-18,9955938.39,10207560.37,251621.98,2.5274,1,1,1,251621.98
2022-07-25,2022-07-29,2022-07-22,2022-07-25,10207560.37,10191098.47,-16461.9,-0.1613,1,1,1,-16461.9
2022-08-01,2022-08-05,2022-07-29,2022-08-01,10191098.47,10447619.9,256521.43,2.5171,1,1,1,256521.43
2022-08-08,2022-08-12,2022-08-05,2022-08-08,10447619.9,10447619.9,0.0,0.0,0,0,0,0.0
2022-08-16,2022-08-19,2022-08-12,2022-08-16,10447619.9,10129701.81,-317918.09,-3.043,1,1,1,-317918.09
2022-08-22,2022-08-26,2022-08-19,2022-08-22,10129701.81,10020151.11,-109550.7,-1.0815,2,2,2,-109550.7
2022-08-29,2022-09-02,2022-08-26,2022-08-29,10020151.11,10173341.75,153190.64,1.5288,5,5,5,153190.64
2022-09-05,2022-09-08,2022-09-02,2022-09-05,10173341.75,10176060.17,2718.42,0.0267,5,5,5,2718.42
2022-09-19,2022-09-23,2022-09-16,2022-09-19,10176060.17,9966416.84,-209643.33,-2.0602,12,10,10,-209643.33
2022-09-26,2022-09-30,2022-09-23,2022-09-26,9966416.84,9589479.18,-376937.66,-3.7821,28,10,10,-376937.66
2022-10-04,2022-10-07,2022-09-30,2022-10-04,9589479.18,9769507.04,180027.86,1.8773,13,10,10,180027.86
2022-10-11,2022-10-14,2022-10-07,2022-10-11,9769507.04,9544577.38,-224929.66,-2.3024,9,9,9,-224929.66
2022-10-17,2022-10-21,2022-10-14,2022-10-17,9544577.38,9544577.38,0.0,0.0,0,0,0,0.0
2022-10-24,2022-10-28,2022-10-21,2022-10-24,9544577.38,9536236.74,-8340.64,-0.0874,3,3,3,-8340.64
2022-10-31,2022-11-04,2022-10-28,2022-10-31,9536236.74,9536236.74,0.0,0.0,0,0,0,0.0
2022-11-07,2022-11-11,2022-11-04,2022-11-07,9536236.74,9536236.74,0.0,0.0,0,0,0,0.0
2022-11-14,2022-11-18,2022-11-11,2022-11-14,9536236.74,9092578.17,-443658.57,-4.6523,1,1,1,-443658.57
2022-11-21,2022-11-25,2022-11-18,2022-11-21,9092578.17,9092578.17,0.0,0.0,0,0,0,0.0
2022-11-28,2022-12-02,2022-11-25,2022-11-28,9092578.17,9323653.58,231075.41,2.5414,1,1,1,231075.41
2022-12-05,2022-12-09,2022-12-02,2022-12-05,9323653.58,9161616.73,-162036.85,-1.7379,18,10,10,-162036.85
2022-12-12,2022-12-16,2022-12-09,2022-12-12,9161616.73,9254082.13,92465.4,1.0093,8,8,8,92465.4
2022-12-19,2022-12-23,2022-12-16,2022-12-19,9254082.13,9305098.02,51015.89,0.5513,12,10,10,51015.89
2022-12-26,2022-12-29,2022-12-23,2022-12-26,9305098.02,9339835.28,34737.26,0.3733,27,10,10,34737.26
2023-01-09,2023-01-13,2023-01-06,2023-01-09,9339835.28,9578967.95,239132.67,2.5604,2,2,2,239132.67
2023-01-16,2023-01-20,2023-01-13,2023-01-16,9578967.95,9820428.86,241460.91,2.5207,1,1,1,241460.91
2023-01-25,2023-01-27,2023-01-20,2023-01-25,9820428.86,9820428.86,0.0,0.0,0,0,0,0.0
2023-01-30,2023-02-03,2023-01-27,2023-01-30,9820428.86,9717091.38,-103337.48,-1.0523,2,2,2,-103337.48
2023-02-06,2023-02-10,2023-02-03,2023-02-06,9717091.38,9813645.36,96553.98,0.9937,2,2,2,96553.98
2023-02-13,2023-02-17,2023-02-10,2023-02-13,9813645.36,9722045.87,-91599.49,-0.9334,8,8,8,-91599.49
2023-02-20,2023-02-24,2023-02-17,2023-02-20,9722045.87,9967971.45,245925.58,2.5296,3,3,3,245925.58
2023-02-27,2023-03-03,2023-02-24,2023-02-27,9967971.45,10213500.11,245528.66,2.4632,3,3,3,245528.66
2023-03-06,2023-03-10,2023-03-03,2023-03-06,10213500.11,10069102.8,-144397.31,-1.4138,4,4,4,-144397.31
2023-03-13,2023-03-17,2023-03-10,2023-03-13,10069102.8,9747652.25,-321450.55,-3.1924,18,10,10,-321450.55
2023-03-20,2023-03-24,2023-03-17,2023-03-20,9747652.25,9991515.02,243862.77,2.5018,7,7,7,243862.77
2023-03-27,2023-03-31,2023-03-24,2023-03-27,9991515.02,10199360.79,207845.77,2.0802,9,9,9,207845.77
2023-04-03,2023-04-07,2023-03-31,2023-04-03,10199360.79,10460556.61,261195.82,2.5609,1,1,1,261195.82
2023-04-10,2023-04-14,2023-04-07,2023-04-10,10460556.61,10551219.08,90662.47,0.8667,2,2,2,90662.47
2023-04-17,2023-04-21,2023-04-14,2023-04-17,10551219.08,10452227.13,-98991.95,-0.9382,1,1,1,-98991.95
2023-04-24,2023-04-28,2023-04-21,2023-04-24,10452227.13,10221885.65,-230341.48,-2.2038,3,3,3,-230341.48
2023-05-02,2023-05-04,2023-04-28,2023-05-02,10221885.65,10289381.37,67495.72,0.6603,10,10,10,67495.72
2023-05-15,2023-05-19,2023-05-12,2023-05-15,10289381.37,10305121.6,15740.23,0.153,10,10,10,15740.23
2023-05-22,2023-05-26,2023-05-19,2023-05-22,10305121.6,10565016.9,259895.3,2.522,8,8,8,259895.3
2023-05-30,2023-06-02,2023-05-26,2023-05-30,10565016.9,10397197.56,-167819.34,-1.5884,7,7,7,-167819.34
2023-06-05,2023-06-09,2023-06-02,2023-06-05,10397197.56,10659301.24,262103.68,2.5209,2,2,2,262103.68
2023-06-12,2023-06-16,2023-06-09,2023-06-12,10659301.24,10659301.24,0.0,0.0,0,0,0,0.0
2023-06-19,2023-06-23,2023-06-16,2023-06-19,10659301.24,10495325.89,-163975.35,-1.5383,1,1,1,-163975.35
2023-06-26,2023-06-30,2023-06-23,2023-06-26,10495325.89,10570392.58,75066.69,0.7152,13,10,10,75066.69
2023-07-03,2023-07-07,2023-06-30,2023-07-03,10570392.58,10570392.58,0.0,0.0,0,0,0,0.0
2023-07-10,2023-07-14,2023-07-07,2023-07-10,10570392.58,10781196.07,210803.49,1.9943,9,9,9,210803.49
2023-07-17,2023-07-21,2023-07-14,2023-07-17,10781196.07,10519876.92,-261319.15,-2.4238,1,1,1,-261319.15
2023-07-24,2023-07-28,2023-07-21,2023-07-24,10519876.92,10501445.23,-18431.69,-0.1752,5,5,5,-18431.69
2023-07-31,2023-08-04,2023-07-28,2023-07-31,10501445.23,10617805.18,116359.95,1.108,4,4,4,116359.95
2023-08-07,2023-08-11,2023-08-04,2023-08-07,10617805.18,10625370.51,7565.33,0.0713,2,2,2,7565.33
2023-08-14,2023-08-18,2023-08-11,2023-08-14,10625370.51,10640982.94,15612.43,0.1469,3,3,3,15612.43
2023-08-21,2023-08-25,2023-08-18,2023-08-21,10640982.94,10735238.95,94256.01,0.8858,7,7,7,94256.01
2023-08-28,2023-09-01,2023-08-25,2023-08-28,10735238.95,11008017.29,272778.34,2.541,4,4,4,272778.34
2023-09-04,2023-09-08,2023-09-01,2023-09-04,11008017.29,11134082.63,126065.34,1.1452,13,10,10,126065.34
2023-09-11,2023-09-15,2023-09-08,2023-09-11,11134082.63,11152682.93,18600.3,0.1671,3,3,3,18600.3
2023-09-18,2023-09-22,2023-09-15,2023-09-18,11152682.93,11152682.93,0.0,0.0,0,0,0,0.0
2023-09-25,2023-09-27,2023-09-22,2023-09-25,11152682.93,10901548.72,-251134.21,-2.2518,4,4,4,-251134.21
2023-10-10,2023-10-13,2023-10-06,2023-10-10,10901548.72,10695058.64,-206490.08,-1.8941,9,9,9,-206490.08
2023-10-16,2023-10-20,2023-10-13,2023-10-16,10695058.64,10715110.31,20051.67,0.1875,3,3,3,20051.67
2023-10-23,2023-10-27,2023-10-20,2023-10-23,10715110.31,10954933.86,239823.55,2.2382,13,10,10,239823.55
2023-10-30,2023-11-03,2023-10-27,2023-10-30,10954933.86,10998539.74,43605.88,0.398,5,5,5,43605.88
2023-11-06,2023-11-10,2023-11-03,2023-11-06,10998539.74,10998539.74,0.0,0.0,0,0,0,0.0
2023-11-13,2023-11-17,2023-11-10,2023-11-13,10998539.74,11281756.29,283216.55,2.575,1,1,1,283216.55
2023-11-20,2023-11-24,2023-11-17,2023-11-20,11281756.29,11566578.83,284822.54,2.5246,2,2,2,284822.54
2023-11-27,2023-12-01,2023-11-24,2023-11-27,11566578.83,11193634.3,-372944.53,-3.2243,2,2,2,-372944.53
2023-12-04,2023-12-08,2023-12-01,2023-12-04,11193634.3,11049480.53,-144153.77,-1.2878,2,2,2,-144153.77
2023-12-11,2023-12-15,2023-12-08,2023-12-11,11049480.53,11328803.87,279323.34,2.5279,1,1,1,279323.34
2023-12-18,2023-12-22,2023-12-15,2023-12-18,11328803.87,11685090.87,356287.0,3.145,3,3,3,356287.0
2023-12-26,2023-12-28,2023-12-22,2023-12-26,11685090.87,11554449.85,-130641.02,-1.118,2,2,2,-130641.02
2024-01-08,2024-01-12,2024-01-05,2024-01-08,11554449.85,11576399.13,21949.28,0.19,6,6,6,21949.28
2024-01-15,2024-01-19,2024-01-12,2024-01-15,11576399.13,11137106.24,-439292.89,-3.7947,10,10,10,-439292.89
2024-01-22,2024-01-26,2024-01-19,2024-01-22,11137106.24,11263161.73,126055.49,1.1319,7,7,7,126055.49
2024-01-29,2024-02-02,2024-01-26,2024-01-29,11263161.73,11285668.33,22506.6,0.1998,3,3,3,22506.6
2024-02-05,2024-02-08,2024-02-02,2024-02-05,11285668.33,11414130.58,128462.25,1.1383,1,1,1,128462.25
2024-02-19,2024-02-23,2024-02-16,2024-02-19,11414130.58,11224993.33,-189137.25,-1.657,1,1,1,-189137.25
2024-02-26,2024-02-29,2024-02-23,2024-02-26,11224993.33,11228292.14,3298.81,0.0294,1,1,1,3298.81
2024-03-11,2024-03-15,2024-03-08,2024-03-11,11228292.14,11261800.36,33508.21,0.2984,2,2,2,33508.21
2024-03-18,2024-03-22,2024-03-15,2024-03-18,11261800.36,11394761.87,132961.51,1.1806,8,8,8,132961.51
2024-03-25,2024-03-29,2024-03-22,2024-03-25,11394761.87,11339120.68,-55641.19,-0.4883,4,4,4,-55641.19
2024-04-01,2024-04-05,2024-03-29,2024-04-01,11339120.68,11225425.54,-113695.14,-1.0027,17,10,10,-113695.14
2024-04-08,2024-04-12,2024-04-05,2024-04-08,11225425.54,11206973.8,-18451.74,-0.1644,10,10,10,-18451.74
2024-04-15,2024-04-19,2024-04-12,2024-04-15,11206973.8,11001691.4,-205282.4,-1.8317,20,10,10,-205282.4
2024-04-22,2024-04-26,2024-04-19,2024-04-22,11001691.4,11163237.08,161545.68,1.4684,14,10,10,161545.68
2024-04-29,2024-05-03,2024-04-26,2024-04-29,11163237.08,11108421.82,-54815.26,-0.491,4,4,4,-54815.26
2024-05-07,2024-05-10,2024-05-03,2024-05-07,11108421.82,11124683.27,16261.45,0.1464,4,4,4,16261.45
2024-05-13,2024-05-17,2024-05-10,2024-05-13,11124683.27,11401473.06,276789.79,2.4881,1,1,1,276789.79
2024-05-20,2024-05-24,2024-05-17,2024-05-20,11401473.06,11365396.93,-36076.13,-0.3164,6,6,6,-36076.13
2024-05-27,2024-05-31,2024-05-24,2024-05-27,11365396.93,11418489.75,53092.82,0.4671,5,5,5,53092.82
2024-06-03,2024-06-07,2024-05-31,2024-06-03,11418489.75,11578338.8,159849.05,1.3999,4,4,4,159849.05
2024-06-10,2024-06-14,2024-06-07,2024-06-10,11578338.8,11867388.13,289049.33,2.4965,2,2,2,289049.33
2024-06-17,2024-06-21,2024-06-14,2024-06-17,11867388.13,11629951.75,-237436.38,-2.0007,5,5,5,-237436.38
2024-06-24,2024-06-28,2024-06-21,2024-06-24,11629951.75,11924909.87,294958.12,2.5362,2,2,2,294958.12
2024-07-01,2024-07-05,2024-06-28,2024-07-01,11924909.87,11719412.26,-205497.61,-1.7233,5,5,5,-205497.61
