month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9826766.24,-173233.76,3,-1.7323
2020-02,9826766.24,9500924.91,-325841.32999999996,4,-3.3159
2020-03,9500924.91,10084142.1,583217.19,5,6.1385
2020-04,10084142.1,10084142.1,0.0,4,0.0
2020-05,10084142.1,10585359.6,501217.5,3,4.9704
2020-06,10585359.6,11130611.66,545252.06,5,5.151
2020-07,11130611.66,11709587.97,578976.3099999999,4,5.2017
2020-08,11709587.97,12005703.62,296115.64999999997,5,2.5288
2020-09,12005703.62,12004217.98,-1485.6399999999558,4,-0.0124
2020-10,12004217.98,11936927.99,-67289.98999999999,2,-0.5606
2020-11,11936927.99,12582590.2,645662.21,5,5.4089
2020-12,12582590.2,12288002.22,-294587.98000000004,3,-2.3412
2021-01,12288002.22,11415255.17,-872747.0499999999,3,-7.1024
2021-02,11415255.17,12178394.5,763139.33,3,6.6853
2021-03,12178394.5,11896374.04,-282020.45999999996,5,-2.3157
2021-04,11896374.04,11564222.7,-332151.33999999997,4,-2.792
2021-05,11564222.7,12099030.12,534807.4199999999,5,4.6247
2021-06,12099030.12,11935630.62,-163399.5,4,-1.3505
2021-07,11935630.62,11711927.58,-223703.04,4,-1.8742
2021-08,11711927.58,11979051.3,267123.73000000004,5,2.2808
2021-09,11979051.3,12991684.09,1012632.79,4,8.4534
2021-10,12991684.09,13602817.36,611133.2699999999,4,4.704
2021-11,13602817.36,13136999.85,-465817.51,5,-3.4244
2021-12,13136999.85,12267476.2,-869523.6499999999,4,-6.6189
2022-01,12267476.2,11561890.4,-705585.8,3,-5.7517
2022-02,11561890.4,11671700.33,109809.92999999998,5,0.9498
2022-03,11671700.33,11125088.14,-546612.1900000001,4,-4.6832
2022-04,11125088.14,11059778.2,-65309.94000000003,4,-0.5871
2022-05,11059778.2,11176624.9,116846.70000000001,5,1.0565
2022-06,11176624.9,10680010.78,-496614.12,4,-4.4433
2022-07,10680010.78,10610449.77,-69561.01000000001,4,-0.6513
2022-08,10610449.77,10629872.89,19423.119999999966,5,0.1831
2022-09,10629872.89,9968504.98,-661367.9099999999,3,-6.2218
2022-10,9968504.98,9949120.63,-19384.350000000006,5,-0.1945
2022-11,9949120.63,9499018.95,-450101.68,4,-4.524
2022-12,9499018.95,9469908.81,-29110.139999999992,4,-0.3065
2023-01,9469908.81,10009801.33,539892.52,4,5.7011
2023-02,10009801.33,10388346.41,378545.0800000001,4,3.7817
2023-03,10388346.41,10315061.38,-73285.03,4,-0.7055
2023-04,10315061.38,10479615.3,164553.92000000004,4,1.5953
2023-05,10479615.3,10780740.32,301125.02,4,2.8734
2023-06,10780740.32,11081576.71,300836.39,4,2.7905
2023-07,11081576.71,11151669.12,70092.41,5,0.6325
2023-08,11151669.12,11574449.37,422780.25,4,3.7912
2023-09,11574449.37,11493170.18,-81279.19,4,-0.7022
2023-10,11493170.18,11580650.75,87480.57000000007,4,0.7612
2023-11,11580650.75,12208288.96,627638.21,4,5.4197
2023-12,12208288.96,12782127.24,573838.29,4,4.7004
2024-01,12782127.24,12447686.7,-334440.54000000004,4,-2.6165
2024-02,12447686.7,12384582.13,-63104.57000000001,3,-0.507
2024-03,12384582.13,12396431.48,11849.339999999997,3,0.0957
2024-04,12396431.48,12039407.22,-357024.26,5,-2.8801
2024-05,12039407.22,12714936.48,675529.2599999999,4,5.611
2024-06,12714936.48,13836525.21,1121588.7200000002,4,8.821
2024-07,13836525.21,13889204.49,52679.28,5,0.3807
2024-08,13889204.49,12978127.01,-911077.48,4,-6.5596
2024-09,12978127.01,13669606.51,691479.5,5,5.328
2024-10,13669606.51,13827265.14,157658.62999999998,4,1.1534
2024-11,13827265.14,14871093.35,1043828.21,4,7.5491
2024-12,14871093.35,14715628.62,-155464.73000000004,5,-1.0454
