week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38100.0,40005.0,take_profit,0,2171700.0,325.75,342.04,3420.43,2276522.53,104496.77,4.811
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121500.0,119500.0,friday_liquidation,4,2187000.0,328.05,322.65,3226.5,2147450.85,-39877.2,-1.8231
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147500.0,143500.0,friday_liquidation,4,2212500.0,331.88,322.88,3228.75,2148948.38,-63883.5,-2.887
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47800.0,45410.0,stop_loss,2,2342200.0,351.33,333.76,3337.64,2221418.6,-121132.73,-5.171
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,286,10360.0,10878.0,take_profit,1,2962960.0,444.44,466.67,4666.66,3105974.67,142570.23,4.811
2020-01-13,2020-01-10,2020-01-13,2020-01-15,021240,코웨이,fallback,33,89000.0,93450.0,take_profit,2,2937000.0,440.55,462.58,4625.77,3078761.65,141321.1,4.811
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,110,27350.0,28717.5,take_profit,1,3008500.0,451.27,473.84,4738.39,3153712.77,144761.5,4.811
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,280,33250.0,31587.5,stop_loss,1,9310000.0,1396.5,1326.67,13266.75,8829906.57,-481489.93,-5.171
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,6,181500.0,190575.0,take_profit,0,1089000.0,163.35,171.52,1715.17,1141563.31,52399.96,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,33,37096.0,38950.8,take_profit,0,1224168.0,183.63,192.81,1928.06,1283255.53,58903.9,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-05,017960,한국카본,fallback,169,7400.0,7770.0,take_profit,2,1250600.0,187.59,196.97,1969.69,1310963.34,60175.75,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-07,006280,녹십자,fallback,10,124000.0,122500.0,friday_liquidation,4,1240000.0,186.0,183.75,1837.5,1222978.75,-17207.25,-1.3875
2020-02-03,2020-01-31,2020-02-03,2020-02-07,282330,BGF리테일,fallback,7,165000.0,161500.0,friday_liquidation,4,1155000.0,173.25,169.57,1695.75,1128634.68,-26538.57,-2.2974
2020-02-03,2020-01-31,2020-02-03,2020-02-04,267260,HD현대일렉트릭,fallback,140,9690.0,10174.5,take_profit,1,1356600.0,203.49,213.66,2136.64,1422079.69,65276.2,4.811
2020-02-03,2020-01-31,2020-02-03,2020-02-06,000100,유한양행,fallback,38,35713.0,37498.65,take_profit,3,1357094.0,203.56,213.74,2137.42,1422597.53,65299.97,4.811
2020-02-10,2020-02-07,2020-02-10,2020-02-12,008770,호텔신라,fallback,19,90800.0,95340.0,take_profit,2,1725200.0,258.78,271.72,2717.19,1808471.09,83012.31,4.811
2020-02-10,2020-02-07,2020-02-10,2020-02-11,090430,아모레퍼시픽,fallback,10,178000.0,186900.0,take_profit,1,1780000.0,267.0,280.35,2803.5,1865916.15,85649.15,4.811
2020-02-10,2020-02-07,2020-02-10,2020-02-14,003230,삼양식품,fallback,18,97900.0,99700.0,friday_liquidation,4,1762200.0,264.33,269.19,2691.9,1791638.91,29174.58,1.6553
2020-02-10,2020-02-07,2020-02-10,2020-02-14,010140,삼성중공업,fallback,300,6257.0,6287.0,friday_liquidation,4,1877100.0,281.56,282.92,2829.15,1882987.94,5606.37,0.2986
