week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9879603.35,-120396.65,-1.204,4,4,4,-120396.65
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9879603.35,10308256.17,428652.82,4.3388,3,3,3,428652.82
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10308256.17,9826766.24,-481489.93,-4.6709,1,1,1,-481489.93
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9826766.24,10085076.19,258309.95,2.6286,7,7,7,258309.95
2020-02-10,2020-02-14,2020-02-07,2020-02-10,10085076.19,10282505.35,197429.16,1.9576,5,5,5,197429.16
2020-02-17,2020-02-21,2020-02-14,2020-02-17,10282505.35,9801015.42,-481489.93,-4.6826,1,1,1,-481489.93
2020-02-24,2020-02-28,2020-02-21,2020-02-24,9801015.42,9500924.91,-300090.51,-3.0618,15,10,10,-300090.51
2020-03-02,2020-03-06,2020-02-28,2020-03-02,9500924.91,9910921.42,409996.51,4.3153,14,10,10,409996.51
2020-03-09,2020-03-13,2020-03-06,2020-03-09,9910921.42,9544754.32,-366167.1,-3.6946,8,8,8,-366167.1
2020-03-16,2020-03-20,2020-03-13,2020-03-16,9544754.32,9686541.81,141787.49,1.4855,3,3,3,141787.49
2020-03-23,2020-03-27,2020-03-20,2020-03-23,9686541.81,9686541.81,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,9686541.81,10084142.1,397600.29,4.1047,1,1,1,397600.29
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10084142.1,10084142.1,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10084142.1,10084142.1,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10084142.1,10084142.1,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10084142.1,10084142.1,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10084142.1,10084142.1,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10084142.1,10428264.39,344122.29,3.4125,9,9,9,344122.29
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10428264.39,10585359.6,157095.21,1.5064,10,10,10,157095.21
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10585359.6,11046298.79,460939.19,4.3545,10,10,10,460939.19
2020-06-08,2020-06-12,2020-06-05,2020-06-08,11046298.79,11046298.79,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,11046298.79,10913382.92,-132915.87,-1.2033,47,10,10,-132915.87
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10913382.92,10832989.15,-80393.77,-0.7367,1,1,1,-80393.77
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10832989.15,11130611.66,297622.51,2.7474,2,2,2,297622.51
2020-07-06,2020-07-10,2020-07-03,2020-07-06,11130611.66,10953946.27,-176665.39,-1.5872,3,3,3,-176665.39
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10953946.27,11429560.57,475614.3,4.3419,12,10,10,475614.3
2020-07-20,2020-07-24,2020-07-17,2020-07-20,11429560.57,11351977.04,-77583.53,-0.6788,1,1,1,-77583.53
2020-07-27,2020-07-31,2020-07-24,2020-07-27,11351977.04,11709587.97,357610.93,3.1502,4,4,4,357610.93
2020-08-03,2020-08-07,2020-07-31,2020-08-03,11709587.97,11771856.33,62268.36,0.5318,2,2,2,62268.36
2020-08-10,2020-08-14,2020-08-07,2020-08-10,11771856.33,12075040.53,303184.2,2.5755,3,3,3,303184.2
2020-08-18,2020-08-21,2020-08-14,2020-08-18,12075040.53,11514481.01,-560559.52,-4.6423,2,2,2,-560559.52
2020-08-24,2020-08-28,2020-08-21,2020-08-24,11514481.01,12005703.62,491222.61,4.2661,1,1,1,491222.61
2020-08-31,2020-09-04,2020-08-28,2020-08-31,12005703.62,12005703.62,0.0,0.0,0,0,0,0.0
2020-09-07,2020-09-11,2020-09-04,2020-09-07,12005703.62,12035596.44,29892.82,0.249,13,10,10,29892.82
2020-09-14,2020-09-18,2020-09-11,2020-09-14,12035596.44,12176043.33,140446.89,1.1669,1,1,1,140446.89
2020-09-21,2020-09-25,2020-09-18,2020-09-21,12176043.33,11612254.88,-563788.45,-4.6303,2,2,2,-563788.45
2020-09-28,2020-09-29,2020-09-25,2020-09-28,11612254.88,12004217.98,391963.1,3.3754,10,10,10,391963.1
2020-10-19,2020-10-23,2020-10-16,2020-10-19,12004217.98,11879747.39,-124470.59,-1.0369,12,10,10,-124470.59
2020-10-26,2020-10-30,2020-10-23,2020-10-26,11879747.39,11936927.99,57180.6,0.4813,4,4,4,57180.6
2020-11-02,2020-11-06,2020-10-30,2020-11-02,11936927.99,12273585.57,336657.58,2.8203,30,10,10,336657.58
2020-11-09,2020-11-13,2020-11-06,2020-11-09,12273585.57,12394269.97,120684.4,0.9833,3,3,3,120684.4
2020-11-16,2020-11-20,2020-11-13,2020-11-16,12394269.97,12394269.97,0.0,0.0,0,0,0,0.0
2020-11-23,2020-11-27,2020-11-20,2020-11-23,12394269.97,12394269.97,0.0,0.0,0,0,0,0.0
2020-11-30,2020-12-04,2020-11-27,2020-11-30,12394269.97,12582590.2,188320.23,1.5194,3,3,3,188320.23
2020-12-07,2020-12-11,2020-12-04,2020-12-07,12582590.2,12881002.52,298412.32,2.3716,7,7,7,298412.32
2020-12-14,2020-12-18,2020-12-11,2020-12-14,12881002.52,12881002.52,0.0,0.0,0,0,0,0.0
2020-12-21,2020-12-24,2020-12-18,2020-12-21,12881002.52,12288002.22,-593000.3,-4.6037,1,1,1,-593000.3
2021-01-11,2021-01-15,2021-01-08,2021-01-11,12288002.22,11726065.0,-561937.22,-4.5731,1,1,1,-561937.22
2021-01-18,2021-01-22,2021-01-15,2021-01-18,11726065.0,11932343.89,206278.89,1.7591,5,5,5,206278.89
2021-01-25,2021-01-29,2021-01-22,2021-01-25,11932343.89,11415255.17,-517088.72,-4.3335,7,7,7,-517088.72
2021-02-01,2021-02-05,2021-01-29,2021-02-01,11415255.17,11884237.71,468982.54,4.1084,66,10,10,468982.54
2021-02-08,2021-02-10,2021-02-05,2021-02-08,11884237.71,12373303.98,489066.27,4.1153,1,1,1,489066.27
2021-02-22,2021-02-26,2021-02-19,2021-02-22,12373303.98,12178394.5,-194909.48,-1.5752,3,3,3,-194909.48
2021-03-02,2021-03-05,2021-02-26,2021-03-02,12178394.5,11951812.12,-226582.38,-1.8605,48,10,10,-226582.38
2021-03-08,2021-03-12,2021-03-05,2021-03-08,11951812.12,11710389.42,-241422.7,-2.02,18,10,10,-241422.7
2021-03-15,2021-03-19,2021-03-12,2021-03-15,11710389.42,11710389.42,0.0,0.0,0,0,0,0.0
2021-03-22,2021-03-26,2021-03-19,2021-03-22,11710389.42,11658061.15,-52328.27,-0.4469,5,5,5,-52328.27
2021-03-29,2021-04-02,2021-03-26,2021-03-29,11658061.15,11896374.04,238312.89,2.0442,2,2,2,238312.89
2021-04-05,2021-04-09,2021-04-02,2021-04-05,11896374.04,11877187.84,-19186.2,-0.1613,1,1,1,-19186.2
2021-04-12,2021-04-16,2021-04-09,2021-04-12,11877187.84,12109328.43,232140.59,1.9545,2,2,2,232140.59
2021-04-19,2021-04-23,2021-04-16,2021-04-19,12109328.43,12109328.43,0.0,0.0,0,0,0,0.0
2021-04-26,2021-04-30,2021-04-23,2021-04-26,12109328.43,11564222.7,-545105.73,-4.5015,5,5,5,-545105.73
2021-05-03,2021-05-07,2021-04-30,2021-05-03,11564222.7,11699686.81,135464.11,1.1714,12,10,10,135464.11
2021-05-10,2021-05-14,2021-05-07,2021-05-10,11699686.81,11699686.81,0.0,0.0,0,0,0,0.0
2021-05-17,2021-05-21,2021-05-14,2021-05-17,11699686.81,11693448.35,-6238.46,-0.0533,2,2,2,-6238.46
2021-05-24,2021-05-28,2021-05-21,2021-05-24,11693448.35,12099030.12,405581.77,3.4685,6,6,6,405581.77
2021-05-31,2021-06-04,2021-05-28,2021-05-31,12099030.12,12099030.12,0.0,0.0,0,0,0,0.0
2021-06-07,2021-06-11,2021-06-04,2021-06-07,12099030.12,11749569.83,-349460.29,-2.8883,2,2,2,-349460.29
2021-06-14,2021-06-18,2021-06-11,2021-06-14,11749569.83,11749569.83,0.0,0.0,0,0,0,0.0
2021-06-21,2021-06-25,2021-06-18,2021-06-21,11749569.83,11905906.44,156336.61,1.3306,6,6,6,156336.61
2021-06-28,2021-07-02,2021-06-25,2021-06-28,11905906.44,11935630.62,29724.18,0.2497,1,1,1,29724.18
2021-07-05,2021-07-09,2021-07-02,2021-07-05,11935630.62,11935630.62,0.0,0.0,0,0,0,0.0
2021-07-12,2021-07-16,2021-07-09,2021-07-12,11935630.62,12099735.42,164104.8,1.3749,19,10,10,164104.8
2021-07-19,2021-07-23,2021-07-16,2021-07-19,12099735.42,11810717.73,-289017.69,-2.3886,4,4,4,-289017.69
2021-07-26,2021-07-30,2021-07-23,2021-07-26,11810717.73,11711927.58,-98790.15,-0.8364,3,3,3,-98790.15
2021-08-02,2021-08-06,2021-07-30,2021-08-02,11711927.58,11756556.19,44628.61,0.3811,11,10,10,44628.61
2021-08-09,2021-08-13,2021-08-06,2021-08-09,11756556.19,11493581.21,-262974.97,-2.2368,2,2,2,-262974.98
2021-08-17,2021-08-20,2021-08-13,2021-08-17,11493581.21,11055886.84,-437694.37,-3.8082,11,10,10,-437694.37
2021-08-23,2021-08-27,2021-08-20,2021-08-23,11055886.84,11489545.62,433658.78,3.9224,14,10,10,433658.78
2021-08-30,2021-09-03,2021-08-27,2021-08-30,11489545.62,11979051.3,489505.68,4.2604,1,1,1,489505.68
2021-09-06,2021-09-10,2021-09-03,2021-09-06,11979051.3,11979051.3,0.0,0.0,0,0,0,0.0
2021-09-13,2021-09-17,2021-09-10,2021-09-13,11979051.3,11979051.3,0.0,0.0,0,0,0,0.0
2021-09-23,2021-09-27,2021-09-17,2021-09-23,11979051.3,12465086.17,486034.87,4.0574,1,1,1,486034.87
2021-09-27,2021-10-01,2021-09-24,2021-09-27,12465086.17,12991684.09,526597.92,4.2246,1,1,1,526597.92
2021-10-05,2021-10-08,2021-10-01,2021-10-05,12991684.09,12775292.17,-216391.92,-1.6656,12,10,10,-216391.92
2021-10-12,2021-10-15,2021-10-08,2021-10-12,12775292.17,13277413.93,502121.76,3.9304,7,7,7,502121.76
2021-10-18,2021-10-22,2021-10-15,2021-10-18,13277413.93,13574724.65,297310.72,2.2392,1,1,1,297310.72
2021-10-25,2021-10-29,2021-10-22,2021-10-25,13574724.65,13602817.36,28092.71,0.2069,5,5,5,28092.71
2021-11-01,2021-11-05,2021-10-29,2021-11-01,13602817.36,13300383.11,-302434.25,-2.2233,6,6,6,-302434.25
2021-11-08,2021-11-12,2021-11-05,2021-11-08,13300383.11,13093090.91,-207292.2,-1.5585,17,10,10,-207292.2
2021-11-15,2021-11-19,2021-11-12,2021-11-15,13093090.91,13093090.91,0.0,0.0,0,0,0,0.0
2021-11-22,2021-11-26,2021-11-19,2021-11-22,13093090.91,12905434.76,-187656.15,-1.4332,5,5,5,-187656.15
2021-11-29,2021-12-03,2021-11-26,2021-11-29,12905434.76,13136999.85,231565.09,1.7943,9,9,9,231565.09
2021-12-06,2021-12-10,2021-12-03,2021-12-06,13136999.85,13136999.85,0.0,0.0,0,0,0,0.0
2021-12-13,2021-12-17,2021-12-10,2021-12-13,13136999.85,12853766.61,-283233.24,-2.156,5,5,5,-283233.24
2021-12-20,2021-12-24,2021-12-17,2021-12-20,12853766.61,12852090.82,-1675.79,-0.013,2,2,2,-1675.79
2021-12-27,2021-12-30,2021-12-24,2021-12-27,12852090.82,12267476.2,-584614.62,-4.5488,1,1,1,-584614.62
2022-01-10,2022-01-14,2022-01-07,2022-01-10,12267476.2,12306223.67,38747.47,0.3159,1,1,1,38747.47
2022-01-17,2022-01-21,2022-01-14,2022-01-17,12306223.67,11968869.91,-337353.76,-2.7413,3,3,3,-337353.76
2022-01-24,2022-01-28,2022-01-21,2022-01-24,11968869.91,11561890.4,-406979.51,-3.4003,9,9,9,-406979.51
2022-02-03,2022-02-07,2022-01-28,2022-02-03,11561890.4,12073069.07,511178.67,4.4212,1,1,1,511178.67
2022-02-07,2022-02-11,2022-02-04,2022-02-07,12073069.07,11847722.06,-225347.01,-1.8665,3,3,3,-225347.01
2022-02-14,2022-02-18,2022-02-11,2022-02-14,11847722.06,11701636.63,-146085.43,-1.233,11,10,10,-146085.43
2022-02-21,2022-02-25,2022-02-18,2022-02-21,11701636.63,11701636.63,0.0,0.0,0,0,0,0.0
2022-02-28,2022-03-04,2022-02-25,2022-02-28,11701636.63,11671700.33,-29936.3,-0.2558,4,4,4,-29936.3
2022-03-07,2022-03-11,2022-03-04,2022-03-07,11671700.33,11139216.95,-532483.38,-4.5622,1,1,1,-532483.38
2022-03-14,2022-03-18,2022-03-11,2022-03-14,11139216.95,11611610.51,472393.56,4.2408,1,1,1,472393.56
2022-03-21,2022-03-25,2022-03-18,2022-03-21,11611610.51,11436433.97,-175176.54,-1.5086,2,2,2,-175176.54
2022-03-28,2022-04-01,2022-03-25,2022-03-28,11436433.97,11125088.14,-311345.83,-2.7224,4,4,4,-311345.83
2022-04-04,2022-04-08,2022-04-01,2022-04-04,11125088.14,10842504.55,-282583.59,-2.5401,7,7,7,-282583.59
2022-04-11,2022-04-15,2022-04-08,2022-04-11,10842504.55,10823931.23,-18573.32,-0.1713,2,2,2,-18573.32
