month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9608544.88,-391455.12,3,-3.9146
2020-02,9608544.88,10084160.13,475615.25,4,4.9499
2020-03,10084160.13,10233587.55,149427.41999999995,5,1.4818
2020-04,10233587.55,10233587.55,0.0,4,0.0
2020-05,10233587.55,10705585.72,471998.17,3,4.6122
2020-06,10705585.72,10974072.52,268486.8,5,2.5079
2020-07,10974072.52,11454426.36,480353.83999999997,4,4.3772
2020-08,11454426.36,11422028.1,-32398.25999999995,5,-0.2828
2020-09,11422028.1,11578722.0,156693.90000000008,4,1.3719
2020-10,11578722.0,11344778.97,-233943.03,2,-2.0205
2020-11,11344778.97,12028177.57,683398.6,5,6.0239
2020-12,12028177.57,11644662.88,-383514.69000000006,3,-3.1885
2021-01,11644662.88,11180478.25,-464184.63000000006,3,-3.9862
2021-02,11180478.25,11479640.69,299162.44000000006,3,2.6758
2021-03,11479640.69,11202083.29,-277557.3999999999,5,-2.4178
2021-04,11202083.29,11075167.44,-126915.84999999998,4,-1.133
2021-05,11075167.44,11219194.62,144027.18,5,1.3005
2021-06,11219194.62,10995697.23,-223497.39,4,-1.9921
2021-07,10995697.23,10956696.18,-39001.04999999999,4,-0.3547
2021-08,10956696.18,10807731.15,-148965.02999999997,5,-1.3596
2021-09,10807731.15,11328755.1,521023.95,4,4.8208
2021-10,11328755.1,11936684.83,607929.73,4,5.3663
2021-11,11936684.83,11832958.62,-103726.21000000002,5,-0.869
2021-12,11832958.62,10896070.34,-936888.28,4,-7.9176
2022-01,10896070.34,10417174.05,-478896.29,3,-4.3951
2022-02,10417174.05,10538633.34,121459.29000000001,5,1.166
2022-03,10538633.34,10395565.1,-143068.24000000002,4,-1.3576
2022-04,10395565.1,10218938.25,-176626.85,4,-1.6991
2022-05,10218938.25,10248753.53,29815.28,5,0.2918
2022-06,10248753.53,9843108.41,-405645.12,4,-3.958
2022-07,9843108.41,9840915.4,-2193.0099999999875,4,-0.0223
2022-08,9840915.4,9818475.2,-22440.199999999953,5,-0.228
2022-09,9818475.2,9232561.23,-585913.97,3,-5.9675
2022-10,9232561.23,9177381.92,-55179.31,5,-0.5977
2022-11,9177381.92,8970069.14,-207312.78,4,-2.259
2022-12,8970069.14,8988293.68,18224.540000000008,4,0.2032
2023-01,8988293.68,9344988.72,356695.04,4,3.9684
2023-02,9344988.72,9802980.29,457991.57,4,4.9009
2023-03,9802980.29,9780322.47,-22657.820000000007,4,-0.2311
2023-04,9780322.47,9819561.05,39238.580000000016,4,0.4012
2023-05,9819561.05,9978155.79,158594.74000000002,4,1.6151
2023-06,9978155.79,10133828.43,155672.63999999998,4,1.5601
2023-07,10133828.43,10160478.21,26649.78,5,0.263
2023-08,10160478.21,10520191.4,359713.19,4,3.5403
2023-09,10520191.4,10409810.65,-110380.75,4,-1.0492
2023-10,10409810.65,10497722.47,87911.82,4,0.8445
2023-11,10497722.47,10679177.88,181455.40999999997,4,1.7285
2023-12,10679177.88,11001802.12,322624.24000000005,4,3.0211
2024-01,11001802.12,10717864.72,-283937.4,4,-2.5808
2024-02,10717864.72,10652583.27,-65281.44999999999,3,-0.6091
2024-03,10652583.27,10747634.58,95051.31,3,0.8923
2024-04,10747634.58,10469644.64,-277989.94,5,-2.5865
2024-05,10469644.64,10773583.1,303938.46,4,2.903
2024-06,10773583.1,11246966.67,473383.57,4,4.3939
2024-07,11246966.67,11193706.19,-53260.48000000001,5,-0.4736
2024-08,11193706.19,10369541.07,-824165.1200000001,4,-7.3628
2024-09,10369541.07,10709294.94,339753.87,5,3.2765
2024-10,10709294.94,10626596.48,-82698.45999999999,4,-0.7722
2024-11,10626596.48,10994805.62,368209.14,4,3.465
2024-12,10994805.62,11052061.52,57255.899999999994,5,0.5208
