week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9833598.61,-166401.39,-1.664,4,4,4,-166401.39
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9833598.61,10081539.88,247941.27,2.5214,3,3,3,247941.27
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10081539.88,9608544.88,-472995.0,-4.6917,1,1,1,-472995.0
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9608544.88,9793099.89,184555.01,1.9207,7,7,7,184555.01
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9793099.89,9980086.95,186987.06,1.9094,5,5,5,186987.06
2020-02-17,2020-02-21,2020-02-14,2020-02-17,9980086.95,10232479.32,252392.37,2.529,1,1,1,252392.37
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10232479.32,10084160.13,-148319.19,-1.4495,15,10,10,-148319.19
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10084160.13,10373654.99,289494.86,2.8708,14,10,10,289494.86
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10373654.99,9967346.53,-406308.46,-3.9167,8,8,8,-406308.46
2020-03-16,2020-03-20,2020-03-13,2020-03-16,9967346.53,10002630.03,35283.5,0.354,3,3,3,35283.5
2020-03-23,2020-03-27,2020-03-20,2020-03-23,10002630.03,10002630.03,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,10002630.03,10233587.55,230957.52,2.309,1,1,1,230957.52
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10233587.55,10233587.55,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10233587.55,10233587.55,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10233587.55,10233587.55,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10233587.55,10233587.55,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10233587.55,10233587.55,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10233587.55,10578423.97,344836.42,3.3697,9,9,9,344836.42
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10578423.97,10705585.72,127161.75,1.2021,10,10,10,127161.75
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10705585.72,10976289.82,270704.1,2.5286,10,10,10,270704.1
2020-06-08,2020-06-12,2020-06-05,2020-06-08,10976289.82,10976289.82,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,10976289.82,10860467.01,-115822.81,-1.0552,47,10,10,-115822.81
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10860467.01,10776538.76,-83928.25,-0.7728,1,1,1,-83928.25
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10776538.76,10974072.52,197533.76,1.833,2,2,2,197533.76
2020-07-06,2020-07-10,2020-07-03,2020-07-06,10974072.52,10732176.15,-241896.37,-2.2043,3,3,3,-241896.37
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10732176.15,11017440.42,285264.27,2.658,12,10,10,285264.27
2020-07-20,2020-07-24,2020-07-17,2020-07-20,11017440.42,11294982.59,277542.17,2.5191,1,1,1,277542.17
2020-07-27,2020-07-31,2020-07-24,2020-07-27,11294982.59,11454426.36,159443.77,1.4116,4,4,4,159443.77
2020-08-03,2020-08-07,2020-07-31,2020-08-03,11454426.36,11575672.74,121246.38,1.0585,2,2,2,121246.38
2020-08-10,2020-08-14,2020-08-07,2020-08-10,11575672.74,11688688.32,113015.58,0.9763,3,3,3,113015.58
2020-08-18,2020-08-21,2020-08-14,2020-08-18,11688688.32,11144196.34,-544491.98,-4.6583,2,2,2,-544491.98
2020-08-24,2020-08-28,2020-08-21,2020-08-24,11144196.34,11422028.1,277831.76,2.4931,1,1,1,277831.76
2020-08-31,2020-09-04,2020-08-28,2020-08-31,11422028.1,11422028.1,0.0,0.0,0,0,0,0.0
2020-09-07,2020-09-11,2020-09-04,2020-09-07,11422028.1,11564486.54,142458.44,1.2472,13,10,10,142458.44
2020-09-14,2020-09-18,2020-09-11,2020-09-14,11564486.54,11853798.63,289312.09,2.5017,1,1,1,289312.09
2020-09-21,2020-09-25,2020-09-18,2020-09-21,11853798.63,11303148.29,-550650.34,-4.6453,2,2,2,-550650.34
2020-09-28,2020-09-29,2020-09-25,2020-09-28,11303148.29,11578722.0,275573.71,2.438,10,10,10,275573.71
2020-10-19,2020-10-23,2020-10-16,2020-10-19,11578722.0,11400238.35,-178483.65,-1.5415,12,10,10,-178483.65
2020-10-26,2020-10-30,2020-10-23,2020-10-26,11400238.35,11344778.97,-55459.38,-0.4865,4,4,4,-55459.38
2020-11-02,2020-11-06,2020-10-30,2020-11-02,11344778.97,11640103.2,295324.23,2.6032,30,10,10,295324.23
2020-11-09,2020-11-13,2020-11-06,2020-11-09,11640103.2,11845547.56,205444.36,1.765,3,3,3,205444.36
2020-11-16,2020-11-20,2020-11-13,2020-11-16,11845547.56,11845547.56,0.0,0.0,0,0,0,0.0
2020-11-23,2020-11-27,2020-11-20,2020-11-23,11845547.56,11845547.56,0.0,0.0,0,0,0,0.0
2020-11-30,2020-12-04,2020-11-27,2020-11-30,11845547.56,12028177.57,182630.01,1.5418,3,3,3,182630.01
2020-12-07,2020-12-11,2020-12-04,2020-12-07,12028177.57,12208952.28,180774.71,1.5029,7,7,7,180774.71
2020-12-14,2020-12-18,2020-12-11,2020-12-14,12208952.28,12208952.28,0.0,0.0,0,0,0,0.0
2020-12-21,2020-12-24,2020-12-18,2020-12-21,12208952.28,11644662.88,-564289.4,-4.6219,1,1,1,-564289.4
2021-01-11,2021-01-15,2021-01-08,2021-01-11,11644662.88,11109980.82,-534682.06,-4.5916,1,1,1,-534682.06
2021-01-18,2021-01-22,2021-01-15,2021-01-18,11109980.82,11190502.19,80521.37,0.7248,5,5,5,80521.37
2021-01-25,2021-01-29,2021-01-22,2021-01-25,11190502.19,11180478.25,-10023.94,-0.0896,7,7,7,-10023.94
2021-02-01,2021-02-05,2021-01-29,2021-02-01,11180478.25,11472385.26,291907.01,2.6109,66,10,10,291907.01
2021-02-08,2021-02-10,2021-02-05,2021-02-08,11472385.26,11746327.41,273942.15,2.3878,1,1,1,273942.15
2021-02-22,2021-02-26,2021-02-19,2021-02-22,11746327.41,11479640.69,-266686.72,-2.2704,3,3,3,-266686.72
2021-03-02,2021-03-05,2021-02-26,2021-03-02,11479640.69,11274088.11,-205552.58,-1.7906,48,10,10,-205552.58
2021-03-08,2021-03-12,2021-03-05,2021-03-08,11274088.11,11011150.45,-262937.66,-2.3322,18,10,10,-262937.66
2021-03-15,2021-03-19,2021-03-12,2021-03-15,11011150.45,11011150.45,0.0,0.0,0,0,0,0.0
2021-03-22,2021-03-26,2021-03-19,2021-03-22,11011150.45,10930349.22,-80801.23,-0.7338,5,5,5,-80801.23
2021-03-29,2021-04-02,2021-03-26,2021-03-29,10930349.22,11202083.29,271734.07,2.4861,2,2,2,271734.07
2021-04-05,2021-04-09,2021-04-02,2021-04-05,11202083.29,11482853.73,280770.44,2.5064,1,1,1,280770.44
2021-04-12,2021-04-16,2021-04-09,2021-04-12,11482853.73,11601666.51,118812.78,1.0347,2,2,2,118812.78
2021-04-19,2021-04-23,2021-04-16,2021-04-19,11601666.51,11601666.51,0.0,0.0,0,0,0,0.0
2021-04-26,2021-04-30,2021-04-23,2021-04-26,11601666.51,11075167.44,-526499.07,-4.5381,5,5,5,-526499.07
2021-05-03,2021-05-07,2021-04-30,2021-05-03,11075167.44,11098135.52,22968.08,0.2074,12,10,10,22968.08
2021-05-10,2021-05-14,2021-05-07,2021-05-10,11098135.52,11098135.52,0.0,0.0,0,0,0,0.0
2021-05-17,2021-05-21,2021-05-14,2021-05-17,11098135.52,11001995.44,-96140.08,-0.8663,2,2,2,-96140.08
2021-05-24,2021-05-28,2021-05-21,2021-05-24,11001995.44,11219194.62,217199.18,1.9742,6,6,6,217199.18
2021-05-31,2021-06-04,2021-05-28,2021-05-31,11219194.62,11219194.62,0.0,0.0,0,0,0,0.0
2021-06-07,2021-06-11,2021-06-04,2021-06-07,11219194.62,10894896.59,-324298.03,-2.8906,2,2,2,-324298.03
2021-06-14,2021-06-18,2021-06-11,2021-06-14,10894896.59,10894896.59,0.0,0.0,0,0,0,0.0
2021-06-21,2021-06-25,2021-06-18,2021-06-21,10894896.59,10972303.58,77406.99,0.7105,6,6,6,77406.99
2021-06-28,2021-07-02,2021-06-25,2021-06-28,10972303.58,10995697.23,23393.65,0.2132,1,1,1,23393.65
2021-07-05,2021-07-09,2021-07-02,2021-07-05,10995697.23,10995697.23,0.0,0.0,0,0,0,0.0
2021-07-12,2021-07-16,2021-07-09,2021-07-12,10995697.23,11133319.14,137621.91,1.2516,19,10,10,137621.91
2021-07-19,2021-07-23,2021-07-16,2021-07-19,11133319.14,11061955.36,-71363.78,-0.641,4,4,4,-71363.78
2021-07-26,2021-07-30,2021-07-23,2021-07-26,11061955.36,10956696.18,-105259.18,-0.9515,3,3,3,-105259.18
2021-08-02,2021-08-06,2021-07-30,2021-08-02,10956696.18,10983428.07,26731.89,0.244,11,10,10,26731.89
2021-08-09,2021-08-13,2021-08-06,2021-08-09,10983428.07,10734939.61,-248488.46,-2.2624,2,2,2,-248488.46
2021-08-17,2021-08-20,2021-08-13,2021-08-17,10734939.61,10305099.3,-429840.31,-4.0041,11,10,10,-429840.31
2021-08-23,2021-08-27,2021-08-20,2021-08-23,10305099.3,10543341.67,238242.37,2.3119,14,10,10,238242.37
2021-08-30,2021-09-03,2021-08-27,2021-08-30,10543341.67,10807731.15,264389.48,2.5076,1,1,1,264389.48
2021-09-06,2021-09-10,2021-09-03,2021-09-06,10807731.15,10807731.15,0.0,0.0,0,0,0,0.0
2021-09-13,2021-09-17,2021-09-10,2021-09-13,10807731.15,10807731.15,0.0,0.0,0,0,0,0.0
2021-09-23,2021-09-27,2021-09-17,2021-09-23,10807731.15,11061101.79,253370.64,2.3443,1,1,1,253370.64
2021-09-27,2021-10-01,2021-09-24,2021-09-27,11061101.79,11328755.1,267653.31,2.4198,1,1,1,267653.31
2021-10-05,2021-10-08,2021-10-01,2021-10-05,11328755.1,11272070.1,-56685.0,-0.5004,12,10,10,-56685.0
2021-10-12,2021-10-15,2021-10-08,2021-10-12,11272070.1,11555548.49,283478.39,2.5149,7,7,7,283478.39
2021-10-18,2021-10-22,2021-10-15,2021-10-18,11555548.49,11806796.96,251248.47,2.1743,1,1,1,251248.47
2021-10-25,2021-10-29,2021-10-22,2021-10-25,11806796.96,11936684.83,129887.87,1.1001,5,5,5,129887.87
2021-11-01,2021-11-05,2021-10-29,2021-11-01,11936684.83,11888931.74,-47753.09,-0.4001,6,6,6,-47753.09
2021-11-08,2021-11-12,2021-11-05,2021-11-08,11888931.74,11767059.11,-121872.63,-1.0251,17,10,10,-121872.63
2021-11-15,2021-11-19,2021-11-12,2021-11-15,11767059.11,11767059.11,0.0,0.0,0,0,0,0.0
2021-11-22,2021-11-26,2021-11-19,2021-11-22,11767059.11,11642218.72,-124840.39,-1.0609,5,5,5,-124840.39
2021-11-29,2021-12-03,2021-11-26,2021-11-29,11642218.72,11832958.62,190739.9,1.6383,9,9,9,190739.9
2021-12-06,2021-12-10,2021-12-03,2021-12-06,11832958.62,11832958.62,0.0,0.0,0,0,0,0.0
2021-12-13,2021-12-17,2021-12-10,2021-12-13,11832958.62,11530432.26,-302526.36,-2.5566,5,5,5,-302526.36
2021-12-20,2021-12-24,2021-12-17,2021-12-20,11530432.26,11421813.59,-108618.67,-0.942,2,2,2,-108618.67
2021-12-27,2021-12-30,2021-12-24,2021-12-27,11421813.59,10896070.34,-525743.25,-4.603,1,1,1,-525743.25
2022-01-10,2022-01-14,2022-01-07,2022-01-10,10896070.34,10926563.65,30493.31,0.2799,1,1,1,30493.31
2022-01-17,2022-01-21,2022-01-14,2022-01-17,10926563.65,10623347.41,-303216.24,-2.775,3,3,3,-303216.24
2022-01-24,2022-01-28,2022-01-21,2022-01-24,10623347.41,10417174.05,-206173.36,-1.9408,9,9,9,-206173.36
2022-02-03,2022-02-07,2022-01-28,2022-02-03,10417174.05,10684289.31,267115.26,2.5642,1,1,1,267115.26
2022-02-07,2022-02-11,2022-02-04,2022-02-07,10684289.31,10692060.42,7771.11,0.0727,3,3,3,7771.11
