month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9430154.07,-569845.9299999999,3,-5.6985
2020-02,9430154.07,9450595.96,20441.890000000014,4,0.2168
2020-03,9450595.96,9960916.34,510320.38,5,5.3999
2020-04,9960916.34,10109173.45,148257.11,4,1.4884
2020-05,10109173.45,10459329.61,350156.16,3,3.4637
2020-06,10459329.61,10515465.21,56135.600000000006,5,0.5367
2020-07,10515465.21,11208021.25,692556.04,4,6.5861
2020-08,11208021.25,11798004.09,589982.84,5,5.2639
2020-09,11798004.09,12089811.41,291807.32000000007,4,2.4734
2020-10,12089811.41,12012799.31,-77012.1,2,-0.637
2020-11,12012799.31,12914879.35,902080.04,5,7.5093
2020-12,12914879.35,12995172.27,80292.92000000004,3,0.6217
2021-01,12995172.27,11973125.28,-1022046.99,3,-7.8648
2021-02,11973125.28,12285854.01,312728.73,3,2.6119
2021-03,12285854.01,11426392.46,-859461.55,5,-6.9955
2021-04,11426392.46,11177456.78,-248935.68000000005,4,-2.1786
2021-05,11177456.78,11320772.16,143315.38000000006,5,1.2822
2021-06,11320772.16,11585286.81,264514.65,4,2.3365
2021-07,11585286.81,11108421.21,-476865.60000000003,4,-4.1161
2021-08,11108421.21,11453243.36,344822.14999999997,5,3.1042
2021-09,11453243.36,12100196.39,646953.0299999999,4,5.6486
2021-10,12100196.39,12357786.88,257590.48999999993,4,2.1288
2021-11,12357786.88,10566682.65,-1791104.23,5,-14.4937
2021-12,10566682.65,10276179.9,-290502.75,4,-2.7492
2022-01,10276179.9,9818768.88,-457411.02,3,-4.4512
2022-02,9818768.88,9606781.34,-211987.53999999998,5,-2.159
2022-03,9606781.34,10089187.16,482405.82,4,5.0215
2022-04,10089187.16,9804052.24,-285134.92,4,-2.8261
2022-05,9804052.24,9607878.01,-196174.22999999998,5,-2.001
2022-06,9607878.01,8819336.76,-788541.25,4,-8.2072
2022-07,8819336.76,8489191.81,-330144.95000000007,4,-3.7434
2022-08,8489191.81,8425660.62,-63531.19000000006,5,-0.7484
2022-09,8425660.62,7430459.03,-995201.5900000001,3,-11.8116
2022-10,7430459.03,6707896.99,-722562.04,5,-9.7243
2022-11,6707896.99,6651656.88,-56240.10999999993,4,-0.8384
2022-12,6651656.88,6485880.44,-165776.43999999997,4,-2.4923
2023-01,6485880.44,6376654.09,-109226.35000000002,4,-1.6841
2023-02,6376654.09,6510793.34,134139.25,4,2.1036
2023-03,6510793.34,6567036.76,56243.419999999984,4,0.8638
2023-04,6567036.76,5906138.56,-660898.2,4,-10.0639
2023-05,5906138.56,6091009.36,184870.8,4,3.1301
2023-06,6091009.36,5890580.73,-200428.62999999998,4,-3.2906
2023-07,5890580.73,5488530.16,-402050.57,5,-6.8253
2023-08,5488530.16,5827119.91,338589.75,4,6.169
2023-09,5827119.91,6044739.2,217619.28999999998,4,3.7346
2023-10,6044739.2,5646237.96,-398501.24,4,-6.5925
2023-11,5646237.96,5836350.96,190113.00000000003,4,3.3671
2023-12,5836350.96,6262351.95,426000.99,4,7.2991
2024-01,6262351.95,5559113.81,-703238.1399999999,4,-11.2296
2024-02,5559113.81,5646886.82,87773.01,3,1.5789
2024-03,5646886.82,5629235.47,-17651.350000000006,3,-0.3126
2024-04,5629235.47,5543670.79,-85564.68000000002,5,-1.52
2024-05,5543670.79,5824554.35,280883.56,4,5.0667
2024-06,5824554.35,6191063.56,366509.21,4,6.2925
2024-07,6191063.56,5994604.73,-196458.82999999996,5,-3.1733
2024-08,5994604.73,5698404.14,-296200.58999999997,4,-4.9411
2024-09,5698404.14,5560713.15,-137690.99,5,-2.4163
2024-10,5560713.15,5095193.75,-465519.4,4,-8.3716
2024-11,5095193.75,5137835.84,42642.09,4,0.8369
2024-12,5137835.84,4927803.87,-210031.97,5,-4.0879
