week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38107.62,39242.9984,take_profit,0,2172134.34,325.82,335.53,3355.28,2233160.11,60699.95,2.7941
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121524.3,119476.1,friday_liquidation,4,2187437.4,328.12,322.59,3225.85,2147021.36,-40744.16,-1.8624
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147529.5,143471.3,friday_liquidation,4,2212942.5,331.94,322.81,3228.1,2148518.59,-64755.86,-2.9258
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47809.56,45409.9982,stop_loss,2,2342668.44,351.4,333.76,3337.63,2221418.51,-121601.33,-5.1899
2020-01-06,2020-01-06,2020-01-07,2020-01-10,005490,POSCO홀딩스,fallback,5,231546.3,238444.9905,take_profit,3,1157731.5,173.66,178.83,1788.34,1190257.78,32352.62,2.7941
2020-01-06,2020-01-06,2020-01-07,2020-01-09,003490,대한항공,fallback,76,17185.4364,17697.4593,take_profit,2,1306093.17,195.91,201.75,2017.51,1342787.64,36498.56,2.7941
2020-01-06,2020-01-06,2020-01-07,2020-01-08,120110,코오롱인더,fallback,27,47809.56,45409.9982,stop_loss,1,1290858.12,193.63,183.91,1839.1,1224046.94,-67004.81,-5.1899
2020-01-06,2020-01-06,2020-01-07,2020-01-10,034730,SK,fallback,5,251050.2,245950.8,friday_liquidation,3,1255251.0,188.29,184.46,1844.63,1227724.91,-27714.38,-2.2075
2020-01-06,2020-01-06,2020-01-07,2020-01-10,006260,LS,fallback,29,45209.04,43891.22,friday_liquidation,3,1311062.16,196.66,190.93,1909.27,1270745.19,-40513.63,-3.0897
2020-01-06,2020-01-06,2020-01-07,2020-01-10,042660,한화오션,fallback,58,23946.7884,24204.1582,friday_liquidation,3,1388913.73,208.34,210.58,2105.76,1401524.84,12402.77,0.8928
2020-01-06,2020-01-06,2020-01-07,2020-01-10,097950,CJ제일제당,fallback,5,236047.2,229454.1,friday_liquidation,3,1180236.0,177.04,172.09,1720.91,1145377.5,-35035.53,-2.9681
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,282,10362.072,10670.7996,take_profit,1,2922104.3,438.32,451.37,4513.75,3004200.36,81657.74,2.7941
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89017.8,91669.9963,take_profit,1,2937587.4,440.64,453.77,4537.66,3020118.45,82090.41,2.7941
