week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9744584.21,-255415.79,-2.5542,16,11,11,-255415.79
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9744584.21,10198892.91,454308.7,4.6622,4,4,4,454308.7
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10198892.91,9430154.07,-768738.84,-7.5375,2,2,2,-768738.84
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9430154.07,9854634.33,424480.26,4.5013,11,10,10,424480.26
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9854634.33,10166624.47,311990.14,3.1659,7,7,7,311990.14
2020-02-17,2020-02-21,2020-02-14,2020-02-17,10166624.47,10062578.49,-104045.98,-1.0234,3,3,3,-104045.98
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10062578.49,9450595.96,-611982.53,-6.0818,35,11,11,-611982.53
2020-03-02,2020-03-06,2020-02-28,2020-03-02,9450595.96,9724256.24,273660.28,2.8957,14,10,10,273660.28
2020-03-09,2020-03-13,2020-03-06,2020-03-09,9724256.24,9489838.47,-234417.77,-2.4106,22,14,14,-234417.77
2020-03-16,2020-03-20,2020-03-13,2020-03-16,9489838.47,9729958.82,240120.35,2.5303,4,4,4,240120.35
2020-03-23,2020-03-27,2020-03-20,2020-03-23,9729958.82,9729958.82,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,9729958.82,9960916.34,230957.52,2.3737,1,1,1,230957.52
2020-04-06,2020-04-10,2020-04-03,2020-04-06,9960916.34,9960916.34,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,9960916.34,9960916.34,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,9960916.34,9960916.34,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,9960916.34,10109173.45,148257.11,1.4884,1,1,1,148257.11
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10109173.45,10116139.79,6966.34,0.0689,3,3,3,6966.34
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10116139.79,10333379.91,217240.12,2.1475,14,12,12,217240.12
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10333379.91,10459329.61,125949.7,1.2189,10,10,10,125949.7
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10459329.61,10723846.88,264517.27,2.529,10,10,10,264517.27
2020-06-08,2020-06-12,2020-06-05,2020-06-08,10723846.88,10655818.67,-68028.21,-0.6344,2,2,2,-68028.21
2020-06-15,2020-06-19,2020-06-12,2020-06-15,10655818.67,10763022.77,107204.1,1.0061,108,14,14,107204.1
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10763022.77,10279796.81,-483225.96,-4.4897,19,10,10,-483225.96
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10279796.81,10515465.21,235668.4,2.2925,49,10,10,235668.4
2020-07-06,2020-07-10,2020-07-03,2020-07-06,10515465.21,10240426.09,-275039.12,-2.6156,6,5,5,-275039.12
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10240426.09,10512584.07,272157.98,2.6577,12,10,10,272157.98
2020-07-20,2020-07-24,2020-07-17,2020-07-20,10512584.07,10786067.51,273483.44,2.6015,8,8,8,273483.44
2020-07-27,2020-07-31,2020-07-24,2020-07-27,10786067.51,11208021.25,421953.74,3.912,5,5,5,421953.74
2020-08-03,2020-08-07,2020-07-31,2020-08-03,11208021.25,11510908.27,302887.02,2.7024,9,9,9,302887.02
2020-08-10,2020-08-14,2020-08-07,2020-08-10,11510908.27,11917198.91,406290.64,3.5296,5,4,4,406290.64
2020-08-18,2020-08-21,2020-08-14,2020-08-18,11917198.91,11127421.49,-789777.42,-6.6272,17,12,12,-789777.42
2020-08-24,2020-08-28,2020-08-21,2020-08-24,11127421.49,11685976.18,558554.69,5.0196,2,2,2,558554.69
2020-08-31,2020-09-04,2020-08-28,2020-08-31,11685976.18,11798004.09,112027.91,0.9587,10,10,10,112027.91
2020-09-07,2020-09-11,2020-09-04,2020-09-07,11798004.09,12246428.4,448424.31,3.8008,16,11,11,448424.31
2020-09-14,2020-09-18,2020-09-11,2020-09-14,12246428.4,12554109.52,307681.12,2.5124,1,1,1,307681.12
2020-09-21,2020-09-25,2020-09-18,2020-09-21,12554109.52,11515167.13,-1038942.39,-8.2757,18,10,10,-1038942.39
2020-09-28,2020-09-29,2020-09-25,2020-09-28,11515167.13,12089811.41,574644.28,4.9903,11,11,11,574644.28
2020-10-19,2020-10-23,2020-10-16,2020-10-19,12089811.41,12197491.6,107680.19,0.8907,29,13,13,107680.19
2020-10-26,2020-10-30,2020-10-23,2020-10-26,12197491.6,12012799.31,-184692.29,-1.5142,25,11,11,-184692.29
2020-11-02,2020-11-06,2020-10-30,2020-11-02,12012799.31,12325075.2,312275.89,2.5995,30,10,10,312275.89
2020-11-09,2020-11-13,2020-11-06,2020-11-09,12325075.2,12539346.27,214271.07,1.7385,3,3,3,214271.07
2020-11-16,2020-11-20,2020-11-13,2020-11-16,12539346.27,12539346.27,0.0,0.0,0,0,0,0.0
2020-11-23,2020-11-27,2020-11-20,2020-11-23,12539346.27,12539346.27,0.0,0.0,0,0,0,0.0
2020-11-30,2020-12-04,2020-11-27,2020-11-30,12539346.27,12914879.35,375533.08,2.9948,11,10,10,375533.08
2020-12-07,2020-12-11,2020-12-04,2020-12-07,12914879.35,13429015.55,514136.2,3.981,15,12,12,514136.2
2020-12-14,2020-12-18,2020-12-11,2020-12-14,13429015.55,13494076.39,65060.84,0.4845,6,6,6,65060.84
2020-12-21,2020-12-24,2020-12-18,2020-12-21,13494076.39,12995172.27,-498904.12,-3.6972,2,2,2,-498904.12
2021-01-11,2021-01-15,2021-01-08,2021-01-11,12995172.27,12532693.37,-462478.9,-3.5589,13,11,11,-462478.9
2021-01-18,2021-01-22,2021-01-15,2021-01-18,12532693.37,12586679.8,53986.43,0.4308,31,12,12,53986.43
2021-01-25,2021-01-29,2021-01-22,2021-01-25,12586679.8,11973125.28,-613554.52,-4.8746,8,8,8,-613554.52
2021-02-01,2021-02-05,2021-01-29,2021-02-01,11973125.28,12284327.84,311202.56,2.5992,66,10,10,311202.56
2021-02-08,2021-02-10,2021-02-05,2021-02-08,12284327.84,12807896.83,523568.99,4.2621,6,5,5,523568.99
2021-02-22,2021-02-26,2021-02-19,2021-02-22,12807896.83,12285854.01,-522042.82,-4.0759,24,10,10,-522042.82
2021-03-02,2021-03-05,2021-02-26,2021-03-02,12285854.01,11697333.47,-588520.54,-4.7902,51,13,13,-588520.54
2021-03-08,2021-03-12,2021-03-05,2021-03-08,11697333.47,11439203.2,-258130.27,-2.2067,42,13,13,-258130.27
2021-03-15,2021-03-19,2021-03-12,2021-03-15,11439203.2,11471355.46,32152.26,0.2811,9,9,9,32152.26
2021-03-22,2021-03-26,2021-03-19,2021-03-22,11471355.46,10990033.05,-481322.41,-4.1959,8,8,8,-481322.41
2021-03-29,2021-04-02,2021-03-26,2021-03-29,10990033.05,11426392.46,436359.41,3.9705,8,7,7,436359.41
2021-04-05,2021-04-09,2021-04-02,2021-04-05,11426392.46,11587774.36,161381.9,1.4124,3,3,3,161381.9
2021-04-12,2021-04-16,2021-04-09,2021-04-12,11587774.36,11707745.83,119971.47,1.0353,2,2,2,119971.47
2021-04-19,2021-04-23,2021-04-16,2021-04-19,11707745.83,11707745.83,0.0,0.0,0,0,0,0.0
2021-04-26,2021-04-30,2021-04-23,2021-04-26,11707745.83,11177456.78,-530289.05,-4.5294,6,5,5,-530289.05
2021-05-03,2021-05-07,2021-04-30,2021-05-03,11177456.78,11476238.05,298781.27,2.6731,37,12,12,298781.27
2021-05-10,2021-05-14,2021-05-07,2021-05-10,11476238.05,10961267.69,-514970.36,-4.4873,1,1,1,-514970.36
2021-05-17,2021-05-21,2021-05-14,2021-05-17,10961267.69,10987416.27,26148.58,0.2386,14,10,10,26148.58
2021-05-24,2021-05-28,2021-05-21,2021-05-24,10987416.27,11297353.83,309937.56,2.8208,17,12,12,309937.56
2021-05-31,2021-06-04,2021-05-28,2021-05-31,11297353.83,11320772.16,23418.33,0.2073,3,3,3,23418.33
2021-06-07,2021-06-11,2021-06-04,2021-06-07,11320772.16,11165457.98,-155314.18,-1.3719,9,9,9,-155314.18
