month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2020-01,10000000.0,9573346.71,-426653.30000000005,3,-4.2665
2020-02,9573346.71,10078130.41,504783.71,4,5.2728
2020-03,10078130.41,10160249.18,82118.77000000002,5,0.8148
2020-04,10160249.18,10160249.18,0.0,4,0.0
2020-05,10160249.18,10570195.89,409946.71,3,4.0348
2020-06,10570195.89,10738067.8,167871.91000000003,5,1.5882
2020-07,10738067.8,11150730.96,412663.16000000003,4,3.843
2020-08,11150730.96,11061257.32,-89473.63,5,-0.8024
2020-09,11061257.32,11402141.51,340884.2,4,3.0818
2020-10,11402141.51,11158215.95,-243925.56,2,-2.1393
2020-11,11158215.95,11753138.77,594922.83,5,5.3317
2020-12,11753138.77,11337906.44,-415232.3300000001,3,-3.5329
2021-01,11337906.44,10835961.19,-501945.26,3,-4.4271
2021-02,10835961.19,11055541.0,219579.82,3,2.0264
2021-03,11055541.0,10769680.25,-285860.76,5,-2.5857
2021-04,10769680.25,10621104.41,-148575.83999999997,4,-1.3796
2021-05,10621104.41,10613126.58,-7977.830000000002,5,-0.0751
2021-06,10613126.58,10351230.69,-261895.88,4,-2.4677
2021-07,10351230.69,10320257.35,-30973.339999999997,4,-0.2992
2021-08,10320257.35,10107529.86,-212727.5,5,-2.0613
2021-09,10107529.86,10571472.51,463942.64,4,4.5901
2021-10,10571472.51,11080502.41,509029.91000000003,4,4.8151
2021-11,11080502.41,10913198.72,-167303.69,5,-1.5099
2021-12,10913198.72,10012562.42,-900636.29,4,-8.2527
2022-01,10012562.42,9470413.69,-542148.74,3,-5.4147
2022-02,9470413.69,9510292.45,39878.75,5,0.4211
2022-03,9510292.45,9324852.76,-185439.69,4,-1.9499
2022-04,9324852.76,9123154.56,-201698.18999999997,4,-2.163
2022-05,9123154.56,9188786.95,65632.38,5,0.7194
2022-06,9188786.95,8807632.18,-381154.78,4,-4.148
2022-07,8807632.18,8771291.92,-36340.26000000001,4,-0.4126
2022-08,8771291.92,8699248.99,-72042.93000000001,5,-0.8213
2022-09,8699248.99,8174455.52,-524793.47,3,-6.0326
2022-10,8174455.52,8106479.07,-67976.45,5,-0.8316
2022-11,8106479.07,7901405.11,-205073.94999999998,4,-2.5298
2022-12,7901405.11,7885228.2,-16176.919999999987,4,-0.2047
2023-01,7885228.2,8170866.42,285638.22,4,3.6224
2023-02,8170866.42,8364636.12,193769.69999999998,4,2.3715
2023-03,8364636.12,8189091.55,-175544.56,4,-2.0987
2023-04,8189091.55,8265641.86,76550.31,4,0.9348
2023-05,8265641.86,8345811.4,80169.54000000001,4,0.9699
2023-06,8345811.4,8424487.89,78676.49,4,0.9427
2023-07,8424487.89,8384701.28,-39786.59999999998,5,-0.4723
2023-08,8384701.28,8648095.87,263394.6,4,3.1414
2023-09,8648095.87,8513286.13,-134809.74,4,-1.5588
2023-10,8513286.13,8540746.48,27460.36000000001,4,0.3226
2023-11,8540746.48,8651569.49,110823.01000000001,4,1.2976
2023-12,8651569.49,8862519.62,210950.12,4,2.4383
2024-01,8862519.62,8628698.05,-233821.57,4,-2.6383
2024-02,8628698.05,8535430.52,-93267.53,3,-1.0809
2024-03,8535430.52,8482453.59,-52976.93000000001,3,-0.6207
2024-04,8482453.59,8214161.87,-268291.72,5,-3.1629
2024-05,8214161.87,8409224.95,195063.08,4,2.3747
2024-06,8409224.95,8722374.42,313149.47,4,3.7239
2024-07,8722374.42,8636837.44,-85536.98000000001,5,-0.9807
2024-08,8636837.44,8024890.65,-611946.79,4,-7.0853
2024-09,8024890.65,8243764.04,218873.40000000002,5,2.7274
2024-10,8243764.04,8135486.73,-108277.31,4,-1.3134
2024-11,8135486.73,8348857.81,213371.08000000002,4,2.6227
2024-12,8348857.81,8326549.9,-22307.909999999996,5,-0.2672
