week_start,week_end,signal_date,entry_date,start_cash,end_cash,pnl_krw,pnl_pct,num_candidates,num_orders,num_trades,realized_pnl_krw
2020-01-06,2020-01-10,2020-01-03,2020-01-06,10000000.0,9824166.98,-175833.02,-1.7583,4,4,4,-175833.02
2020-01-13,2020-01-17,2020-01-10,2020-01-13,9824166.98,10057849.35,233682.36,2.3786,3,3,3,233682.36
2020-01-20,2020-01-23,2020-01-17,2020-01-20,10057849.35,9573346.71,-484502.64,-4.8172,1,1,1,-484502.64
2020-02-03,2020-02-07,2020-01-31,2020-02-03,9573346.71,9744112.1,170765.39,1.7838,8,8,8,170765.39
2020-02-10,2020-02-14,2020-02-07,2020-02-10,9744112.1,9912805.23,168693.13,1.7312,5,5,5,168693.13
2020-02-17,2020-02-21,2020-02-14,2020-02-17,9912805.23,10149568.69,236763.46,2.3885,1,1,1,236763.46
2020-02-24,2020-02-28,2020-02-21,2020-02-24,10149568.69,10078130.41,-71438.27,-0.7039,10,10,10,-71438.27
2020-03-02,2020-03-06,2020-02-28,2020-03-02,10078130.41,10334281.55,256151.13,2.5417,10,10,10,256151.13
2020-03-09,2020-03-13,2020-03-06,2020-03-09,10334281.55,9928244.68,-406036.86,-3.929,8,8,8,-406036.86
2020-03-16,2020-03-20,2020-03-13,2020-03-16,9928244.68,9941900.63,13655.95,0.1375,3,3,3,13655.95
2020-03-23,2020-03-27,2020-03-20,2020-03-23,9941900.63,9941900.63,0.0,0.0,0,0,0,0.0
2020-03-30,2020-04-03,2020-03-27,2020-03-30,9941900.63,10160249.18,218348.55,2.1962,1,1,1,218348.55
2020-04-06,2020-04-10,2020-04-03,2020-04-06,10160249.18,10160249.18,0.0,0.0,0,0,0,0.0
2020-04-13,2020-04-17,2020-04-10,2020-04-13,10160249.18,10160249.18,0.0,0.0,0,0,0,0.0
2020-04-20,2020-04-24,2020-04-17,2020-04-20,10160249.18,10160249.18,0.0,0.0,0,0,0,0.0
2020-04-27,2020-04-29,2020-04-24,2020-04-27,10160249.18,10160249.18,0.0,0.0,0,0,0,0.0
2020-05-11,2020-05-15,2020-05-08,2020-05-11,10160249.18,10160249.18,0.0,0.0,0,0,0,0.0
2020-05-18,2020-05-22,2020-05-15,2020-05-18,10160249.18,10470963.68,310714.5,3.0581,10,10,10,310714.5
2020-05-25,2020-05-29,2020-05-22,2020-05-25,10470963.68,10570195.89,99232.21,0.9477,10,10,10,99232.21
2020-06-01,2020-06-05,2020-05-29,2020-06-01,10570195.89,10815349.87,245153.98,2.3193,10,10,10,245153.98
2020-06-08,2020-06-12,2020-06-05,2020-06-08,10815349.87,10815349.87,0.0,0.0,0,0,0,0.0
2020-06-15,2020-06-19,2020-06-12,2020-06-15,10815349.87,10659856.84,-155493.03,-1.4377,10,9,9,-155493.03
2020-06-22,2020-06-26,2020-06-19,2020-06-22,10659856.84,10560327.63,-99529.21,-0.9337,1,1,1,-99529.21
2020-06-29,2020-07-03,2020-06-26,2020-06-29,10560327.63,10738067.8,177740.17,1.6831,2,2,2,177740.17
2020-07-06,2020-07-10,2020-07-03,2020-07-06,10738067.8,10497899.27,-240168.53,-2.2366,3,3,3,-240168.53
2020-07-13,2020-07-17,2020-07-10,2020-07-13,10497899.27,10758455.94,260556.67,2.482,10,10,10,260556.67
2020-07-20,2020-07-24,2020-07-17,2020-07-20,10758455.94,11014614.98,256159.04,2.381,1,1,1,256159.04
