month,start_cash,end_cash,pnl_krw,weeks,pnl_pct
2015-01,10000000.0,10107160.5,107160.5,4,1.0716
2015-02,10107160.5,10201590.5,94430.0,3,0.9343
2015-03,10201590.5,10506848.0,305257.5,5,2.9923
2015-04,10506848.0,10557623.0,50775.0,4,0.4833
2015-05,10557623.0,10646018.0,88395.0,3,0.8373
2015-06,10646018.0,10853259.2,207241.2,5,1.9467
2015-07,10853259.2,10844311.0,-8948.199999999997,4,-0.0824
2015-08,10844311.0,11136044.5,291733.5,4,2.6902
2015-09,11136044.5,11649151.0,513106.5,4,4.6076
2015-10,11649151.0,11474643.5,-174507.5,3,-1.498
2015-11,11474643.5,11620690.5,146047.0,5,1.2728
2015-12,11620690.5,11822717.5,202027.0,3,1.7385
2016-01,11822717.5,11709197.5,-113520.0,3,-0.9602
2016-02,11709197.5,11924177.5,214980.0,5,1.836
2016-03,11924177.5,11926677.5,2500.0,4,0.021
2016-04,11926677.5,11939410.5,12733.0,4,0.1068
2016-05,11939410.5,12018699.5,79289.0,4,0.6641
2016-06,12018699.5,12607187.0,588487.5,4,4.8964
2016-07,12607187.0,12811847.0,204660.0,4,1.6234
2016-08,12811847.0,12720982.5,-90864.5,5,-0.7092
2016-09,12720982.5,12716759.5,-4223.0,3,-0.0332
2016-10,12716759.5,12302642.5,-414117.0,5,-3.2565
2016-11,12302642.5,12302642.5,0.0,4,0.0
2016-12,12302642.5,12451681.0,149038.5,4,1.2114
2017-01,12451681.0,12643033.0,191352.0,3,1.5368
2017-02,12643033.0,13100665.5,457632.5,4,3.6196
2017-03,13100665.5,13412560.5,311895.0,4,2.3808
2017-04,13412560.5,13412560.5,0.0,4,0.0
2017-05,13412560.5,13412560.5,0.0,4,0.0
2017-06,13412560.5,13261900.5,-150660.0,4,-1.1233
2017-07,13261900.5,13489760.5,227860.0,5,1.7182
2017-08,13489760.5,13685030.5,195270.0,4,1.4475
2017-09,13685030.5,13806800.5,121770.0,4,0.8898
2017-10,13806800.5,13726968.0,-79832.5,4,-0.5782
2017-11,13726968.0,13990968.0,264000.0,4,1.9232
2017-12,13990968.0,13990968.0,0.0,4,0.0
2018-01,13990968.0,14466138.0,475170.0,4,3.3963
2018-02,14466138.0,14134804.7,-331333.3,3,-2.2904
2018-03,14134804.7,14126128.7,-8676.0,4,-0.0614
2018-04,14126128.7,13966773.7,-159355.0,5,-1.1281
2018-05,13966773.7,13921741.2,-45032.5,4,-0.3224
2018-06,13921741.2,13714936.2,-206805.0,4,-1.4855
2018-07,13714936.2,12317486.2,-1397450.0,5,-10.1893
2018-08,12317486.2,12613018.2,295532.0,4,2.3993
2018-09,12613018.2,12613018.2,0.0,4,0.0
2018-10,12613018.2,13352933.7,739915.5,5,5.8663
2018-11,13352933.7,13352933.7,0.0,4,0.0
2018-12,13352933.7,13874026.7,521093.0,4,3.9025
2019-01,13874026.7,13934276.7,60250.0,5,0.4343
2019-02,13934276.7,13934276.7,0.0,4,0.0
2019-03,13934276.7,13706845.7,-227431.0,3,-1.6322
2019-04,13706845.7,13825870.7,119025.0,5,0.8684
2019-05,13825870.7,14067960.7,242090.0,4,1.751
2019-06,14067960.7,14067960.7,0.0,4,0.0
2019-07,14067960.7,13840910.7,-227050.0,5,-1.614
2019-08,13840910.7,14260793.2,419882.5,4,3.0336
2019-09,14260793.2,14260793.2,0.0,4,0.0
2019-10,14260793.2,14246723.2,-14070.0,4,-0.0987
2019-11,14246723.2,14246723.2,0.0,4,0.0
2019-12,14246723.2,14246723.2,0.0,5,0.0
2020-01,14246723.2,14432693.2,185970.0,3,1.3054
2020-02,14432693.2,14451436.0,18742.79999999999,4,0.1299
2020-03,14451436.0,14082625.0,-368811.0,5,-2.5521
2020-04,14082625.0,14082625.0,0.0,4,0.0
2020-05,14082625.0,14219657.5,137032.5,3,0.9731
2020-06,14219657.5,14816935.0,597277.5,5,4.2004
2020-07,14816935.0,14833340.0,16405.0,4,0.1107
2020-08,14833340.0,14379833.0,-453507.0,5,-3.0573
2020-09,14379833.0,14054933.0,-324900.0,4,-2.2594
2020-10,14054933.0,14098238.0,43305.0,2,0.3081
2020-11,14098238.0,14318088.0,219850.0,5,1.5594
2020-12,14318088.0,14615544.0,297456.0,3,2.0775
2021-01,14615544.0,15132772.75,517228.75,3,3.5389
2021-02,15132772.75,15474802.75,342030.0,3,2.2602
2021-03,15474802.75,15834162.75,359360.0,5,2.3222
2021-04,15834162.75,15774162.75,-60000.0,4,-0.3789
2021-05,15774162.75,15992812.75,218650.0,5,1.3861
2021-06,15992812.75,16236495.75,243683.0,4,1.5237
2021-07,16236495.75,16352590.75,116095.0,4,0.715
2021-08,16352590.75,15731725.75,-620865.0,5,-3.7967
2021-09,15731725.75,16418075.75,686350.0,4,4.3628
2021-10,16418075.75,16651428.25,233352.5,4,1.4213
2021-11,16651428.25,16864592.25,213164.0,5,1.2802
2021-12,16864592.25,16627949.75,-236642.5,4,-1.4032
2022-01,16627949.75,16289020.25,-338929.5,3,-2.0383
2022-02,16289020.25,16319653.75,30633.5,5,0.1881
2022-03,16319653.75,16650253.75,330600.0,4,2.0258
2022-04,16650253.75,16591656.75,-58597.0,4,-0.3519
2022-05,16591656.75,16659802.75,68146.0,5,0.4107
2022-06,16659802.75,16087907.25,-571895.5,4,-3.4328
2022-07,16087907.25,16812172.25,724265.0,4,4.5019
2022-08,16812172.25,17402514.25,590342.0,5,3.5114
2022-09,17402514.25,17373604.25,-28910.0,3,-0.1661
2022-10,17373604.25,17355846.75,-17757.5,5,-0.1022
2022-11,17355846.75,17248846.75,-107000.0,4,-0.6165
2022-12,17248846.75,17276596.75,27750.0,4,0.1609
2023-01,17276596.75,17276596.75,0.0,4,0.0
2023-02,17276596.75,17243316.75,-33280.0,4,-0.1926
2023-03,17243316.75,17580991.75,337675.0,4,1.9583
2023-04,17580991.75,17317291.75,-263700.0,4,-1.4999
2023-05,17317291.75,17232256.75,-85035.0,4,-0.491
2023-06,17232256.75,17232256.75,0.0,4,0.0
2023-07,17232256.75,17204976.75,-27280.0,5,-0.1583
2023-08,17204976.75,17604724.25,399747.5,4,2.3234
2023-09,17604724.25,17377949.25,-226775.0,4,-1.2881
2023-10,17377949.25,17367574.25,-10375.0,4,-0.0597
2023-11,17367574.25,17367574.25,0.0,4,0.0
2023-12,17367574.25,17582346.75,214772.5,4,1.2366
2024-01,17582346.75,17177996.75,-404350.0,4,-2.2997
2024-02,17177996.75,17177996.75,0.0,3,0.0
2024-03,17177996.75,17344466.75,166470.0,3,0.9691
2024-04,17344466.75,17670904.65,326437.9,5,1.8821
2024-05,17670904.65,17607764.65,-63140.0,4,-0.3573
2024-06,17607764.65,17803284.65,195520.0,4,1.1104
2024-07,17803284.65,18256975.15,453690.5,5,2.5484
2024-08,18256975.15,17036162.65,-1220812.5,4,-6.6868
2024-09,17036162.65,17411215.15,375052.5,5,2.2015
2024-10,17411215.15,17519840.15,108625.0,4,0.6239
2024-11,17519840.15,17278502.65,-241337.5,4,-1.3775
2024-12,17278502.65,17949040.15,670537.5,5,3.8808
