date,source,count
2015-01-02,fallback,200
2015-01-09,fallback,200
2015-01-16,fallback,200
2015-01-23,fallback,200
2015-01-30,fallback,200
2015-02-06,fallback,200
2015-02-13,fallback,200
2015-02-27,fallback,200
2015-03-06,fallback,200
2015-03-13,fallback,200
2015-03-20,fallback,200
2015-03-27,fallback,200
2015-04-03,fallback,200
2015-04-10,fallback,200
2015-04-17,fallback,200
2015-04-24,fallback,200
2015-05-08,fallback,200
2015-05-15,fallback,200
2015-05-22,fallback,200
2015-05-29,fallback,200
2015-06-05,fallback,200
2015-06-12,fallback,200
2015-06-19,fallback,200
2015-06-26,fallback,200
2015-07-03,fallback,200
2015-07-10,fallback,200
2015-07-17,fallback,200
2015-07-24,fallback,200
2015-07-31,fallback,200
2015-08-07,fallback,200
2015-08-21,fallback,200
2015-08-28,fallback,200
2015-09-04,fallback,200
2015-09-11,fallback,200
2015-09-18,fallback,200
2015-09-25,fallback,200
2015-10-02,fallback,200
2015-10-16,fallback,200
2015-10-23,fallback,200
2015-10-30,fallback,200
2015-11-06,fallback,200
2015-11-13,fallback,200
2015-11-20,fallback,200
2015-11-27,fallback,200
2015-12-04,fallback,200
2015-12-11,fallback,200
2015-12-18,fallback,200
2016-01-08,fallback,200
2016-01-15,fallback,200
2016-01-22,fallback,200
2016-01-29,fallback,200
2016-02-05,fallback,200
2016-02-12,fallback,200
2016-02-19,fallback,200
2016-02-26,fallback,200
2016-03-04,fallback,200
2016-03-11,fallback,200
2016-03-18,fallback,200
2016-03-25,fallback,200
2016-04-01,fallback,200
2016-04-08,fallback,200
2016-04-15,fallback,200
2016-04-22,fallback,200
2016-04-29,fallback,200
2016-05-13,fallback,200
2016-05-20,fallback,200
2016-05-27,fallback,200
2016-06-03,fallback,200
2016-06-10,fallback,200
2016-06-17,fallback,200
2016-06-24,fallback,200
2016-07-01,fallback,200
2016-07-08,fallback,200
2016-07-15,fallback,200
2016-07-22,fallback,200
2016-07-29,fallback,200
2016-08-05,fallback,200
2016-08-12,fallback,200
2016-08-19,fallback,200
2016-08-26,fallback,200
2016-09-02,fallback,200
2016-09-09,fallback,200
2016-09-23,fallback,200
2016-09-30,fallback,200
2016-10-07,fallback,200
2016-10-14,fallback,200
2016-10-21,fallback,200
2016-10-28,fallback,200
2016-11-04,fallback,200
2016-11-11,fallback,200
2016-11-18,fallback,200
2016-11-25,fallback,200
2016-12-02,fallback,200
2016-12-09,fallback,200
2016-12-16,fallback,200
2016-12-23,fallback,200
2017-01-06,fallback,200
2017-01-13,fallback,200
2017-01-20,fallback,200
2017-02-03,fallback,200
2017-02-10,fallback,200
2017-02-17,fallback,200
2017-02-24,fallback,200
2017-03-03,fallback,200
2017-03-10,fallback,200
2017-03-17,fallback,200
2017-03-24,fallback,200
2017-03-31,fallback,200
2017-04-07,fallback,200
2017-04-14,fallback,200
2017-04-21,fallback,200
2017-04-28,fallback,200
2017-05-12,fallback,200
2017-05-19,fallback,200
2017-05-26,fallback,200
2017-06-02,fallback,200
2017-06-09,fallback,200
2017-06-16,fallback,200
2017-06-23,fallback,200
2017-06-30,fallback,200
2017-07-07,fallback,200
2017-07-14,fallback,200
2017-07-21,fallback,200
2017-07-28,fallback,200
2017-08-04,fallback,200
2017-08-11,fallback,200
2017-08-18,fallback,200
2017-08-25,fallback,200
2017-09-01,fallback,200
2017-09-08,fallback,200
2017-09-15,fallback,200
2017-09-22,fallback,200
2017-09-29,fallback,200
2017-10-13,fallback,200
2017-10-20,fallback,200
2017-10-27,fallback,200
2017-11-03,fallback,200
2017-11-10,fallback,200
2017-11-17,fallback,200
2017-11-24,fallback,200
2017-12-01,fallback,200
2017-12-08,fallback,200
2017-12-15,fallback,200
2017-12-22,fallback,200
2018-01-05,fallback,200
2018-01-12,fallback,200
2018-01-19,fallback,200
2018-01-26,fallback,200
2018-02-02,fallback,200
2018-02-09,fallback,200
2018-02-23,fallback,200
2018-03-02,fallback,200
2018-03-09,fallback,200
2018-03-16,fallback,200
2018-03-23,fallback,200
2018-03-30,fallback,200
2018-04-06,fallback,200
2018-04-13,fallback,200
2018-04-20,fallback,200
2018-04-27,fallback,200
2018-05-04,fallback,200
2018-05-11,fallback,200
2018-05-18,fallback,200
2018-05-25,fallback,200
2018-06-01,fallback,200
2018-06-08,fallback,200
2018-06-15,fallback,200
2018-06-22,fallback,200
2018-06-29,fallback,200
2018-07-06,fallback,200
2018-07-13,fallback,200
2018-07-20,fallback,200
2018-07-27,fallback,200
2018-08-03,fallback,200
2018-08-10,fallback,200
2018-08-17,fallback,200
2018-08-24,fallback,200
2018-08-31,fallback,200
2018-09-07,fallback,200
2018-09-14,fallback,200
2018-09-21,fallback,200
2018-09-28,fallback,200
2018-10-05,fallback,200
2018-10-12,fallback,200
2018-10-19,fallback,200
2018-10-26,fallback,200
2018-11-02,fallback,200
2018-11-09,fallback,200
2018-11-16,fallback,200
2018-11-23,fallback,200
2018-11-30,fallback,200
2018-12-07,fallback,200
2018-12-14,fallback,200
2018-12-21,fallback,200
2018-12-28,fallback,200
2019-01-04,fallback,200
2019-01-11,fallback,200
2019-01-18,fallback,200
2019-01-25,fallback,200
2019-02-01,fallback,200
2019-02-08,fallback,200
2019-02-15,fallback,200
2019-02-22,fallback,200
2019-03-08,fallback,200
2019-03-15,fallback,200
2019-03-22,fallback,200
2019-03-29,fallback,200
2019-04-05,fallback,200
2019-04-12,fallback,200
2019-04-19,fallback,200
2019-04-26,fallback,200
2019-05-03,fallback,200
2019-05-10,fallback,200
2019-05-17,fallback,200
2019-05-24,fallback,200
2019-05-31,fallback,200
2019-06-07,fallback,200
2019-06-14,fallback,200
2019-06-21,fallback,200
2019-06-28,fallback,200
2019-07-05,fallback,200
2019-07-12,fallback,200
2019-07-19,fallback,200
2019-07-26,fallback,200
2019-08-02,fallback,200
2019-08-09,fallback,200
2019-08-16,fallback,200
2019-08-23,fallback,200
2019-08-30,fallback,200
2019-09-06,fallback,200
2019-09-20,fallback,200
2019-09-27,fallback,200
2019-10-04,fallback,200
2019-10-11,fallback,200
2019-10-18,fallback,200
2019-10-25,fallback,200
2019-11-01,fallback,200
2019-11-08,fallback,200
2019-11-15,fallback,200
2019-11-22,fallback,200
2019-11-29,fallback,200
2019-12-06,fallback,200
2019-12-13,fallback,200
2019-12-20,fallback,200
2019-12-27,fallback,200
2020-01-03,fallback,200
2020-01-10,fallback,200
2020-01-17,fallback,200
2020-01-31,fallback,200
2020-02-07,fallback,200
2020-02-14,fallback,200
2020-02-21,fallback,200
2020-02-28,fallback,200
2020-03-06,fallback,200
2020-03-13,fallback,200
2020-03-20,fallback,200
2020-03-27,fallback,200
2020-04-03,fallback,200
2020-04-10,fallback,200
2020-04-17,fallback,200
2020-04-24,fallback,200
2020-05-08,fallback,200
2020-05-15,fallback,200
2020-05-22,fallback,200
2020-05-29,fallback,200
2020-06-05,fallback,200
2020-06-12,fallback,200
2020-06-19,fallback,200
2020-06-26,fallback,200
2020-07-03,fallback,200
2020-07-10,fallback,200
2020-07-17,fallback,200
2020-07-24,fallback,200
2020-07-31,fallback,200
2020-08-07,fallback,200
2020-08-14,fallback,200
2020-08-21,fallback,200
2020-08-28,fallback,200
2020-09-04,fallback,200
2020-09-11,fallback,200
2020-09-18,fallback,200
2020-09-25,fallback,200
2020-10-16,fallback,200
2020-10-23,fallback,200
2020-10-30,fallback,200
2020-11-06,fallback,200
2020-11-13,fallback,200
2020-11-20,fallback,200
2020-11-27,fallback,200
2020-12-04,fallback,200
2020-12-11,fallback,200
2020-12-18,fallback,200
2021-01-08,fallback,200
2021-01-15,fallback,200
2021-01-22,fallback,200
2021-01-29,fallback,200
2021-02-05,fallback,200
2021-02-19,fallback,200
2021-02-26,fallback,200
2021-03-05,fallback,200
2021-03-12,fallback,200
2021-03-19,fallback,200
2021-03-26,fallback,200
2021-04-02,fallback,200
2021-04-09,fallback,200
2021-04-16,fallback,200
2021-04-23,fallback,200
2021-04-30,fallback,200
2021-05-07,fallback,200
2021-05-14,fallback,200
2021-05-21,fallback,200
2021-05-28,fallback,200
2021-06-04,fallback,200
2021-06-11,fallback,200
2021-06-18,fallback,200
2021-06-25,fallback,200
2021-07-02,fallback,200
2021-07-09,fallback,200
2021-07-16,fallback,200
2021-07-23,fallback,200
2021-07-30,fallback,200
2021-08-06,fallback,200
2021-08-13,fallback,200
2021-08-20,fallback,200
2021-08-27,fallback,200
2021-09-03,fallback,200
2021-09-10,fallback,200
2021-09-17,fallback,200
2021-09-24,fallback,200
2021-10-01,fallback,200
2021-10-08,fallback,200
2021-10-15,fallback,200
2021-10-22,fallback,200
2021-10-29,fallback,200
2021-11-05,fallback,200
2021-11-12,fallback,200
2021-11-19,fallback,200
2021-11-26,fallback,200
2021-12-03,fallback,200
2021-12-10,fallback,200
2021-12-17,fallback,200
2021-12-24,fallback,200
2022-01-07,fallback,200
2022-01-14,fallback,200
2022-01-21,fallback,200
2022-01-28,fallback,200
2022-02-04,fallback,200
2022-02-11,fallback,200
2022-02-18,fallback,200
2022-02-25,fallback,200
2022-03-04,fallback,200
2022-03-11,fallback,200
2022-03-18,fallback,200
2022-03-25,fallback,200
2022-04-01,fallback,200
2022-04-08,fallback,200
2022-04-15,fallback,200
2022-04-22,fallback,200
2022-04-29,fallback,200
2022-05-06,fallback,200
2022-05-13,fallback,200
2022-05-20,fallback,200
2022-05-27,fallback,200
2022-06-03,fallback,200
2022-06-10,fallback,200
2022-06-17,fallback,200
2022-06-24,fallback,200
2022-07-01,fallback,200
2022-07-08,fallback,200
2022-07-15,fallback,200
2022-07-22,fallback,200
2022-07-29,fallback,200
2022-08-05,fallback,200
2022-08-12,fallback,200
2022-08-19,fallback,200
2022-08-26,fallback,200
2022-09-02,fallback,200
2022-09-16,fallback,200
2022-09-23,fallback,200
2022-09-30,fallback,200
2022-10-07,fallback,200
2022-10-14,fallback,200
2022-10-21,fallback,200
2022-10-28,fallback,200
2022-11-04,fallback,200
2022-11-11,fallback,200
2022-11-18,fallback,200
2022-11-25,fallback,200
2022-12-02,fallback,200
2022-12-09,fallback,200
2022-12-16,fallback,200
2022-12-23,fallback,200
2023-01-06,fallback,200
2023-01-13,fallback,200
2023-01-20,fallback,200
2023-01-27,fallback,200
2023-02-03,fallback,200
2023-02-10,fallback,200
2023-02-17,fallback,200
2023-02-24,fallback,200
2023-03-03,fallback,200
2023-03-10,fallback,200
2023-03-17,fallback,200
2023-03-24,fallback,200
2023-03-31,fallback,200
2023-04-07,fallback,200
2023-04-14,fallback,200
2023-04-21,fallback,200
2023-04-28,fallback,200
2023-05-12,fallback,200
2023-05-19,fallback,200
2023-05-26,fallback,200
2023-06-02,fallback,200
2023-06-09,fallback,200
2023-06-16,fallback,200
2023-06-23,fallback,200
2023-06-30,fallback,200
2023-07-07,fallback,200
2023-07-14,fallback,200
2023-07-21,fallback,200
2023-07-28,fallback,200
2023-08-04,fallback,200
2023-08-11,fallback,200
2023-08-18,fallback,200
2023-08-25,fallback,200
2023-09-01,fallback,200
2023-09-08,fallback,200
2023-09-15,fallback,200
2023-09-22,fallback,200
2023-10-06,fallback,200
2023-10-13,fallback,200
2023-10-20,fallback,200
2023-10-27,fallback,200
2023-11-03,fallback,200
2023-11-10,fallback,200
2023-11-17,fallback,200
2023-11-24,fallback,200
2023-12-01,fallback,200
2023-12-08,fallback,200
2023-12-15,fallback,200
2023-12-22,fallback,200
2024-01-05,fallback,200
2024-01-12,fallback,200
2024-01-19,fallback,200
2024-01-26,fallback,200
2024-02-02,fallback,200
2024-02-16,fallback,200
2024-02-23,fallback,200
2024-03-08,fallback,200
2024-03-15,fallback,200
2024-03-22,fallback,200
2024-03-29,fallback,200
2024-04-05,fallback,200
2024-04-12,fallback,200
2024-04-19,fallback,200
2024-04-26,fallback,200
2024-05-03,fallback,200
2024-05-10,fallback,200
2024-05-17,fallback,200
2024-05-24,fallback,200
2024-05-31,fallback,200
2024-06-07,fallback,200
2024-06-14,fallback,200
2024-06-21,fallback,200
2024-06-28,fallback,200
2024-07-05,fallback,200
2024-07-12,fallback,200
2024-07-19,fallback,200
2024-07-26,fallback,200
2024-08-02,fallback,200
2024-08-09,fallback,200
2024-08-16,fallback,200
2024-08-23,fallback,200
2024-08-30,fallback,200
2024-09-06,fallback,200
2024-09-13,fallback,200
2024-09-20,fallback,200
2024-09-27,fallback,200
2024-10-04,fallback,200
2024-10-11,fallback,200
2024-10-18,fallback,200
2024-10-25,fallback,200
2024-11-01,fallback,200
2024-11-08,fallback,200
2024-11-15,fallback,200
2024-11-22,fallback,200
2024-11-29,fallback,200
2024-12-06,fallback,200
2024-12-13,fallback,200
2024-12-20,fallback,200
2024-12-27,fallback,200
